	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol
ENSMUSG00000024517	337.6382129	-4.753996543	0.239819272	3.61815E-89	7.31915E-85	Rax
ENSMUSG00000022860	627.2471269	-4.390173504	0.26066284	3.62017E-67	3.66162E-63	Chodl
ENSMUSG00000026841	715.2684171	-3.136668951	0.184172456	1.04636E-66	7.05558E-63	Fibcd1
ENSMUSG00000068037	345.5073291	-3.971171951	0.249017173	5.83584E-59	2.95133E-55	Mas1
ENSMUSG00000028172	1359.471884	-5.548752997	0.367603282	2.64776E-55	1.07123E-51	Tacr3
ENSMUSG00000032532	1767.676292	-4.781069428	0.313998226	1.81578E-54	6.12189E-51	Cck
ENSMUSG00000059173	9078.61141	-2.628515952	0.17471898	5.62019E-53	1.62416E-49	Pde1a
ENSMUSG00000032890	3428.162342	2.059989086	0.142412509	6.10709E-49	1.54425E-45	Rims3
ENSMUSG00000016194	379.8108992	-2.358421768	0.163826262	3.53155E-48	7.93775E-45	Hsd11b1
ENSMUSG00000015484	649.1278627	-1.881038042	0.131107995	4.5018E-48	9.1067E-45	Fam163a
ENSMUSG00000009075	518.5655593	-3.679219416	0.266658446	2.85172E-45	5.24432E-42	Cabp7
ENSMUSG00000008475	5349.846562	-1.036852984	0.075202879	3.17205E-44	5.34728E-41	Arpc5
ENSMUSG00000019888	331.1530441	-2.939137009	0.225105127	3.07862E-40	4.79057E-37	Mgat4c
ENSMUSG00000021943	525.0345011	-2.73723471	0.214383916	9.78647E-39	1.41407E-35	Gdf10
ENSMUSG00000074575	634.5190062	-2.780885748	0.219552404	1.82679E-38	2.46361E-35	Kcng1
ENSMUSG00000067879	2715.731048	-2.51339059	0.200855504	8.79639E-38	1.11214E-34	AC103620.3
ENSMUSG00000013663	6030.877123	-0.875804281	0.070006652	7.0544E-37	7.92797E-34	Pten
ENSMUSG00000051615	4300.51472	-0.992669821	0.079312266	6.98974E-37	7.92797E-34	Rap2a
ENSMUSG00000018736	2726.461324	-1.416856865	0.113146305	8.05876E-37	8.58003E-34	Ndel1
ENSMUSG00000000632	4680.17147	-1.885798805	0.153700863	6.13721E-36	6.20748E-33	Sez6
ENSMUSG00000020950	2811.955175	-1.912139705	0.158456895	6.08124E-35	5.85797E-32	Foxg1
ENSMUSG00000036882	11389.50763	-2.099767286	0.17391187	9.72449E-35	8.94167E-32	Arhgap33
ENSMUSG00000039809	6197.28051	-2.267999584	0.190641804	5.67905E-34	4.99484E-31	Gabbr2
ENSMUSG00000032564	1679.94655	-1.643063557	0.138668735	1.1207E-33	9.4461E-31	Cpne4
ENSMUSG00000046709	5945.194562	-1.058851588	0.090437844	1.11876E-32	9.05256E-30	Mapk10
ENSMUSG00000046985	1688.013856	-1.605863626	0.13935247	5.42252E-32	4.21893E-29	Tapt1
ENSMUSG00000026090	1260.812365	-2.379870271	0.207318001	8.77681E-32	6.57578E-29	AC140321.1
ENSMUSG00000034574	5438.819747	-1.13417425	0.099892253	7.17112E-31	5.18088E-28	Daam1
ENSMUSG00000037579	2154.640916	-1.995928939	0.177448461	9.14018E-31	6.37575E-28	Kcnh3
ENSMUSG00000029123	1370.507737	1.473892932	0.131940031	3.10112E-30	2.09109E-27	Stk32b
ENSMUSG00000019848	852.3538573	-1.9725134	0.178986567	8.38897E-30	5.47421E-27	Popdc3
ENSMUSG00000023961	794.9204414	-1.044108782	0.09502769	3.92135E-29	2.47891E-26	Enpp4
ENSMUSG00000060402	710.4684134	-2.248445766	0.205931494	4.86951E-29	2.98501E-26	Chst8
ENSMUSG00000069670	2233.96233	-1.419853468	0.130335885	7.18677E-29	4.27592E-26	Nkain2
ENSMUSG00000028717	138.1102058	-2.459565939	0.228021144	3.10058E-28	1.79205E-25	Tal1
ENSMUSG00000030905	8446.924723	-2.721975464	0.260966129	1.67325E-27	9.40226E-25	Crym
ENSMUSG00000032925	1477.574498	-3.084649118	0.301389636	2.48085E-27	1.35635E-24	Itgbl1
ENSMUSG00000032803	5206.535534	-0.978290323	0.092165393	2.63026E-27	1.4002E-24	Cdv3
ENSMUSG00000042498	101.6207915	-4.077438483	0.385985505	4.0463E-27	2.09879E-24	RP23-219K12.1
ENSMUSG00000068196	5807.998312	-1.228542143	0.116909507	6.51902E-27	3.29683E-24	Col8a1
ENSMUSG00000034796	5610.320037	-2.612313349	0.249476382	6.91885E-27	3.41369E-24	Cpne7
ENSMUSG00000097789	980.3956037	-1.423666178	0.135916161	8.63294E-27	4.15799E-24	RP23-121N17.2
ENSMUSG00000048142	2742.368442	1.384759072	0.133283633	1.94436E-26	9.14706E-24	Nat8l
ENSMUSG00000051674	3068.415441	-1.076194197	0.104991628	1.01083E-25	4.64728E-23	Dcun1d4
ENSMUSG00000049583	7105.490619	-2.166251348	0.212408223	1.13589E-25	5.10622E-23	Grm5
ENSMUSG00000047935	688.5626768	1.440591524	0.141414107	1.72707E-25	7.59498E-23	RP24-473D4.1
ENSMUSG00000021987	4038.101323	-1.228402785	0.120890803	1.9204E-25	8.2655E-23	Mtmr6
ENSMUSG00000024593	928.4718689	-1.118711296	0.109944401	2.5062E-25	1.05621E-22	Megf10
ENSMUSG00000044816	302.3791052	-2.417319298	0.239298253	2.60462E-25	1.07528E-22	AC101869.3
ENSMUSG00000044164	3055.692137	-1.171538709	0.116286151	5.88525E-25	2.38105E-22	Rnf182
ENSMUSG00000051223	11123.13279	-0.73006266	0.071997555	6.21522E-25	2.46525E-22	Bzw1
ENSMUSG00000038702	1204.47794	-0.881207137	0.08787534	1.50091E-24	5.83884E-22	Dsel
ENSMUSG00000056755	1621.208422	-1.858967715	0.187121176	1.61981E-24	6.1825E-22	Grm7
ENSMUSG00000007888	740.0465698	-1.729060523	0.176288191	6.94171E-24	2.60044E-21	Crlf1
ENSMUSG00000029135	6031.097023	-1.733842217	0.178167692	7.31695E-24	2.69117E-21	Fosl2
ENSMUSG00000041920	2479.2609	0.819831169	0.083446604	1.26155E-23	4.55712E-21	Slc16a6
ENSMUSG00000024427	1317.297527	-0.964385563	0.098464566	1.31747E-23	4.67563E-21	Spry4
ENSMUSG00000001300	3944.085397	-1.170017022	0.11983235	1.59729E-23	5.57098E-21	Efnb2
ENSMUSG00000053963	4640.394113	-2.221049772	0.230546117	1.99141E-23	6.82784E-21	AC121838.2
ENSMUSG00000027805	15968.75982	-0.986279613	0.103497598	1.0601E-22	3.57414E-20	Pfn2
ENSMUSG00000111990	118.0618583	-4.837974313	0.507756496	1.88589E-22	6.25405E-20	RP23-137I3.2
ENSMUSG00000027834	4800.259319	-1.586868773	0.168154072	2.82591E-22	9.22022E-20	Serpini1
ENSMUSG00000041654	2043.644221	-1.342388898	0.142978615	3.89477E-22	1.25059E-19	Slc39a11
ENSMUSG00000060534	1011.801242	-3.087355878	0.335284017	4.17852E-22	1.32074E-19	Dcc
ENSMUSG00000025037	3128.561083	-0.813664001	0.086735249	9.15488E-22	2.84914E-19	Maoa
ENSMUSG00000025876	2837.91757	-1.785867376	0.192501698	1.03894E-21	3.13681E-19	Unc5a
ENSMUSG00000102697	2068.270239	-1.523064274	0.164158902	1.0334E-21	3.13681E-19	Pcdhac2
ENSMUSG00000021036	2399.36938	-1.152121576	0.124218408	1.50991E-21	4.49177E-19	Sptlc2
ENSMUSG00000038503	3221.855507	1.178269897	0.127209748	1.53477E-21	4.49955E-19	Mesdc2
ENSMUSG00000038128	4384.230286	-1.700676474	0.184717388	1.88146E-21	5.43716E-19	Camk4
ENSMUSG00000028033	2527.382194	-2.435754958	0.266765483	1.99316E-21	5.67883E-19	Kcnq5
ENSMUSG00000029175	1175.378738	-0.864254322	0.093125358	2.18218E-21	6.13102E-19	Slc35f6
ENSMUSG00000004151	1707.113664	-2.729073699	0.304498707	2.81162E-21	7.79127E-19	Etv1
ENSMUSG00000001741	269.2806938	-2.069566869	0.226344191	3.12782E-21	8.55036E-19	Il16
ENSMUSG00000070639	3154.440109	-1.329139987	0.144732628	3.74633E-21	1.01046E-18	Lrrc8b
ENSMUSG00000004383	6492.646872	-1.579527382	0.175130562	6.35535E-21	1.69161E-18	Large
ENSMUSG00000020524	14711.96187	-0.89197916	0.09633367	6.79153E-21	1.78423E-18	Gria1
ENSMUSG00000000555	1766.888456	-0.902001068	0.098914484	9.05225E-21	2.34767E-18	Itga5
ENSMUSG00000019699	7496.759941	-1.183700491	0.130019581	9.20226E-21	2.35636E-18	Akt3
ENSMUSG00000041794	604.0403902	1.220686741	0.134866831	1.19116E-20	3.01201E-18	Myrip
ENSMUSG00000032571	1153.766187	0.902565373	0.099388297	1.38977E-20	3.45781E-18	Pik3r4
ENSMUSG00000066232	5515.658385	-0.623580419	0.068417487	1.40165E-20	3.45781E-18	Ipo7
ENSMUSG00000033361	747.8786855	-0.94910024	0.105084712	1.7701E-20	4.31414E-18	Prrg3
ENSMUSG00000026109	3251.626544	-0.896348967	0.099068226	1.81303E-20	4.36617E-18	Tmeff2
ENSMUSG00000058624	4218.377742	-2.32802708	0.264798243	2.28443E-20	5.43668E-18	Gda
ENSMUSG00000022861	1304.175563	-1.558012119	0.174172525	2.58435E-20	6.07894E-18	Dgkg
ENSMUSG00000025558	5594.476496	-1.949022834	0.220101109	2.82871E-20	6.57724E-18	Dock9
ENSMUSG00000028411	1229.501268	1.207389482	0.135166638	3.01447E-20	6.92952E-18	Aptx
ENSMUSG00000085601	221.3166937	-1.835418728	0.206968324	3.8821E-20	8.82371E-18	AC145199.4
ENSMUSG00000051079	151.4994449	4.278657605	0.506810054	4.351E-20	9.7796E-18	Rgs13
ENSMUSG00000022536	8033.049235	-0.912927172	0.102123273	4.56576E-20	1.01495E-17	Glyr1
ENSMUSG00000042348	1586.181773	-1.056526363	0.118685619	5.42038E-20	1.19184E-17	Arl15
ENSMUSG00000028661	655.0903379	-1.182260034	0.133597788	5.90543E-20	1.28453E-17	Epha8
ENSMUSG00000035891	1107.692834	-1.288522283	0.146553292	9.46461E-20	2.01558E-17	Cerk
ENSMUSG00000045648	154.7275913	-2.18428339	0.248033008	9.46565E-20	2.01558E-17	Vwc2l
ENSMUSG00000090061	1520.932636	-2.42981109	0.28043521	9.67837E-20	2.03941E-17	Nwd2
ENSMUSG00000027313	788.8365785	1.896189467	0.217743648	1.19523E-19	2.49261E-17	Chac1
ENSMUSG00000029916	1385.096504	-0.825814296	0.093421015	1.3443E-19	2.77489E-17	Agk
ENSMUSG00000029672	1891.6461	-2.09265714	0.244118771	1.37837E-19	2.81647E-17	Fam3c
ENSMUSG00000024261	7166.067597	-1.792535523	0.205428086	1.49814E-19	3.03058E-17	Syt4
ENSMUSG00000032899	301.7688044	-2.343334518	0.273979633	1.53177E-19	3.06795E-17	Styk1
ENSMUSG00000037681	76.58415398	-2.181347182	0.251770917	3.144E-19	6.23529E-17	Esyt3
ENSMUSG00000090223	1014.26281	0.893951965	0.102821334	3.54152E-19	6.95547E-17	Pcp4
ENSMUSG00000032285	886.5028082	-1.411066381	0.164343528	5.00763E-19	9.74033E-17	Dnaja4
ENSMUSG00000020723	3195.488136	0.886621764	0.102237511	5.63466E-19	1.0854E-16	Cacng4
ENSMUSG00000020848	2031.243292	-1.374869169	0.16070661	5.68751E-19	1.0854E-16	Doc2b
ENSMUSG00000056306	3636.872011	-2.47784173	0.300932034	6.08332E-19	1.15009E-16	Sertm1
ENSMUSG00000024067	1522.943866	0.923234139	0.106659284	7.26113E-19	1.36005E-16	Dpy30
ENSMUSG00000025860	2419.660395	-0.896327747	0.103870062	7.35604E-19	1.36519E-16	Xiap
ENSMUSG00000010066	964.0859412	1.60631716	0.189270222	8.03773E-19	1.47814E-16	Cacna2d2
ENSMUSG00000024511	481.7546254	-1.496738671	0.175364118	8.22301E-19	1.49859E-16	Rab27b
ENSMUSG00000029055	2832.37009	-1.471176012	0.172284651	9.46771E-19	1.71002E-16	Plch2
ENSMUSG00000022636	8170.909012	-1.402572683	0.164450032	1.02962E-18	1.82703E-16	Alcam
ENSMUSG00000025582	2113.84574	-2.303691411	0.274234338	1.02091E-18	1.82703E-16	Nptx1
ENSMUSG00000032846	1903.616872	-1.307895941	0.153019023	1.05087E-18	1.84853E-16	Zswim6
ENSMUSG00000036890	892.6476209	-0.904658742	0.105457038	1.16994E-18	2.04024E-16	Gtdc1
ENSMUSG00000038760	391.3436453	-2.564891345	0.307113236	1.29621E-18	2.24111E-16	Trhr
ENSMUSG00000028525	1822.432014	-1.21707666	0.142535682	1.3262E-18	2.27353E-16	Pde4b
ENSMUSG00000036053	2556.68653	-0.916808893	0.107292792	1.388E-18	2.35948E-16	Fmnl2
ENSMUSG00000031967	2019.877622	0.872009456	0.101721257	1.67391E-18	2.8218E-16	Afg3l1
ENSMUSG00000015709	12648.76871	-0.719128007	0.084216278	2.16384E-18	3.59399E-16	Arnt2
ENSMUSG00000034707	7578.800539	-0.910240253	0.107205316	2.16752E-18	3.59399E-16	Gns
ENSMUSG00000032570	4831.47298	-0.895042102	0.105309429	2.29569E-18	3.77557E-16	Atp2c1
ENSMUSG00000000605	7623.015847	-0.906023694	0.107023986	3.14457E-18	5.12996E-16	Clcn4
ENSMUSG00000074939	110.9511559	-4.918169941	0.591537869	3.70829E-18	6.0012E-16	Chrm5
ENSMUSG00000039431	1301.272762	-1.597923976	0.192231193	3.83541E-18	6.15766E-16	Mtmr7
ENSMUSG00000018974	1457.109448	0.894005628	0.106441359	5.04585E-18	8.03721E-16	Sart3
ENSMUSG00000037169	1033.28842	-1.447445773	0.173524903	5.30139E-18	8.37826E-16	Mycn
ENSMUSG00000023043	565.5306192	1.298069744	0.155734218	6.0336E-18	9.46153E-16	Krt18
ENSMUSG00000042988	689.3593103	-1.598768364	0.19221221	6.27579E-18	9.76561E-16	Notum
ENSMUSG00000023800	1148.658493	-1.582438035	0.191820069	6.33188E-18	9.77769E-16	Tiam2
ENSMUSG00000034171	2552.855985	-1.327915293	0.159438475	6.38451E-18	9.78427E-16	Faah
ENSMUSG00000032336	12806.24329	-0.515229479	0.060664404	6.68008E-18	1.01603E-15	Nptn
ENSMUSG00000022197	1776.141904	-1.160320143	0.139314375	6.77729E-18	1.02312E-15	Pdzd2
ENSMUSG00000029482	5671.278639	-1.327878545	0.160830172	7.5393E-18	1.12972E-15	Aacs
ENSMUSG00000100891	340.0949597	1.221719305	0.14699218	7.92005E-18	1.17805E-15	RP23-392G15.1
ENSMUSG00000056427	1828.193931	-1.551695312	0.187504315	8.00437E-18	1.1819E-15	Slit3
ENSMUSG00000054667	217.1368526	3.374691846	0.435703302	8.14284E-18	1.19363E-15	Irs4
ENSMUSG00000032625	1304.421225	-1.64048394	0.198711067	8.2274E-18	1.19735E-15	Thsd7a
ENSMUSG00000030525	1334.52583	-2.517160262	0.314913426	1.0589E-17	1.53004E-15	Chrna7
ENSMUSG00000029026	300.7004177	1.735081398	0.211458054	1.10756E-17	1.589E-15	Trp73
ENSMUSG00000048540	400.753146	1.620125011	0.196656373	1.12142E-17	1.59755E-15	Nhlh2
ENSMUSG00000038990	2627.17163	-1.37013571	0.166775657	1.26613E-17	1.79109E-15	Cables2
ENSMUSG00000090799	93.29460293	2.57501565	0.313986673	1.40945E-17	1.97998E-15	Klhl33
ENSMUSG00000019647	3200.430467	-1.420659239	0.173594252	1.46405E-17	2.0425E-15	Sema6a
ENSMUSG00000017897	260.8679619	1.216167215	0.147822909	1.71622E-17	2.37791E-15	Eya2
ENSMUSG00000040797	3112.940386	-2.340481848	0.290656566	2.09375E-17	2.88126E-15	Iqsec3
ENSMUSG00000059146	7450.563277	-1.884775794	0.232336507	2.53934E-17	3.47083E-15	Ntrk3
ENSMUSG00000049281	6938.653193	-1.627102354	0.203796681	2.64252E-17	3.58762E-15	Scn3b
ENSMUSG00000103310	499.5272082	-1.638763261	0.202960005	3.22921E-17	4.35491E-15	Pcdha12
ENSMUSG00000022321	1427.231814	-1.320022134	0.162846125	3.99803E-17	5.35604E-15	Cdh10
ENSMUSG00000031012	4590.957606	-0.838771807	0.102696015	4.22087E-17	5.61736E-15	Cask
ENSMUSG00000048281	170.5820879	1.994712184	0.249862406	4.34815E-17	5.74894E-15	Dleu7
ENSMUSG00000030110	842.0429487	0.841756465	0.103217946	4.78764E-17	6.2889E-15	Ret
ENSMUSG00000071317	418.7494796	-1.961651722	0.244329148	5.76766E-17	7.52735E-15	Bves
ENSMUSG00000032185	3561.975032	-0.756761615	0.092867733	5.89021E-17	7.63801E-15	Carm1
ENSMUSG00000074622	483.5983875	1.090150912	0.135072949	6.33713E-17	8.16521E-15	Mafb
ENSMUSG00000074607	625.6776633	1.475243452	0.18502326	7.35107E-17	9.41169E-15	Tox2
ENSMUSG00000029211	2329.952466	-1.050793965	0.130517449	7.75901E-17	9.87152E-15	Gabra4
ENSMUSG00000111394	380.4330398	-1.128670352	0.140601689	8.67433E-17	1.09671E-14	RP23-320D23.6
ENSMUSG00000021180	1051.990386	-1.310973213	0.164909449	9.05438E-17	1.13765E-14	Rps6ka5
ENSMUSG00000056536	1289.196821	-0.655728559	0.080727193	9.38683E-17	1.17214E-14	Pign
ENSMUSG00000030557	3024.459791	-1.081571418	0.135272305	1.03789E-16	1.28807E-14	Mef2a
ENSMUSG00000022887	2527.526912	-1.503300095	0.18891825	1.12872E-16	1.39224E-14	Masp1
ENSMUSG00000040701	356.1845293	-1.493072574	0.188409699	1.14351E-16	1.40194E-14	Ap1g2
ENSMUSG00000027827	429.7919309	-0.988135207	0.123344123	1.19885E-16	1.46094E-14	Kcnab1
ENSMUSG00000024811	7453.336616	-0.599269246	0.073864363	1.23908E-16	1.496E-14	Tnks2
ENSMUSG00000063531	1757.567787	-1.913841557	0.246084775	1.24241E-16	1.496E-14	Sema3e
ENSMUSG00000049336	6484.218486	-1.858136625	0.23589698	1.28831E-16	1.54208E-14	Tenm2
ENSMUSG00000040258	151.5723519	2.339137372	0.299339533	1.29783E-16	1.54434E-14	Nxph4
ENSMUSG00000079259	107.8407813	-2.018793765	0.254293016	1.31691E-16	1.55788E-14	Trim71
ENSMUSG00000045441	367.5888165	-1.839877642	0.233923623	1.49193E-16	1.75466E-14	Gprin3
