SYMBOL	Unique on data 13	Unique on data 16	Unique on data 17	Unique on data 14	Unique on data 15	Unique on data 18
Gpnmb	368.716510536127	330.887891175119	477.002962401814	1043.38915174097	1222.07546466255	1076.26003045409
Sema3a	158.560683711782	189.226512765771	128.665272753121	499.580354927999	640.708760304874	933.632447621708
Grm3	173.661701208142	124.08295919067	141.217982290011	360.863878106945	419.103270127067	442.530986733989
Clic1	327.188712421136	272.982510219473	301.265028885356	597.083965447146	747.339017084991	686.925277317045
Dlx1	854.465906669045	842.730097836631	799.189173848653	379.962523466366	311.545793722775	242.08141086145
Clu	3406.53786355391	2871.48648060408	3469.77812782197	5778.84800901623	6863.27965814281	6757.46358662615
Aff2	792.803418558908	994.731722845201	930.992623985996	1966.15528015929	1742.24567382469	1744.68226999829
Rasgef1c	649.343752343486	688.660423508216	541.858628342411	1189.14197158918	1345.39567467782	1238.16161096653
Vstm2a	2628.83546249136	2649.17117872079	2829.58994144058	1686.71194279514	1767.28060367741	1740.82747046228
Adarb2	343.548148042193	409.473765329209	376.581286106695	144.747627987187	168.753971599837	187.343257450103
Pltp	615.366462976676	453.936825705866	504.200499731742	1039.36838429688	1150.67955360108	1016.12515769233
Yap1	225.256844320705	213.009079943983	229.086949048239	392.024825798631	418.176050502892	427.882748497149
Cck	1384.25993716635	1117.78065737595	1847.34042017895	578.990511948748	639.7815406807	589.013369102382
Iqcf5	122.066558095578	108.572589291836	112.974385832009	222.147401285891	272.602569507428	305.30012325202
Unc5c	3305.86441357818	2970.75284795661	3197.80275452269	1992.29026854586	1976.83223874094	2137.10086276414
Prss23	158.560683711782	140.627353749425	157.954928339197	299.547174584595	547.059578263207	570.510331329532
Sox1ot	606.557536103799	792.062889500441	614.036708179528	297.536790862551	234.586564916256	338.451399261709
Rhoc	167.369610584658	154.069674328415	149.586455314604	280.448529225175	368.106190797446	381.625154065025
Arpc1b	271.818314934483	173.716142866937	208.165766486756	449.320761876893	712.104671366344	636.041923441708
Vcl	884.667941661765	762.076174362695	811.741883385543	1275.58847163708	1444.60817446454	1343.01215834601
Angpt1	220.223171821919	148.899551028803	233.271185560536	650.359134081319	669.452568654297	417.08930979632
Bst2	60.4040699854406	24.8165918381339	42.8884242510403	137.711284960032	165.045093103137	218.181653738186
Cd52	27.6851987433269	20.6804931984449	17.7830051772606	75.3893895766599	88.0858642966181	70.9283114625905
Axl	174.920119332838	133.38918112997	173.645815260309	303.567942028684	383.86892440842	349.244837962538
Plin2	117.032885596791	86.8580714334687	114.020444960083	234.209703618157	454.337615845714	684.612397595439
Rcn3	88.0892687287675	38.2589124171231	61.717488556375	181.939726845006	213.260513560233	248.249090119067
Unc93b1	45.3030524890804	29.9867151377451	41.8423651229661	128.664558210833	119.611331518566	98.682868121865
Ltbp2	99.4150318510376	37.2248877572009	39.7502468668178	171.887808234784	551.695676384081	729.328072213159
