baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol
ENSMUSG00000030683	4586.58357731765	-1.02789679919135	0.0611519792120474	1.23956621227915e-64	1.71841064008259e-60	Sez6l2
ENSMUSG00000090125	620.374973995885	-2.01314106259775	0.135829277984767	6.42352375115569e-51	4.45246548811357e-47	Pou3f1
ENSMUSG00000032532	2357.51604244434	-1.06384762512538	0.0731626117315703	3.74470493164489e-49	1.7304281489131e-45	Cck
ENSMUSG00000046314	3198.42478834545	0.964937636788788	0.0684004112567675	1.91788461728004e-46	6.6469086123383e-43	Stxbp6
ENSMUSG00000042589	2027.64964196771	-1.20835243471299	0.0951395283013804	3.38194642460112e-38	9.37678465684907e-35	Cux2
ENSMUSG00000035277	1705.94524482285	-0.895775473055479	0.0715883896729918	3.55571027192509e-37	8.21546858328293e-34	Arx
ENSMUSG00000040536	1357.48748821846	1.14285282725191	0.0925723685839514	2.46801163597346e-36	4.88772075850001e-33	Necab1
ENSMUSG00000032269	418.760505431478	-1.57035117334151	0.13136790702987	3.50110591662129e-34	6.06697891526511e-31	Htr3a
ENSMUSG00000026890	2474.25158554516	-1.11775546216196	0.0995242329448279	1.66747772681563e-30	2.56847152520501e-27	Lhx6
ENSMUSG00000029608	2208.42461246348	-1.07492521600257	0.101022770518782	1.11578937244015e-27	1.54681880701378e-24	Rph3a
ENSMUSG00000001988	761.177557250039	-1.27555661165885	0.12596064817385	2.36005161288479e-25	2.97430868267471e-22	Npas1
ENSMUSG00000023391	671.451726552389	-1.09454310103223	0.110291005668484	1.81853646640392e-24	2.10086425281313e-21	Dlx2
ENSMUSG00000020644	5033.19596467974	-0.67059671358843	0.0678558109234455	3.00680364681193e-24	2.97737992541099e-21	Id2
ENSMUSG00000048988	731.096118064249	-1.0580036781019	0.107105944260445	2.87932130618627e-24	2.97737992541099e-21	Elfn1
ENSMUSG00000026042	2705.90387564482	0.709329932088673	0.0729465206710086	1.2539419368754e-23	1.15889313806024e-20	Col5a2
ENSMUSG00000062309	297.675772469527	-1.55657060401018	0.162437811133469	5.31824105754467e-23	4.60792348629636e-20	Rpp25
ENSMUSG00000041911	2607.62901599461	-0.923924413119867	0.0995273075618206	9.4235369153464e-22	7.68461719161453e-19	Dlx1
ENSMUSG00000019890	1785.43191031965	-4.34081066686178	0.475307705357317	5.53003215351708e-21	4.25904643023374e-18	Nts
ENSMUSG00000056306	3084.36749698365	-0.611997353821143	0.0674050959391455	6.6644117703973e-21	4.86256528279041e-18	Sertm1
ENSMUSG00000086496	542.427583104346	-1.12921965535256	0.125332514097217	1.1344158432611e-20	7.86320341756434e-18	RP23-392P11.4
ENSMUSG00000047496	5334.52019781525	0.720487893462328	0.082098697927963	8.79079877744288e-20	5.80318302150908e-17	Rnf152
ENSMUSG00000070695	839.281695278412	0.904109892209538	0.105199790182049	4.10892083430187e-19	2.58918043299667e-16	Cntnap5a
ENSMUSG00000050321	904.506947417642	-0.904758604300048	0.105651983377616	6.12445865413382e-19	3.6914508835764e-16	Neto1
ENSMUSG00000029819	442.92239122141	-1.2734195984579	0.153968690986505	7.38856136403917e-18	4.26781775790313e-15	Npy
ENSMUSG00000033063	175.775710602287	-1.81620844998236	0.222307672245634	1.74822068215736e-17	9.694233326699e-15	Cntnap3
ENSMUSG00000024109	12561.3402163508	0.429270149722417	0.0524479964421055	1.8398455280007e-17	9.80991482872064e-15	Nrxn1
ENSMUSG00000000632	19319.9349419107	-0.524194339555577	0.0644508142355594	1.1988724299246e-16	6.155543887424e-14	Sez6
ENSMUSG00000062209	1077.32633406104	-0.98803772821503	0.125925806958875	2.39847813195748e-16	1.18750365511881e-13	Erbb4
ENSMUSG00000090063	709.621056475018	-0.900411588687348	0.116125854018651	4.90799610945402e-16	2.34619138156418e-13	Dlx6os1
ENSMUSG00000047793	2181.57155384772	0.604467076975306	0.0810252072124223	4.73005617734738e-15	2.18575895955223e-12	Sned1
ENSMUSG00000046178	705.498366664121	-0.830607199521389	0.112970169752853	1.05816958141805e-14	4.49301384198745e-12	Nxph1
