baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol
ENSMUSG00000024517	337.638212851593	-4.75399654343631	0.239819271665036	3.61814716925171e-89	7.31914990867929e-85	Rax
ENSMUSG00000022860	627.247126880663	-4.39017350447172	0.260662839602691	3.62017298528398e-67	3.66162396596548e-63	Chodl
ENSMUSG00000026841	715.268417118362	-3.13666895133735	0.184172456404744	1.04635637931049e-66	7.0555810656906e-63	Fibcd1
ENSMUSG00000068037	345.507329133475	-3.97117195052165	0.249017172586478	5.83584029870031e-59	2.95133033506021e-55	Mas1
ENSMUSG00000028172	1359.47188431782	-5.54875299676659	0.367603281602629	2.64776061681285e-55	1.07123099035014e-51	Tacr3
ENSMUSG00000032532	1767.67629204496	-4.78106942750977	0.3139982264272	1.81577585221025e-54	6.12188828572685e-51	Cck
ENSMUSG00000059173	9078.61141006714	-2.62851595232916	0.174718979809155	5.62019236768608e-53	1.62415530579888e-49	Pde1a
ENSMUSG00000032890	3428.16234216547	2.05998908581895	0.142412509476354	6.10708941170989e-49	1.54425389636849e-45	Rims3
ENSMUSG00000016194	379.810899150087	-2.35842176798947	0.163826261654596	3.53155215993434e-48	7.93775207147907e-45	Hsd11b1
ENSMUSG00000015484	649.127862737537	-1.88103804241541	0.131107994722016	4.50180193850794e-48	9.1066951414077e-45	Fam163a
ENSMUSG00000009075	518.565559334171	-3.67921941578364	0.266658445902175	2.8517231814565e-45	5.2443189306985e-42	Cabp7
ENSMUSG00000008475	5349.84656192843	-1.03685298364687	0.0752028790027783	3.1720458634882e-44	5.34727631437523e-41	Arpc5
ENSMUSG00000019888	331.153044102223	-2.93913700860069	0.225105126784668	3.07861955757109e-40	4.79056884846965e-37	Mgat4c
ENSMUSG00000021943	525.034501126247	-2.7372347098601	0.214383916462154	9.78646711513147e-39	1.41407459479996e-35	Gdf10
ENSMUSG00000074575	634.519006246028	-2.78088574846318	0.219552404344836	1.82678943531645e-38	2.46360823246776e-35	Kcng1
