venn_repression_overlap.a5	Foxg1KD_LFC	Foxg1KD_TSA_LFC	WT_TSA_LFC
Adcy2	-1.151230193	-1.025524975	-1.545660457
Ak5	-0.694776005	-2.169734009	-2.503550373
Ank2	-0.626798448	-1.495391367	-1.780793679
Armc1	-1.145253682	0.38777307	0.388644981
B3gat2	-1.038834943	-0.159464286	-1.360512994
Bves	-1.961651722	2.007513681	0.349164662
Cdh9	-1.41143386	-1.336645004	-1.736032847
Chst8	-2.248445766	0.455973638	-1.037105807
Cxadr	-0.566342464	-1.467608492	-1.849052339
Cyfip1	-0.687074099	-1.049506321	-0.908755331
Dcc	-3.087355878	-1.184132441	-2.758113633
Dgkg	-1.558012119	-0.079438761	-1.730847497
Dlg2	-0.925119128	-1.425556221	-2.348303776
Dock9	-1.949022834	0.224335362	-1.555659866
Dr1	-0.969550776	0.530613728	-0.138974679
Epha6	-2.217005801	0.239497636	-1.322963276
Fam189a1	-1.495596154	0.419059312	-1.075485974
Fras1	-1.000347791	0.863696943	-0.586163852
Gabrb1	-1.160890835	-1.81112684	-2.486816254
Galntl6	-1.495416444	-1.554403534	-2.29346501
Gprin3	-1.839877642	-1.401459197	-2.181285006
Grin2a	-1.406527589	-1.941365478	-2.651757102
Grm5	-2.166251348	-1.108454496	-2.020940217
Gtdc1	-0.904658742	0.077355868	-0.497533357
Herc3	-0.66972187	0.291913945	-0.137040755
Hivep2	-0.743210796	-1.782513313	-2.63806038
Kcnab1	-0.988135207	-1.676874491	-2.544474952
Kcnq5	-2.435754958	-1.493141793	-3.421489961
Lims1	-0.557415614	0.514684741	0.189513209
Lrfn2	-1.26335025	-1.204202069	-1.85671517
Mroh2a	-1.578233122	-0.167682724	-0.850393897
Nabp1	-1.035555079	0.426555442	-0.335069966
Nectin3	-1.596865699	-0.711385036	-1.444542914
Neurod6	-1.052901524	-5.246952179	-6.077312801
Nin	-1.354740606	-0.013981221	-1.186050319
Nmbr	-2.817767621	1.217165826	-1.535065477
Nsmce3	-0.73819314	0.820230618	0.021417815
Ntrk3	-1.884775794	-1.629206212	-2.93874046
Olfm4	-2.30521985	-1.289148523	-2.077301368
Opcml	-1.399150547	-2.670792009	-3.547890912
Oxr1	-0.656384854	0.021901078	-0.496604265
Pcdh20	-1.789368062	-1.131519682	-2.127643075
Plppr5	-0.799211887	-2.259454463	-2.825047328
Rhob	-0.700819717	-0.357162564	-0.449124182
Sertm1	-2.47784173	-0.285249289	-1.925171257
Skap2	-1.523516883	2.46256246	1.454711315
Slc26a4	-1.879373384	0.517029027	-1.201923076
Slit2	-1.156169282	-0.497833731	-0.983788761
Sstr4	-2.408060175	-0.43085933	-1.746592672
St18	-0.907070797	-1.548131993	-2.261299224
Tacr3	-5.548752997	2.463259034	-1.286297071
Thsd7b	-1.110880704	-1.284904439	-2.540318725
Tmem74	-1.903892227	0.291816893	-1.265861766
Tyrp1	-1.640037374	-1.521690633	-1.914748801
