ensmbl	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol
ENSMUSG00000039607	795,3716276	-0,914384109	0,109683979	3,73E-18	6,21E-14	Rbms3
ENSMUSG00000029816	752,9300204	1,458387376	0,189566231	7,00E-16	5,83E-12	Gpnmb
ENSMUSG00000003974	276,865013	1,428107657	0,203008837	9,42E-14	4,55E-10	Grm3
ENSMUSG00000028883	424,9861937	2,043946066	0,291370858	1,09E-13	4,55E-10	Sema3a
ENSMUSG00000007041	488,7190789	1,127801213	0,166317601	5,77E-13	1,92E-09	Clic1
ENSMUSG00000041911	571,5889736	-1,363834087	0,203257891	8,80E-13	2,44E-09	Dlx1
ENSMUSG00000022037	4857,117104	0,951563376	0,145250865	2,83E-12	5,90E-09	Clu
ENSMUSG00000031189	1361,719824	0,961150952	0,146610792	2,76E-12	5,90E-09	Aff2
ENSMUSG00000020374	941,947635	0,960294235	0,152101479	1,34E-11	2,48E-08	Rasgef1c
ENSMUSG00000048834	2216,74908	-0,611898301	0,098252908	2,33E-11	3,88E-08	Vstm2a
ENSMUSG00000052551	271,7027476	-1,113738645	0,184187951	7,12E-11	1,08E-07	Adarb2
ENSMUSG00000053110	317,5223408	0,846386375	0,145926236	3,33E-10	4,62E-07	Yap1
ENSMUSG00000017754	796,4903395	0,973527361	0,170015255	4,87E-10	6,24E-07	Pltp
ENSMUSG00000059921	2596,406083	-0,597487348	0,108511299	1,95E-09	2,32E-06	Unc5c
ENSMUSG00000032532	1026,041262	-1,189637143	0,221672987	3,56E-09	3,72E-06	Cck
ENSMUSG00000066382	190,5792217	1,149924484	0,213921742	3,57E-09	3,72E-06	Iqcf5
ENSMUSG00000039405	312,3220196	1,530638557	0,293199272	7,96E-09	7,71E-06	Prss23
ENSMUSG00000047935	480,4724694	-1,13123553	0,217003381	8,34E-09	7,71E-06	RP24-473D4.1
ENSMUSG00000021823	1086,781523	0,680720625	0,130566763	9,48E-09	8,31E-06	Vcl
ENSMUSG00000002233	250,1602605	1,059820516	0,204493283	1,02E-08	8,46E-06	Rhoc
ENSMUSG00000029622	408,4610822	1,366003964	0,267629532	1,46E-08	1,15E-05	Arpc1b
ENSMUSG00000022309	389,822349	1,425035515	0,28288939	2,05E-08	1,55E-05	Angpt1
ENSMUSG00000002602	253,0653688	1,032426862	0,206159493	2,51E-08	1,81E-05	Axl
ENSMUSG00000046718	108,1558511	1,894586256	0,381362656	2,85E-08	1,98E-05	Bst2
ENSMUSG00000000682	50,08416584	1,707572747	0,344556872	3,35E-08	2,16E-05	Cd52
ENSMUSG00000002020	271,497569	2,833947799	0,575865652	3,37E-08	2,16E-05	Ltbp2
ENSMUSG00000028494	281,7918707	1,962415957	0,40144756	4,20E-08	2,52E-05	Plin2
ENSMUSG00000036908	77,33643001	1,459120188	0,297703524	4,24E-08	2,52E-05	Unc93b1
ENSMUSG00000019539	138,5628044	1,655688935	0,341276266	5,14E-08	2,86E-05	Rcn3
ENSMUSG00000021209	1363,095643	-0,740161834	0,151287661	5,07E-08	2,86E-05	Ppp4r4
ENSMUSG00000032667	472,6587776	0,752431256	0,154645689	5,51E-08	2,96E-05	Pon2
ENSMUSG00000036887	142,4895595	1,706360048	0,357639663	7,71E-08	4,01E-05	C1qa
ENSMUSG00000039646	184,5804901	1,714605847	0,360031148	8,07E-08	4,07E-05	Vasn
ENSMUSG00000007655	331,1093915	1,294022564	0,271946938	8,52E-08	4,17E-05	Cav1
ENSMUSG00000025225	121,1024298	1,251111237	0,263836146	9,22E-08	4,39E-05	Nfkb2
ENSMUSG00000022091	285,0934646	1,566117417	0,332251042	1,02E-07	4,72E-05	Sorbs3
ENSMUSG00000000957	609,6509716	1,02418902	0,217280495	1,08E-07	4,86E-05	Mmp14
ENSMUSG00000018593	11204,68458	1,428327143	0,306208513	1,26E-07	5,50E-05	Sparc
ENSMUSG00000017765	470,7647489	0,636403868	0,13553122	1,35E-07	5,76E-05	Slc12a4
ENSMUSG00000031380	284,2909455	-2,785523475	0,603827958	1,46E-07	6,10E-05	Figf
ENSMUSG00000030310	17146,99074	-0,684796544	0,148509686	1,78E-07	7,12E-05	Slc6a1
ENSMUSG00000039488	858,0694748	0,916407425	0,198684904	1,80E-07	7,12E-05	Cntn5
ENSMUSG00000032231	732,7604215	1,253452756	0,273059649	1,93E-07	7,46E-05	Anxa2
ENSMUSG00000026051	1240,818029	1,491168024	0,32881368	2,36E-07	8,73E-05	AC159092.1
ENSMUSG00000040552	116,5658891	1,736148936	0,382308715	2,34E-07	8,73E-05	C3ar1
ENSMUSG00000032269	151,8702767	-1,041457425	0,229556977	2,43E-07	8,79E-05	Htr3a
ENSMUSG00000021838	1041,612358	0,855249121	0,188802199	2,69E-07	9,32E-05	Samd4
ENSMUSG00000076441	493,7650962	1,299260938	0,287701695	2,67E-07	9,32E-05	Ass1
ENSMUSG00000031207	1392,558454	1,135581676	0,2532817	3,14E-07	0,000106714	Msn
ENSMUSG00000050164	139,7619861	-1,009772153	0,225808795	3,31E-07	0,000110272	Mchr1
ENSMUSG00000004730	259,7356551	1,336127169	0,300168695	3,61E-07	0,000115692	Adgre1
ENSMUSG00000034164	214,5918326	1,410024471	0,317132646	3,60E-07	0,000115692	Emid1
ENSMUSG00000026890	1373,510192	-0,897192159	0,201742638	3,80E-07	0,000119537	Lhx6
ENSMUSG00000026822	1281,679046	1,484118851	0,335993181	4,09E-07	0,000123876	Lcn2
ENSMUSG00000078234	265,6076611	1,182620623	0,266898522	4,02E-07	0,000123876	Klhdc7a
ENSMUSG00000001123	99,89481219	1,451302812	0,329682089	4,49E-07	0,000133459	Lgals9
ENSMUSG00000033880	479,5524119	1,073979775	0,243909	4,59E-07	0,000133939	Lgals3bp
ENSMUSG00000000560	6960,844769	-0,643561219	0,145707626	4,86E-07	0,000139545	Gabra2
ENSMUSG00000011179	5203,020819	0,480408903	0,108143666	5,12E-07	0,000142173	Odc1
ENSMUSG00000034796	6038,156616	-0,710831874	0,161619188	5,04E-07	0,000142173	Cpne7
ENSMUSG00000039450	390,1746789	0,905838064	0,207460641	5,61E-07	0,000153014	Dcxr
ENSMUSG00000014599	453,3096335	1,258538762	0,290624829	6,23E-07	0,000167264	Csf1
ENSMUSG00000029608	3105,420536	-0,623418459	0,143960039	7,26E-07	0,000191822	Rph3a
ENSMUSG00000001025	205,6762386	1,513039008	0,353969713	7,84E-07	0,000200911	S100a6
ENSMUSG00000079419	46,08073267	1,848244602	0,431089553	7,77E-07	0,000200911	Ms4a6c
ENSMUSG00000020592	363,3683495	0,721495184	0,168011409	8,29E-07	0,000203022	Sdc1
ENSMUSG00000054717	327,3219242	0,7670956	0,178683797	8,26E-07	0,000203022	Hmgb2
ENSMUSG00000068220	841,053385	1,438671642	0,337312156	8,17E-07	0,000203022	Lgals1
ENSMUSG00000032577	143,0558183	0,910142253	0,212575049	8,48E-07	0,000204733	Mapkapk3
ENSMUSG00000015839	517,1588232	0,961901394	0,226018946	9,03E-07	0,000214726	Nfe2l2
ENSMUSG00000042745	74,24996728	1,516707236	0,357455788	9,30E-07	0,000218028	Id1
ENSMUSG00000008090	416,8858526	0,866093676	0,204237699	9,83E-07	0,000227433	Fgfrl1
ENSMUSG00000028599	105,8937534	1,759801605	0,418705389	1,02E-06	0,000232319	Tnfrsf1b
ENSMUSG00000021998	204,6030612	0,998474229	0,237759132	1,14E-06	0,00025653	Lcp1
ENSMUSG00000004044	453,8147838	1,443432661	0,345625684	1,19E-06	0,000260236	Ptrf
ENSMUSG00000021338	1078,726321	0,462784857	0,108654014	1,19E-06	0,000260236	Lrrc16a
ENSMUSG00000036606	3376,243805	0,607653229	0,143949745	1,21E-06	0,000262181	Plxnb2
ENSMUSG00000052397	1471,305723	1,032018241	0,248157136	1,32E-06	0,000280989	Ezr
ENSMUSG00000000632	4344,903968	-0,808140775	0,194133033	1,37E-06	0,000281656	Sez6
ENSMUSG00000024538	182,2936314	1,050147143	0,252700048	1,37E-06	0,000281656	Ppic
ENSMUSG00000026841	586,6317736	-1,35894064	0,327703859	1,34E-06	0,000281656	Fibcd1
ENSMUSG00000110332	118,6015863	1,138495873	0,274566041	1,43E-06	0,000290089	RP24-160I20.1
ENSMUSG00000015340	60,59193878	1,442569902	0,348375908	1,48E-06	0,000292336	Cybb
ENSMUSG00000028223	110,4535815	1,117173974	0,269603354	1,46E-06	0,000292336	Decr1
ENSMUSG00000097452	84,34555783	-1,636775541	0,397541323	1,49E-06	0,000292336	RP23-438M9.1
ENSMUSG00000022831	61,93668768	1,411452475	0,341725505	1,53E-06	0,000297031	Hcls1
ENSMUSG00000022817	899,768151	1,367173989	0,333490674	1,67E-06	0,000318739	Itgb5
ENSMUSG00000018459	356,2424408	1,173975751	0,287157356	1,79E-06	0,000338776	Slc13a3
ENSMUSG00000041736	102,679966	1,516295811	0,371651889	1,87E-06	0,000350128	Tspo
ENSMUSG00000031274	765,7592883	1,223447443	0,300863435	1,95E-06	0,000353237	Col4a5
ENSMUSG00000039552	552,9736173	0,717031999	0,174987938	1,93E-06	0,000353237	Rsph4a
