symbol	shFoxg1/shLuciferase DIV11	Foxg1Het/WT DIV11
Rasgef1c	-0.584991642	0.960294235429644
Adarb2	0.933146068	-1.11373864502146
Unc5c	-1.633558321	-0.597487347692292
Cck	-4.781069428	-1.18963714324071
Prss23	-0.958695437	1.53063855660397
RP24-473D4.1	1.440591524	-1.13123553011442
Ltbp2	-0.890815871	2.83394779906187
Ppp4r4	-0.600392006	-0.740161834134679
Cav1	-0.796090335	1.294022564397
Slc6a1	0.60231602	-0.68479654374874
Htr3a	-0.594094032	-1.04145742468412
Msn	-0.671466685	1.13558167604735
Emid1	0.9951264	1.4100244708386
Lhx6	0.580148138	-0.897192158833287
Gabra2	-1.569597858	-0.643561219023562
Cpne7	-2.612313349	-0.71083187378101
Hmgb2	0.621994854	0.767095599844613
Lcp1	-1.642028036	0.99847422850703
Sez6	-1.885798805	-0.808140774651297
Fibcd1	-3.136668951	-1.35894064004327
RP23-438M9.1	-1.168189821	-1.6367755411571
Snhg11	-0.686690572	-1.12598523885043
Gsn	-0.769826785	1.21933933121356
Pex5l	-0.596308854	-0.669899577551189
Id3	-0.706484451	1.11773018675428
Snx8	1.856889975	0.66969329458068
Cdkn2b	-0.870536758	1.49045295405745
Hapln1	1.181099883	-0.90464498060453
Lyz2	-0.669978988	1.31208685130724
P2ry6	-0.819860892	1.64081708426261
Anxa3	-0.821002948	1.97684804255616
Cx3cr1	-0.818586651	2.44770111078015
Tnc	-1.095849418	1.29729523736923
Nrsn2	1.427005022	-0.834480760368104
Ccnd1	-1.513871416	0.863595176333467
Anpep	0.681611771	1.82382096236467
Necab1	1.162197612	0.957853324300223
Vstm4	0.852431402	0.895469174617383
Onecut2	-1.885868852	-0.882690500935869
Adrbk2	-0.688711125	-0.693824344070258
Gdf6	-1.755397939	2.4364726865868
Tagln2	-0.923173208	0.61691565487347
Tnfaip2	-0.663333225	1.20850474710365
Vcam1	-0.618986265	0.835413721806975
Cdkn2a	-1.210216952	0.741624235352116
Abca1	-0.933637679	0.715730652219141
Vamp8	0.630482279	1.30042873882616
Itga5	-0.902001068	1.53507013890659
Ltbp1	-0.741394628	1.21702584857512
Angpt4	-1.340344815	1.82519903296549
Itgb2	-0.856397565	0.940564121173793
Foxo1	-1.636197212	-0.723212475019718
Cd34	-1.577062647	1.25009592229115
Vit	-1.05812976	-1.47836579895107
Akr1b8	-0.730029315	1.51759077478629
Timp1	-1.336448116	1.52741009397227
Slc16a9	0.91555834	0.645460736027221
RP23-235E15.6	-1.048180428	-1.22868017092874
Aldh1a1	-1.108164691	1.26963718060479
Capg	-0.666396696	1.28797020622298
Kcng1	-2.780885748	-0.988984395786625
Crct1	-1.294010849	4.18852727372271
Arhgap36	1.700581793	1.26061993793369
Fndc1	-1.074738176	-0.846943912486957
Lif	-1.083817717	0.87507067975603
RP23-128M23.2	0.592244767	0.774808517776564
Trhr	-2.564891345	-1.49945668741155
Epha8	-1.182260034	-0.582137327429149
Kctd12b	-1.380908233	-0.839680997850853
Irs4	3.374691846	0.970954851959708
Ntng1	-1.235296932	-0.947191230699106
Bdkrb2	-1.091843568	1.13975430881568
Msx1	0.658376371	0.910835790291827
Serpine1	-1.186985542	3.32483906815129
Car8	0.888637373	-0.734977144221438
Tmem196	1.557503566	0.665914411247855
Nes	-0.6222592	0.686870311778036
Dach1	1.15291806	0.642000384043887
Msx2	-0.644620603	1.26964970632329
Ivl	-1.931854522	3.3030615977027
Tacr3	-5.548752997	-0.812036768957698
Gprc5c	1.074715794	1.05539848721966
Xdh	-1.397930445	1.3704937098466
Fgf10	-1.519869184	-0.587451561766837
Slco1c1	-0.580438812	0.646952908649911
Ggt5	0.663428576	0.978965343863019
Eps8l2	1.428258467	1.61785650101649
Anln	-1.340439853	-0.94856607569818
Cited1	0.803102236	0.842849283314596
