SYMBOL	featureCounts on data 92: Counts	featureCounts on data 93: Counts	featureCounts on data 94: Counts	featureCounts on data 91: Counts
Npas2	5.35642397106708	5.35642397106708	5.78749607779758	5.35642397106708
Hes6	8.35672597157354	8.40232258006367	8.43497336697436	8.27321843260755
Twist2	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Myog	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Usf1	8.62874067734071	8.7796241009584	8.76041025333609	9.03684319662553
Nhlh1	5.35642397106708	5.35642397106708	5.66180272016607	5.35642397106708
Olig3	5.58526173981921	5.35642397106708	5.73008833511542	5.35642397106708
Hey2	7.85607537677268	7.83951967712236	7.83562379814926	7.82847393215208
Sim1	5.35642397106708	5.58046943913637	5.66180272016607	5.35642397106708
Neurog3	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Atoh7	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Ascl4	5.75195831677916	5.58046943913637	5.66180272016607	5.9681778600902
Ascl1	5.58526173981921	5.94568384661095	5.66180272016607	5.5891290488757
Myf5	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Myf6	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Neurod4	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Hand1	5.81267576071823	5.67295533970101	5.66180272016607	5.87454372634499
Srebf1	11.7110861687681	11.4023864402037	11.8529650919965	11.4115219488907
Hes7	5.99902832112763	5.98575560052087	5.73008833511542	6.04863724451775
Mnt	8.97775028145701	9.08523670206501	8.90716794277349	9.15573012237646
Neurod2	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Id2	8.37507676272757	8.52137081379039	8.18858290478032	8.14587631165966
Twist1	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Npas3	6.14029476329711	6.31619997484046	5.96382627067693	6.12010881086202
Max	9.5765254940923	9.36095697631345	9.3617498863994	9.40666715057176
Id4	6.45214517970623	6.64042776923709	6.35131165868573	6.73895798768765
Mxd3	8.01859564476815	7.96847640669425	8.10723992041566	8.56915163774183
Neurog1	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Myc	9.35697610535307	9.47411811977985	9.85887134630685	8.85106623056891
Scx	5.9581360116416	5.67295533970101	5.78749607779758	5.5891290488757
Srebf2	12.5984331254694	12.3582296495731	12.574592802664	12.7461019727671
Hes1	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Olig2	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Olig1	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Sim2	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Mxi1	10.1166453392707	10.096932573809	10.0791534057782	10.2120063399032
Ptf1a	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Neurod1	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Tcf15	5.58526173981921	5.67295533970101	5.35642397106708	5.5891290488757
Id1	9.29162705005427	8.80882783013007	8.68417912695385	9.42253104574858
Ncoa3	10.4066002170855	10.3890599230335	10.3094630173649	10.9554120680478
Hey1	8.49303053938577	8.32299927112194	8.17925749599818	8.88431122138268
Arnt	9.57064142225474	9.54488065668212	9.31223222069085	9.78503367987724
Nhlh2	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Neurog2	5.91406957777107	5.67295533970101	5.66180272016607	5.35642397106708
Tal1	7.88237554480778	7.84594615934031	7.95633449909391	7.89011658925967
Id3	8.82393204451225	8.82796826720387	8.63097612458359	8.74638730135025
Hes2	6.14029476329711	6.1242269681414	5.92511346559492	6.30002280859645
Hes3	5.86600426278637	5.67295533970101	6.00008839449241	5.68516385087212
Hes5	6.43009298982277	6.26597719310976	6.30665084831016	6.04863724451775
Clock	10.165534904841	10.3402676165371	10.0618243295288	10.5521985687071
Atoh1	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Atoh8	7.33449607122293	7.58492901337887	7.59244445428592	6.83599082892969
Mxd1	7.46568468800277	7.51283945000685	7.10788376701438	7.83546327929041
Mitf	6.59361515298978	6.76985502077695	6.63054841197394	6.51305285715229
Arntl2	6.63056139452693	7.02736033439905	6.94992945750344	6.65080947745228
Npas1	5.81267576071823	5.85541744290031	5.78749607779758	5.87454372634499
Hif3a	8.05350922541828	7.80030573014977	7.92854987089671	8.23726729438832
Myod1	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Mesp1	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Mesp2	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Arnt2	5.67971198562575	5.58046943913637	5.35642397106708	5.5891290488757
Ascl3	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Arntl	8.55852472492093	8.54091468605776	8.46579104274524	8.6834462464691
Ascl2	6.10767236141189	6.18416774498097	5.92511346559492	6.12010881086202
Helt	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Hand2	11.7876986823425	11.7092872714576	11.6883260176067	11.3852544946453
Tcf12	9.82401900099294	9.87114069035097	9.80926675255867	9.82474219266336
