baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol
ENSMUSG00000039607	795.37162755624	-0.914384109002657	0.109683979005939	3.72895412357462e-18	6.20908151116409e-14	Rbms3
ENSMUSG00000029816	752.930020367181	1.45838737616506	0.189566231291065	6.99918152398311e-16	5.82716857779214e-12	Gpnmb
ENSMUSG00000003974	276.865013040612	1.42810765722427	0.203008836771142	9.42251906146942e-14	4.54808913026503e-10	Grm3
ENSMUSG00000028883	424.986193695637	2.04394606616934	0.291370858359485	1.09256840556484e-13	4.54808913026503e-10	Sema3a
ENSMUSG00000007041	488.719078943259	1.12780121265597	0.166317600790718	5.77369411517609e-13	1.92275561423594e-09	Clic1
ENSMUSG00000041911	571.588973558574	-1.36383408717081	0.203257891181288	8.80377201016409e-13	2.44319346235404e-09	Dlx1
ENSMUSG00000022037	4857.11710423338	0.951563376328552	0.145250864567263	2.83318554298226e-12	5.89692155952471e-09	Clu
ENSMUSG00000031189	1361.71982448565	0.961150951795521	0.146610791600581	2.75701546421527e-12	5.89692155952471e-09	Aff2
ENSMUSG00000020374	941.947635046021	0.960294235429644	0.152101479100082	1.33880347327854e-11	2.47693518150678e-08	Rasgef1c
ENSMUSG00000048834	2216.74907981289	-0.6118983009126	0.0982529082891071	2.32864112526947e-11	3.87742033768619e-08	Vstm2a
ENSMUSG00000052551	271.702747617236	-1.11373864502146	0.184187951404965	7.11734728020076e-11	1.07737226875112e-07	Adarb2
ENSMUSG00000053110	317.522340816693	0.846386375011489	0.145926236466113	3.32626255387186e-10	4.61546648204336e-07	Yap1
ENSMUSG00000017754	796.490339464489	0.973527361173781	0.170015254813135	4.86961678606618e-10	6.23722993113753e-07	Pltp
ENSMUSG00000059921	2596.40608293785	-0.597487347692292	0.108511298716567	1.94792440168957e-09	2.31677780089522e-06	Unc5c
ENSMUSG00000032532	1026.04126181647	-1.18963714324071	0.221672986905411	3.56227032272240e-09	3.71975939631019e-06	Cck
ENSMUSG00000066382	190.579221680519	1.14992448421587	0.213921741757634	3.57432888961402e-09	3.71975939631019e-06	Iqcf5
ENSMUSG00000039405	312.322019592986	1.53063855660397	0.293199272074283	7.95877239650342e-09	7.71244852819933e-06	Prss23
ENSMUSG00000047935	480.472469356106	-1.13123553011442	0.21700338124658	8.337281455023e-09	7.71244852819933e-06	RP24-473D4.1
ENSMUSG00000021823	1086.78152327652	0.680720625075329	0.130566762647997	9.47901884593434e-09	8.30711277913962e-06	Vcl
ENSMUSG00000002233	250.160260495035	1.05982051616091	0.204493283051754	1.01588619840199e-08	8.45776054479574e-06	Rhoc
ENSMUSG00000029622	408.461082170652	1.36600396393486	0.267629532241901	1.45559142335512e-08	1.154145370966e-05	Arpc1b
ENSMUSG00000022309	389.822348984791	1.4250355153369	0.282889390313192	2.0471154220186e-08	1.54938722236507e-05	Angpt1
ENSMUSG00000002602	253.065368839336	1.03242686187742	0.206159492750317	2.50638026355524e-08	1.81451033775906e-05	Axl
ENSMUSG00000046718	108.155851051285	1.89458625612259	0.38136265552993	2.85373986047591e-08	1.97990093403268e-05	Bst2
ENSMUSG00000000682	50.084165839704	1.7075727472214	0.34455687228838	3.35221624980345e-08	2.15987501374918e-05	Cd52
ENSMUSG00000002020	271.497569003933	2.83394779906187	0.575865651897116	3.37257524217636e-08	2.15987501374918e-05	Ltbp2
ENSMUSG00000028494	281.791870745798	1.96241595746947	0.401447560434773	4.2033719805405e-08	2.52142135012146e-05	Plin2
ENSMUSG00000036908	77.3364300107337	1.45912018822934	0.297703523704889	4.2399734432407e-08	2.52142135012146e-05	Unc93b1
ENSMUSG00000019539	138.562804393413	1.65568893543741	0.341276266124672	5.14473584436578e-08	2.85549988481782e-05	Rcn3
ENSMUSG00000021209	1363.09564306916	-0.740161834134679	0.15128766089798	5.06618387560127e-08	2.85549988481782e-05	Ppp4r4
ENSMUSG00000032667	472.658777635909	0.752431255524522	0.154645689138324	5.50770308615466e-08	2.95834722863101e-05	Pon2
ENSMUSG00000036887	142.489559516382	1.70636004839599	0.357639662641566	7.71494478154379e-08	4.01442329867143e-05	C1qa
ENSMUSG00000039646	184.580490102939	1.71460584707508	0.360031147707747	8.06608059710839e-08	4.06994872795309e-05	Vasn
ENSMUSG00000007655	331.109391498026	1.294022564397	0.271946937932459	8.51981333286255e-08	4.17245328839689e-05	Cav1
ENSMUSG00000025225	121.102429753743	1.25111123725131	0.263836146040959	9.21838155759562e-08	4.38557918044356e-05	Nfkb2
ENSMUSG00000022091	285.093464648544	1.56611741670712	0.332251042331198	1.02101732719451e-07	4.72248875419881e-05	Sorbs3
ENSMUSG00000000957	609.650971606146	1.02418902001455	0.217280494809364	1.0794061082067e-07	4.85761921831073e-05	Mmp14
ENSMUSG00000018593	11204.6845798937	1.42832714335312	0.306208512599951	1.25536826860197e-07	5.50082553697144e-05	Sparc
ENSMUSG00000017765	470.764748898849	0.636403868075819	0.135531219534561	1.3490068305373e-07	5.75956736801964e-05	Slc12a4
ENSMUSG00000031380	284.290945489749	-2.78552347534977	0.603827957519245	1.46474469670042e-07	6.09736598618969e-05	Figf
ENSMUSG00000030310	17146.9907430564	-0.68479654374874	0.14850968609804	1.78404581127427e-07	7.12340836267683e-05	Slc6a1
ENSMUSG00000039488	858.069474788006	0.916407424968147	0.198684904267771	1.79678788800929e-07	7.12340836267683e-05	Cntn5
ENSMUSG00000032231	732.760421460419	1.25345275579671	0.27305964888505	1.92753484304585e-07	7.46404248175732e-05	Anxa2
ENSMUSG00000026051	1240.81802868712	1.49116802433387	0.328813680215543	2.36031788683689e-07	8.73370069638246e-05	AC159092.1
ENSMUSG00000040552	116.565889095238	1.73614893620216	0.382308715081135	2.34476137947231e-07	8.73370069638246e-05	C3ar1
ENSMUSG00000032269	151.870276727443	-1.04145742468412	0.229556976973619	2.42924042380967e-07	8.79332223844669e-05	Htr3a
ENSMUSG00000021838	1041.61235779071	0.855249120775925	0.188802199272157	2.68811858847004e-07	9.3249713784614e-05	Samd4
ENSMUSG00000076441	493.765096236278	1.29926093761825	0.287701695311349	2.67304915889654e-07	9.3249713784614e-05	Ass1
ENSMUSG00000031207	1392.55845448011	1.13558167604735	0.253281700023143	3.14035279467768e-07	0.000106714315069751	Msn
ENSMUSG00000050164	139.76198609757	-1.00977215257719	0.225808795074771	3.31126424736746e-07	0.000110271721965831	Mchr1
ENSMUSG00000004730	259.735655079803	1.33612716913146	0.300168695163052	3.61300047669992e-07	0.000115692444110635	Adgre1
