	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol
ENSMUSG00000113919.1	23,45921827	-6,167029794	1,036752847	8,81486E-10	2,9969E-08	RP23-285H4.3
ENSMUSG00000028172.5	1359,471884	-5,548752997	0,367603282	2,64776E-55	1,07123E-51	Tacr3
ENSMUSG00000083446.1	3,850111217	-5,538070372	2,662131761	0,000104211		RP23-411H13.3
ENSMUSG00000086771.1	18,75539314	-5,247459574	0,966051337	2,69654E-09	8,25238E-08	RP23-62O17.1
ENSMUSG00000087500.1	10,19105253	-5,229931286	1,423660801	1,4268E-06	2,23395E-05	RP23-300G1.1
ENSMUSG00000026065.8	33,22366886	-4,963047709	0,629876646	1,15092E-15	1,18786E-13	Slc9a4
ENSMUSG00000074939.3	110,9511559	-4,918169941	0,591537869	3,70829E-18	6,0012E-16	Chrm5
ENSMUSG00000111990.1	118,0618583	-4,837974313	0,507756496	1,88589E-22	6,25405E-20	RP23-137I3.2
ENSMUSG00000032532.7	1767,676292	-4,781069428	0,313998226	1,81578E-54	6,12189E-51	Cck
ENSMUSG00000024517.16	337,6382129	-4,753996543	0,239819272	3,61815E-89	7,31915E-85	Rax
ENSMUSG00000068009.11	6,288752406	-4,703805085	1,435312306	1,53144E-05	0,000175223	Bpifb6
ENSMUSG00000019932.8	22,2276588	-4,676648016	0,956752992	2,04691E-08	4,99035E-07	Kera
ENSMUSG00000034009.14	329,6267097	-4,49267176	0,984631419	1,76161E-07	3,44305E-06	Rxfp1
ENSMUSG00000028255.6	14,20959504	-4,411733407	0,932656259	3,18624E-07	5,82244E-06	Clca1
ENSMUSG00000022860.15	627,2471269	-4,390173504	0,26066284	3,62017E-67	3,66162E-63	Chodl
ENSMUSG00000079679.3	19,49368471	-4,191414138	0,695533981	3,02645E-10	1,14008E-08	Vwde
ENSMUSG00000042498.16	101,6207915	-4,077438483	0,385985505	4,0463E-27	2,09879E-24	RP23-219K12.1
ENSMUSG00000116610.1	15,66921303	-4,076228274	1,262099403	4,50209E-05	0,000443626	RP23-415I21.2
ENSMUSG00000000204.16	11,61799642	-4,020197363	0,872996825	5,95845E-07	1,01716E-05	Slfn4
