 	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol
ENSMUSG00000030683.11	4.587	-1,0279	0,061151979	1,24E-64	1,72E-60	Sez6l2
ENSMUSG00000090125.3	620	-2,0131	0,135829278	6,42E-51	4,45E-47	Pou3f1
ENSMUSG00000032532.7	2.358	-1,0638	0,073162612	3,74E-49	1,73E-45	Cck
ENSMUSG00000046314.16	3.198	0,9649	0,068400411	1,92E-46	6,65E-43	Stxbp6
ENSMUSG00000042589.18	2.028	-1,2084	0,095139528	3,38E-38	9,38E-35	Cux2
ENSMUSG00000035277.15	1.706	-0,8958	0,07158839	3,56E-37	8,22E-34	Arx
ENSMUSG00000040536.15	1.357	1,1429	0,092572369	2,47E-36	4,89E-33	Necab1
ENSMUSG00000032269.8	419	-1,5704	0,131367907	3,50E-34	6,07E-31	Htr3a
ENSMUSG00000026890.19	2.474	-1,1178	0,099524233	1,67E-30	2,57E-27	Lhx6
ENSMUSG00000029608.10	2.208	-1,0749	0,101022771	1,12E-27	1,55E-24	Rph3a
ENSMUSG00000001988.9	761	-1,2756	0,125960648	2,36E-25	2,97E-22	Npas1
ENSMUSG00000023391.8	671	-1,0945	0,110291006	1,82E-24	2,10E-21	Dlx2
ENSMUSG00000048988.8	731	-1,0580	0,107105944	2,88E-24	2,98E-21	Elfn1
ENSMUSG00000020644.9	5.033	-0,6706	0,067855811	3,01E-24	2,98E-21	Id2
ENSMUSG00000026042.16	2.706	0,7093	0,072946521	1,25E-23	1,16E-20	Col5a2
ENSMUSG00000062309.8	298	-1,5566	0,162437811	5,32E-23	4,61E-20	Rpp25
ENSMUSG00000041911.3	2.608	-0,9239	0,099527308	9,42E-22	7,68E-19	Dlx1
ENSMUSG00000019890.4	1.785	-4,3408	0,475307705	5,53E-21	4,26E-18	Nts
ENSMUSG00000056306.5	3.084	-0,6120	0,067405096	6,66E-21	4,86E-18	Sertm1
ENSMUSG00000086496.1	542	-1,1292	0,125332514	1,13E-20	7,86E-18	RP23-392P11.4
ENSMUSG00000047496.6	5.335	0,7205	0,082098698	8,79E-20	5,80E-17	Rnf152
ENSMUSG00000070695.4	839	0,9041	0,10519979	4,11E-19	2,59E-16	Cntnap5a
ENSMUSG00000050321.2	905	-0,9048	0,105651983	6,12E-19	3,69E-16	Neto1
ENSMUSG00000029819.6	443	-1,2734	0,153968691	7,39E-18	4,27E-15	Npy
ENSMUSG00000033063.8	176	-1,8162	0,222307672	1,75E-17	9,69E-15	Cntnap3
ENSMUSG00000024109.18	12.561	0,4293	0,052447996	1,84E-17	9,81E-15	Nrxn1
ENSMUSG00000000632.13	19.320	-0,5242	0,064450814	1,20E-16	6,16E-14	Sez6
ENSMUSG00000062209.15	1.077	-0,9880	0,125925807	2,40E-16	1,19E-13	Erbb4
ENSMUSG00000090063.6	710	-0,9004	0,116125854	4,91E-16	2,35E-13	Dlx6os1
ENSMUSG00000047793.13	2.182	0,6045	0,081025207	4,73E-15	2,19E-12	Sned1
ENSMUSG00000046178.3	705	-0,8306	0,11297017	1,06E-14	4,49E-12	Nxph1
ENSMUSG00000047935.17	1.417	-0,6773	0,092024492	1,07E-14	4,49E-12	RP24-473D4.1
ENSMUSG00000061524.8	2.578	0,5965	0,081136338	1,07E-14	4,49E-12	Zic2
ENSMUSG00000066113.16	955	0,7064	0,096313453	1,16E-14	4,72E-12	Adamtsl1
ENSMUSG00000066189.9	281	-1,1917	0,162947736	1,40E-14	5,54E-12	Cacng3
ENSMUSG00000021273.10	8.593	-0,3244	0,044351763	2,31E-14	8,90E-12	Fdft1
ENSMUSG00000037852.8	24.376	0,3589	0,049594193	3,77E-14	1,41E-11	Cpe
ENSMUSG00000074622.4	1.350	-0,5835	0,081783501	5,86E-14	2,14E-11	Mafb
ENSMUSG00000032332.17	2.547	0,5130	0,072162279	6,92E-14	2,46E-11	Col12a1
ENSMUSG00000060424.14	1.797	-0,6311	0,088954093	7,68E-14	2,66E-11	Pantr1
ENSMUSG00000053963.7	1.608	-0,7649	0,109075296	1,32E-13	4,46E-11	AC121838.2
ENSMUSG00000028273.15	1.765	0,6317	0,090907561	2,00E-13	6,59E-11	Pdlim5
ENSMUSG00000045994.17	6.308	-0,5814	0,083943628	2,67E-13	8,62E-11	B3gat1
ENSMUSG00000053199.13	2.302	0,4840	0,070178328	3,24E-13	1,02E-10	Arhgap20
ENSMUSG00000052387.15	1.146	0,5892	0,086288169	4,78E-13	1,47E-10	Trpm3
ENSMUSG00000084946.2	751	-0,9669	0,142695024	6,62E-13	1,99E-10	Dlx1as
ENSMUSG00000025666.16	3.242	0,4313	0,06348552	7,29E-13	2,15E-10	Tmem47
ENSMUSG00000007655.16	2.576	0,5985	0,08875633	8,34E-13	2,41E-10	Cav1
ENSMUSG00000031274.16	2.415	0,6559	0,097666374	9,54E-13	2,70E-10	Col4a5
ENSMUSG00000020932.14	4.711	0,6096	0,091577226	1,47E-12	4,08E-10	Gfap
ENSMUSG00000026787.3	917	-0,8415	0,128779043	3,37E-12	9,16E-10	Gad2
ENSMUSG00000029755.10	283	-1,0831	0,166123356	3,68E-12	9,81E-10	Dlx5
ENSMUSG00000034936.2	707	-0,7033	0,108183588	4,43E-12	1,16E-09	Arl4d
ENSMUSG00000087006.3	611	-0,7066	0,109141425	5,32E-12	1,37E-09	RP23-375N21.2
ENSMUSG00000063297.7	1.805	0,4825	0,074972349	7,55E-12	1,90E-09	Luzp2
ENSMUSG00000038331.15	452	-2,6448	0,418791488	1,66E-11	4,11E-09	Satb2
ENSMUSG00000068735.14	7.721	-0,3291	0,052545311	3,26E-11	7,92E-09	Trp53i11
ENSMUSG00000021743.6	4.607	-0,4561	0,074014976	4,76E-11	1,14E-08	Fezf2
ENSMUSG00000020297.10	54.573	-0,3700	0,059865435	5,16E-11	1,21E-08	Nsg2
ENSMUSG00000029757.16	3.879	-0,4183	0,068228433	5,54E-11	1,28E-08	Dync1i1
ENSMUSG00000045515.3	9.479	-0,5047	0,083201016	7,90E-11	1,80E-08	Pou3f3
ENSMUSG00000057963.9	2.396	-0,4244	0,069766543	8,27E-11	1,82E-08	Itpk1
ENSMUSG00000025400.11	1.201	0,8338	0,138629897	8,18E-11	1,82E-08	Tac2
ENSMUSG00000031673.6	4.344	-0,3900	0,064083957	8,67E-11	1,88E-08	Cdh11
ENSMUSG00000022537.18	2.952	-0,4371	0,072387059	1,07E-10	2,25E-08	Tmem44
ENSMUSG00000049866.12	5.349	-0,3305	0,05456126	1,07E-10	2,25E-08	Arl4c
ENSMUSG00000021217.7	427	-1,3665	0,230039681	1,49E-10	3,09E-08	Tshz3
ENSMUSG00000022469.17	1.014	0,6363	0,108134196	2,04E-10	4,16E-08	Rapgef3
ENSMUSG00000021903.11	659	0,6662	0,114411946	2,93E-10	5,89E-08	Galnt15
ENSMUSG00000024087.3	1.113	0,6072	0,10464647	3,42E-10	6,77E-08	Cyp1b1
ENSMUSG00000026950.17	259	-0,9980	0,172945166	4,05E-10	7,91E-08	Neb
ENSMUSG00000026678.10	6.563	0,3628	0,062590941	5,26E-10	9,99E-08	Rgs5
ENSMUSG00000095105.2	195	-1,1134	0,196698782	7,65E-10	1,43E-07	Edaradd
ENSMUSG00000022309.9	1.252	0,4871	0,085943401	8,52E-10	1,57E-07	Angpt1
ENSMUSG00000021596.16	1.986	0,5322	0,094124828	8,62E-10	1,57E-07	Mctp1
ENSMUSG00000029108.14	2.042	0,6792	0,120693369	8,79E-10	1,58E-07	Pcdh7
ENSMUSG00000003617.16	699	0,9972	0,178119616	9,24E-10	1,64E-07	Cp
ENSMUSG00000029135.10	5.166	-0,4803	0,085729128	1,37E-09	2,41E-07	Fosl2
ENSMUSG00000021047.7	1.915	0,6951	0,125775297	1,54E-09	2,68E-07	Nova1
ENSMUSG00000030093.7	1.131	-0,4844	0,087248297	1,77E-09	3,02E-07	Wnt7a
ENSMUSG00000027849.18	310	-1,0005	0,181899101	1,93E-09	3,27E-07	Syt6
ENSMUSG00000096146.2	1.000	-0,5262	0,095193441	1,96E-09	3,28E-07	Kcnj11
ENSMUSG00000030270.11	353	0,9561	0,175567815	2,27E-09	3,75E-07	Cpne9
ENSMUSG00000055639.16	1.500	0,4858	0,088840894	2,66E-09	4,29E-07	Dach1
ENSMUSG00000061080.11	6.346	0,5278	0,096854116	2,66E-09	4,29E-07	Lsamp
ENSMUSG00000041703.7	1.215	0,5269	0,097327211	3,43E-09	5,47E-07	Zic5
ENSMUSG00000052981.6	3.202	-0,5220	0,096631608	4,01E-09	6,25E-07	Ube2ql1
ENSMUSG00000021379.2	4.045	0,3171	0,058298637	4,57E-09	7,04E-07	Id4
ENSMUSG00000033717.5	1.347	0,6672	0,125130307	4,64E-09	7,07E-07	Adra2a
ENSMUSG00000006517.5	2.318	-0,3439	0,063436091	4,74E-09	7,14E-07	Mvd
ENSMUSG00000060143.7	3.197	-0,3461	0,063905996	4,96E-09	7,31E-07	RP23-4P23.3
ENSMUSG00000010175.13	5.599	0,4682	0,087233158	4,92E-09	7,31E-07	Prox1
ENSMUSG00000032172.8	5.651	-0,3042	0,055938791	5,09E-09	7,43E-07	Olfm2
ENSMUSG00000021994.15	3.187	0,4582	0,085727778	5,40E-09	7,79E-07	Wnt5a
ENSMUSG00000105265.4	1.386	-0,6188	0,116091784	5,54E-09	7,91E-07	Sox2ot
ENSMUSG00000023800.15	7.270	-0,3652	0,068173423	5,82E-09	8,23E-07	Tiam2
ENSMUSG00000025469.10	209	1,2360	0,234951502	5,97E-09	8,36E-07	Msx3
ENSMUSG00000038274.12	12.197	-0,3138	0,058430975	7,15E-09	9,80E-07	Fau
ENSMUSG00000033960.5	2.050	0,4732	0,089488743	7,21E-09	9,80E-07	Jcad
ENSMUSG00000041272.11	579	-0,8293	0,158470533	8,63E-09	1,15E-06	Tox
ENSMUSG00000035566.7	4.745	0,5481	0,104978532	8,90E-09	1,17E-06	Pcdh17
