SYMBOL	featureCounts on data 92: Counts	featureCounts on data 93: Counts	featureCounts on data 94: Counts	featureCounts on data 90: Counts	featureCounts on data 91: Counts
Foxo3	8.38416268984889	8.16470340512219	8.24771728109516	8.22103952741794	8.17882402045526
Foxi1	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Foxn1	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Foxj1	5.67971198562575	5.58046943913637	5.73008833511542	5.74058538706074	5.75861442964591
Foxk2	11.2095033408252	11.0676478902016	11.2820775327295	10.9380396448694	10.8255015572507
Foxg1	5.35642397106708	5.35642397106708	5.35642397106708	5.57865573965429	5.35642397106708
Foxa1	7.22097454694853	7.2885578149233	7.02022103804197	7.31328659603551	6.98108559902611
Foxn3	8.29053118626531	8.35438403763613	8.102302664775	8.16221221325255	8.43576485838947
Foxq1	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Foxf2	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Foxc1	5.58526173981921	5.80317814733547	5.66180272016607	5.67039798681573	5.35642397106708
Foxd1	9.60750597947009	9.58832776103754	9.2456254269321	8.8052151437406	8.98575461654939
Foxh1	5.58526173981921	5.58046943913637	5.8379340890688	5.57865573965429	5.75861442964591
Foxp4	8.64388092829075	8.50155169146	8.57568998302852	8.70003656573595	8.53171183306876
Foxn2	9.24551945228428	9.16495138566469	9.18955402722562	8.56028179357194	8.53592129967245
Foxb2	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Foxd4	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Foxa2	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Foxs1	5.35642397106708	5.35642397106708	5.35642397106708	5.57865573965429	5.35642397106708
Foxo1	5.35642397106708	5.35642397106708	5.35642397106708	5.57865573965429	5.5891290488757
Foxe1	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Foxd3	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Foxd2	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Foxe3	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Foxj3	9.19532293766014	9.43324159129698	9.21449689476429	9.33587257896979	9.39292825521189
Foxo6	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Foxn4	5.86600426278637	6.18416774498097	5.96382627067693	5.98072940377884	5.87454372634499
Foxk1	9.86942132451785	9.83555868451818	9.85456270193751	9.62546897966871	9.9138722252912
Foxp2	5.58526173981921	5.58046943913637	5.96382627067693	5.79958273190559	5.68516385087212
Foxi3	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Foxp1	8.41992815222017	8.56401484403117	8.44660943357326	8.30486007821797	8.18963475769266
Foxj2	9.15385597094695	9.18482024203954	8.92655544034243	9.28701544741804	9.16115169370497
Foxm1	9.113855591744	9.17492036333718	9.79883794516289	8.76668219805202	8.15142233101623
Foxa3	5.67971198562575	5.35642397106708	5.57256052378841	5.89812893839563	5.87454372634499
Foxi2	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Foxf1	5.67971198562575	5.67295533970101	5.35642397106708	5.35642397106708	5.35642397106708
Foxc2	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Foxl1	5.58526173981921	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Foxr1	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Foxb1	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Foxl2	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708	5.35642397106708
Foxp3	5.99902832112763	6.2124095444051	6.00008839449241	5.57865573965429	6.00973072846778
Foxo4	9.50427129255399	9.48615711873789	9.23458575362776	9.39782777211583	9.88640430795795
Foxr2	6.31082000425461	6.1242269681414	6.06674200730942	6.17762992258335	6.00973072846778
