Motif	# matches	% matches input	# matches background	%matches background	P-value	log10 P-value	ROC AUC	PR AUC	Enr. at 1% FPR	Recall at 10% FDR
GM.5.0.Sox.0001	4039	3.742	584	5.840	1.00e+00	-0.000	0.501	0.914	0.64	1.0000
GM.5.0.Homeodomain.0001	2122	1.966	100	1.000	1.03e-13	12.988	0.547	0.928	1.97	1.0000
GM.5.0.Mixed.0001	2022	1.874	100	1.000	7.42e-12	11.130	0.534	0.926	1.87	1.0000
GM.5.0.Nuclear_receptor.0001	1138	1.054	100	1.000	3.27e-01	0.486	0.492	0.914	1.05	1.0000
GM.5.0.Mixed.0002	2040	1.890	110	1.100	9.88e-10	9.005	0.495	0.919	1.72	1.0000
GM.5.0.Nuclear_receptor.0002	1216	1.127	100	1.000	1.34e-01	0.873	0.534	0.922	1.13	1.0000
GM.5.0.bHLH.0001	4221	3.911	332	3.320	1.52e-03	2.817	0.546	0.925	1.18	1.0000
GM.5.0.Myb_SANT.0001	679	0.629	100	1.000	1.00e+00	0.000	0.449	0.903	0.63	1.0000
GM.5.0.C2H2_ZF.0001	3139	2.908	100	1.000	7.58e-37	36.121	0.560	0.933	2.91	1.0000
GM.5.0.GATA.0001	1109	1.028	100	1.000	4.22e-01	0.374	0.518	0.918	1.03	1.0000
GM.5.0.C2H2_ZF.0002	969	0.898	100	1.000	8.61e-01	0.065	0.508	0.915	0.90	1.0000
GM.5.0.bZIP.0001	1239	1.148	103	1.030	1.55e-01	0.810	0.481	0.912	1.11	1.0000
GM.5.0.Homeodomain.0002	2760	2.557	172	1.720	3.96e-08	7.402	0.486	0.917	1.49	1.0000
GM.5.0.Ets.0001	6686	6.195	567	5.670	1.85e-02	1.734	0.552	0.925	1.09	1.0000
GM.5.0.bZIP.0002	4320	4.003	262	2.620	3.31e-13	12.480	0.506	0.921	1.53	1.0000
GM.5.0.IRF.0001	2164	2.005	100	1.000	1.60e-14	13.796	0.583	0.934	2.01	1.0000
GM.5.0.bHLH.0002	3609	3.344	100	1.000	2.26e-49	48.645	0.631	0.946	3.34	1.0000
GM.5.0.Nuclear_receptor.0003	1357	1.257	100	1.000	1.27e-02	1.895	0.458	0.908	1.26	1.0000
GM.5.0.bZIP.0003	2120	1.964	101	1.010	2.14e-13	12.671	0.533	0.926	1.94	1.0000
GM.5.0.bHLH.0003	942	0.873	101	1.010	9.25e-01	0.034	0.484	0.912	0.86	1.0000
GM.5.0.HSF.0001	2738	2.537	100	1.000	5.90e-27	26.229	0.468	0.915	2.54	1.0000
GM.5.0.Homeodomain.0003	1119	1.037	100	1.000	3.88e-01	0.411	0.482	0.913	1.04	1.0000
GM.5.0.C2H2_ZF.0003	1261	1.168	100	1.000	7.00e-02	1.155	0.532	0.922	1.17	1.0000
GM.5.0.ARID_BRIGHT.0001	4325	4.007	421	4.210	8.44e-01	0.073	0.500	0.918	0.95	1.0000
GM.5.0.Homeodomain_POU.0001	1823	1.689	100	1.000	1.80e-08	7.744	0.511	0.920	1.69	1.0000
GM.5.0.C2H2_ZF.0004	1084	1.004	106	1.060	7.24e-01	0.140	0.474	0.908	0.95	1.0000
GM.5.0.Homeodomain.0004	5465	5.064	144	1.440	1.25e-78	77.902	0.542	0.921	3.52	1.0000
GM.5.0.Nuclear_receptor.0004	760	0.704	100	1.000	9.99e-01	0.000	0.442	0.901	0.70	1.0000
GM.5.0.Sox.0002	1446	1.340	136	1.360	5.89e-01	0.230	0.493	0.916	0.99	1.0000
GM.5.0.DM.0001	1228	1.138	100	1.000	1.14e-01	0.944	0.522	0.920	1.14	1.0000
GM.5.0.bHLH.0004	1734	1.607	100	1.000	4.17e-07	6.380	0.566	0.930	1.61	1.0000
