	z-score 3' UTR	z-score 5' UTR	z-score Distal Intergenic	z-score Downstream (<1kb)	z-score Downstream (1-2kb)	z-score Downstream (2-3kb)	z-score Exon	z-score Intron	z-score Promoter (<=1kb)	z-score Promoter (1-2kb)	z-score Promoter (2-3kb)	3' UTR % with motif	5' UTR % with motif	Distal Intergenic % with motif	Downstream (1-2kb) % with motif	Downstream (2-3kb) % with motif	Downstream (<1kb) % with motif	Exon % with motif	Intron % with motif	Promoter (1-2kb) % with motif	Promoter (2-3kb) % with motif	Promoter (<=1kb) % with motif
GM.5.0.GATA.0029	0.8570452830233514	0.7294042115919523	-2.740445584177613	1.4785217061177962	1.392681901767558	1.1569905075665705	1.4333387074726223	-2.740445584177613	2.560277532841074	0.6186502633272009	0.5892671587036301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GM.5.0.Unknown.0159	-0.5268355425165666	2.168625645454474	0.30480423769044246	-0.0018453824974924338	1.3835213701312674	1.417788719039435	-0.687428231869649	-0.7155875062942036	0.40373581150731624	0.18249026599956064	0.9391226845060855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23702299123014933	0.3243593902043464	0.0
GM.5.0.Mixed.0104	1.8614234893017576	0.9781544033232502	1.5823028819598925	3.2173942614667195	0.7908568409357603	2.5682115090942155	0.1378855506684451	2.3424400406916726	0.6002407111874017	-1.5456787959685792	1.3267454417563171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5214505807063285	0.5514109633473889	0.0062897037549531415
GM.5.0.C2H2_ZF.0095	0.9451081097240831	0.47872359085298233	0.2958843344328556	2.2009540668612724	0.7110485717118824	1.0415190752601449	-0.35259828329277826	-0.3078540009425451	1.340322123632269	0.6897379217857635	1.2373457668514143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6873666745674331	0.7784625364904314	0.012579407509906283
GM.5.0.Unknown.0161	-0.6125625990282214	0.5756229173963449	0.5835350965583288	1.0758611354127057	0.7492762526969904	-0.09828165908788984	-0.4584792935134144	1.183071151790072	-1.2928998852440652	-0.076716444864723	0.13044478702889425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.042901161412657	1.6217969510217323	0.13837348260896912
GM.5.0.Homeodomain.0049	0.08163905190273325	-1.8015635740215734	-2.0849615235640946	-2.3409386103045215	-2.34665575507495	1.8705659147058797	-2.0167810842250744	-2.1449166884500888	-0.23670214252785163	-1.5520383506521989	0.28937995285935747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.711068973690448	0.6487187804086928	0.012579407509906283
GM.5.0.Unknown.0113	-0.20399521832442305	-0.354670261841678	-1.1328332871747118	0.5237029266449904	-0.4644075335635807	0.6855831902704087	-0.527215306922972	-1.2230038784517432	1.0484856333878234	1.1807828377558989	-0.8346824980795133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.711068973690448	0.8433344145313006	0.012579407509906283
GM.5.0.Nuclear_receptor.0087	-0.25590078980628045	0.4757762401666142	1.057568287533585	1.8685262789968033	0.5425839493873116	1.9828109484175012	1.5995603520781274	-0.18627862941483156	0.7344978031208976	-0.19183349889394352	-0.38099152500534705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9243896657975823	1.0055141096334739	0.0062897037549531415
GM.5.0.Unknown.0171	1.3579000761111135	0.22523952146268278	0.9696649021298877	-0.1843464686851227	1.0216551912277176	1.403861587908917	0.833901337247033	0.20061710514994294	-0.2599560219072731	-1.8969504495689424	-1.4000616975048448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GM.5.0.Rel.0008	-0.9261338876868195	-2.631820120825778	-1.6552211141264774	-0.08609675346633214	-1.1386372567886813	-1.304150141133484	-1.67395450647115	-1.67108076925806	0.009544179070380656	0.21772433264426475	-1.324987751750268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7584735719364778	0.6162828413882582	0.03144851877476571
