# maelstrom - GimmeMotifs version 0.16.1
# method: hypergeom with motif count
# motif table: /home/ia1014/gimmemotifs/output/stratified.out/motif.nr.count.txt.gz
# activity values: -log10-transformed, BH-corrected hypergeometric p-values
	3' UTR	5' UTR	Distal Intergenic	Downstream (<1kb)	Downstream (1-2kb)	Downstream (2-3kb)	Exon	Intron	Promoter (<=1kb)	Promoter (1-2kb)	Promoter (2-3kb)
GM.5.0.GATA.0029	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.Unknown.0159	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	8.186373904793626	9.505402543065644
GM.5.0.Mixed.0104	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	19.408683568465772	14.79041169755872
GM.5.0.C2H2_ZF.0095	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	24.859875858799825	21.220586057089385
GM.5.0.Unknown.0161	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	11.278344755533595	10.228637152398809
GM.5.0.Homeodomain.0049	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	27.28593442419569	16.38038462679872
GM.5.0.Unknown.0113	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	25.385709294085945	23.357126380523773
GM.5.0.Nuclear_receptor.0087	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	20.97663402917148	21.242483360523245
GM.5.0.Unknown.0171	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.Rel.0008	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	28.900745750589866	14.37256164621846
GM.5.0.C2H2_ZF.0188	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	13.629459602651847	17.417964032204466
GM.5.0.Nuclear_receptor.0061	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	25.097682948746257	18.0521260725468
GM.5.0.Nuclear_receptor.0103	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	13.546492298879995	4.958844502575518
GM.5.0.Homeodomain.0159	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	37.07610108931528	31.160945841718355
GM.5.0.Unknown.0129	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	41.689046578720294	45.62322200902154
GM.5.0.C2H2_ZF.0038	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	41.36775950193923	17.9516658355549
GM.5.0.Nuclear_receptor.0125	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	29.1583713948625	7.438216264015037
GM.5.0.Myb_SANT.0012	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	34.50687545041038	40.263916580138996
GM.5.0.Nuclear_receptor.0098	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	31.133680463123287	9.289470498946548
GM.5.0.RFX.0016	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	73.04075041612943	73.6883006658205
GM.5.0.Nuclear_receptor.0042	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	22.874593888574488	9.081224675005874
GM.5.0.DM.0004	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	13.785924446749421	14.536500035521742
GM.5.0.Nuclear_receptor.0134	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	23.19046652115251	21.27921504255078
GM.5.0.C2H2_ZF.0281	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	26.291496107418073	15.816214287729709
GM.5.0.C2H2_ZF.0146	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	30.677137245267826	20.667146004010856
GM.5.0.C2H2_ZF.0181	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	38.11242834858917	23.417462720661693
GM.5.0.Nuclear_receptor.0065	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	20.556849509489773	9.37450372505823
GM.5.0.Mixed.0047	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.GATA.0025	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0233	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	28.026331775673892	8.054375806430672
GM.5.0.T-box.0014	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	37.88994247752951	28.05340062797288
GM.5.0.C2H2_ZF.0283	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	65.24999728926545	22.250522171673193
GM.5.0.Forkhead.0026	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	39.116815599891325	16.43372690194058
GM.5.0.C2H2_ZF.0138	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	10.993981124450663	9.714077383937152
GM.5.0.bHLH.0096	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	49.56991850517885	29.156147769041937
GM.5.0.Unknown.0040	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	46.654474830525515	21.047284171498095
GM.5.0.bHLH.0128	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	49.490788196837244	41.23682834091291
GM.5.0.Unknown.0128	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	28.092846907490753	23.893673567908642
GM.5.0.bHLH.0120	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	45.53774767333021	32.28136204338453
GM.5.0.bZIP.0060	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	34.64886390154554	24.34827793778018
GM.5.0.C2H2_ZF.0235	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	33.83329947377417	28.80159830486823
GM.5.0.C2H2_ZF.0280	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	31.10340267363856	33.25189892277717
GM.5.0.Mixed.0020	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	58.58710162782532	27.517762397632573
GM.5.0.C2H2_ZF.0132	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	40.719179154434784	19.444532969014464
GM.5.0.Mixed.0009	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.9318337385315584	48.3992039146487	27.410180163685204
GM.5.0.C2H2_ZF.0076	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	34.128336336563116	30.434173124861385
GM.5.0.Nuclear_receptor.0114	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	24.044495603277124	13.952606847544276
GM.5.0.bZIP.0031	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	37.88077603480494	19.722758336198176
GM.5.0.Unknown.0059	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	32.50162173510041	21.7509147402995
GM.5.0.bHLH.0075	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	61.249201825869456	40.89601015842791
GM.5.0.Nuclear_receptor.0148	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.T-box.0019	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	59.99200438928033	30.288620314265213
GM.5.0.Nuclear_receptor.0117	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0126	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	35.86124444073733	25.1389145979736
GM.5.0.bZIP.0032	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	28.49377343482466	39.0864334147601
GM.5.0.Myb_SANT.0011	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.Nuclear_receptor.0049	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	30.85658531402664	17.672844797290203
GM.5.0.Zinc_cluster.0001	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	30.285731919172484	27.613070104346246
GM.5.0.C2H2_ZF.0225	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	28.164773092728684	31.37378884543107
GM.5.0.Unknown.0015	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	32.94512768805539	16.45757555652238
GM.5.0.Unknown.0123	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	33.11972521902761	31.756280111123925
GM.5.0.C2H2_ZF.0129	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0302	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	24.16864506269146	8.4172888967524
GM.5.0.Nuclear_receptor.0100	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	23.168569292986685	16.930860376531424
GM.5.0.Mixed.0072	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	35.42622226800003	35.13771335768629
GM.5.0.Unknown.0117	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	60.91136712040533	24.75720009519044
