# maelstrom - GimmeMotifs version 0.16.1
# method: mwu with motif score
# motif table: /home/ia1014/gimmemotifs/output/stratified.out/motif.nr.score.txt.gz
# activity values: BH-corrected -log10 Mann-Whitney U p-value
	3' UTR	5' UTR	Distal Intergenic	Downstream (<1kb)	Downstream (1-2kb)	Downstream (2-3kb)	Exon	Intron	Promoter (<=1kb)	Promoter (1-2kb)	Promoter (2-3kb)
GM.5.0.GATA.0029	1.979778647000751	0.6874959315276525	-0.0	4.564392070933765	4.067692516344809	1.5214076816974855	15.078709602616337	-0.0	inf	32.260713431346865	7.413532094467583
GM.5.0.Unknown.0159	-0.0	0.6488167907220221	0.09877146591372839	-0.0	0.8168287095463107	0.21479539446569998	-0.0	-0.0	5.842246895063952	1.1156624585431127	0.09030269110632676
GM.5.0.Mixed.0104	0.5317146051482475	-0.0	0.289041035441147	0.9832154111748326	0.19057444153079392	0.4616388996738583	-0.0	6.312493395589973	-0.0	-0.0	0.23298356618893937
GM.5.0.C2H2_ZF.0095	0.05693085937657981	-0.0	-0.0	0.16416578758758207	0.20990578905662866	-0.0	-0.0	-0.0	56.366664937704975	0.5827512566458699	0.05590110949356059
GM.5.0.Unknown.0161	-0.0	0.001918931101175027	5.238120343116293	0.23298356618893937	0.11064713532573706	-0.0	-0.0	15.863652737849602	-0.0	0.23587776039569583	0.48486045210895745
GM.5.0.Homeodomain.0049	0.10909245290092259	-0.0	-0.0	-0.0	-0.0	1.565470709956096	-0.0	-0.0	12.026855497313624	-0.0	0.017030996930377358
GM.5.0.Unknown.0113	-0.0	0.03658480505105672	-0.0	0.013818152737868234	-0.0	0.1444134267463115	-0.0	-0.0	52.89265288530904	1.86606490102781	0.023402138675284026
GM.5.0.Nuclear_receptor.0087	-0.0	0.05286886173887644	0.3645763999623116	1.202456426927031	-0.0	0.5618568247431235	0.31212846071426775	-0.0	2.2191831201528807	-0.0	0.03609251186206686
GM.5.0.Unknown.0171	0.368647499683308	-0.0	2.2191831201528807	-0.0	0.22049606983099101	0.41633093554533723	0.12486000108748649	-0.0	-0.0	-0.0	-0.0
GM.5.0.Rel.0008	-0.0	-0.0	-0.0	0.057569054988906423	-0.0	-0.0	-0.0	-0.0	41.447224746281435	0.39050140322352234	-0.0
GM.5.0.C2H2_ZF.0188	0.14718314646600855	-0.0	1.0353205769045886	-0.0	-0.0	0.07943011567632466	-0.0	2.4059677851137793	-0.0	-0.0	-0.0
GM.5.0.Nuclear_receptor.0061	-0.0	0.07742960574330911	-0.0	0.7075840754128901	0.03658480505105672	0.45917680709183883	0.038582604005612774	-0.0	77.02265341322222	0.28715186182357705	-0.0
GM.5.0.Nuclear_receptor.0103	1.8922011196964033	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	2.689711011850731	-0.0	1.7981557953905158	1.8853646602136267
GM.5.0.Homeodomain.0159	0.09918891360252716	-0.0	-0.0	-0.0	-0.0	0.27376289497268	0.025689004125783572	-0.0	170.93674970663767	0.4650022943081701	-0.0
GM.5.0.Unknown.0129	-0.0	0.037551897234864864	-0.0	0.07943011567632466	0.3264129377758057	0.10060098912574662	3.9305805860103034	-0.0	22.646669694414246	0.14713087323557003	-0.0
GM.5.0.C2H2_ZF.0038	-0.0	-0.0	-0.0	1.072729599764262	0.13281474393886916	0.15482856273923423	-0.0	-0.0	35.31501471644425	0.2972282791582458	0.731428662742332
GM.5.0.Nuclear_receptor.0125	-0.0	0.21416931647679244	-0.0	3.0400442818991613	0.3680674585774918	0.11385112748621856	-0.0	-0.0	126.01949335964622	0.9174614445079354	0.4244430494802535
