# maelstrom - GimmeMotifs version 0.16.1
# method: hypergeom with motif count
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/ATAC_at_FOXG1_peaks_maelstrom.out/motif.nr.count.txt.gz
# activity values: -log10-transformed, BH-corrected hypergeometric p-values
	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5
GM.5.0.GATA.0029	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.Unknown.0161	-0.0	-0.0	-0.0	-0.0	8.786337577808169
GM.5.0.Unknown.0159	-0.0	-0.0	-0.0	-0.0	25.111847207210747
GM.5.0.C2H2_ZF.0188	-0.0	-0.0	-0.0	-0.0	40.7202667246553
GM.5.0.Nuclear_receptor.0061	-0.0	-0.0	-0.0	-0.0	41.39618126772694
GM.5.0.Unknown.0028	-0.0	-0.0	-0.0	-0.0	34.62540069070707
GM.5.0.Homeodomain.0049	-0.0	-0.0	-0.0	-0.0	27.15212868590696
GM.5.0.C2H2_ZF.0095	-0.0	-0.0	-0.0	-0.0	39.369933799374884
GM.5.0.Unknown.0113	-0.0	-0.0	-0.0	-0.0	28.51039423248112
GM.5.0.Myb_SANT.0012	-0.0	-0.0	-0.0	-0.0	68.89484834342778
GM.5.0.Unknown.0171	-0.0	-0.0	-0.0	-0.0	38.69547618126861
GM.5.0.Mixed.0104	-0.0	-0.0	-0.0	-0.0	28.51039423248112
GM.5.0.RFX.0016	-0.0	-0.0	-0.0	-0.0	109.06654570435397
GM.5.0.DM.0004	-0.0	-0.0	-0.0	-0.0	40.04513050195535
GM.5.0.Nuclear_receptor.0125	-0.0	-0.0	-0.0	-0.0	34.62540069070707
GM.5.0.T-box.0026	-0.0	-0.0	-0.0	-0.0	73.5553774333646
GM.5.0.C2H2_ZF.0138	-0.0	-0.0	-0.0	-0.0	21.710686781512685
GM.5.0.Unknown.0048	-0.0	-0.0	-0.0	-0.0	15.587630690602108
GM.5.0.Nuclear_receptor.0042	-0.0	-0.0	-0.0	-0.0	27.15212868590696
GM.5.0.bHLH.0120	-0.0	-0.0	-0.0	-0.0	96.25193359972968
GM.5.0.C2H2_ZF.0281	-0.0	-0.0	-0.0	-0.0	24.432029894810125
GM.5.0.bZIP.0031	-0.0	-0.0	-0.0	-0.0	44.77418475043671
GM.5.0.C2H2_ZF.0101	-0.0	-0.0	-0.0	-0.0	60.21721728277163
GM.5.0.Nuclear_receptor.0087	-0.0	-0.0	-0.0	-0.0	46.79622760537533
GM.5.0.Unknown.0128	-0.0	-0.0	-0.0	-0.0	52.17397380296998
GM.5.0.Unknown.0123	-0.0	-0.0	-0.0	-0.0	33.947697052061024
GM.5.0.Nuclear_receptor.0117	-0.0	-0.0	-0.0	-0.0	42.07374906501245
GM.5.0.C2H2_ZF.0171	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.Mixed.0078	-0.0	-0.0	-0.0	-0.0	46.12537695315489
GM.5.0.C2H2_ZF.0217	-0.0	-0.0	-0.0	-0.0	38.69547618126861
GM.5.0.Nuclear_receptor.0148	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.Nuclear_receptor.0088	-0.0	-0.0	-0.0	-0.0	14.22769308418795
GM.5.0.Nuclear_receptor.0064	-0.0	-0.0	-0.0	-0.0	39.369933799374884
GM.5.0.Homeodomain.0159	-0.0	-0.0	-0.0	-0.0	46.12537695315489
GM.5.0.C2H2_ZF.0224	-0.0	-0.0	-0.0	-0.0	38.017787471793945
GM.5.0.C2H2_ZF.0038	-0.0	-0.0	-0.0	-0.0	33.26922723144315
GM.5.0.T-box.0007	-0.0	-0.0	-0.0	-0.0	51.49938377884282
GM.5.0.C2H2_ZF.0126	-0.0	-0.0	-0.0	-0.0	27.830508258467617
GM.5.0.bZIP.0060	-0.0	-0.0	-0.0	-0.0	37.33930493565125
GM.5.0.Nuclear_receptor.0046	-0.0	-0.0	-0.0	-0.0	40.04513050195535
GM.5.0.C2H2_ZF.0161	-0.0	-0.0	-0.0	-0.0	60.88950695254563
GM.5.0.Unknown.0040	-0.0	-0.0	-0.0	-0.0	56.20725426325478
GM.5.0.C2H2_ZF.0129	-0.0	-0.0	-0.0	-0.0	60.88950695254563
GM.5.0.Nuclear_receptor.0047	-0.0	-0.0	-0.0	-0.0	51.49938377884282
GM.5.0.C2H2_ZF.0280	-0.0	-0.0	-0.0	-0.0	59.547681530901485
GM.5.0.Homeodomain_POU.0011	-0.0	-0.0	-0.0	-0.0	71.58072985236556
GM.5.0.C2H2_ZF.0073	-0.0	-0.0	-0.0	-0.0	42.747879340518544
GM.5.0.Unknown.0049	-0.0	-0.0	-0.0	-0.0	40.7202667246553
GM.5.0.Mixed.0060	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0158	-0.0	-0.0	-0.0	-0.0	50.15311638056458
GM.5.0.Mixed.0009	-0.0	-0.0	-0.0	-0.0	74.2160105193433
GM.5.0.Unknown.0054	-0.0	-0.0	-0.0	-0.0	56.877118972244055
GM.5.0.C2H2_ZF.0076	-0.0	-0.0	-0.0	-0.0	42.07374906501245
GM.5.0.Rel.0021	-0.0	-0.0	-0.0	-0.0	40.7202667246553
GM.5.0.C2H2_ZF.0233	-0.0	-0.0	-0.0	-0.0	48.1440665137012
GM.5.0.Nuclear_receptor.0134	-0.0	-0.0	-0.0	-0.0	42.07374906501245
GM.5.0.Unknown.0059	-0.0	-0.0	-0.0	-0.0	48.1440665137012
GM.5.0.Nuclear_receptor.0065	-0.0	-0.0	-0.0	-0.0	42.747879340518544
GM.5.0.Pipsqueak.0001	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.Unknown.0129	-0.0	-0.0	-0.0	-0.0	46.12537695315489
GM.5.0.Nuclear_receptor.0016	-0.0	-0.0	-0.0	-0.0	38.017787471793945
GM.5.0.Grainyhead.0007	-0.0	-0.0	-0.0	-0.0	48.81037028029508
GM.5.0.CUT_Homeodomain.0006	-0.0	-0.0	-0.0	-0.0	56.877118972244055
GM.5.0.T-box.0018	-0.0	-0.0	-0.0	-0.0	26.472268113483587
GM.5.0.C2H2_ZF.0302	-0.0	-0.0	-0.0	-0.0	31.908517794870612
GM.5.0.C2H2_ZF.0289	-0.0	-0.0	-0.0	-0.0	48.81037028029508
GM.5.0.C2H2_ZF.0225	-0.0	-0.0	-0.0	-0.0	38.69547618126861
GM.5.0.Forkhead.0058	-0.0	-0.0	-0.0	-0.0	64.23243100440422
GM.5.0.Nuclear_receptor.0114	-0.0	-0.0	-0.0	-0.0	57.54404281330907
GM.5.0.C2H2_ZF.0293	-0.0	-0.0	-0.0	-0.0	51.49938377884282
GM.5.0.Ets.0029	-0.0	-0.0	-0.0	-0.0	43.42539723875637
GM.5.0.bZIP.0062	-0.0	-0.0	-0.0	-0.0	58.21459383852885
GM.5.0.C2H2_ZF.0235	-0.0	-0.0	-0.0	-0.0	54.19605576375356
GM.5.0.Mixed.0020	-0.0	-0.0	-0.0	-0.0	50.828979120332214
GM.5.0.Forkhead.0040	-0.0	-0.0	-0.0	-0.0	77.5435856290726
GM.5.0.Rel.0008	-0.0	-0.0	-0.0	-0.0	35.9823473616109
GM.5.0.Nuclear_receptor.0111	-0.0	-0.0	-0.0	-0.0	35.9823473616109
GM.5.0.C2H2_ZF.0203	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.Unknown.0190	-0.0	-0.0	-0.0	-0.0	44.77418475043671
GM.5.0.EIN3.0001	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0010	-0.0	-0.0	-0.0	-0.0	64.23243100440422
GM.5.0.Nuclear_receptor.0085	-0.0	-0.0	-0.0	-0.0	58.87926493282229
GM.5.0.C2H2_ZF.0197	-0.0	-0.0	-0.0	-0.0	30.548625400532686
GM.5.0.Paired_box.0013	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.Mixed.0007	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.bHLH.0075	-0.0	-0.0	-0.0	-0.0	71.58072985236556
GM.5.0.Mixed.0047	-0.0	-0.0	-0.0	-0.0	113.121593917775
GM.5.0.GCM.0004	-0.0	-0.0	-0.0	-0.0	38.017787471793945
GM.5.0.Mixed.0055	-0.0	-0.0	-0.0	-0.0	38.69547618126861
GM.5.0.Nuclear_receptor.0115	-0.0	-0.0	-0.0	-0.0	46.12537695315489
GM.5.0.Nuclear_receptor.0131	-0.0	-0.0	-0.0	-0.0	47.47352259581704
GM.5.0.Unknown.0141	-0.0	-0.0	-0.0	-0.0	71.58072985236556
GM.5.0.Ets.0043	-0.0	-0.0	-0.0	-0.0	35.30464605069646
GM.5.0.C2H2_ZF.0209	-0.0	-0.0	-0.0	-0.0	60.21721728277163
GM.5.0.Nuclear_receptor.0100	-0.0	-0.0	-0.0	-0.0	38.69547618126861
GM.5.0.Mixed.0065	-0.0	-0.0	-0.0	-0.0	40.04513050195535
GM.5.0.bHLH.0105	-0.0	-0.0	-0.0	-0.0	137.4169743828906
GM.5.0.C2H2_ZF.0083	-0.0	-0.0	-0.0	-0.0	56.20725426325478
GM.5.0.STAT.0025	-0.0	-0.0	-0.0	-0.0	45.449807138065054
GM.5.0.Unknown.0138	-0.0	-0.0	-0.0	-0.0	55.53833082554567
GM.5.0.C2H2_ZF.0039	-0.0	-0.0	-0.0	-0.0	35.30464605069646
GM.5.0.C2H2_ZF.0298	-0.0	-0.0	-0.0	-0.0	54.86312430454879
GM.5.0.Zinc_cluster.0001	-0.0	-0.0	-0.0	-0.0	58.21459383852885
GM.5.0.C2H2_ZF.0080	-0.0	-0.0	-0.0	-0.0	73.5553774333646
GM.5.0.Unknown.0105	-0.0	-0.0	-0.0	-0.0	40.04513050195535
