# maelstrom - GimmeMotifs version 0.16.1
# method: mwu with motif score
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/ATAC_at_FOXG1_peaks_maelstrom.out/motif.nr.score.txt.gz
# activity values: BH-corrected -log10 Mann-Whitney U p-value
	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5
GM.5.0.GATA.0029	224.2435043800984	171.67880366804107	-0.0	-0.0	-0.0
GM.5.0.Unknown.0161	-0.0	-0.0	-0.0	1.9859992629000782	7.624868098100348
GM.5.0.Unknown.0159	2.363690681597598	-0.0	-0.0	0.6816543601859343	0.27106208203848575
GM.5.0.C2H2_ZF.0188	-0.0	-0.0	-0.0	6.03958362490318	2.923541050507743
GM.5.0.Nuclear_receptor.0061	7.351644870291847	7.781736420464028	-0.0	5.441361161602462	3.0962988402429263
GM.5.0.Unknown.0028	0.8787162168227313	2.668710653323685	-0.0	-0.0	-0.0
GM.5.0.Homeodomain.0049	0.8684358262989456	-0.0	-0.0	-0.0	0.4033306850657745
GM.5.0.C2H2_ZF.0095	7.170631529355289	2.7964599217470947	-0.0	4.177164287468044	1.3028568341969093
GM.5.0.Unknown.0113	3.29233687781728	1.6938362605692423	2.905222711454582	-0.0	-0.0
GM.5.0.Myb_SANT.0012	0.5471449193539446	0.21347870258996818	1.4850655476445982	-0.0	-0.0
GM.5.0.Unknown.0171	-0.0	-0.0	1.164807998327381	2.229075723816436	0.8515975720800537
GM.5.0.Mixed.0104	-0.0	-0.0	0.6747162298489934	0.5543872607352847	3.4793860761142166
GM.5.0.RFX.0016	-0.0	-0.0	39.842051994881416	-0.0	-0.0
GM.5.0.DM.0004	-0.0	0.4746542123911519	0.3438588537893443	0.20702174791187206	-0.0
GM.5.0.Nuclear_receptor.0125	14.130516235685928	16.607019617160297	-0.0	1.3754548600279266	0.02229855803956942
GM.5.0.T-box.0026	-0.0	-0.0	2.365034780757617	0.4691625096055677	0.9479653003066313
GM.5.0.C2H2_ZF.0138	8.167295503091678	2.670783915913776	-0.0	-0.0	1.2608214789547856
GM.5.0.Unknown.0048	7.391151596657082	5.5207083377592845	-0.0	-0.0	-0.0
GM.5.0.Nuclear_receptor.0042	1.4531410220906378	0.34955246957580804	-0.0	2.8584699573052332	3.8965231529986113
GM.5.0.bHLH.0120	-0.0	-0.0	4.653448972568569	-0.0	1.0299772582472306
GM.5.0.C2H2_ZF.0281	6.927547701422937	14.11893558881387	-0.0	5.648628211858835	3.400305447430656
GM.5.0.bZIP.0031	1.1114585280588711	-0.0	1.7080992730379567	-0.0	-0.0
GM.5.0.C2H2_ZF.0101	-0.0	-0.0	-0.0	0.5633723414877982	1.65195401690631
GM.5.0.Nuclear_receptor.0087	1.1896088887965348	2.5228697627287353	-0.0	4.865922682915633	3.1200687448051165
GM.5.0.Unknown.0128	12.74203363592834	6.072796580003766	-0.0	-0.0	-0.0
GM.5.0.Unknown.0123	-0.0	-0.0	-0.0	5.051323935465799	1.5330630070836273
GM.5.0.Nuclear_receptor.0117	2.377497881125343	3.002968319973822	-0.0	1.844626306854339	1.9054407376777978
GM.5.0.C2H2_ZF.0171	2.5532865444217485	10.396331125605462	-0.0	-0.0	1.3697101756356216
GM.5.0.Mixed.0078	-0.0	-0.0	-0.0	0.6236130348497073	6.026476661701863
GM.5.0.C2H2_ZF.0217	-0.0	0.5358087080683027	-0.0	0.9129226512805203	5.215579641040712
GM.5.0.Nuclear_receptor.0148	10.605508354698031	6.668225600582571	-0.0	-0.0	0.42903763160040087
GM.5.0.Nuclear_receptor.0088	6.120641188195162	6.63385275264382	-0.0	1.6023291426983044	0.6555947560317958
GM.5.0.Nuclear_receptor.0064	5.190734095576912	1.436833744829879	-0.0	0.4033306850657745	6.57508463821968
GM.5.0.Homeodomain.0159	7.606754583595086	5.6670039043182525	6.492596739349376	-0.0	-0.0
GM.5.0.C2H2_ZF.0224	-0.0	0.02915704338694939	-0.0	1.1680704363536947	0.9006199600670234
GM.5.0.C2H2_ZF.0038	1.9881186905417232	4.938663652321038	-0.0	1.3859551747602012	3.3205567116337136
GM.5.0.T-box.0007	0.3514183430450695	-0.0	-0.0	-0.0	1.2920497852469244
GM.5.0.C2H2_ZF.0126	2.0261630685521945	1.2773555615216208	-0.0	-0.0	0.21462525765248697
GM.5.0.bZIP.0060	1.4840818133557239	2.1035748326999326	0.27106208203848575	-0.0	-0.0
GM.5.0.Nuclear_receptor.0046	-0.0	-0.0	-0.0	3.481412167145196	6.993879460163245
GM.5.0.C2H2_ZF.0161	-0.0	-0.0	3.50469313887523	1.072413429029418	3.1330438129110316
GM.5.0.Unknown.0040	1.1655693235072877	0.5442771638575508	-0.0	0.5627038879726333	1.256945335648324
