# maelstrom - GimmeMotifs version 0.16.1
# method: rf with motif score
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/ATAC_at_FOXG1_peaks_maelstrom.out/motif.nr.score.txt.gz
# activity values: feature importances from fitted Random Forest model
	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5
GM.5.0.GATA.0029	0.004831245373938389	0.003324200480127229	-0.000779449969471388	-0.002060967666871532	-0.002206058915963102
GM.5.0.Unknown.0161	-0.0016415962957018956	-0.0017586028105129404	-0.0014273497297236585	0.0013903016892402179	0.0014290475624355822
GM.5.0.Unknown.0159	0.0015122138317156311	0.0015588609316334234	-0.0015252582054220668	0.0016133401220647305	0.0017191563796176267
GM.5.0.C2H2_ZF.0188	-0.0015984270903660316	-0.00157575676593212	-0.0014806735282702813	0.0017493477211356862	0.0014972134646285432
GM.5.0.Nuclear_receptor.0061	0.00158940784705912	0.001654938912024943	-0.001957882748721273	0.0018581368757617453	0.0016796074739665176
GM.5.0.Unknown.0028	0.0015033849448408878	0.0015823247557721649	-0.0014580576694374404	-0.0014241452099853496	-0.0014271498119149146
GM.5.0.Homeodomain.0049	0.0015656052909049428	-0.0015321099398323008	-0.001337014818891209	-0.0015997286267378332	0.0017081362480753934
GM.5.0.C2H2_ZF.0095	0.001755791209976366	0.0016774042253976118	-0.0017249671622565005	0.001835885817877517	0.0016151988215329016
GM.5.0.Unknown.0113	0.001532276998178427	0.0017285335418044845	0.001360879560635613	-0.001664861458027027	-0.0015217682123381644
GM.5.0.Myb_SANT.0012	-0.0016971037529237088	0.0014186474061849258	0.0014877624826122348	-0.0016463506399406933	-0.0016174973059142712
GM.5.0.Unknown.0171	-0.001648663202163944	-0.0015172347610284736	0.0014317801806247431	0.001564816854229895	0.0017851682288833465
GM.5.0.Mixed.0104	-0.0015424264298831824	-0.001588147924032051	0.001437323372090021	0.0015510215988585826	0.0016581632495387421
GM.5.0.RFX.0016	-0.0014879756588382378	-0.0014275917293434675	0.001493727799764603	-0.0015526193454815504	-0.0015593413418268983
GM.5.0.DM.0004	0.0016005056699613493	0.0015076373653048233	-0.0013670058325806977	0.0016056932829463305	0.0016308762868815297
GM.5.0.Nuclear_receptor.0125	0.0015055338892975812	0.0015915734894656408	-0.0018596501363934428	0.0017763223070252749	-0.0014140015242278114
GM.5.0.T-box.0026	0.0013838725545615585	0.0013864955257698757	-0.0013523252397497575	0.001552113025549505	0.001372772337860792
GM.5.0.C2H2_ZF.0138	0.0015377704363189746	0.0014334352365578684	-0.0015012492294191938	-0.001541703355253271	0.0014793792439972608
GM.5.0.Unknown.0048	0.0015484563282250285	0.0014963561998350577	-0.0015096269761937361	-0.001505743205960694	-0.0015661166638651328
GM.5.0.Nuclear_receptor.0042	0.001692108621394438	0.0015936338776292146	-0.0015988876435632563	0.0016874007996081175	0.0016381273363714629
GM.5.0.bHLH.0120	-0.0015088005105394434	-0.0015671857893915148	0.0015290988771357792	0.0016861949198261456	0.001659036745965117
GM.5.0.C2H2_ZF.0281	0.001600956106611662	0.0017147147852875904	-0.0025704056050084973	0.0016367211231485767	0.0015605855005672027
GM.5.0.bZIP.0031	0.0015350474353594762	-0.0015010899456209196	0.001589970393343376	-0.0016362530940416315	-0.0015573490522336425
GM.5.0.C2H2_ZF.0101	-0.0014978618797288582	-0.0015080229927257696	-0.001531404663221653	0.0015186145073197296	0.0015100828158845828
GM.5.0.Nuclear_receptor.0087	-0.001672729074091331	0.001597125587813067	-0.00170598955025801	0.001671025206599357	0.0015598803504575983
GM.5.0.Unknown.0128	0.0016055803491556533	0.0015071728396160392	-0.0014975276747662648	-0.0016866583313271063	-0.0016115457749830506
GM.5.0.Unknown.0123	-0.0015706295263209359	0.0016214625113822004	-0.0015911680707510589	0.0017400496784902406	0.0015969645424175648
GM.5.0.Nuclear_receptor.0117	0.001461811564187184	0.0015485001705798954	-0.0016258148331763254	0.0014722270081379087	0.0015208950319216005
GM.5.0.C2H2_ZF.0171	0.0014070662091490024	0.0014875104671324961	-0.0016441180201286802	0.0016147893736431786	0.0015797695754590885
