	z-score cluster_1	z-score cluster_2	z-score cluster_3	z-score cluster_4	z-score cluster_5	cluster_1 % with motif	cluster_2 % with motif	cluster_3 % with motif	cluster_4 % with motif	cluster_5 % with motif
GM.5.0.GATA.0029	3.2218817392346626	3.2218817392346626	-1.2776809777549398	-2.5738852613476677	-3.4856253819538874	0.0	0.0	0.0	0.0	0.0
GM.5.0.Unknown.0161	-1.0571037087981514	-1.5602806621897776	-0.7387373981183264	0.7747572444560694	0.31076488946297665	0.0	0.0	0.0	0.0	0.1552175262761098
GM.5.0.Unknown.0159	1.663367839527963	1.3401371223628993	0.25891031246193014	2.041437053420419	0.6326002184746787	0.0	0.0	0.0	0.0	0.16852188567120494
GM.5.0.C2H2_ZF.0188	-0.031040691667956317	0.08085214517430146	0.0008481429432458213	3.1248991500118355	0.32568849872170547	0.0	0.0	0.0	0.0	0.27939154729699767
GM.5.0.Nuclear_receptor.0061	1.3828835213702182	1.6389844810708587	-1.7003058480461328	2.7941283581368648	1.2593300412656872	0.0	0.0	0.0	0.0	0.487826511153488
GM.5.0.Unknown.0028	-0.3533482773527563	0.1547958330339235	-2.1604897840501467	-1.7789688047487688	-1.765886157349862	0.0	0.0	0.0	0.0	0.23504368264668057
GM.5.0.Homeodomain.0049	0.6357297165560994	-0.7487599791898019	-0.7712243044271055	-0.8755483480616963	0.6478759980808716	0.0	0.0	0.0	0.0	0.18182624506630005
GM.5.0.C2H2_ZF.0095	2.056695470272629	1.5029855468443951	-1.3756728256021626	2.635849151519763	0.5343762998077649	0.0	0.0	0.0	0.0	0.2705219743669342
GM.5.0.Unknown.0113	1.304195836576052	1.9231543497390589	0.5573401792140023	-0.3955258450117843	-1.080002261052731	0.0	0.0	0.0	0.0	0.19069581799636348
GM.5.0.Myb_SANT.0012	-1.5249605646216362	-0.5284093136151603	-0.47365008003691766	-2.272108836088092	-1.1989256269344142	0.0	0.0	0.0	0.0	0.46565257882832944
GM.5.0.Unknown.0171	-0.7929804172028596	-0.287008160934906	0.234791728040458	1.3226171896225287	1.2942682819783273	0.0	0.0	0.0	0.0	0.2572176149718391
GM.5.0.Mixed.0104	-2.66054581345086	-2.794026256566657	-1.1146635796462505	-0.36760390515537994	0.8765527808179809	0.0	0.0	0.0	0.0	0.19513060446139519
GM.5.0.RFX.0016	-0.5851205992724301	-0.4794817080010811	1.1521128229435356	-0.6249765876884599	0.2533634551062466	0.0	0.0	0.0	0.0	0.7317397667302319
GM.5.0.DM.0004	-0.6470474294727195	-0.12773008238008352	-0.822694223897923	0.31227843669206506	-0.572636814136117	0.0	0.0	0.0	0.0	0.2705219743669342
GM.5.0.Nuclear_receptor.0125	1.7663195660472906	2.1422728320566153	-0.8916755423477567	2.5419283478775876	-0.7027625434717908	0.0	0.0	0.0	0.0	0.23060889618164884
GM.5.0.T-box.0026	-1.033294650876882	-1.047055473816754	-0.5050830852477302	0.2670582289013049	0.8023928275976382	0.0	0.0	0.0	0.0	0.49226129761851967
GM.5.0.C2H2_ZF.0138	1.6987778334562702	1.1438416820303128	-0.12616674619507165	0.28896847609093124	-0.2415712649160085	0.0	0.0	0.0	0.0	0.1552175262761098
GM.5.0.Unknown.0048	2.483228258196531	2.251169407362117	0.7098121744942515	1.315889045284867	-1.1379944186024782	0.0	0.0	0.0	0.0	0.11530444809082442
GM.5.0.Nuclear_receptor.0042	1.6622618583205413	0.9970771749770061	-0.8185989566857201	2.1196310667206326	0.7964973933412588	0.0	0.0	0.0	0.0	0.27939154729699767
GM.5.0.bHLH.0120	-0.5957544290180333	-0.758319501260735	0.6570142080125446	0.741235457629358	2.126540514793467	0.0	0.0	0.0	0.0	0.6519136103596612
GM.5.0.C2H2_ZF.0281	1.169310374864756	1.7883420686350409	-2.2021775375845487	1.748908963063179	0.32094937631578924	0.0	0.0	0.0	0.0	0.16408709920617323
