# maelstrom - GimmeMotifs version 0.16.1
# method: hypergeom with motif count
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/K27ac_at_FOXg1_peaks_maelstrom.out/motif.nr.count.txt.gz
# activity values: -log10-transformed, BH-corrected hypergeometric p-values
	cluster_1	cluster_2	cluster_3	cluster_4
GM.5.0.GATA.0029	-0.0	-0.0	-0.0	-0.0
GM.5.0.Unknown.0161	-0.0	-0.0	-0.0	10.349194636335316
GM.5.0.Unknown.0159	-0.0	-0.0	-0.0	27.119932825330636
GM.5.0.C2H2_ZF.0188	-0.0	-0.0	-0.0	42.61430640164958
GM.5.0.Nuclear_receptor.0061	-0.0	-0.0	-0.0	34.600952759127914
GM.5.0.Unknown.0028	-0.0	-0.0	-0.0	38.61814764437174
GM.5.0.Homeodomain.0049	-0.0	-0.0	-0.0	31.149432414647315
GM.5.0.C2H2_ZF.0095	-0.0	-0.0	-0.0	31.722717809362397
GM.5.0.Unknown.0113	-0.0	-0.0	-0.0	27.119932825330636
GM.5.0.Myb_SANT.0012	-0.0	-0.0	-0.0	44.89960940943883
GM.5.0.Unknown.0171	-0.0	-0.0	-0.0	40.3414439679639
GM.5.0.Mixed.0104	-0.0	-0.0	-0.0	27.692657976057696
GM.5.0.RFX.0016	-0.0	-0.0	-0.0	74.80816635083488
GM.5.0.DM.0004	-0.0	-0.0	-0.0	25.96457175229677
GM.5.0.Nuclear_receptor.0125	-0.0	-0.0	-0.0	25.388030221975146
GM.5.0.T-box.0026	-0.0	-0.0	-0.0	74.80816635083488
GM.5.0.C2H2_ZF.0138	-0.0	-0.0	-0.0	24.233458702566214
GM.5.0.Unknown.0048	-0.0	-0.0	-0.0	5.722293016116741
GM.5.0.Nuclear_receptor.0042	-0.0	-0.0	-0.0	29.997986300724083
GM.5.0.bHLH.0120	-0.0	-0.0	-0.0	52.81477326663907
GM.5.0.C2H2_ZF.0281	-0.0	-0.0	-0.0	27.692657976057696
GM.5.0.bZIP.0031	-0.0	-0.0	-0.0	32.29757640732177
GM.5.0.C2H2_ZF.0101	-0.0	-0.0	-0.0	62.98045517992967
GM.5.0.Nuclear_receptor.0087	-0.0	-0.0	-0.0	36.896286497145745
GM.5.0.Unknown.0128	-0.0	-0.0	-0.0	43.18289971079763
GM.5.0.Unknown.0123	-0.0	-0.0	-0.0	46.59735461457746
GM.5.0.Nuclear_receptor.0117	-0.0	-0.0	-0.0	33.4497003107794
GM.5.0.C2H2_ZF.0171	-0.0	-0.0	-0.0	31.149432414647315
GM.5.0.Mixed.0078	-0.0	-0.0	-0.0	44.89960940943883
GM.5.0.C2H2_ZF.0217	-0.0	-0.0	-0.0	29.997986300724083
GM.5.0.Nuclear_receptor.0148	-0.0	-0.0	-0.0	-0.0
GM.5.0.Nuclear_receptor.0088	-0.0	-0.0	-0.0	19.027217094616038
GM.5.0.Nuclear_receptor.0064	-0.0	-0.0	-0.0	39.76891019586513
GM.5.0.Homeodomain.0159	-0.0	-0.0	-0.0	40.3414439679639
GM.5.0.C2H2_ZF.0224	-0.0	-0.0	-0.0	38.0445427774213
GM.5.0.C2H2_ZF.0038	-0.0	-0.0	-0.0	24.811488269411047
GM.5.0.T-box.0007	-0.0	-0.0	-0.0	48.29790968252548
GM.5.0.C2H2_ZF.0126	-0.0	-0.0	-0.0	34.600952759127914
GM.5.0.bZIP.0060	-0.0	-0.0	-0.0	27.692657976057696
GM.5.0.Nuclear_receptor.0046	-0.0	-0.0	-0.0	37.47088185672574
GM.5.0.C2H2_ZF.0161	-0.0	-0.0	-0.0	48.863584378327815
GM.5.0.Unknown.0040	-0.0	-0.0	-0.0	47.73570677574034
GM.5.0.C2H2_ZF.0129	-0.0	-0.0	-0.0	55.0761959612621
GM.5.0.Nuclear_receptor.0047	-0.0	-0.0	-0.0	34.600952759127914
GM.5.0.C2H2_ZF.0280	-0.0	-0.0	-0.0	55.630989314862845
GM.5.0.Homeodomain_POU.0011	-0.0	-0.0	-0.0	49.987695592859424
GM.5.0.C2H2_ZF.0073	-0.0	-0.0	-0.0	31.149432414647315
GM.5.0.Unknown.0049	-0.0	-0.0	-0.0	39.19261779981447
GM.5.0.Mixed.0060	-0.0	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0158	-0.0	-0.0	-0.0	37.47088185672574
GM.5.0.Mixed.0009	-0.0	-0.0	-0.0	49.42597521359707
GM.5.0.Unknown.0054	-0.0	-0.0	-0.0	65.80484078625975
GM.5.0.C2H2_ZF.0076	-0.0	-0.0	-0.0	48.863584378327815
GM.5.0.Rel.0021	-0.0	-0.0	-0.0	38.0445427774213
GM.5.0.C2H2_ZF.0233	-0.0	-0.0	-0.0	32.29757640732177
GM.5.0.Nuclear_receptor.0134	-0.0	-0.0	-0.0	28.268414953227715
GM.5.0.Unknown.0059	-0.0	-0.0	-0.0	47.73570677574034
GM.5.0.Nuclear_receptor.0065	-0.0	-0.0	-0.0	31.722717809362397
GM.5.0.Pipsqueak.0001	-0.0	-0.0	-0.0	-0.0
GM.5.0.Unknown.0129	-0.0	-0.0	-0.0	40.91293119414925
GM.5.0.Nuclear_receptor.0016	-0.0	-0.0	-0.0	38.61814764437174
GM.5.0.Grainyhead.0007	-0.0	-0.0	-0.0	42.61430640164958
GM.5.0.CUT_Homeodomain.0006	-0.0	-0.0	-0.0	44.330399476414335
GM.5.0.T-box.0018	-0.0	-0.0	-0.0	34.600952759127914
GM.5.0.C2H2_ZF.0302	-0.0	-0.0	-0.0	21.919957821894467
GM.5.0.C2H2_ZF.0289	-0.0	-0.0	-0.0	49.987695592859424
GM.5.0.C2H2_ZF.0225	-0.0	-0.0	-0.0	28.268414953227715
GM.5.0.Forkhead.0058	-0.0	-0.0	-0.0	56.201867354357915
GM.5.0.Nuclear_receptor.0114	-0.0	-0.0	-0.0	41.484294203368506
GM.5.0.C2H2_ZF.0293	-0.0	-0.0	-0.0	51.11534570818544
GM.5.0.Ets.0029	-0.0	-0.0	-0.0	34.02616649247083
GM.5.0.bZIP.0062	-0.0	-0.0	-0.0	32.29757640732177
GM.5.0.C2H2_ZF.0235	-0.0	-0.0	-0.0	52.81477326663907
GM.5.0.Mixed.0020	-0.0	-0.0	-0.0	53.3816762060047
