# maelstrom - GimmeMotifs version 0.16.1
# method: rf with motif score
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/K27ac_at_FOXg1_peaks_maelstrom.out/motif.nr.score.txt.gz
# activity values: feature importances from fitted Random Forest model
	cluster_1	cluster_2	cluster_3	cluster_4
GM.5.0.GATA.0029	0.021174883160773105	0.001552629398452714	-0.004034498753507937	-0.006324689797460728
GM.5.0.Unknown.0161	-0.0016410036006248333	0.001481333779669141	0.0014320383486350879	0.0014664562979192657
GM.5.0.Unknown.0159	0.0011500553143733176	-0.0016642387789205537	-0.0015747502140550879	0.001685617217846634
GM.5.0.C2H2_ZF.0188	-0.0013263159583258657	0.0015620298368918912	-0.0014640007035593662	0.0016662722562716737
GM.5.0.Nuclear_receptor.0061	0.001302019680894621	-0.001720533320367827	-0.0015540011596245596	0.0017173472854457089
GM.5.0.Unknown.0028	0.0013081664014303316	-0.001557699066642759	-0.0014240839382635478	-0.0014799495855604197
GM.5.0.Homeodomain.0049	-0.0012693382199504475	-0.0014992008415055488	-0.0015156783467569082	0.0016227036247780991
GM.5.0.C2H2_ZF.0095	0.0012959009084195147	-0.0015685711711362915	-0.0016128603828042265	0.0016475428686194718
GM.5.0.Unknown.0113	0.0012455292492776224	-0.001717195390922544	-0.0016044000910983103	-0.0015670965384231334
GM.5.0.Myb_SANT.0012	0.00123944144649572	-0.001537374941626324	-0.0015331567494277585	0.0016533466221567321
GM.5.0.Unknown.0171	-0.0011981791655946027	-0.0016145736316134482	0.0015841897445598569	0.0016455303722959491
GM.5.0.Mixed.0104	-0.0013208106111716183	0.0015862338347937194	0.0016203416598848254	0.0016537546213723114
GM.5.0.RFX.0016	-0.0013208652143311265	0.0015692026363879632	0.001429953286908674	0.0015044817865596891
GM.5.0.DM.0004	0.0013847492674328476	-0.0015690165780746777	0.0014686757856535683	0.0015712753755701386
GM.5.0.Nuclear_receptor.0125	0.001245753327698811	-0.0017599894220197848	-0.0014817358728056729	0.001537647186787965
GM.5.0.T-box.0026	-0.0011748229112390107	0.0014252975269523713	0.0013473142016761739	0.0014605929837904874
GM.5.0.C2H2_ZF.0138	0.0013373124055467698	-0.0015154871800393981	-0.0016170893423767796	-0.0015779420927098447
GM.5.0.Unknown.0048	0.0013078945476797466	-0.0015700657891332952	-0.0014860466358365785	-0.0015390214279914214
GM.5.0.Nuclear_receptor.0042	-0.0012600011456049601	0.0016250766138526614	-0.0015894109199868186	0.0015988221530847868
GM.5.0.bHLH.0120	-0.001404686618735483	0.0016282289421403813	0.0016679239255592319	0.0019746042688594126
GM.5.0.C2H2_ZF.0281	0.0012922713255534158	-0.0016678131001443416	-0.0015798754595361098	0.0016706071680312364
GM.5.0.bZIP.0031	0.001257429943409554	-0.0016853939832012798	0.0016172647899541604	-0.0015853273769124443
GM.5.0.C2H2_ZF.0101	-0.0012825525623756738	-0.001537160472219566	0.0014438330403411495	0.0014023239980780885
GM.5.0.Nuclear_receptor.0087	-0.0012824313505017402	-0.0016001017305054207	-0.0015984838936033293	0.0015620399246160628
GM.5.0.Unknown.0128	0.0012711434479937733	-0.001554873250100773	-0.0016715902601219135	-0.001676323020106224
GM.5.0.Unknown.0123	-0.0012955695953908814	-0.0015743720908472066	-0.0015316329186081448	0.001577303449418354
GM.5.0.Nuclear_receptor.0117	0.0011954038099442684	0.0015897024406957274	-0.0013955297647653495	0.0015516645970842543
GM.5.0.C2H2_ZF.0171	0.0012908544669962157	0.0015082280815782124	-0.0015205281970266935	0.001672574887693272
GM.5.0.Mixed.0078	-0.0012182018649668322	0.0015782836190010195	0.0015601294904032928	0.0017338430932170765
GM.5.0.C2H2_ZF.0217	-0.001271294975624534	0.0017129234575880572	-0.001686186657772211	0.0015478463663992142
GM.5.0.Nuclear_receptor.0148	-0.00145684051189509	-0.0015284894754355976	0.0014345214643821753	0.0014850721087497256
GM.5.0.Nuclear_receptor.0088	0.0013535995139570048	-0.00160915263086793	-0.0016261345121223356	0.001464616975433315
GM.5.0.Nuclear_receptor.0064	0.001279984565492291	-0.001523579049656737	-0.0016169211952096114	0.0015909105738614027
GM.5.0.Homeodomain.0159	0.001370044521219764	0.0015934424110688817	-0.0016755859788568776	-0.0015357174828223683
GM.5.0.C2H2_ZF.0224	0.0012122499164043958	0.0016375832500909729	-0.0015734695169499458	-0.0014751528472463867
GM.5.0.C2H2_ZF.0038	0.0012949078635011992	-0.0014959188003964689	-0.001463361723230323	0.0015593648339484003
GM.5.0.T-box.0007	-0.001313249793662821	0.0015816017322485185	0.0016393203582008692	0.0016509586647423574
GM.5.0.C2H2_ZF.0126	0.0011756803011294635	-0.0016862574392756979	0.0016281936132569559	-0.0017034280462120358
GM.5.0.bZIP.0060	0.0013047755473369587	0.0016034282007128136	-0.0015721147470662414	-0.0014439467550945977
GM.5.0.Nuclear_receptor.0046	-0.0013503448204342163	-0.0016003936109757325	0.0015295386139151071	0.0016461667743890302
GM.5.0.C2H2_ZF.0161	-0.001311198528637399	-0.0015368403629710946	0.0016228130424629306	0.0015688727372493898
GM.5.0.Unknown.0040	-0.0011643650289614648	0.0015876841894495253	-0.0016721502111367232	0.0016578093083919646
GM.5.0.C2H2_ZF.0129	-0.0011392158525841147	0.0014317251778739948	-0.0015172337565717835	0.00168407232336548
GM.5.0.Nuclear_receptor.0047	-0.0011891058150463446	-0.0016769201094834424	0.0015595847080972394	0.001458495228519441
GM.5.0.C2H2_ZF.0280	-0.0013498823756399566	0.0015126788417540113	0.0014862789734815163	0.0016786508931960062
GM.5.0.Homeodomain_POU.0011	0.001289372228891173	-0.0015039409261797304	0.0015983373336359427	-0.001779116874125104
GM.5.0.C2H2_ZF.0073	0.0012886565120504886	-0.001536052746760359	-0.0015591626895821082	-0.0016326246583663665
GM.5.0.Unknown.0049	0.0015322375312578846	0.0016365169584074942	-0.001672915029800906	-0.0015551425136847846
GM.5.0.Mixed.0060	0.0012357610128695623	0.0013352339403078504	0.0014290295981351144	-0.0014701975934860256
GM.5.0.C2H2_ZF.0158	-0.0012497674118797533	0.0016118434565883578	-0.0016699590577937918	0.0016036404854791698
GM.5.0.Mixed.0009	0.0012647520807327207	0.001604170179174119	0.0017013496173863523	-0.0015526641144691566
GM.5.0.Unknown.0054	-0.0014028606956563556	-0.001488209501140431	0.0014108822039755272	0.0015465631580833914
GM.5.0.C2H2_ZF.0076	0.0013062810909239622	0.0015387792510514	-0.0016329360934350065	-0.0015795589257742368
GM.5.0.Rel.0021	0.0013744255533255153	-0.0016290235178188623	-0.001449887218517652	-0.001586349831788283
GM.5.0.C2H2_ZF.0233	0.0013399895183134592	0.0016534337635341928	-0.0015442088211438	-0.0013836913704767095
GM.5.0.Nuclear_receptor.0134	0.0012878525187874983	0.0015123354801501194	0.001454916261426581	-0.001573582774018873
GM.5.0.Unknown.0059	-0.001336986797095593	0.0016901013298688875	0.0015439495228639038	0.001592323328320107
GM.5.0.Nuclear_receptor.0065	-0.0013666295927048328	-0.0016984357355126932	0.0015563472001502276	0.001608011300794722
GM.5.0.Pipsqueak.0001	0.0014927642848937216	0.0014723085849227444	-0.0014414298682418553	-0.001345764788435156
GM.5.0.Unknown.0129	-0.001363222385345785	0.0015455349990615907	0.001656055287083163	0.0015493451815238393
GM.5.0.Nuclear_receptor.0016	-0.0012797153040008283	-0.0015744538231217955	-0.0015124905621218226	0.0017942196188975546
GM.5.0.Grainyhead.0007	-0.0013357484996873855	0.0016119942667229049	0.0014672853298660874	0.0014648142457080642
GM.5.0.CUT_Homeodomain.0006	-0.001247378722525149	0.0016418739998971881	-0.001687670114604805	0.001499705934326484
GM.5.0.T-box.0018	-0.0013837003682604019	-0.0017092056939229632	-0.0015223839935980064	0.0015749826985941807
GM.5.0.C2H2_ZF.0302	0.0014788077179290916	0.0015935591867971071	-0.0015424986113664737	-0.001486957103520174
GM.5.0.C2H2_ZF.0289	-0.001223292062103718	-0.0015413048638564487	0.0015542988054779898	-0.001572454044235259
GM.5.0.C2H2_ZF.0225	-0.0014814158652650886	0.0015553180266429823	0.0015822864064110947	0.001460174307048292
GM.5.0.Forkhead.0058	-0.0014136033133999386	-0.0015703838062138906	-0.001519824765133729	0.0015042456927056662
GM.5.0.Nuclear_receptor.0114	-0.0012911377431588564	-0.0016421673025088135	-0.0015869304502581511	0.001614972876098561
GM.5.0.C2H2_ZF.0293	-0.001319013183761804	-0.0015985843356402924	0.0015582686238519744	0.0015694438830472766
GM.5.0.Ets.0029	0.0013367928450167663	-0.0014987747223105866	-0.001588415201638205	-0.0015489170951433042
GM.5.0.bZIP.0062	-0.0012284614038335067	0.001604421540330756	0.00157191608688248	0.0016179885031682598
GM.5.0.C2H2_ZF.0235	-0.001337409433699701	0.0016777608670359675	-0.0016308707226614985	0.0014798029743861992
GM.5.0.Mixed.0020	-0.001217608587616706	0.0013564132084367745	0.0014829262094082805	0.0014120104154126522
GM.5.0.Forkhead.0040	-0.001456736419899201	0.0013159980237052783	0.0014846873249695113	0.0014151614267621762
GM.5.0.Rel.0008	0.0011294062257010491	0.0014287016869611088	-0.0013994472114591372	-0.0014094817083505863
GM.5.0.Nuclear_receptor.0111	-0.0013474989425203946	-0.0015895617506983567	0.0015394366609618368	0.0015835532028155865
GM.5.0.C2H2_ZF.0203	0.0012295342049558774	0.001512440297034576	-0.001481831376214081	-0.001389529648584768
GM.5.0.Unknown.0190	-0.001355532099898546	0.0016501773851786549	-0.0015167029954316089	0.001536733617184219
GM.5.0.EIN3.0001	0.0010724461274559973	0.0015330500137165331	-0.0015248276484058326	0.0014406543185515298
GM.5.0.C2H2_ZF.0010	-0.0014092381911102137	0.0014515282182092158	0.0015194812202857372	0.0017501285935193544
GM.5.0.Nuclear_receptor.0085	0.0013539092118834582	-0.001535843084013639	-0.0015366877765759857	-0.0015247005784843155
GM.5.0.C2H2_ZF.0197	0.0012535172384938887	-0.001497613041359044	-0.0016008085335130011	-0.0014789020906979362
GM.5.0.Paired_box.0013	-0.00125077219384341	0.0014060355599248603	0.0014029110341398218	0.0013651102168755582
GM.5.0.Mixed.0007	-0.0012079012071499464	0.0015366475087606885	0.001490581388563009	0.001539743304283003
GM.5.0.bHLH.0075	-0.0016653165381567611	0.0015522937926658684	0.0016346848185281452	0.0014866201778630597
GM.5.0.Mixed.0047	-0.0011693624115777204	0.001495408807566554	0.001483119727957395	0.0014700145196151926
GM.5.0.GCM.0004	-0.001280858622821973	0.0016354265736787926	0.0015699419218071263	0.0016302335493150993
GM.5.0.Mixed.0055	0.0012540817631009503	-0.0015549717435801192	0.0015819826968669272	-0.0015543207322296893
GM.5.0.Nuclear_receptor.0131	-0.001303494699609661	-0.0016774081267659658	0.0015505111438169337	0.0015619600341575115
GM.5.0.Nuclear_receptor.0115	0.001321343453106633	-0.0015563154237655552	0.0015967400511364908	-0.0014495516609246586
GM.5.0.Unknown.0141	0.0013035705087285077	0.0014219904674941865	-0.0014484637828604627	-0.0013593486605785595
GM.5.0.C2H2_ZF.0209	-0.0013221833528170351	0.001612431812553887	0.0015234707685183788	0.0016954637486943603
GM.5.0.Ets.0043	-0.001365898688060563	0.0015083719284205255	0.0016893785948739373	-0.0015633783236105366
GM.5.0.Nuclear_receptor.0100	-0.0011891274631564803	0.0014707605690596928	0.0013821099874207876	0.001315596895511439
GM.5.0.Mixed.0065	0.0013627360039497535	-0.0016044790926709664	-0.0016394510899836983	-0.0015719594177736494
GM.5.0.bHLH.0105	0.001165438016689254	-0.0014321869483774885	-0.0013160958137615711	-0.0014141911784287342
GM.5.0.C2H2_ZF.0083	-0.0013316922288224503	0.001590352389933627	0.001504843988943205	0.0014368996907621584
GM.5.0.STAT.0025	0.0013729612314515127	-0.0015852467024930338	-0.0015455431160167382	-0.0014709760060682133
GM.5.0.C2H2_ZF.0039	-0.0012829849524940487	0.0015872234063134467	-0.0014657262030604377	0.0015345227673088054
GM.5.0.Unknown.0138	-0.0013839138221278266	0.0016228565968604855	0.001546923840361969	0.0015779448035339555
GM.5.0.C2H2_ZF.0298	0.0012683555906214889	-0.001605572434403104	0.0015688954076271253	-0.0016314907969086209
GM.5.0.Zinc_cluster.0001	-0.001257845626779245	0.0016242872340055696	0.0015946785965614877	0.0014941117412630876
GM.5.0.C2H2_ZF.0080	0.0012558122450099032	-0.0015954928852449065	0.0016035517942525998	-0.0016185156350155467
GM.5.0.Unknown.0105	0.0012920227942663806	-0.0015547062290468933	-0.001508670778622206	-0.0014556666163500801
GM.5.0.Nuclear_receptor.0118	-0.001326754648771393	-0.0015924949222225248	0.0014963971086245297	0.001527847438102131
GM.5.0.Unknown.0169	-0.0014055563607538516	0.0015244705993686602	0.001657394698296365	0.001540404097019937
GM.5.0.C2H2_ZF.0147	0.001357200178442676	0.001591006488278951	-0.0015697219401396784	-0.0015115495494257617
GM.5.0.T-box.0012	-0.0012782641590152197	-0.001582035754698482	0.0015462084092360848	0.0016355320152689542
GM.5.0.Prospero.0001	0.001358019197416158	-0.0016100326556101456	0.0015102445112475282	0.0015587752973215054
GM.5.0.C2H2_ZF.0146	-0.0013919302057997327	-0.0016709463074686902	0.00151280312088018	0.0014889295070020436
GM.5.0.Homeodomain.0153	-0.001137410435868049	0.0014270212684545347	0.0013163362688964164	0.0013133671885080245
GM.5.0.Nuclear_receptor.0081	-0.0012851813290791928	-0.001642228787485416	-0.0015273705396185533	0.0017488004346995641
GM.5.0.Nuclear_receptor.0116	-0.001209965864934415	0.0016332173814996318	0.0016075621027188654	-0.001460181992082779
GM.5.0.Forkhead.0055	0.001302159115979168	0.001469078942983889	0.0014644104102896846	0.0013853772668595363
GM.5.0.Ets.0038	0.001457000662003205	-0.0016114614230339722	0.0015394877248066593	-0.0015196811227733637
GM.5.0.Unknown.0015	0.001255591903616938	-0.0016540463902135565	-0.0015339301676474237	-0.0015620511100887268
GM.5.0.TEA.0005	0.0042079512921866956	0.0014817679634735773	-0.0015857669279752506	-0.0016825973850544363
GM.5.0.Paired_box.0018	-0.0011715987541571302	-0.001575769729782541	0.0016171175268467667	0.0014078451921737492
