	z-score cluster_1	z-score cluster_2	z-score cluster_3	z-score cluster_4	cluster_1 % with motif	cluster_2 % with motif	cluster_3 % with motif	cluster_4 % with motif
GM.5.0.GATA.0029	2.7895755484591387	1.1323542882142967	-2.810230835199695	-3.279023181741138	0.0	0.0	0.0	0.0
GM.5.0.Unknown.0161	-1.4154822552314577	0.24187686513157536	0.5280691493958927	0.41426238328789833	0.0	0.0	0.0	0.27018491876907963
GM.5.0.Unknown.0159	1.0097577461071525	-0.03647668865878344	0.3902160583606375	0.7377292128137382	0.0	0.0	0.0	0.16842696234955615
GM.5.0.C2H2_ZF.0188	0.1279161947830764	0.7787141199424864	0.4463323763306435	1.7589290606673575	0.0	0.0	0.0	0.26667602372013055
GM.5.0.Nuclear_receptor.0061	0.6368859689519458	-1.6589377802546965	-0.7222005388986955	1.471583551413419	0.0	0.0	0.0	0.39299624548229767
GM.5.0.Unknown.0028	-0.4119180471354947	-1.0022400072133393	-1.9935930499559018	-1.555569723881573	0.0	0.0	0.0	0.24913154847538507
GM.5.0.Homeodomain.0049	-0.16033185956398835	-0.18438776906918447	-0.7279657953340911	-0.026081098845787794	0.0	0.0	0.0	0.19298922769219973
GM.5.0.C2H2_ZF.0095	0.8253677351328176	-0.5542828931352893	-0.9307174023463928	0.841249810201497	0.0	0.0	0.0	0.2000070177900979
GM.5.0.Unknown.0113	1.1774915001967996	-0.9091376130544869	-0.43386418838208823	-1.2383207760126138	0.0	0.0	0.0	0.16842696234955615
GM.5.0.Myb_SANT.0012	-0.47385432555012286	-1.8482232426579532	-1.9563174467805462	-0.05632496888538086	0.0	0.0	0.0	0.28071160391592687
GM.5.0.Unknown.0171	-0.12126895473644878	-0.7088095964063077	0.9632363112052941	1.3288580473630203	0.0	0.0	0.0	0.24913154847538507
GM.5.0.Mixed.0104	-2.7191174357480143	-0.5474299876724819	0.1104563595733766	0.8695941870064678	0.0	0.0	0.0	0.1719358573985052
GM.5.0.RFX.0016	-0.7797373981982888	0.863785292444626	0.5130843077257486	1.5520924488346863	0.0	0.0	0.0	0.46668304151022844
GM.5.0.DM.0004	0.038313768153772944	-1.66947318307044	-1.2616245981751724	0.29325662707405076	0.0	0.0	0.0	0.16140917225165796
GM.5.0.Nuclear_receptor.0125	1.3497962949032951	-1.113037914945748	0.27148360553020146	0.08313700376998799	0.0	0.0	0.0	0.15790027720270886
GM.5.0.T-box.0026	-1.170178750254242	0.10832635286634754	-1.199077305100278	1.63604216071631	0.0	0.0	0.0	0.4737008316081266
GM.5.0.C2H2_ZF.0138	1.4601082774435057	0.1669349266677369	-0.4049161988588999	-1.317171696701879	0.0	0.0	0.0	0.15439138215375978
GM.5.0.Unknown.0048	2.198728126084237	0.8705081839319404	1.11955859185424	-1.0647048473913194	0.0	0.0	0.0	0.038597845538439944
GM.5.0.Nuclear_receptor.0042	-0.06679411284029521	0.7102100259845571	-0.4955269348452256	0.8609253769268916	0.0	0.0	0.0	0.27018491876907963
GM.5.0.bHLH.0120	-1.0364839087783608	1.7927401129693379	1.4567069138745719	1.3622767028707945	0.0	0.0	0.0	0.326327239552265
GM.5.0.C2H2_ZF.0281	0.33820240121054135	-1.6196981296344986	-1.2285728538840577	0.891973767350705	0.0	0.0	0.0	0.17544475244745428
GM.5.0.bZIP.0031	0.3082644965512875	-1.6666681829323748	0.5825090575082792	-1.4924723239062738	0.0	0.0	0.0	0.2000070177900979
GM.5.0.C2H2_ZF.0101	-1.0901660122268264	-1.0993017058475918	-0.23853202270608936	0.9068494599047255	0.0	0.0	0.0	0.4140496157759921
GM.5.0.Nuclear_receptor.0087	-0.48199452739925736	-0.7923089850430317	-0.8998012424796109	1.0336446679825748	0.0	0.0	0.0	0.3543983999438577
GM.5.0.Unknown.0128	0.4874872989009927	-1.315385809576603	-2.0089352275724037	-1.6196872945968197	0.0	0.0	0.0	0.27018491876907963
GM.5.0.Unknown.0123	-0.6753434182709344	-0.8058063124190786	-0.7150810425775829	1.3383627139152128	0.0	0.0	0.0	0.2877293940138251
GM.5.0.Nuclear_receptor.0117	-0.10437280358103866	-0.4648389695903942	-1.0388306807286443	0.20103102773152326	0.0	0.0	0.0	0.20702480788799604
GM.5.0.C2H2_ZF.0171	0.5057974845691622	-0.48685859589447394	-0.9003914035157032	1.025441479339926	0.0	0.0	0.0	0.19298922769219973
GM.5.0.Mixed.0078	-0.15023203147726846	0.5686204184641526	1.0901530782070783	1.666844386227108	0.0	0.0	0.0	0.2772027088669778
GM.5.0.C2H2_ZF.0217	-0.5731318704209157	1.4302711083373216	-1.4682819026578522	0.7161623540830458	0.0	0.0	0.0	0.18597143759430157
GM.5.0.Nuclear_receptor.0148	-0.7262832261531906	-1.2736088965323258	-1.04011737629887	-0.6301408522563197	0.0	0.0	0.0	0.0
GM.5.0.Nuclear_receptor.0088	0.14635956258259325	-2.0416796032316378	-2.390575266317952	-0.11278112247518293	0.0	0.0	0.0	0.11930243166426893
GM.5.0.Nuclear_receptor.0064	0.3329698417082001	-0.5532441373400819	-1.104136052037579	0.9002635314242616	0.0	0.0	0.0	0.25614933857328326
GM.5.0.Homeodomain.0159	0.9696259388224163	0.3109280070350553	-2.2504823850143163	-1.366918172427837	0.0	0.0	0.0	0.2526404435243342
