# Note: this mapping is specifically created for this non-redundant set of motifs.
# It also includes factors for motifs that were similar, but this can be
# specific to this analysis.
Motif	Factor	Evidence	Curated
GM.5.0.Sox.0001	SRY	JASPAR	Y
GM.5.0.Sox.0001	SOX9	Transfac	Y
GM.5.0.Sox.0001	Sox9	Transfac	N
GM.5.0.Sox.0001	SOX9	SELEX	Y
GM.5.0.Sox.0001	Sox9	SELEX	N
GM.5.0.Sox.0001	SOX13	ChIP-seq	Y
GM.5.0.Sox.0001	SOX9	ChIP-seq	Y
GM.5.0.Sox.0001	Sox9	ChIP-seq	N
GM.5.0.Sox.0001	SRY	SELEX	Y
GM.5.0.Sox.0001	SOX15	SMiLE-seq	Y
GM.5.0.Sox.0001	Sox12	PBM	N
GM.5.0.Sox.0001	Sox15	PBM	N
GM.5.0.Sox.0001	Sox18	PBM	N
GM.5.0.Sox.0001	SOX30	Unknown	N
GM.5.0.Sox.0001	Sox30	PBM	N
GM.5.0.Sox.0001	Sox7	PBM	N
GM.5.0.Sox.0001	SOX9	TRANSFAC	Y
GM.5.0.Sox.0001	SOX9	HT-SELEX	N
GM.5.0.Sox.0001	SRY	Unknown	N
GM.5.0.Homeodomain.0056	TGIF1	Transfac	N
GM.5.0.Homeodomain.0056	ENSG00000234254	Transfac	N
GM.5.0.Homeodomain.0056	TGIF1	Unknown	N
GM.5.0.Homeodomain.0056	TGIF1	TRANSFAC	N
GM.5.0.Homeodomain.0056	TGIF1	ChIP-seq	N
GM.5.0.Mixed.0022	EGR1	ChIP-seq	N
GM.5.0.Mixed.0022	SRF	ChIP-seq	N
GM.5.0.Nuclear_receptor.0001	RORA	SELEX	Y
GM.5.0.Nuclear_receptor.0001	Rorc	SELEX	N
GM.5.0.Nuclear_receptor.0001	NR1D1	Unknown	N
GM.5.0.Nuclear_receptor.0001	RORA	HT-SELEX	N
GM.5.0.Mixed.0002	Lbx1	PBM	N
GM.5.0.Mixed.0002	VSX2	Transfac	Y
GM.5.0.Mixed.0002	Vsx2	Transfac	N
GM.5.0.Mixed.0002	PAX4	SELEX	Y
GM.5.0.Mixed.0002	PAX4	HT-SELEX	Y
GM.5.0.Mixed.0002	Pax4	PBM	N
GM.5.0.Mixed.0002	PAX4	HT-SELEX	N
GM.5.0.Mixed.0002	VSX2	TRANSFAC	Y
GM.5.0.Ets.0021	NR2C2	ChIP-seq	N
GM.5.0.Ets.0021	Nr2c2	ChIP-seq	N
GM.5.0.Ets.0021	NR2C2	ChIP-seq	N
GM.5.0.bHLH.0001	AHR	TRANSFAC	Y
GM.5.0.bHLH.0001	ARNT	TRANSFAC	Y
GM.5.0.bHLH.0001	HIF1A	TRANSFAC	Y
GM.5.0.bHLH.0001	ARNT	Unknown	N
GM.5.0.bHLH.0001	ARNT	ChIP-seq	Y
GM.5.0.bHLH.0001	Arnt	ChIP-seq	Y
GM.5.0.bHLH.0001	EPAS1	ChIP-seq	Y
GM.5.0.bHLH.0001	Epas1	ChIP-seq	Y
GM.5.0.bHLH.0001	HIF2a	ChIP-seq	Y
GM.5.0.bHLH.0001	HIF1A	Unknown	N
GM.5.0.bHLH.0001	HIF1A	JASPAR	Y
GM.5.0.bHLH.0001	ARNT	JASPAR	Y
GM.5.0.bHLH.0001	HIF1A	ChIP-seq	Y
GM.5.0.bHLH.0001	Hif1a	ChIP-seq	Y
GM.5.0.bHLH.0001	SIM1	ChIP-seq	N
GM.5.0.bHLH.0001	NPAS1	ChIP-seq	N
GM.5.0.bHLH.0001	NPAS3	ChIP-seq	N
GM.5.0.bHLH.0001	Npas1	ChIP-seq	N
GM.5.0.bHLH.0001	Sim1	ChIP-seq	N
GM.5.0.bHLH.0001	Npas3	ChIP-seq	N
GM.5.0.bHLH.0001	ARNT	COMPILED	Y
GM.5.0.bHLH.0001	HIF1A	COMPILED	Y
GM.5.0.bHLH.0001	HIF1b	ChIP-seq	Y
GM.5.0.bHLH.0001	HIF1a	ChIP-seq	Y
GM.5.0.Myb_SANT.0001	MYBL1	SELEX	Y
GM.5.0.Myb_SANT.0001	MYBL2	SELEX	Y
GM.5.0.Myb_SANT.0001	MYBL2	HT-SELEX	Y
