# maelstrom - GimmeMotifs version 0.16.1
# method: hypergeom with motif count
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/K4me3_at_FOXG1_peaks_maelstrom.out/motif.nr.count.txt.gz
# activity values: -log10-transformed, BH-corrected hypergeometric p-values
	cluster_1	cluster_2	cluster_3
GM.5.0.GATA.0029	-0.0	-0.0	-0.0
GM.5.0.Unknown.0161	-0.0	-0.0	6.022081203900794
GM.5.0.Unknown.0159	-0.0	-0.0	14.008620985427735
GM.5.0.C2H2_ZF.0188	-0.0	-0.0	20.868277751875013
GM.5.0.Nuclear_receptor.0061	-0.0	-0.0	17.625594611202867
GM.5.0.Unknown.0028	-0.0	-0.0	16.17974045222964
GM.5.0.Homeodomain.0049	-0.0	-0.0	15.817887326603879
GM.5.0.C2H2_ZF.0095	-0.0	-0.0	22.656360342848465
GM.5.0.Unknown.0113	-0.0	-0.0	12.195654327544277
GM.5.0.Myb_SANT.0012	-0.0	-0.0	29.736902306015526
GM.5.0.Unknown.0171	-0.0	-0.0	20.50731571143003
GM.5.0.Mixed.0104	-0.0	-0.0	17.26761511059993
GM.5.0.RFX.0016	-0.0	-0.0	52.84877831483002
GM.5.0.DM.0004	-0.0	-0.0	17.26761511059993
GM.5.0.Nuclear_receptor.0125	-0.0	-0.0	13.284169227439994
GM.5.0.T-box.0026	-0.0	-0.0	41.988498675483044
GM.5.0.C2H2_ZF.0138	-0.0	-0.0	12.558239688603736
GM.5.0.Unknown.0048	-0.0	-0.0	3.4802868753745617
GM.5.0.Nuclear_receptor.0042	-0.0	-0.0	20.868277751875013
GM.5.0.bHLH.0120	-0.0	-0.0	37.448260222243704
GM.5.0.C2H2_ZF.0281	-0.0	-0.0	14.37047422623047
GM.5.0.bZIP.0031	-0.0	-0.0	19.069004650585864
GM.5.0.C2H2_ZF.0101	-0.0	-0.0	43.036366820780295
GM.5.0.Nuclear_receptor.0087	-0.0	-0.0	26.222095797922066
GM.5.0.Unknown.0128	-0.0	-0.0	18.70876182079304
GM.5.0.Unknown.0123	-0.0	-0.0	25.50840518827671
GM.5.0.Nuclear_receptor.0117	-0.0	-0.0	15.45830988818346
GM.5.0.C2H2_ZF.0171	-0.0	-0.0	13.284169227439994
GM.5.0.Mixed.0078	-0.0	-0.0	20.868277751875013
GM.5.0.C2H2_ZF.0217	-0.0	-0.0	19.7910528141234
GM.5.0.Nuclear_receptor.0148	-0.0	-0.0	-0.0
GM.5.0.Nuclear_receptor.0088	-0.0	-0.0	8.927409214312881
GM.5.0.Nuclear_receptor.0064	-0.0	-0.0	31.14476159274964
GM.5.0.Homeodomain.0159	-0.0	-0.0	35.00471865411917
GM.5.0.C2H2_ZF.0224	-0.0	-0.0	18.70876182079304
GM.5.0.C2H2_ZF.0038	-0.0	-0.0	14.008620985427735
GM.5.0.T-box.0007	-0.0	-0.0	27.27908460443603
GM.5.0.C2H2_ZF.0126	-0.0	-0.0	22.299945000071816
GM.5.0.bZIP.0060	-0.0	-0.0	18.35007180862889
GM.5.0.Nuclear_receptor.0046	-0.0	-0.0	26.572919028041586
GM.5.0.C2H2_ZF.0161	-0.0	-0.0	30.089318066100343
GM.5.0.Unknown.0040	-0.0	-0.0	27.27908460443603
GM.5.0.C2H2_ZF.0129	-0.0	-0.0	27.630046493741695
