# maelstrom - GimmeMotifs version 0.16.1
# method: mwu with motif score
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/K4me3_at_FOXG1_peaks_maelstrom.out/motif.nr.score.txt.gz
# activity values: BH-corrected -log10 Mann-Whitney U p-value
	cluster_1	cluster_2	cluster_3
GM.5.0.GATA.0029	inf	-0.0	-0.0
GM.5.0.Unknown.0161	-0.0	11.074726730492218	15.171685618868969
GM.5.0.Unknown.0159	4.540604449265327	-0.0	0.11302005966494717
GM.5.0.C2H2_ZF.0188	-0.0	2.6086052478851847	0.6765413381421452
GM.5.0.Nuclear_receptor.0061	78.90627254879924	-0.0	-0.0
GM.5.0.Unknown.0028	0.016208250034276412	0.22445791196500772	-0.0
GM.5.0.Homeodomain.0049	5.976367313465198	-0.0	-0.0
GM.5.0.C2H2_ZF.0095	50.07201814459203	-0.0	-0.0
GM.5.0.Unknown.0113	64.03362898467773	-0.0	-0.0
GM.5.0.Myb_SANT.0012	6.6838342985227674	-0.0	-0.0
GM.5.0.Unknown.0171	-0.0	-0.0	2.575476831171243
GM.5.0.Mixed.0104	-0.0	8.044782663873848	4.960873616739223
GM.5.0.RFX.0016	-0.0	1.6122312304863224	21.099637101027497
GM.5.0.DM.0004	11.245811567987754	-0.0	-0.0
GM.5.0.Nuclear_receptor.0125	151.68882097400964	-0.0	-0.0
GM.5.0.T-box.0026	-0.0	1.8183465642532786	3.0577474466621464
GM.5.0.C2H2_ZF.0138	14.646263157866253	-0.0	-0.0
GM.5.0.Unknown.0048	35.69991789065119	-0.0	-0.0
GM.5.0.Nuclear_receptor.0042	-0.0	0.5218220218041965	-0.0
GM.5.0.bHLH.0120	-0.0	9.958817567369767	4.865221192812172
GM.5.0.C2H2_ZF.0281	37.62469284312628	-0.0	-0.0
GM.5.0.bZIP.0031	10.919050628219109	-0.0	-0.0
GM.5.0.C2H2_ZF.0101	1.3281966630792639	-0.0	-0.0
GM.5.0.Nuclear_receptor.0087	2.400250885766993	-0.0	-0.0
GM.5.0.Unknown.0128	118.09267826657556	-0.0	-0.0
GM.5.0.Unknown.0123	-0.0	0.13083305848324447	0.04222025923473179
GM.5.0.Nuclear_receptor.0117	5.7241630569613315	0.08061013533516702	-0.0
GM.5.0.C2H2_ZF.0171	82.29272429827081	-0.0	-0.0
GM.5.0.Mixed.0078	-0.0	5.550732282329575	4.11570504692776
GM.5.0.C2H2_ZF.0217	-0.0	3.2307015128842753	0.05094138797155784
GM.5.0.Nuclear_receptor.0148	65.66890944065028	-0.0	-0.0
GM.5.0.Nuclear_receptor.0088	39.09331804457522	-0.0	-0.0
GM.5.0.Nuclear_receptor.0064	5.342912974920328	-0.0	-0.0
GM.5.0.Homeodomain.0159	193.37010867593585	-0.0	-0.0
GM.5.0.C2H2_ZF.0224	-0.0	1.2641362007230448	-0.0
GM.5.0.C2H2_ZF.0038	34.19223261448821	-0.0	-0.0
GM.5.0.T-box.0007	0.019101662826483796	-0.0	0.30425833696666577
GM.5.0.C2H2_ZF.0126	8.694839171695602	-0.0	-0.0
GM.5.0.bZIP.0060	2.079035220756233	0.3607226750030267	-0.0
GM.5.0.Nuclear_receptor.0046	-0.0	5.719874878301017	3.0972044367064004
GM.5.0.C2H2_ZF.0161	-0.0	5.015215638016582	17.886802562823945
GM.5.0.Unknown.0040	12.552821978345387	1.5310980799020597	-0.0
GM.5.0.C2H2_ZF.0129	-0.0	4.495496567275896	0.23203466785152957
GM.5.0.Nuclear_receptor.0047	9.64369041390943	-0.0	0.02697775853734152
GM.5.0.C2H2_ZF.0280	-0.0	10.7820379701563	9.693315604320574
GM.5.0.Homeodomain_POU.0011	35.51588993349718	-0.0	-0.0
GM.5.0.C2H2_ZF.0073	51.80244744325276	-0.0	-0.0
GM.5.0.Unknown.0049	-0.0	0.5710851930704006	0.8867425112018434
GM.5.0.Mixed.0060	21.07752140713044	-0.0	-0.0
GM.5.0.C2H2_ZF.0158	-0.0	1.15499172584403	0.2866835426917997
GM.5.0.Mixed.0009	1.9572182890727847	-0.0	-0.0
GM.5.0.Unknown.0054	-0.0	-0.0	0.5895056548623152
GM.5.0.C2H2_ZF.0076	1.3996104162450411	0.164963297839675	-0.0
GM.5.0.Rel.0021	85.53954658144139	-0.0	-0.0
GM.5.0.C2H2_ZF.0233	-0.0	0.1605396728682862	1.6870504927052314
GM.5.0.Nuclear_receptor.0134	-0.0	0.14105468067961388	8.760354768740731
GM.5.0.Unknown.0059	-0.0	0.11574989897329371	0.876948383391644
GM.5.0.Nuclear_receptor.0065	-0.0	1.2200394675658655	1.4093389202122544
GM.5.0.Pipsqueak.0001	114.05238831273496	-0.0	-0.0
GM.5.0.Unknown.0129	4.570827348991462	-0.0	-0.0
GM.5.0.Nuclear_receptor.0016	24.04052972409135	-0.0	-0.0
GM.5.0.Grainyhead.0007	-0.0	10.224067405353953	12.593677929022329
GM.5.0.CUT_Homeodomain.0006	3.5013949908342736	-0.0	-0.0
GM.5.0.T-box.0018	-0.0	0.5752936941731712	1.005406421223473
GM.5.0.C2H2_ZF.0302	19.711564684359725	-0.0	-0.0
GM.5.0.C2H2_ZF.0289	0.10367401000498402	-0.0	1.0612184794867123
GM.5.0.C2H2_ZF.0225	-0.0	8.420309408727821	12.694806209469036
GM.5.0.Forkhead.0058	0.11574989897329371	0.24999125460370586	-0.0
GM.5.0.Nuclear_receptor.0114	-0.0	0.45589611377080896	0.5486862322988941
GM.5.0.C2H2_ZF.0293	-0.0	2.3680274222492375	1.6052363893709038
GM.5.0.Ets.0029	87.92839516834857	-0.0	-0.0
GM.5.0.bZIP.0062	-0.0	2.5804971915032024	4.310601542745234
GM.5.0.C2H2_ZF.0235	2.8327306922342554	0.19104144459788702	-0.0
GM.5.0.Mixed.0020	28.215865772628902	-0.0	-0.0
GM.5.0.Forkhead.0040	-0.0	10.91193585224895	16.501812146989813
GM.5.0.Rel.0008	36.03591179044251	-0.0	-0.0
GM.5.0.Nuclear_receptor.0111	-0.0	0.0727311216135379	0.6645254757899449
GM.5.0.C2H2_ZF.0203	-0.0	0.030259292787926547	0.23203466785152957
GM.5.0.Unknown.0190	2.9351023550974076	0.2830432881322335	-0.0
GM.5.0.EIN3.0001	-0.0	0.18780156716221605	0.49734938405230367
GM.5.0.C2H2_ZF.0010	-0.0	12.968013121664727	28.828403281900453
GM.5.0.Nuclear_receptor.0085	1.2241864040929125	-0.0	-0.0
GM.5.0.C2H2_ZF.0197	63.16957381264891	-0.0	-0.0
GM.5.0.Paired_box.0013	-0.0	5.002395414446162	4.820062734339937
GM.5.0.Mixed.0007	-0.0	24.402210651893782	13.160735665093801
GM.5.0.bHLH.0075	-0.0	31.894434527395184	40.39452906951633
GM.5.0.Mixed.0047	-0.0	1.873854162714741	3.3600829262380363
GM.5.0.GCM.0004	-0.0	4.369344724612816	0.8148748082902395
GM.5.0.Mixed.0055	2.1950222010006653	-0.0	0.051218680295007105
GM.5.0.Nuclear_receptor.0131	-0.0	2.624430011182016	0.027662903918244042
GM.5.0.Nuclear_receptor.0115	5.338029925086698	-0.0	-0.0
GM.5.0.Unknown.0141	-0.0	16.440402547991155	8.557402255071178
