# maelstrom - GimmeMotifs version 0.16.1
# method: rf with motif score
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/K4me3_at_FOXG1_peaks_maelstrom.out/motif.nr.score.txt.gz
# activity values: feature importances from fitted Random Forest model
	cluster_1	cluster_2	cluster_3
GM.5.0.GATA.0029	0.06997224203706515	-0.006733207762741088	-0.010709788690906134
GM.5.0.Unknown.0161	-0.0014419445966218	0.0014841238601444777	0.0014781173378492713
GM.5.0.Unknown.0159	0.0009128940983791623	-0.0014934026503769914	0.0014901276516695488
GM.5.0.C2H2_ZF.0188	-0.0009037954404440006	0.0015332025145899416	0.001450210402636123
GM.5.0.Nuclear_receptor.0061	0.001008892447531973	-0.001594813157764208	-0.0015192194229414126
GM.5.0.Unknown.0028	0.000905709337050986	-0.0014773253423632136	-0.001409938568484059
GM.5.0.Homeodomain.0049	0.0009515598299591181	-0.001534088061198798	-0.001446916383924434
GM.5.0.C2H2_ZF.0095	0.000903000059769278	-0.001521753298582694	-0.001610489400433629
GM.5.0.Unknown.0113	0.0009279422568586364	-0.0014657706596890806	-0.0014537601981033086
GM.5.0.Myb_SANT.0012	0.0008732261182276715	-0.0015087915378512084	0.0014652861643995564
GM.5.0.Unknown.0171	-0.0009245182594027668	0.0016049692365534707	0.0014754797648127123
GM.5.0.Mixed.0104	-0.0010048325277844529	0.001530856105745821	0.0014083780793923053
GM.5.0.RFX.0016	-0.0008883453483821726	0.0014181128072371474	0.0015678624271887565
GM.5.0.DM.0004	0.0008963453008086288	-0.0014943120802989986	-0.0015429031648508042
GM.5.0.Nuclear_receptor.0125	0.0011361271392702548	-0.001588246237053123	-0.0015606418423641825
GM.5.0.T-box.0026	0.0008588384476371115	0.0013762355906460147	0.0014433498896038496
GM.5.0.C2H2_ZF.0138	0.0008393736429555924	-0.0015052982084753678	-0.001462746384718863
GM.5.0.Unknown.0048	0.00090020294817297	-0.0014786471514193936	-0.001542592340795285
GM.5.0.Nuclear_receptor.0042	0.0009066779905192776	0.0015136915449520086	-0.0014297738164607018
GM.5.0.bHLH.0120	-0.0015034939318781498	0.001620327785524299	0.0016810209696041098
GM.5.0.C2H2_ZF.0281	0.0009798282881697531	-0.0014879400339786433	-0.0014965599838992509
GM.5.0.bZIP.0031	0.0009065809456927307	-0.0015173073471585953	-0.0014717123661162712
GM.5.0.C2H2_ZF.0101	-0.0008629045690723766	0.0015429331150562475	-0.001431337254043341
GM.5.0.Nuclear_receptor.0087	-0.0009502550560660778	0.0014778312501792827	-0.001508203622327709
GM.5.0.Unknown.0128	0.0012710676287823357	-0.0016146948209711809	-0.0015881167218279742
GM.5.0.Unknown.0123	0.000972468280529543	0.0015370726550081148	-0.001539761387622571
GM.5.0.Nuclear_receptor.0117	0.000842746462237781	-0.001569195356460853	-0.0015061172628690613
GM.5.0.C2H2_ZF.0171	0.0011253037809931302	0.0014734476943649652	-0.0015199233598013615
GM.5.0.Mixed.0078	-0.0009021983006785682	0.0016472786585930014	0.0014843806973331305
GM.5.0.C2H2_ZF.0217	-0.0008631134063230893	0.001530057696923792	0.0014547383825109655
GM.5.0.Nuclear_receptor.0148	-0.0012380774060271231	0.0014027109345354583	0.0015318947215266527
GM.5.0.Nuclear_receptor.0088	0.0008778983445610849	-0.0014899401968766165	-0.0015496195369088743
GM.5.0.Nuclear_receptor.0064	0.0009289069735957802	-0.001573507442240431	-0.0014740980526639267
GM.5.0.Homeodomain.0159	0.0012241426954679893	-0.0015095052126111257	-0.001474964277821553
GM.5.0.C2H2_ZF.0224	0.0009451561973473315	-0.001503870908731165	-0.0014637660036144788
GM.5.0.C2H2_ZF.0038	0.0009392258673816401	-0.0015127548177763018	-0.001544368343480398
GM.5.0.T-box.0007	-0.0008543348135749633	0.001566663926033471	0.001542871119848836
GM.5.0.C2H2_ZF.0126	0.0007769374605984514	-0.0015557800893431905	-0.00148363590861641
GM.5.0.bZIP.0060	0.0009410095639889519	0.001509959363424636	-0.00153767391934505
GM.5.0.Nuclear_receptor.0046	-0.0008934274550443972	0.0015150019280884594	0.0014839055491018124
GM.5.0.C2H2_ZF.0161	-0.0010026057338240629	0.0014858162877892083	0.001562438079606346
GM.5.0.Unknown.0040	0.0008401670007484667	0.0015887329381667399	-0.0015679878148996797
GM.5.0.C2H2_ZF.0129	-0.0008839188875161895	0.001506733834162814	-0.0015335493100202642
GM.5.0.Nuclear_receptor.0047	0.000774722469957281	-0.0015563523864918247	0.0014299029272932457
GM.5.0.C2H2_ZF.0280	-0.0010417019980275136	0.0016012115319558949	0.0014906913977639096
GM.5.0.Homeodomain_POU.0011	0.0008285820878458733	-0.0014551826364635992	-0.0014289745302311118
GM.5.0.C2H2_ZF.0073	0.0011972899245376622	-0.001515767046083158	-0.0014234152958335828
GM.5.0.Unknown.0049	0.0014141991020176579	0.001602693942853934	-0.001631088512598032
GM.5.0.Mixed.0060	0.0011219334047323606	0.0013157735093139386	-0.001326586087609925
GM.5.0.C2H2_ZF.0158	-0.0008247291651986977	0.001532421015419875	-0.0015779486722752648
GM.5.0.Mixed.0009	-0.0008519977121388414	0.0015319226092207195	0.0015571442405057673
GM.5.0.Unknown.0054	0.0011277717967153082	0.0014626840519937879	0.0013969156437834698
GM.5.0.C2H2_ZF.0076	0.000979092400278382	-0.0015385687012142992	-0.0015492318915413762
GM.5.0.Rel.0021	0.0009812839638237585	-0.0015878980802883245	-0.0015193709058595514
GM.5.0.C2H2_ZF.0233	-0.0008918577407578234	0.0015223827508968229	0.0015289132622296501
GM.5.0.Nuclear_receptor.0134	0.00092282541027752	-0.0014292351276565104	-0.001359088796060533
GM.5.0.Unknown.0059	-0.0008320562898388917	0.0016150653345598516	0.0015344846663792747
GM.5.0.Nuclear_receptor.0065	-0.0008817796805572399	0.001567466255307691	0.0014477051029170354
GM.5.0.Pipsqueak.0001	0.0019227259474495293	0.001385454938974301	-0.0013649650227686896
GM.5.0.Unknown.0129	-0.0008388650962821395	0.001584664645843075	0.0014931614561125523
GM.5.0.Nuclear_receptor.0016	0.0009065117398128011	-0.0015718354075294862	-0.001485131292688458
GM.5.0.Grainyhead.0007	-0.001033307738436149	0.0014971192215962792	0.0014266348299219573
GM.5.0.CUT_Homeodomain.0006	0.0008650510913205371	0.0015409728974720642	-0.0015306661559135754
GM.5.0.T-box.0018	-0.0009256677462325296	-0.001489681434389994	0.0015162085959480654
GM.5.0.C2H2_ZF.0302	0.0009363521255376338	0.0015199951184761034	-0.0014869193570968492
GM.5.0.C2H2_ZF.0289	-0.0008591277984391009	-0.0014601119520230596	0.0014685350682801248
GM.5.0.C2H2_ZF.0225	-0.0009728126674051063	0.001554901545250044	0.001618762508971233
GM.5.0.Forkhead.0058	-0.0008936903994620437	0.0015459614384501995	0.0014638538007541093
GM.5.0.Nuclear_receptor.0114	-0.0008743626359847345	0.0015922033291754997	0.0015464943047783877
GM.5.0.C2H2_ZF.0293	-0.0009793864814647668	0.001484787521819339	0.0015344392083763158
GM.5.0.Ets.0029	0.0010496904132274866	-0.0014913412294150594	-0.0015507025138948678
GM.5.0.bZIP.0062	-0.000886559946093263	0.0014664864200812308	0.0014848590720434557
GM.5.0.C2H2_ZF.0235	-0.0008061863237482727	0.001500831979160515	-0.0015019953757569612
GM.5.0.Mixed.0020	-0.0013124248287175585	0.0013803295788517645	0.0015660209465956523
GM.5.0.Forkhead.0040	-0.0017579216987625276	0.0015407735390005764	0.001453495877577471
GM.5.0.Rel.0008	0.000829449699495132	0.0014498728002556769	-0.0014045538471247033
GM.5.0.Nuclear_receptor.0111	-0.0008454960116882501	0.0015484353943698652	0.0014774808837454052
