	z-score cluster_1	z-score cluster_2	z-score cluster_3	cluster_1 % with motif	cluster_2 % with motif	cluster_3 % with motif
GM.5.0.GATA.0029	2.477340859427011	-2.5700220273011585	-3.476827984517783	0.0	0.0	0.0
GM.5.0.Unknown.0161	-1.2506629659334687	0.9241658918029668	0.20371317152877294	0.0	0.0	0.1411130828932458
GM.5.0.Unknown.0159	1.4673963812477158	0.6935049809757706	-0.4278971801094975	0.0	0.0	0.0855230805413611
GM.5.0.C2H2_ZF.0188	0.24898761460142166	1.4663218237975393	-0.22527267521375033	0.0	0.0	0.12614654379850762
GM.5.0.Nuclear_receptor.0061	1.2403467872882565	-0.9875525593145317	-1.4237535924172433	0.0	0.0	0.19242693121806248
GM.5.0.Unknown.0028	-0.532681888169589	-0.927515462661745	-1.8300030498181459	0.0	0.0	0.10048961963609929
GM.5.0.Homeodomain.0049	0.5914980699828397	-0.9007922375217843	-1.3067690104612253	0.0	0.0	0.09621346560903124
GM.5.0.C2H2_ZF.0095	0.9700066874553149	-0.5266374411878272	-1.5809307200205285	0.0	0.0	0.13683692886617776
GM.5.0.Unknown.0113	1.404376792091893	0.12494921787738039	-1.1406888289914179	0.0	0.0	0.07483269547369097
GM.5.0.Myb_SANT.0012	-0.23967484014472412	-1.9097144861823454	-0.737761965867296	0.0	0.0	0.18173654615039234
GM.5.0.Unknown.0171	-0.39177939482603386	0.9668554138158345	0.014797103996617237	0.0	0.0	0.1240084667849736
GM.5.0.Mixed.0104	-2.881149820787464	-0.05150299233222934	-0.17336104416737336	0.0	0.0	0.10476577366316735
GM.5.0.RFX.0016	-0.6080050903659311	0.2944007423076849	2.5205904290129877	0.0	0.0	0.3228496290436382
GM.5.0.DM.0004	0.017901222088002853	-1.563297449347443	-2.015139990924543	0.0	0.0	0.10476577366316735
GM.5.0.Nuclear_receptor.0125	2.079132537165518	-0.18989738876161816	-1.521847594405747	0.0	0.0	0.08338500352782707
GM.5.0.T-box.0026	-0.9148618595092842	-0.16109449730534403	0.9821041853117343	0.0	0.0	0.2565692416240833
GM.5.0.C2H2_ZF.0138	1.0183285886380293	0.15703143661248864	-1.1109759746611285	0.0	0.0	0.08124692651429304
GM.5.0.Unknown.0048	2.1016461327112377	1.1407069028947392	-1.3776180164240377	0.0	0.0	0.0235188471488743
GM.5.0.Nuclear_receptor.0042	0.4362169117080253	0.8055800144058238	-0.8465157801478164	0.0	0.0	0.1795984691368583
GM.5.0.bHLH.0120	-1.271885359055709	1.7557458118609888	2.008778808410047	0.0	0.0	0.22877424044814096
GM.5.0.C2H2_ZF.0281	0.8003387419845427	-0.9060728475025254	-1.5929443642261827	0.0	0.0	0.08979923456842916
GM.5.0.bZIP.0031	0.46801467267748004	-0.9341795757903287	-1.3087618224631212	0.0	0.0	0.11545615873083748
GM.5.0.C2H2_ZF.0101	-0.3253517320816289	-0.26700611543409736	-0.11751689517524677	0.0	0.0	0.2715357807188215
GM.5.0.Nuclear_receptor.0087	-0.1963448072252233	-0.06557209881650686	-0.9164435764483855	0.0	0.0	0.23091231746167495
GM.5.0.Unknown.0128	1.0875599770767064	-1.7773419533792416	-2.0299975326147766	0.0	0.0	0.11331808171730347
GM.5.0.Unknown.0123	0.11351377257935819	0.5552833786447803	-0.7777047698574235	0.0	0.0	0.15394154497444998
GM.5.0.Nuclear_receptor.0117	0.048071405992501585	-0.875273478575752	-1.7008410273910852	0.0	0.0	0.09621346560903124
GM.5.0.C2H2_ZF.0171	1.1404617029569697	-0.4725712062592983	-1.692063658118146	0.0	0.0	0.08124692651429304
GM.5.0.Mixed.0078	-0.31677034177041713	1.8495164511040099	0.16448709473190035	0.0	0.0	0.12614654379850762
GM.5.0.C2H2_ZF.0217	-0.47317673988819353	0.8753716748195132	-0.4108914918182721	0.0	0.0	0.11973231275790554
GM.5.0.Nuclear_receptor.0148	-0.6630356808601715	-1.0240861681867783	-1.2037129655777725	0.0	0.0	0.0
GM.5.0.Nuclear_receptor.0088	0.09926111026487927	-1.7314779976268067	-2.2695724539533355	0.0	0.0	0.05986615637895277
GM.5.0.Nuclear_receptor.0064	0.6279326480506799	-0.9118434680596632	-0.5244689567421553	0.0	0.0	0.1967030852451305
GM.5.0.Homeodomain.0159	1.1366338260870474	-1.4741332220913257	-0.7284905338105162	0.0	0.0	0.21380770135340277
GM.5.0.C2H2_ZF.0224	-0.7148124082522007	-0.5162637946025627	-1.5675564598163354	0.0	0.0	0.11331808171730347
GM.5.0.C2H2_ZF.0038	0.1259370677472934	-1.991944048329493	-2.291922657605929	0.0	0.0	0.0855230805413611
GM.5.0.T-box.0007	-0.5983837094209139	-0.5173972684828931	0.5581839504869467	0.0	0.0	0.2180838553804708
GM.5.0.C2H2_ZF.0126	0.2853898683916934	-0.9714148891845693	-1.1419030973217164	0.0	0.0	0.1411130828932458
GM.5.0.bZIP.0060	0.4854698838484098	0.4015220607831541	-1.5585215740997416	0.0	0.0	0.11118000470376943
GM.5.0.Nuclear_receptor.0046	0.6677642049198407	1.8190356229775255	0.3995965413384604	0.0	0.0	0.16035577601505208
GM.5.0.C2H2_ZF.0161	-0.2749612062071473	1.141019699837523	1.5850271568675782	0.0	0.0	0.18601270017746038
GM.5.0.Unknown.0040	0.2242566229844884	0.9262268647220501	-1.3507880667068257	0.0	0.0	0.19884116225866458
GM.5.0.C2H2_ZF.0129	-0.950462848673822	0.5460342702371357	-0.570369788277754	0.0	0.0	0.16890808406918817
GM.5.0.Nuclear_receptor.0047	-0.6814867288623522	-2.7742908630249867	-0.4981031487969085	0.0	0.0	0.1240084667849736
GM.5.0.C2H2_ZF.0280	-0.848566038326315	1.7469330039336533	0.9049399148077724	0.0	0.0	0.18173654615039234
GM.5.0.Homeodomain_POU.0011	0.9275342560205252	0.008390021892870124	-0.42961730481691807	0.0	0.0	0.16890808406918817
GM.5.0.C2H2_ZF.0073	1.7585630692098309	0.07532419038833953	-0.8871429194172963	0.0	0.0	0.11331808171730347
GM.5.0.Unknown.0049	1.8847572409342273	2.248482205020612	-1.4277029482748091	0.0	0.0	0.10476577366316735
GM.5.0.Mixed.0060	-0.3520829894898021	-2.983182670625261	-3.260652216519238	0.0	0.0	0.0
GM.5.0.C2H2_ZF.0158	-0.8470490682845243	0.4058543131301901	-1.2245846959367264	0.0	0.0	0.13042269782557567
GM.5.0.Mixed.0009	0.34872067692646425	0.6226171305293802	0.672551260690417	0.0	0.0	0.1967030852451305
GM.5.0.Unknown.0054	1.235630365365984	0.707482606723845	0.20989001646182853	0.0	0.0	0.1881507771909944
GM.5.0.C2H2_ZF.0076	0.4808176711229787	-0.4753687772840428	-1.3166880837337658	0.0	0.0	0.15394154497444998
GM.5.0.Rel.0021	1.201318583419777	-1.0032295387278987	-1.1877139896256474	0.0	0.0	0.24587885655641314
GM.5.0.C2H2_ZF.0233	-2.294235056702323	-0.5304921611474602	0.3035662501449575	0.0	0.0	0.13469885185264374
GM.5.0.Nuclear_receptor.0134	-0.5615802733066393	-0.39088168545179236	-0.06998370200651192	0.0	0.0	0.11759423574437151
GM.5.0.Unknown.0059	0.5164566722144114	1.7312892179007744	0.4033987312402697	0.0	0.0	0.14538923692031389
GM.5.0.Nuclear_receptor.0065	-3.7702025315213414	-0.895256780682334	-0.20289008313447102	0.0	0.0	0.22022193239400484
GM.5.0.Pipsqueak.0001	2.0707657217635624	0.2993178836589926	-1.1042674032240158	0.0	0.0	0.0
GM.5.0.Unknown.0129	-0.5462123587961362	-0.6929032041772875	-0.9661451624724057	0.0	0.0	0.1411130828932458
GM.5.0.Nuclear_receptor.0016	1.2182724689863518	-0.23111159926832237	-0.8698138184000308	0.0	0.0	0.13683692886617776
GM.5.0.Grainyhead.0007	-0.8422811583452106	1.0406786975517612	0.5539181270449782	0.0	0.0	0.15821769900151803
GM.5.0.CUT_Homeodomain.0006	0.6706487578750219	0.6312097470395797	-0.8865788367740164	0.0	0.0	0.16035577601505208
GM.5.0.T-box.0018	-0.15380747111900325	0.3041658223933359	0.027364125738818537	0.0	0.0	0.11973231275790554
GM.5.0.C2H2_ZF.0302	0.39684731953816527	-0.5912242040884212	-1.709849984017552	0.0	0.0	0.08338500352782707
