Motif	# matches	% matches input	# matches background	%matches background	P-value	log10 P-value	ROC AUC	PR AUC	Enr. at 1% FPR	Recall at 10% FDR
GM.5.0.Sox.0001	3930	3.641	603	6.030	1.00e+00	0.000	0.499	0.912	0.60	1.0000
GM.5.0.Homeodomain.0001	2126	1.970	100	1.000	8.63e-14	13.064	0.546	0.927	1.97	1.0000
GM.5.0.Mixed.0001	1954	1.810	100	1.000	1.19e-10	9.924	0.540	0.926	1.81	1.0000
GM.5.0.Nuclear_receptor.0001	1195	1.107	100	1.000	1.75e-01	0.756	0.493	0.914	1.11	1.0000
GM.5.0.Mixed.0002	2227	2.063	104	1.040	1.36e-14	13.865	0.491	0.917	1.98	1.0000
GM.5.0.Nuclear_receptor.0002	1416	1.312	100	1.000	3.64e-03	2.439	0.536	0.923	1.31	1.0000
GM.5.0.bHLH.0001	4221	3.911	345	3.450	1.10e-02	1.957	0.545	0.924	1.13	1.0000
GM.5.0.Myb_SANT.0001	827	0.766	100	1.000	9.94e-01	0.003	0.450	0.904	0.77	1.0000
GM.5.0.C2H2_ZF.0001	3064	2.839	100	1.000	6.18e-35	34.209	0.554	0.931	2.84	1.0000
GM.5.0.GATA.0001	1102	1.021	100	1.000	4.46e-01	0.350	0.515	0.918	1.02	1.0000
GM.5.0.C2H2_ZF.0002	1037	0.961	101	1.010	7.07e-01	0.151	0.513	0.916	0.95	1.0000
GM.5.0.bZIP.0001	1316	1.219	100	1.000	2.78e-02	1.556	0.483	0.913	1.22	1.0000
GM.5.0.Homeodomain.0002	2760	2.557	176	1.760	1.77e-07	6.752	0.487	0.916	1.45	1.0000
GM.5.0.Ets.0001	3863	3.579	522	5.220	1.00e+00	0.000	0.550	0.922	0.69	1.0000
GM.5.0.bZIP.0002	4513	4.182	227	2.270	7.11e-24	23.148	0.514	0.923	1.84	1.0000
GM.5.0.IRF.0001	1943	1.800	100	1.000	1.85e-10	9.733	0.582	0.934	1.80	1.0000
GM.5.0.bHLH.0002	3749	3.474	100	1.000	2.90e-53	52.537	0.634	0.948	3.47	1.0000
GM.5.0.Nuclear_receptor.0003	1454	1.347	100	1.000	1.50e-03	2.824	0.464	0.910	1.35	1.0000
GM.5.0.bZIP.0003	2245	2.080	100	1.000	3.99e-16	15.399	0.531	0.926	2.08	1.0000
GM.5.0.bHLH.0003	1115	1.033	100	1.000	4.02e-01	0.396	0.491	0.914	1.03	1.0000
GM.5.0.HSF.0001	2580	2.391	100	1.000	2.64e-23	22.578	0.475	0.915	2.39	1.0000
GM.5.0.Homeodomain.0003	884	0.819	100	1.000	9.73e-01	0.012	0.484	0.912	0.82	1.0000
GM.5.0.C2H2_ZF.0003	1254	1.162	100	1.000	7.80e-02	1.108	0.534	0.923	1.16	1.0000
GM.5.0.ARID_BRIGHT.0001	4284	3.969	426	4.260	9.25e-01	0.034	0.503	0.918	0.93	1.0000
GM.5.0.Homeodomain_POU.0001	1789	1.658	100	1.000	6.15e-08	7.211	0.508	0.919	1.66	1.0000
GM.5.0.C2H2_ZF.0004	1082	1.003	100	1.000	5.17e-01	0.287	0.468	0.907	1.00	1.0000
GM.5.0.Homeodomain.0004	5465	5.064	137	1.370	1.95e-82	81.710	0.526	0.918	3.70	1.0000
GM.5.0.Nuclear_receptor.0004	907	0.840	100	1.000	9.54e-01	0.020	0.449	0.903	0.84	1.0000
GM.5.0.Sox.0002	1094	1.014	128	1.280	9.94e-01	0.003	0.493	0.915	0.79	1.0000
GM.5.0.DM.0001	1168	1.082	100	1.000	2.40e-01	0.619	0.522	0.919	1.08	1.0000
GM.5.0.bHLH.0004	2059	1.908	100	1.000	1.56e-12	11.806	0.573	0.932	1.91	1.0000
GM.5.0.bZIP.0004	966	0.895	102	1.020	9.04e-01	0.044	0.461	0.906	0.88	1.0000
GM.5.0.T-box.0001	1249	1.157	101	1.010	9.95e-02	1.002	0.500	0.916	1.15	1.0000
GM.5.0.bHLH.0005	4627	4.287	492	4.920	9.98e-01	0.001	0.539	0.921	0.87	1.0000
GM.5.0.Homeodomain.0005	615	0.570	100	1.000	1.00e+00	0.000	0.444	0.902	0.57	1.0000
GM.5.0.GATA.0002	1368	1.268	99	0.990	7.93e-03	2.101	0.475	0.911	1.28	1.0000
GM.5.0.RFX.0001	3336	3.091	106	1.060	3.17e-39	38.499	0.538	0.927	2.92	1.0000
GM.5.0.bHLH.0006	5205	4.823	101	1.010	2.40e-96	95.620	0.680	0.956	4.77	1.0000
GM.5.0.DM.0002	1660	1.538	100	1.000	4.72e-06	5.326	0.564	0.930	1.54	1.0000
GM.5.0.bHLH.0007	4164	3.858	100	1.000	3.59e-65	64.445	0.655	0.951	3.86	1.0000
GM.5.0.Rel.0001	901	0.835	100	1.000	9.60e-01	0.018	0.468	0.908	0.83	1.0000
GM.5.0.Ets.0002	1615	1.496	104	1.040	8.47e-05	4.072	0.561	0.929	1.44	1.0000
GM.5.0.Paired_box.0001	1224	1.134	100	1.000	1.20e-01	0.920	0.489	0.913	1.13	1.0000
GM.5.0.Sox.0003	1559	1.445	113	1.130	5.09e-03	2.294	0.535	0.924	1.28	1.0000
GM.5.0.Forkhead.0001	1049	0.972	102	1.020	7.02e-01	0.153	0.452	0.905	0.95	1.0000
GM.5.0.MADS_box.0001	856	0.793	100	1.000	9.86e-01	0.006	0.458	0.905	0.79	1.0000
GM.5.0.bHLH.0008	3373	3.125	109	1.090	7.72e-39	38.113	0.570	0.933	2.87	1.0000
GM.5.0.Homeodomain.0006	2761	2.558	176	1.760	1.72e-07	6.765	0.471	0.913	1.45	1.0000
GM.5.0.Homeodomain.0007	687	0.637	178	1.780	1.00e+00	0.000	0.424	0.895	0.36	1.0000
GM.5.0.SMAD.0001	2426	2.248	200	2.000	5.64e-02	1.249	0.562	0.929	1.12	1.0000
GM.5.0.Ets.0003	1031	0.955	104	1.040	8.12e-01	0.090	0.527	0.920	0.92	1.0000
GM.5.0.Nuclear_receptor.0005	482	0.447	100	1.000	1.00e+00	0.000	0.416	0.893	0.45	1.0000
GM.5.0.C2H2_ZF.0005	1907	1.767	153	1.530	4.35e-02	1.362	0.531	0.922	1.15	1.0000
GM.5.0.Nuclear_receptor.0006	695	0.644	103	1.030	1.00e+00	0.000	0.437	0.899	0.63	1.0000
GM.5.0.Ets.0004	1678	1.555	100	1.000	2.66e-06	5.576	0.523	0.922	1.55	1.0000
GM.5.0.E2F.0001	522	0.484	100	1.000	1.00e+00	0.000	0.421	0.895	0.48	1.0000
GM.5.0.Nuclear_receptor.0007	846	0.784	112	1.120	1.00e+00	0.000	0.481	0.910	0.70	1.0000
GM.5.0.Runt.0001	1825	1.691	138	1.380	9.78e-03	2.010	0.523	0.920	1.23	1.0000
GM.5.0.C2H2_ZF.0006	2981	2.762	105	1.050	8.83e-31	30.054	0.542	0.929	2.63	1.0000
GM.5.0.SAND.0001	2958	2.741	252	2.520	1.02e-01	0.992	0.443	0.904	1.09	1.0000
GM.5.0.T-box.0002	1415	1.311	100	1.000	3.72e-03	2.429	0.536	0.923	1.31	1.0000
GM.5.0.Homeodomain.0008	823	0.763	106	1.060	9.99e-01	0.000	0.479	0.908	0.72	1.0000
GM.5.0.GCM.0001	1088	1.008	124	1.240	9.86e-01	0.006	0.497	0.913	0.81	1.0000
GM.5.0.Homeodomain_POU.0002	1515	1.404	100	1.000	3.21e-04	3.493	0.530	0.923	1.40	1.0000
GM.5.0.bZIP.0005	2180	2.020	100	1.000	7.80e-15	14.108	0.533	0.926	2.02	1.0000
GM.5.0.Homeodomain.0009	1228	1.138	100	1.000	1.14e-01	0.944	0.531	0.923	1.14	1.0000
GM.5.0.Sox.0004	1063	0.985	181	1.810	1.00e+00	-0.000	0.486	0.910	0.54	1.0000
GM.5.0.Mixed.0003	528	0.489	127	1.270	1.00e+00	0.000	0.448	0.900	0.39	1.0000
GM.5.0.C2H2_ZF.0007	690	0.639	100	1.000	1.00e+00	0.000	0.489	0.909	0.64	1.0000
GM.5.0.Homeodomain.0010	843	0.781	101	1.010	9.93e-01	0.003	0.540	0.923	0.77	1.0000
GM.5.0.SAND.0002	906	0.839	122	1.220	1.00e+00	0.000	0.447	0.902	0.69	1.0000
GM.5.0.Homeodomain_POU.0003	2752	2.550	157	1.570	8.65e-11	10.063	0.535	0.927	1.62	1.0000
GM.5.0.Nuclear_receptor.0008	833	0.772	100	1.000	9.93e-01	0.003	0.447	0.902	0.77	1.0000
GM.5.0.Homeodomain.0011	1876	1.738	100	1.000	2.50e-09	8.602	0.494	0.919	1.74	1.0000
GM.5.0.GATA.0003	793	0.735	120	1.200	1.00e+00	0.000	0.476	0.908	0.61	1.0000
GM.5.0.Mixed.0004	2090	1.937	100	1.000	4.14e-13	12.383	0.551	0.929	1.94	1.0000
GM.5.0.Rel.0002	1132	1.049	104	1.040	4.93e-01	0.307	0.566	0.927	1.01	1.0000
GM.5.0.bHLH.0009	1690	1.566	105	1.050	1.41e-05	4.851	0.545	0.926	1.49	1.0000
GM.5.0.Forkhead.0002	2108	1.953	111	1.110	1.27e-10	9.898	0.616	0.941	1.76	1.0000
GM.5.0.E2F.0002	1708	1.583	101	1.010	1.55e-06	5.810	0.563	0.929	1.57	1.0000
GM.5.0.bZIP.0006	1383	1.281	100	1.000	7.47e-03	2.127	0.497	0.916	1.28	1.0000
GM.5.0.Homeodomain.0012	3128	2.898	509	5.090	1.00e+00	-0.000	0.460	0.907	0.57	1.0000
GM.5.0.Forkhead.0003	4782	4.431	110	1.100	1.11e-77	76.955	0.627	0.946	4.03	1.0000
GM.5.0.Homeodomain.0013	3165	2.933	176	1.760	3.74e-13	12.427	0.500	0.916	1.67	1.0000
GM.5.0.C2H2_ZF.0008	1148	1.064	104	1.040	4.38e-01	0.359	0.441	0.902	1.02	1.0000
GM.5.0.C2H2_ZF.0009	1622	1.503	100	1.000	1.53e-05	4.815	0.517	0.921	1.50	1.0000
GM.5.0.Mixed.0005	1277	1.183	100	1.000	5.43e-02	1.265	0.470	0.911	1.18	1.0000
GM.5.0.bHLH.0010	4060	3.762	100	1.000	3.87e-62	61.413	0.618	0.944	3.76	1.0000
GM.5.0.SMAD.0002	5554	5.146	859	8.590	1.00e+00	-0.000	0.510	0.914	0.60	1.0000
GM.5.0.Runt.0002	1013	0.939	100	1.000	7.48e-01	0.126	0.511	0.918	0.94	1.0000
GM.5.0.Forkhead.0004	1702	1.577	100	1.000	1.22e-06	5.915	0.527	0.923	1.58	1.0000
GM.5.0.Nuclear_receptor.0009	1056	0.978	102	1.020	6.80e-01	0.168	0.490	0.913	0.96	1.0000
GM.5.0.Ets.0005	1423	1.318	100	1.000	3.10e-03	2.508	0.515	0.919	1.32	1.0000
GM.5.0.bHLH.0011	1517	1.406	102	1.020	5.86e-04	3.232	0.529	0.923	1.38	1.0000
GM.5.0.Mixed.0006	2748	2.546	100	1.000	3.43e-27	26.465	0.543	0.929	2.55	1.0000
GM.5.0.C2H2_ZF.0010	679	0.629	100	1.000	1.00e+00	0.000	0.479	0.909	0.63	1.0000
