Motif	# matches	% matches input	# matches background	%matches background	P-value	log10 P-value	ROC AUC	PR AUC	Enr. at 1% FPR	Recall at 10% FDR
GimmeMotifs_1	27	8.411	101	1.011	1.53e-15	14.816	0.794	0.114	8.32	0.0000
GimmeMotifs_2	12	3.738	100	1.001	1.82e-04	3.739	0.633	0.061	3.74	0.0031
GimmeMotifs_3	17	5.296	100	1.001	1.12e-07	6.950	0.637	0.063	5.29	0.0031
GimmeMotifs_4	17	5.296	100	1.001	1.12e-07	6.950	0.646	0.074	5.29	0.0125
GimmeMotifs_5	7	2.181	100	1.001	4.92e-02	1.308	0.611	0.049	2.18	0.0000
GimmeMotifs_6	20	6.231	100	1.001	7.04e-10	9.152	0.606	0.070	6.23	0.0062
GimmeMotifs_7	14	4.361	288	2.882	8.92e-02	1.050	0.593	0.043	1.51	0.0000
GimmeMotifs_8	10	3.115	100	1.001	2.21e-03	2.655	0.577	0.047	3.11	0.0031
GimmeMotifs_9	8	2.492	100	1.001	1.93e-02	1.715	0.567	0.055	2.49	0.0156
GimmeMotifs_10	11	3.427	142	1.421	8.23e-03	2.085	0.572	0.042	2.41	0.0000
GimmeMotifs_11	12	3.738	103	1.031	2.34e-04	3.630	0.575	0.050	3.63	0.0000
GimmeMotifs_12	16	4.984	281	2.812	2.33e-02	1.632	0.703	0.058	1.77	0.0000
GimmeMotifs_13	2	0.623	30	0.300	2.63e-01	0.581	0.695	0.058	2.08	0.0000
GimmeMotifs_14	14	4.361	106	1.061	2.05e-05	4.688	0.625	0.056	4.11	0.0000
GimmeMotifs_15	19	5.919	185	1.851	1.95e-05	4.711	0.643	0.058	3.20	0.0000
GimmeMotifs_16	8	2.492	101	1.011	2.02e-02	1.694	0.624	0.051	2.47	0.0000
GimmeMotifs_17	13	4.050	103	1.031	6.19e-05	4.208	0.626	0.052	3.93	0.0000
GimmeMotifs_18	13	4.050	169	1.691	4.49e-03	2.348	0.612	0.053	2.39	0.0000
GimmeMotifs_19	6	1.869	100	1.001	1.13e-01	0.948	0.598	0.050	1.87	0.0031
GimmeMotifs_20	10	3.115	107	1.071	3.48e-03	2.459	0.607	0.049	2.91	0.0031
GimmeMotifs_21	12	3.738	135	1.351	2.10e-03	2.677	0.591	0.044	2.77	0.0000
GimmeMotifs_22	19	5.919	100	1.001	4.00e-09	8.398	0.601	0.067	5.92	0.0062
GimmeMotifs_23	11	3.427	100	1.001	6.60e-04	3.181	0.572	0.053	3.42	0.0031
GimmeMotifs_24	12	3.738	293	2.932	2.42e-01	0.616	0.582	0.038	1.28	0.0000
GimmeMotifs_25	9	2.804	100	1.001	6.83e-03	2.166	0.559	0.040	2.80	0.0000
GimmeMotifs_26	8	2.492	191	1.911	2.80e-01	0.553	0.562	0.043	1.30	0.0062
GimmeMotifs_27	16	4.984	100	1.001	5.52e-07	6.258	0.578	0.054	4.98	0.0031
GimmeMotifs_28	11	3.427	100	1.001	6.60e-04	3.181	0.554	0.054	3.42	0.0062
