# maelstrom - GimmeMotifs version 0.16.1
# method: hypergeom with motif count
# motif table: /home/ia1014/gimmemotifs/output/Diff_NEUROD1_maelstrom.out/motif.nr.count.txt.gz
# activity values: -log10-transformed, BH-corrected hypergeometric p-values
	cluster_1	cluster_2	cluster_3
GM.5.0.GATA.0013	-0.0	-0.0	-0.0
GM.5.0.Forkhead.0043	-0.0	-0.0	-0.0
GM.5.0.Unknown.0159	-0.0	-0.0	-0.0
GM.5.0.Homeodomain.0142	-0.0	-0.0	-0.0
GM.5.0.Unknown.0113	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0188	-0.0	-0.0	0.24809483737472107
GM.5.0.Unknown.0171	-0.0	-0.0	-0.0
GM.5.0.Mixed.0104	-0.0	-0.0	-0.0
GM.5.0.RFX.0016	-0.0	-0.0	-0.0
GM.5.0.Homeodomain.0049	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0076	-0.0	-0.0	-0.0
GM.5.0.GATA.0016	-0.0	-0.0	-0.0
GM.5.0.bHLH.0063	-0.0	-0.0	0.015452581386958594
GM.5.0.Unknown.0128	-0.0	-0.0	-0.0
GM.5.0.Nuclear_receptor.0139	-0.0	-0.0	0.781795449187498
GM.5.0.Unknown.0052	0.03393265351492959	-0.0	-0.0
GM.5.0.C2H2_ZF.0129	-0.0	-0.0	-0.0
GM.5.0.Unknown.0027	-0.0	0.5722911542480134	-0.0
GM.5.0.Nuclear_receptor.0104	-0.0	-0.0	-0.0
GM.5.0.Nuclear_receptor.0072	-0.0	-0.0	-0.0
GM.5.0.Nuclear_receptor.0042	-0.0	0.6044925944402503	-0.0
GM.5.0.Unknown.0099	-0.0	-0.0	-0.0
GM.5.0.Rel.0008	-0.0	-0.0	-0.0
GM.5.0.DM.0004	-0.0	-0.0	-0.0
GM.5.0.GATA.0027	-0.0	0.8748736068064904	-0.0
GM.5.0.C2H2_ZF.0280	-0.0	-0.0	-0.0
GM.5.0.Unknown.0066	-0.0	-0.0	-0.0
GM.5.0.Unknown.0072	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF_Homeodomain.0003	-0.0	-0.0	-0.0
GM.5.0.Ets.0043	-0.0	-0.0	-0.0
GM.5.0.CSD.0001	-0.0	-0.0	-0.0
GM.5.0.Nuclear_receptor.0125	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0302	-0.0	-0.0	-0.0
GM.5.0.Myb_SANT.0012	0.03993015496734655	-0.0	-0.0
GM.5.0.Mixed.0007	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0095	-0.0	0.018605781927503316	-0.0
GM.5.0.Nuclear_receptor.0051	-0.0	0.014184664001082453	-0.0
GM.5.0.C2H2_ZF.0093	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0073	-0.0	-0.0	-0.0
GM.5.0.Nuclear_receptor.0084	-0.0	0.7323793330151144	-0.0
GM.5.0.C2H2_ZF.0243	-0.0	-0.0	-0.0
GM.5.0.Nuclear_receptor.0017	-0.0	-0.0	-0.0
GM.5.0.bHLH.0096	-0.0	-0.0	-0.0
GM.5.0.Mixed.0043	-0.0	0.6044925944402503	-0.0
GM.5.0.C2H2_ZF.0119	-0.0	-0.0	0.1342083354059816
GM.5.0.bZIP.0075	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0276	-0.0	0.3327625876831971	-0.0
GM.5.0.Forkhead.0040	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0246	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0255	0.10509681124609463	-0.0	-0.0
GM.5.0.C2H2_ZF.0177	-0.0	0.5051310537673304	-0.0
GM.5.0.Nuclear_receptor.0061	0.10391809332380945	-0.0	-0.0
GM.5.0.Unknown.0086	-0.0	-0.0	-0.0
GM.5.0.Homeodomain_POU.0015	-0.0	-0.0	-0.0
GM.5.0.bHLH.0120	-0.0	-0.0	0.4985940763859553
GM.5.0.Forkhead.0055	0.5178449071714565	-0.0	-0.0
GM.5.0.SMAD.0009	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0158	-0.0	-0.0	-0.0
GM.5.0.GATA.0025	-0.0	-0.0	-0.0
GM.5.0.T-box.0022	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0233	-0.0	-0.0	-0.0
GM.5.0.GATA.0028	-0.0	0.14092081486673064	-0.0
GM.5.0.Mixed.0030	-0.0	-0.0	-0.0
GM.5.0.Mixed.0060	-0.0	-0.0	-0.0
GM.5.0.Homeodomain.0149	-0.0	0.9514635867822157	-0.0
GM.5.0.SMAD.0018	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0131	0.24809483737472107	-0.0	-0.0
GM.5.0.C2H2_ZF.0281	-0.0	-0.0	-0.0
GM.5.0.Zinc_cluster.0001	-0.0	-0.0	-0.0
GM.5.0.bHLH.0084	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0161	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0047	-0.0	0.9491746475086913	-0.0
GM.5.0.Unknown.0142	0.23748067626380423	-0.0	-0.0
GM.5.0.Nuclear_receptor.0087	-0.0	-0.0	-0.0
GM.5.0.bHLH.0088	-0.0	-0.0	-0.0
GM.5.0.Unknown.0120	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0226	0.8748736068064904	-0.0	-0.0
GM.5.0.Nuclear_receptor.0114	-0.0	-0.0	-0.0
GM.5.0.Nuclear_receptor.0081	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0056	-0.0	-0.0	-0.0
GM.5.0.Unknown.0047	-0.0	-0.0	-0.0
