# maelstrom - GimmeMotifs version 0.16.1
# method: mwu with motif score
# motif table: /home/ia1014/gimmemotifs/output/Diff_NEUROD1_maelstrom.out/motif.nr.score.txt.gz
# activity values: BH-corrected -log10 Mann-Whitney U p-value
	cluster_1	cluster_2	cluster_3
GM.5.0.GATA.0013	-0.0	25.7920195455067	1.7196471812265188
GM.5.0.Forkhead.0043	19.423065354604198	-0.0	-0.0
GM.5.0.Unknown.0159	-0.0	-0.0	0.9156725140878961
GM.5.0.Homeodomain.0142	6.465359647806998	-0.0	-0.0
GM.5.0.Unknown.0113	0.2286076106749465	-0.0	-0.0
GM.5.0.C2H2_ZF.0188	0.5409746879154644	0.15125269469728236	-0.0
GM.5.0.Unknown.0171	0.03888798888826387	0.2842363797023076	-0.0
GM.5.0.Mixed.0104	-0.0	0.5409746879154644	0.08441447382038135
GM.5.0.RFX.0016	1.2045767629873818	-0.0	-0.0
GM.5.0.Homeodomain.0049	-0.0	1.9310383909680404	0.010865403977475615
GM.5.0.C2H2_ZF.0076	-0.0	0.5017486695752149	-0.0
GM.5.0.GATA.0016	-0.0	0.9628238968473446	0.6823580769112774
GM.5.0.bHLH.0063	-0.0	-0.0	2.6523501325640857
GM.5.0.Unknown.0128	-0.0	-0.0	0.23727081958056478
GM.5.0.Nuclear_receptor.0139	1.1452810706296908	-0.0	-0.0
GM.5.0.Unknown.0052	3.331941872927322	-0.0	-0.0
GM.5.0.C2H2_ZF.0129	-0.0	0.6439855870775066	-0.0
GM.5.0.Unknown.0027	-0.0	-0.0	1.1750116887069046
GM.5.0.Nuclear_receptor.0104	-0.0	-0.0	1.7196471812265188
GM.5.0.Nuclear_receptor.0072	-0.0	-0.0	4.6375434438955505
GM.5.0.Nuclear_receptor.0042	-0.0	2.316255998051299	-0.0
GM.5.0.Unknown.0099	0.4689867396089849	-0.0	0.12072427902037812
GM.5.0.Rel.0008	0.21398872390218363	-0.0	-0.0
GM.5.0.DM.0004	1.8396169655459258	-0.0	-0.0
GM.5.0.GATA.0027	-0.0	2.474112924029578	0.014604956636948285
GM.5.0.C2H2_ZF.0280	0.7310226622551517	-0.0	-0.0
GM.5.0.Unknown.0066	0.32955974303630936	-0.0	-0.0
GM.5.0.Unknown.0072	1.0574189330043535	-0.0	-0.0
GM.5.0.C2H2_ZF_Homeodomain.0003	1.5790094948369515	-0.0	-0.0
GM.5.0.Ets.0043	-0.0	-0.0	1.1452810706296908
GM.5.0.CSD.0001	-0.0	4.7370192303566565	-0.0
GM.5.0.Nuclear_receptor.0125	-0.0	0.5573584355529853	1.1046936056455654
GM.5.0.C2H2_ZF.0302	-0.0	-0.0	0.6378557056976154
GM.5.0.Myb_SANT.0012	0.5573584355529853	0.0809230584374973	-0.0
GM.5.0.Mixed.0007	-0.0	1.0862174693802493	-0.0
GM.5.0.C2H2_ZF.0095	-0.0	0.8835098151321461	1.5894956613971662
GM.5.0.Nuclear_receptor.0051	-0.0	-0.0	1.6589123287083392
GM.5.0.C2H2_ZF.0093	0.6823580769112774	-0.0	-0.0
GM.5.0.C2H2_ZF.0073	-0.0	-0.0	0.3425105124202492
GM.5.0.Nuclear_receptor.0084	-0.0	0.29989966229732684	0.33074581026190025
GM.5.0.C2H2_ZF.0243	0.161153395147421	-0.0	0.04872034718235113
GM.5.0.Nuclear_receptor.0017	-0.0	-0.0	2.9085249013993453
GM.5.0.bHLH.0096	0.30034207732169105	0.3425105124202492	-0.0
GM.5.0.Mixed.0043	-0.0	-0.0	0.11387959370656107
GM.5.0.C2H2_ZF.0119	2.1610582613931175	-0.0	-0.0
GM.5.0.bZIP.0075	-0.0	-0.0	1.275923349197213
GM.5.0.C2H2_ZF.0276	-0.0	3.6205472654704702	-0.0
GM.5.0.Forkhead.0040	-0.0	0.48774266009817946	0.029273756484121158
GM.5.0.C2H2_ZF.0246	-0.0	-0.0	0.36517106304823765
GM.5.0.C2H2_ZF.0255	1.870612584568047	-0.0	-0.0
GM.5.0.C2H2_ZF.0177	-0.0	-0.0	0.5484241995551595
GM.5.0.Nuclear_receptor.0061	-0.0	-0.0	1.5468231236962333
GM.5.0.Unknown.0086	-0.0	-0.0	0.5643593847870695
GM.5.0.Homeodomain_POU.0015	-0.0	0.07461992094033165	0.22007748561759777
GM.5.0.bHLH.0120	-0.0	-0.0	0.07065536843166755
GM.5.0.Forkhead.0055	4.033403465324637	-0.0	-0.0
GM.5.0.SMAD.0009	-0.0	0.1384893137439038	0.5101182930438183
GM.5.0.C2H2_ZF.0158	-0.0	0.758243018211268	-0.0
GM.5.0.GATA.0025	0.2959868471787937	-0.0	-0.0
GM.5.0.T-box.0022	-0.0	-0.0	0.12148355263671627
GM.5.0.C2H2_ZF.0233	-0.0	-0.0	0.12145372941202288
GM.5.0.GATA.0028	-0.0	-0.0	1.7898471104187543
GM.5.0.Mixed.0030	0.16096062205653866	0.2733117461743482	-0.0
GM.5.0.Mixed.0060	-0.0	-0.0	1.6590827230241214
GM.5.0.Homeodomain.0149	-0.0	2.0367279298914793	-0.0
GM.5.0.SMAD.0018	4.710691797323291	0.45553818882852304	-0.0
GM.5.0.C2H2_ZF.0131	0.8297773942048017	-0.0	-0.0
GM.5.0.C2H2_ZF.0281	-0.0	-0.0	2.3233736650278782
GM.5.0.Zinc_cluster.0001	1.3309448816346443	-0.0	-0.0
GM.5.0.bHLH.0084	0.19505090366999345	0.20753313020531508	-0.0
GM.5.0.C2H2_ZF.0161	-0.0	0.085169454525658	2.2875417457960503
GM.5.0.C2H2_ZF.0047	-0.0	4.62382820486575	-0.0
GM.5.0.Unknown.0142	0.06500788125257267	0.43628408731070234	-0.0
GM.5.0.Nuclear_receptor.0087	-0.0	0.020462540395282836	0.8346541428938998
GM.5.0.bHLH.0088	1.2387944359200729	0.18011903607539173	-0.0
GM.5.0.Unknown.0120	-0.0	-0.0	0.3453101746872411
GM.5.0.C2H2_ZF.0226	1.5425257271003616	-0.0	-0.0
GM.5.0.Nuclear_receptor.0114	-0.0	-0.0	3.056726104621952
GM.5.0.Nuclear_receptor.0081	-0.0	-0.0	0.7650921549458152
GM.5.0.C2H2_ZF.0056	0.8171690848319915	2.2693517516856447	-0.0
GM.5.0.Unknown.0047	-0.0	-0.0	1.0897139139202507
GM.5.0.Unknown.0206	0.707891210656573	-0.0	-0.0
GM.5.0.Unknown.0123	-0.0	-0.0	0.369212444897904
GM.5.0.T-box.0020	0.08064150489575414	-0.0	0.0012424422683977414
GM.5.0.C2H2_ZF.0101	-0.0	-0.0	0.3339399774059524
GM.5.0.Nuclear_receptor.0120	-0.0	-0.0	1.6619728906002926
GM.5.0.Mixed.0052	-0.0	-0.0	0.3264685852020529
GM.5.0.GATA.0021	0.2907611353816875	0.2825979808061872	-0.0
GM.5.0.SMAD.0001	0.594724326936304	-0.0	-0.0
GM.5.0.Unknown.0116	-0.0	0.1826909824236048	0.06167374228348513
GM.5.0.T-box.0012	-0.0	0.04788045418544605	0.12490162317248539
GM.5.0.TEA.0002	0.20311054203236342	-0.0	-0.0
GM.5.0.Unknown.0169	0.41834806694984544	1.2743460424060524	-0.0
GM.5.0.Homeodomain.0161	0.20567586387453374	-0.0	-0.0
GM.5.0.C2H2_ZF.0107	-0.0	-0.0	1.973197047948044
GM.5.0.Prospero.0001	-0.0	-0.0	1.3152205226028502
GM.5.0.Mixed.0035	0.05255653350021385	-0.0	-0.0
GM.5.0.SAND.0006	0.5183945500902859	0.22264979102103163	-0.0
GM.5.0.STAT.0014	1.3630277940562452	-0.0	-0.0
GM.5.0.Unknown.0155	-0.0	-0.0	0.5709584451961409
GM.5.0.C2H2_ZF.0282	-0.0	0.369212444897904	0.7430356196898567
GM.5.0.Mixed.0015	0.9412222818864254	-0.0	-0.0
GM.5.0.C2H2_ZF.0235	0.04788045418544605	0.30029223226877333	-0.0
GM.5.0.Runt.0006	1.0477059991622892	0.2119224579931972	-0.0
GM.5.0.C2H2_ZF.0077	0.752521357471005	-0.0	0.00021633974662317956
GM.5.0.Unknown.0049	-0.0	-0.0	0.6821713886318671
GM.5.0.Homeodomain.0196	1.4741862624754385	-0.0	-0.0
GM.5.0.Mixed.0032	-0.0	0.24901970259593909	0.2051187832301746
GM.5.0.bHLH.0055	0.22108590373723744	-0.0	-0.0
GM.5.0.Unknown.0107	0.23006484578936565	-0.0	0.016647729207936612
GM.5.0.bHLH.0115	0.41673980837727964	-0.0	-0.0
GM.5.0.bHLH.0083	0.014604956636948285	0.16096062205653866	-0.0
GM.5.0.bHLH.0054	0.027884595008362035	4.033145842130967	-0.0
GM.5.0.Unknown.0022	-0.0	-0.0	0.29389438697064196
GM.5.0.Mixed.0031	1.4178921415472652	-0.0	-0.0
GM.5.0.T-box.0010	-0.0	-0.0	1.1211234864407
GM.5.0.Ets.0032	-0.0	-0.0	0.6017510997123787
GM.5.0.Unknown.0105	-0.0	0.10284636364138838	0.3774438421213519
GM.5.0.Unknown.0173	2.0534766370123756	-0.0	-0.0
GM.5.0.Homeodomain_POU.0014	0.3202580800532144	1.0548633553681992	-0.0
GM.5.0.CUT_Homeodomain.0006	0.7276106664092079	0.0809230584374973	-0.0
GM.5.0.Ets.0029	-0.0	-0.0	1.0924367809624402
GM.5.0.Grainyhead.0007	-0.0	2.679735574517538	-0.0
GM.5.0.Homeodomain.0159	0.1297685878431078	0.04178561904277638	-0.0
GM.5.0.Homeodomain.0172	0.4066153424680956	-0.0	0.04872034718235113
GM.5.0.Unknown.0082	0.008679269993297552	0.13435105572830983	-0.0
GM.5.0.SAND.0003	0.0809230584374973	-0.0	0.047688448022697505
GM.5.0.Unknown.0141	-0.0	-0.0	0.7589307703260059
GM.5.0.C2H2_ZF.0219	0.6869647253129321	0.13602382409239644	-0.0
GM.5.0.STAT.0025	0.41182227138334865	-0.0	-0.0
GM.5.0.C2H2_ZF.0277	0.1465287242348196	-0.0	0.010865403977475615
GM.5.0.bZIP.0080	3.349908070381501	-0.0	-0.0
GM.5.0.Unknown.0042	0.09365025109025313	0.010865403977475615	-0.0
GM.5.0.p53.0010	0.10526485193426637	0.19097308503395524	-0.0
GM.5.0.SMAD.0014	0.5010995688384542	0.803839449129103	-0.0
GM.5.0.C2H2_ZF.0030	-0.0	-0.0	0.37958710606764995
GM.5.0.Nuclear_receptor.0118	-0.0	-0.0	1.1172736692623018
GM.5.0.Mixed.0042	-0.0	0.6514992019804452	-0.0
GM.5.0.Unknown.0059	0.4066153424680956	-0.0	-0.0
GM.5.0.RFX.0007	-0.0	1.053737078457644	-0.0
GM.5.0.Unknown.0005	-0.0	0.023165876406091714	0.531173600187825
GM.5.0.C2H2_ZF.0303	0.2189288340448437	-0.0	0.08017599258165149
GM.5.0.Unknown.0129	-0.0	0.4659178914425557	0.039867474214934966
GM.5.0.Homeodomain.0097	-0.0	0.4164297744889617	0.3581999132868358
GM.5.0.STAT.0016	0.17488639276546417	-0.0	-0.0
GM.5.0.HSF.0006	0.3414553672787952	-0.0	-0.0
GM.5.0.bHLH.0075	0.22091768959519395	0.1507851520569009	-0.0
GM.5.0.bZIP.0031	-0.0	0.07039849348778009	0.32608560045931245
GM.5.0.C2H2_ZF.0230	-0.0	0.01028368886863408	0.0317545099360125
GM.5.0.C2H2_ZF.0191	-0.0	0.06962786858043377	0.1342004656167624
GM.5.0.Mixed.0065	0.25179267029204183	-0.0	-0.0
GM.5.0.C2H2_ZF.0038	-0.0	-0.0	2.2851051469364223
GM.5.0.Nuclear_receptor.0083	-0.0	1.0380402632090249	0.3425105124202492
GM.5.0.bHLH.0093	-0.0	-0.0	0.6826340187945868
GM.5.0.C2H2_ZF.0257	0.010865403977475615	-0.0	-0.0
GM.5.0.Unknown.0054	-0.0	0.058517106196927265	0.40380094770191916
GM.5.0.bHLH.0079	1.3277875307170688	-0.0	-0.0
GM.5.0.C2H2_ZF.0181	0.1382134681311037	-0.0	-0.0
GM.5.0.Ets.0028	-0.0	4.826519707970352	0.12145372941202288
GM.5.0.p53.0009	-0.0	-0.0	0.4936966897285765
GM.5.0.T-box.0019	0.6742754432384068	-0.0	0.005989335588800067
GM.5.0.Unknown.0126	0.702913638957631	-0.0	-0.0
GM.5.0.C2H2_ZF.0125	-0.0	-0.0	0.9537294641653687
GM.5.0.bZIP.0021	0.028601768324512566	-0.0	0.17705133435131887
GM.5.0.Sox.0020	1.8553060133835233	0.4664205709757025	-0.0
GM.5.0.C2H2_ZF.0132	0.12148355263671627	0.4711332858523153	-0.0
GM.5.0.RFX.0014	-0.0	-0.0	0.22108590373723744
GM.5.0.Homeodomain.0132	-0.0	0.16437657733630678	0.16043912593173523
GM.5.0.C2H2_ZF.0186	4.176202198028424	-0.0	-0.0
GM.5.0.Unknown.0092	0.0017426502859406233	-0.0	0.38719282044502545
GM.5.0.C2H2_ZF.0126	-0.0	0.469428130971413	-0.0
GM.5.0.Homeodomain_Paired_box.0004	0.04178561904277638	-0.0	0.029273756484121158
GM.5.0.Nuclear_receptor.0090	-0.0	1.6589123287083392	1.2553208078882747
