	z-score cluster_1	z-score cluster_2	z-score cluster_3	cluster_1 % with motif	cluster_2 % with motif	cluster_3 % with motif
GM.5.0.GATA.0013	0.5436749623692541	3.2257477716584115	0.6943446748802876	0.0	0.0	0.0
GM.5.0.Forkhead.0043	2.537399944428169	0.9294121248283684	-0.1528654568866783	0.0	0.0	0.0
GM.5.0.Unknown.0159	0.17882425412273506	-0.40970898114935905	1.9599481306199782	0.0691085003455425	0.0	0.0390625
GM.5.0.Homeodomain.0142	2.981875914466785	0.17509532537976946	-0.4788700786735174	0.0	0.0	0.0
GM.5.0.Unknown.0113	0.4376530237627696	-0.3540627347700827	-0.4787868903611306	0.2073255010366275	0.0	0.3515625
GM.5.0.C2H2_ZF.0188	-0.26525350580987267	0.5122178399432836	-0.07999536235111956	0.0691085003455425	0.0	0.390625
GM.5.0.Unknown.0171	-0.21121298556862095	1.3785197865027825	-0.7094939022363106	0.0	0.0	0.0
GM.5.0.Mixed.0104	-0.6476504645907359	0.6893450499006364	0.6099586874129417	0.414651002073255	0.3115264797507788	0.2734375
GM.5.0.RFX.0016	1.1187359833017545	-0.35794403467535124	-0.27785753810693253	0.0	0.0	0.0
GM.5.0.Homeodomain.0049	-1.6541804025757227	1.2455375623915217	-0.3139431456636768	0.55286800276434	0.3115264797507788	0.3515625
GM.5.0.C2H2_ZF.0076	-0.5390425927534191	1.4383346582531287	0.3827896268629819	0.138217000691085	0.0	0.1953125
GM.5.0.GATA.0016	-2.3735299506532304	0.38251053999294327	-0.29064155558467014	0.0	0.0	0.0
GM.5.0.bHLH.0063	0.26298029906165127	-0.2612395343751999	3.380699965817414	3.1098825155494123	3.115264797507788	3.671875
GM.5.0.Unknown.0128	-1.5797425068684796	-2.049194036844012	0.21146956416496374	0.48375950241879756	0.3115264797507788	0.5859375
GM.5.0.Nuclear_receptor.0139	1.1873269016963708	0.20087861954319908	1.1619756882502155	0.27643400138217	1.2461059190031152	1.3671875
GM.5.0.Unknown.0052	2.7246661232544294	-2.201981530352173	-1.0849686105715515	2.9716655148583278	1.2461059190031152	1.9921874999999998
GM.5.0.C2H2_ZF.0129	0.45059916807562883	1.8553760245232278	0.3119955421144923	0.0	0.0	0.0
GM.5.0.Unknown.0027	0.19278093786619407	1.0374941521465386	2.30886040335927	0.55286800276434	2.1806853582554515	0.5859375
GM.5.0.Nuclear_receptor.0104	0.058777940026084156	-1.0207147520458968	1.8700402235710893	1.5894955079474777	1.557632398753894	1.6015624999999998
GM.5.0.Nuclear_receptor.0072	-1.8556272140250973	0.03366323649400816	3.032670618046439	0.691085003455425	0.6230529595015576	0.390625
GM.5.0.Nuclear_receptor.0042	-0.7186956816534552	3.426509642477347	-0.8828197499513786	0.6219765031098825	2.803738317757009	0.5859375
GM.5.0.Unknown.0099	0.20180178530898654	0.533570468555947	0.16341940295415672	0.0	0.0	0.0
GM.5.0.Rel.0008	-0.03501071576386542	-0.9558659242061508	-0.8512329341948729	0.0	0.0	0.0
GM.5.0.DM.0004	0.6771834986222841	-0.8306450267996701	-1.3073851054942713	0.0	0.0	0.0
GM.5.0.GATA.0027	-0.4077927319936706	3.832774842201505	-1.0472147087515629	0.691085003455425	2.803738317757009	0.7421875
GM.5.0.C2H2_ZF.0280	0.3342891332645141	0.96282656435805	-0.07946008473702366	0.691085003455425	0.9345794392523363	0.6640625
GM.5.0.Unknown.0066	-0.1730367027026459	-1.1889745712436481	-0.8400978380683407	1.3130615065653075	0.6230529595015576	0.8984374999999999
