# maelstrom - GimmeMotifs version 0.16.1
# method: hypergeom with motif count
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/Diff_NEUROD1_maelstrom.out/motif.nr.count.txt.gz
# activity values: -log10-transformed, BH-corrected hypergeometric p-values
	cluster_1	cluster_2	cluster_3
GM.5.0.GATA.0013	-0.0	-0.0	-0.0
GM.5.0.Forkhead.0043	-0.0	-0.0	-0.0
GM.5.0.Unknown.0159	-0.0	-0.0	-0.0
GM.5.0.Homeodomain.0142	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0188	-0.0	-0.0	0.1606171545160561
GM.5.0.Unknown.0113	-0.0	-0.0	-0.0
GM.5.0.Unknown.0171	-0.0	-0.0	-0.0
GM.5.0.Homeodomain.0049	-0.0	-0.0	-0.0
GM.5.0.bHLH.0098	-0.0	-0.0	0.18535346131162195
GM.5.0.C2H2_ZF.0076	-0.0	-0.0	-0.0
GM.5.0.RFX.0016	-0.0	-0.0	-0.0
GM.5.0.Unknown.0027	-0.0	0.7898433181576848	-0.0
GM.5.0.Nuclear_receptor.0104	-0.0	-0.0	-0.0
GM.5.0.Unknown.0128	-0.0	-0.0	-0.0
GM.5.0.Mixed.0104	-0.0	-0.0	-0.0
GM.5.0.bHLH.0063	-0.0	-0.0	0.10998227918194171
GM.5.0.C2H2_ZF_Homeodomain.0003	-0.0	-0.0	-0.0
GM.5.0.GATA.0016	-0.0	-0.0	-0.0
GM.5.0.Nuclear_receptor.0139	-0.0	-0.0	0.3380740929235
GM.5.0.Unknown.0099	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0250	-0.0	-0.0	-0.0
GM.5.0.Nuclear_receptor.0072	0.04089440555524676	-0.0	-0.0
GM.5.0.Unknown.0052	0.10998227918194171	-0.0	-0.0
GM.5.0.Homeodomain.0047	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0131	0.3380740929235	-0.0	-0.0
GM.5.0.C2H2_ZF.0119	-0.0	-0.0	0.18535346131162195
GM.5.0.Nuclear_receptor.0084	-0.0	0.6868512716598725	-0.0
GM.5.0.C2H2_ZF.0280	-0.0	-0.0	-0.0
GM.5.0.Myb_SANT.0012	0.10998227918194171	-0.0	-0.0
GM.5.0.C2H2_ZF.0152	-0.0	0.2497229517583108	-0.0
GM.5.0.C2H2_ZF.0095	-0.0	0.042064923044337336	-0.0
GM.5.0.Nuclear_receptor.0042	-0.0	0.3627726196643903	-0.0
GM.5.0.Nuclear_receptor.0061	0.10998227918194171	-0.0	-0.0
GM.5.0.Mixed.0007	-0.0	-0.0	-0.0
GM.5.0.bHLH.0083	-0.0	0.10998227918194171	-0.0
GM.5.0.Ets.0044	-0.0	-0.0	0.0274806311721192
GM.5.0.Nuclear_receptor.0103	0.20668969361252207	-0.0	-0.0
GM.5.0.bZIP.0075	-0.0	-0.0	0.10998227918194171
GM.5.0.Nuclear_receptor.0017	-0.0	0.036681336030632554	-0.0
GM.5.0.CSD.0001	-0.0	0.006346422254360636	-0.0
GM.5.0.C2H2_ZF.0243	-0.0	-0.0	-0.0
GM.5.0.Mixed.0100	-0.0	-0.0	-0.0
GM.5.0.Unknown.0206	-0.0	-0.0	0.10998227918194171
GM.5.0.Mixed.0091	-0.0	-0.0	-0.0
GM.5.0.Rel.0008	-0.0	-0.0	-0.0
GM.5.0.bZIP.0080	0.25395657330363686	-0.0	-0.0
GM.5.0.C2H2_ZF.0161	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0101	-0.0	-0.0	-0.0
GM.5.0.Unknown.0072	-0.0	-0.0	-0.0
GM.5.0.Unknown.0158	-0.0	-0.0	0.042064923044337336
GM.5.0.Mixed.0052	-0.0	0.0457500821700633	-0.0
GM.5.0.Unknown.0066	-0.0	-0.0	-0.0
GM.5.0.Grainyhead.0006	-0.0	-0.0	-0.0
GM.5.0.Unknown.0141	-0.0	-0.0	-0.0
GM.5.0.DM.0004	-0.0	-0.0	-0.0
GM.5.0.Nuclear_receptor.0021	-0.0	0.026062535530206227	-0.0
GM.5.0.Nuclear_receptor.0101	-0.0	0.04267927603303429	0.04089440555524676
GM.5.0.T-box.0012	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0276	-0.0	0.2228068481820029	-0.0
GM.5.0.Mixed.0043	-0.0	0.512432987754445	-0.0
GM.5.0.Unknown.0061	-0.0	0.17250211493533657	-0.0
GM.5.0.bHLH.0120	-0.0	-0.0	0.6605042040790451
GM.5.0.Nuclear_receptor.0137	-0.0	-0.0	-0.0
GM.5.0.Paired_box.0015	-0.0	-0.0	-0.0
GM.5.0.Unknown.0155	-0.0	-0.0	-0.0
GM.5.0.Unknown.0107	-0.0	-0.0	-0.0
GM.5.0.STAT.0016	-0.0	-0.0	-0.0
GM.5.0.bZIP.0031	-0.0	-0.0	0.06266345443242868
GM.5.0.C2H2_ZF.0277	-0.0	-0.0	0.10998227918194171
GM.5.0.Nuclear_receptor.0148	-0.0	-0.0	-0.0
GM.5.0.Homeodomain.0172	-0.0	-0.0	0.0274806311721192
GM.5.0.Forkhead.0040	-0.0	-0.0	-0.0
GM.5.0.HSF.0006	-0.0	0.042064923044337336	-0.0
GM.5.0.C2H2_ZF.0107	-0.0	-0.0	0.2794045527712184
GM.5.0.C2H2_ZF.0254	-0.0	-0.0	-0.0
GM.5.0.Homeodomain.0196	-0.0	-0.0	-0.0
GM.5.0.Nuclear_receptor.0041	-0.0	0.10998227918194171	-0.0
GM.5.0.Nuclear_receptor.0125	-0.0	-0.0	-0.0
GM.5.0.Homeodomain_POU.0011	0.04267927603303429	-0.0	-0.0
GM.5.0.Mixed.0015	-0.0	-0.0	-0.0
