# maelstrom - GimmeMotifs version 0.16.1
# method: mwu with motif score
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/Diff_NEUROD1_maelstrom.out/motif.nr.score.txt.gz
# activity values: BH-corrected -log10 Mann-Whitney U p-value
	cluster_1	cluster_2	cluster_3
GM.5.0.GATA.0013	-0.0	7.367210619538502	1.843983795759824
GM.5.0.Forkhead.0043	0.47225701428210176	0.11999046580480764	-0.0
GM.5.0.Unknown.0159	-0.0	-0.0	1.1429093358256819
GM.5.0.Homeodomain.0142	0.9950610654858385	-0.0	-0.0
GM.5.0.C2H2_ZF.0188	0.3748193848701242	0.21456201143128853	-0.0
GM.5.0.Unknown.0113	0.40958580827059954	-0.0	-0.0
GM.5.0.Unknown.0171	-0.0	0.48683377325973953	-0.0
GM.5.0.Homeodomain.0049	-0.0	2.084840134304322	0.03872662174261091
GM.5.0.bHLH.0098	0.28074380414743005	-0.0	0.5921854427599018
GM.5.0.C2H2_ZF.0076	-0.0	0.48943661003686534	-0.0
GM.5.0.RFX.0016	0.8128867967793574	-0.0	-0.0
GM.5.0.Unknown.0027	-0.0	-0.0	1.1236056839709843
GM.5.0.Nuclear_receptor.0104	-0.0	-0.0	1.8429888625160717
GM.5.0.Unknown.0128	-0.0	-0.0	0.22484090553880637
GM.5.0.Mixed.0104	-0.0	0.5435687269781859	0.08787993093623077
GM.5.0.bHLH.0063	-0.0	-0.0	2.6468742496644198
GM.5.0.C2H2_ZF_Homeodomain.0003	0.692446717642657	0.20530146459552373	-0.0
GM.5.0.GATA.0016	-0.0	0.9002951235777553	0.69373594783418
GM.5.0.Nuclear_receptor.0139	1.1093746305530645	-0.0	-0.0
GM.5.0.Unknown.0099	0.5921854427599018	-0.0	0.14762696318297527
GM.5.0.C2H2_ZF.0250	-0.0	0.7683380759623201	0.02419613274402877
GM.5.0.Nuclear_receptor.0072	-0.0	-0.0	4.907934839764611
GM.5.0.Unknown.0052	2.872187857612273	-0.0	-0.0
GM.5.0.Homeodomain.0047	-0.0	4.591412374277736	-0.0
GM.5.0.C2H2_ZF.0131	1.1702968850071966	-0.0	-0.0
GM.5.0.C2H2_ZF.0119	2.116352558442309	-0.0	-0.0
GM.5.0.Nuclear_receptor.0084	-0.0	0.395079239598782	0.38792825945651427
GM.5.0.C2H2_ZF.0280	0.5868199100065778	-0.0	-0.0
GM.5.0.Myb_SANT.0012	0.4040368814421767	0.16420873404825137	-0.0
GM.5.0.C2H2_ZF.0152	-0.0	0.19410408353512554	0.6422421484376702
GM.5.0.C2H2_ZF.0095	-0.0	0.7721979856480455	1.5068954970562862
GM.5.0.Nuclear_receptor.0042	-0.0	2.3618112935531537	-0.0
