# Note: this mapping is specifically created for this non-redundant set of motifs.
# It also includes factors for motifs that were similar, but this can be
# specific to this analysis.
Motif	Factor	Evidence	Curated
GM.5.0.Sox.0004	SRY	JASPAR	N
GM.5.0.Sox.0004	SOX9	Transfac	N
GM.5.0.Sox.0004	Sox9	Transfac	N
GM.5.0.Sox.0004	SOX9	SELEX	N
GM.5.0.Sox.0004	Sox9	SELEX	N
GM.5.0.Sox.0004	SOX13	ChIP-seq	N
GM.5.0.Sox.0004	SOX9	ChIP-seq	N
GM.5.0.Sox.0004	Sox9	ChIP-seq	N
GM.5.0.Sox.0004	SRY	SELEX	N
GM.5.0.Sox.0004	SOX15	SMiLE-seq	N
GM.5.0.Sox.0004	Sox12	PBM	N
GM.5.0.Sox.0004	Sox15	PBM	N
GM.5.0.Sox.0004	Sox18	PBM	N
GM.5.0.Sox.0004	SOX30	Unknown	N
GM.5.0.Sox.0004	Sox30	PBM	N
GM.5.0.Sox.0004	Sox7	PBM	N
GM.5.0.Sox.0004	SOX9	TRANSFAC	N
GM.5.0.Sox.0004	SOX9	HT-SELEX	N
GM.5.0.Sox.0004	SRY	Unknown	N
GM.5.0.Homeodomain.0174	TGIF1	Transfac	N
GM.5.0.Homeodomain.0174	ENSG00000234254	Transfac	N
GM.5.0.Homeodomain.0174	TGIF1	Unknown	N
GM.5.0.Homeodomain.0174	TGIF1	TRANSFAC	N
GM.5.0.Homeodomain.0174	TGIF1	ChIP-seq	N
GM.5.0.Mixed.0022	EGR1	ChIP-seq	N
GM.5.0.Mixed.0022	SRF	ChIP-seq	N
GM.5.0.Nuclear_receptor.0001	RORA	SELEX	Y
GM.5.0.Nuclear_receptor.0001	Rorc	SELEX	N
GM.5.0.Nuclear_receptor.0001	NR1D1	Unknown	N
GM.5.0.Nuclear_receptor.0001	RORA	HT-SELEX	N
GM.5.0.Homeodomain.0107	Lbx1	PBM	N
GM.5.0.Homeodomain.0107	VSX2	Transfac	N
GM.5.0.Homeodomain.0107	Vsx2	Transfac	N
GM.5.0.Homeodomain.0107	PAX4	SELEX	N
GM.5.0.Homeodomain.0107	PAX4	HT-SELEX	N
GM.5.0.Homeodomain.0107	Pax4	PBM	N
GM.5.0.Homeodomain.0107	PAX4	HT-SELEX	N
GM.5.0.Homeodomain.0107	VSX2	TRANSFAC	N
GM.5.0.Nuclear_receptor.0002	NR2C2	ChIP-seq	Y
GM.5.0.Nuclear_receptor.0002	Nr2c2	ChIP-seq	N
GM.5.0.Nuclear_receptor.0002	NR2C2	ChIP-seq	N
GM.5.0.bZIP.0071	AHR	TRANSFAC	N
GM.5.0.bZIP.0071	ARNT	TRANSFAC	N
GM.5.0.bZIP.0071	HIF1A	TRANSFAC	N
GM.5.0.bZIP.0071	ARNT	Unknown	N
GM.5.0.bZIP.0071	ARNT	ChIP-seq	N
GM.5.0.bZIP.0071	Arnt	ChIP-seq	N
GM.5.0.bZIP.0071	EPAS1	ChIP-seq	N
GM.5.0.bZIP.0071	Epas1	ChIP-seq	N
GM.5.0.bZIP.0071	HIF2a	ChIP-seq	N
GM.5.0.bZIP.0071	HIF1A	Unknown	N
GM.5.0.bZIP.0071	HIF1A	JASPAR	N
GM.5.0.bZIP.0071	ARNT	JASPAR	N
GM.5.0.bZIP.0071	HIF1A	ChIP-seq	N
GM.5.0.bZIP.0071	Hif1a	ChIP-seq	N
GM.5.0.bZIP.0071	SIM1	ChIP-seq	N
GM.5.0.bZIP.0071	NPAS1	ChIP-seq	N
GM.5.0.bZIP.0071	NPAS3	ChIP-seq	N
GM.5.0.bZIP.0071	Npas1	ChIP-seq	N
GM.5.0.bZIP.0071	Sim1	ChIP-seq	N
GM.5.0.bZIP.0071	Npas3	ChIP-seq	N
GM.5.0.bZIP.0071	ARNT	COMPILED	N
GM.5.0.bZIP.0071	HIF1A	COMPILED	N
GM.5.0.bZIP.0071	HIF1b	ChIP-seq	N
GM.5.0.bZIP.0071	HIF1a	ChIP-seq	N
GM.5.0.Myb_SANT.0001	MYBL1	SELEX	Y
GM.5.0.Myb_SANT.0001	MYBL2	SELEX	Y
GM.5.0.Myb_SANT.0001	MYBL2	HT-SELEX	Y
GM.5.0.Myb_SANT.0001	MYBL1	HT-SELEX	N
GM.5.0.Myb_SANT.0001	MYBL2	HT-SELEX	N
GM.5.0.C2H2_ZF.0043	EGR1	ChIP-seq	N
GM.5.0.C2H2_ZF.0043	Egr1	ChIP-seq	N
GM.5.0.C2H2_ZF.0043	EGR	TRANSFAC	N
GM.5.0.C2H2_ZF.0043	Egr1	JASPAR	N
GM.5.0.C2H2_ZF.0043	Egr2	ChIP-seq	N
GM.5.0.C2H2_ZF.0043	EGR1	JASPAR	N
GM.5.0.C2H2_ZF.0043	Egr4	JASPAR	N
GM.5.0.C2H2_ZF.0043	Egr2	JASPAR	N
GM.5.0.C2H2_ZF.0043	EGR1	ChIP-seq	N
GM.5.0.C2H2_ZF.0043	Egr4	ChIP-seq	N
GM.5.0.C2H2_ZF.0043	EGR2	ChIP-seq	N
GM.5.0.GATA.0012	CCNT2	ChIP-seq	N
GM.5.0.GATA.0012	GATA1	ChIP-seq	N
GM.5.0.GATA.0012	GATA2	ChIP-seq	N
GM.5.0.GATA.0012	GATA1	ChIP-seq	N
GM.5.0.GATA.0012	Gata1	ChIP-seq	N
GM.5.0.GATA.0012	GATA2	ChIP-seq	N
GM.5.0.GATA.0012	Gata	JASPAR	N
GM.5.0.GATA.0012	Gata2	ChIP-seq	N
GM.5.0.GATA.0012	TAL1	ChIP-seq	N
GM.5.0.GATA.0012	Tal1	ChIP-seq	N
GM.5.0.GATA.0012	TAL1	ChIP-seq	N
GM.5.0.C2H2_ZF_Homeodomain.0002	ZEB1	JASPAR	N
GM.5.0.C2H2_ZF_Homeodomain.0002	Zeb1	JASPAR	N
GM.5.0.C2H2_ZF_Homeodomain.0002	ZEB1	ChIP-seq	N
GM.5.0.C2H2_ZF_Homeodomain.0002	Zeb1	ChIP-seq	N
GM.5.0.C2H2_ZF_Homeodomain.0002	NHLH2	B1H	N
GM.5.0.C2H2_ZF_Homeodomain.0002	Nhlh1	B1H	N
GM.5.0.C2H2_ZF_Homeodomain.0002	SNAI1	ChIP-seq	N
GM.5.0.C2H2_ZF_Homeodomain.0002	SNAI3	ChIP-seq	N
GM.5.0.C2H2_ZF_Homeodomain.0002	Snai3	ChIP-seq	N
GM.5.0.C2H2_ZF_Homeodomain.0002	SNAI2	ChIP-seq	N
GM.5.0.C2H2_ZF_Homeodomain.0002	Snai2	ChIP-seq	N
GM.5.0.C2H2_ZF_Homeodomain.0002	Snai1	ChIP-seq	N
GM.5.0.C2H2_ZF_Homeodomain.0002	ZEB1	Unknown	N
GM.5.0.C2H2_ZF_Homeodomain.0002	ZEB1	ChIP-seq	N
GM.5.0.Unknown.0182	CEBPB	ChIP-seq	N
GM.5.0.Unknown.0182	NFY	TRANSFAC	N
GM.5.0.Homeodomain.0107	Dlx3	PBM	N
GM.5.0.Homeodomain.0107	Dlx4	PBM	N
GM.5.0.Homeodomain.0107	DLX5	HT-SELEX	N
GM.5.0.Homeodomain.0107	ISX	HT-SELEX	N
GM.5.0.Homeodomain.0107	Cdx4	PBM	N
GM.5.0.Homeodomain.0107	OTP	JASPAR	N
GM.5.0.Homeodomain.0107	Prrxl1	JASPAR	N
GM.5.0.Homeodomain.0107	Vsx2	JASPAR	N
GM.5.0.Homeodomain.0107	OTP	B1H	N
GM.5.0.Homeodomain.0107	Prrxl1	B1H	N
GM.5.0.Homeodomain.0107	Vsx2	B1H	N
GM.5.0.Homeodomain.0107	DLX5	SELEX	N
GM.5.0.Homeodomain.0107	Dlx6	SELEX	N
GM.5.0.Homeodomain.0107	ISX	SELEX	N
GM.5.0.Homeodomain.0107	DLX2	ChIP-seq	N
GM.5.0.Homeodomain.0107	Dlx6	ChIP-seq	N
GM.5.0.Homeodomain.0107	PRRX2	ChIP-seq	N
GM.5.0.Homeodomain.0107	Prrxl1	ChIP-seq	N
GM.5.0.Homeodomain.0107	ISX	HT-SELEX	N
GM.5.0.Homeodomain.0107	MSX2	Unknown	N
GM.5.0.Homeodomain.0107	Msx2	PBM	N
GM.5.0.Homeodomain.0107	Prrx2	ChIP-seq	N
GM.5.0.Ets.0027	FEV	ChIP-seq	N
GM.5.0.Ets.0027	Fev	ChIP-seq	N
GM.5.0.Ets.0027	ETS2	ChIP-seq	N
GM.5.0.Ets.0027	ENSG00000235187	ChIP-seq	N
GM.5.0.Ets.0027	Etv2	ChIP-seq	N
GM.5.0.Ets.0027	Ets2	ChIP-seq	N
GM.5.0.Ets.0027	Erf	ChIP-seq	N
GM.5.0.Ets.0027	ENSMUSG00000044690	ChIP-seq	N
GM.5.0.Ets.0027	Fev	ChIP-seq	N
GM.5.0.Ets.0027	SPI1	Unknown	N
GM.5.0.Ets.0027	SPI1	JASPAR	N
GM.5.0.bZIP.0013	Fosb	PBM	N
GM.5.0.bZIP.0013	Fos	PBM	N
GM.5.0.bZIP.0013	Fosl1	PBM	N
GM.5.0.bZIP.0013	Jdp2	PBM	N
GM.5.0.bZIP.0013	Junb	PBM	N
GM.5.0.bZIP.0013	Jund	PBM	N
GM.5.0.bZIP.0013	JUND	ChIP-seq	N
GM.5.0.IRF.0005	IRF2	ChIP-seq	N
GM.5.0.IRF.0005	IRF1	JASPAR	N
GM.5.0.IRF.0005	IRF3	ChIP-seq	N
GM.5.0.bHLH.0116	Tcfap4	PBM	N
GM.5.0.bHLH.0116	ATOH7	B1H	N
GM.5.0.bHLH.0116	Atoh7	B1H	N
GM.5.0.bHLH.0116	TCF3	TRANSFAC	N
GM.5.0.Nuclear_receptor.0072	RARg	ChIP-seq	N
GM.5.0.Nuclear_receptor.0072	Rara	ChIP-seq	N
GM.5.0.Nuclear_receptor.0072	Rxra	ChIP-seq	N
GM.5.0.Nuclear_receptor.0072	Rxrg	ChIP-seq	N
GM.5.0.bZIP.0003	BACH1	ChIP-seq	Y
GM.5.0.bZIP.0003	Bach1	ChIP-seq	N
GM.5.0.bZIP.0003	Bach2	ChIP-seq	N
GM.5.0.bZIP.0003	MAFK	ChIP-seq	Y
GM.5.0.bZIP.0003	MAFK	ChIP-seq	N
GM.5.0.bZIP.0003	NFE2	ChIP-seq	N
GM.5.0.bZIP.0003	Bach2	ChIP-seq	Y
GM.5.0.bHLH.0059	SREBF1	TRANSFAC	N
GM.5.0.bHLH.0059	SREBF	TRANSFAC	N
GM.5.0.Unknown.0128	GTF3C2	ChIP-seq	N
GM.5.0.Unknown.0128	POLR3A	ChIP-seq	N
GM.5.0.Unknown.0128	POLR3G	ChIP-seq	N
GM.5.0.Unknown.0128	HSF1	ChIP-seq	N
GM.5.0.Unknown.0128	HSF1	ChIP-seq	N
GM.5.0.Unknown.0128	Hsf1	ChIP-seq	N
GM.5.0.Unknown.0128	Hsf4	ChIP-seq	N
GM.5.0.Homeodomain.0003	HOXB7	Unknown	N
GM.5.0.Homeodomain.0003	HOXB8	Unknown	N
GM.5.0.Homeodomain.0003	HOXB7	ChIP-seq	Y
GM.5.0.Homeodomain.0003	Hoxb7	ChIP-seq	Y
GM.5.0.Homeodomain.0003	HOXB8	ChIP-seq	Y
GM.5.0.Homeodomain.0003	Hoxb8	ChIP-seq	Y
GM.5.0.Homeodomain.0003	HOXA5	ChIP-seq	Y
GM.5.0.Homeodomain.0003	HOXA6	ChIP-seq	N
GM.5.0.Homeodomain.0003	HOXD3	ChIP-seq	N
GM.5.0.Homeodomain.0003	AC012531.1	ChIP-seq	N
GM.5.0.Homeodomain.0003	HOXB4	ChIP-seq	N
GM.5.0.Homeodomain.0003	HOXC5	ChIP-seq	N
GM.5.0.Homeodomain.0003	Hoxd4	ChIP-seq	N
GM.5.0.Homeodomain.0003	Hoxb2	ChIP-seq	N
GM.5.0.Homeodomain.0003	HOXB6	ChIP-seq	Y
GM.5.0.Homeodomain.0003	HOXB9	ChIP-seq	N
GM.5.0.Homeodomain.0003	HOXC9	ChIP-seq	N
GM.5.0.Homeodomain.0003	Hoxb9	ChIP-seq	N
GM.5.0.Homeodomain.0003	NP_032296.2	ChIP-seq	N
GM.5.0.C2H2_ZF.0003	ZBTB6	Transfac	Y
GM.5.0.C2H2_ZF.0003	Zbtb6	Transfac	N
GM.5.0.C2H2_ZF.0003	ZBTB6	ChIP-seq	Y
GM.5.0.C2H2_ZF.0003	Zbtb6	ChIP-seq	N
GM.5.0.C2H2_ZF.0003	ZBTB6	Unknown	N
GM.5.0.C2H2_ZF.0003	ZBTB6	TRANSFAC	Y
GM.5.0.ARID_BRIGHT.0001	ARID3A	JASPAR	Y
GM.5.0.ARID_BRIGHT.0001	ARID3B	PBM	N
