Motif	# matches	% matches input	# matches background	%matches background	P-value	log10 P-value	ROC AUC	PR AUC	Enr. at 1% FPR	Recall at 10% FDR
GimmeMotifs_1	6651	11.529	100	1.000	0.00e+00	inf	0.841	0.962	11.53	0.9583
GimmeMotifs_2	1358	2.354	100	1.000	2.95e-21	20.530	0.600	0.890	2.35	0.2892
GimmeMotifs_3	2566	4.448	120	1.200	6.93e-69	68.159	0.605	0.899	3.71	0.4719
GimmeMotifs_4	2134	3.699	100	1.000	3.43e-57	56.465	0.631	0.902	3.70	0.4751
GimmeMotifs_5	1348	2.337	100	1.000	7.34e-21	20.134	0.601	0.889	2.34	0.2603
GimmeMotifs_6	911	1.579	106	1.060	2.46e-05	4.609	0.609	0.889	1.49	0.3025
GimmeMotifs_7	895	1.551	100	1.000	5.89e-06	5.230	0.561	0.873	1.55	0.0184
GimmeMotifs_8	935	1.621	108	1.080	1.45e-05	4.840	0.561	0.874	1.50	0.0253
GimmeMotifs_9	1797	3.115	112	1.120	2.48e-35	34.605	0.746	0.932	2.78	0.8880
GimmeMotifs_10	3576	6.199	166	1.660	4.25e-97	96.372	0.699	0.925	3.73	0.7673
GimmeMotifs_11	296	0.513	107	1.070	1.00e+00	0.000	0.611	0.888	0.48	0.4700
GimmeMotifs_12	706	1.224	100	1.000	2.99e-02	1.525	0.574	0.879	1.22	0.1365
GimmeMotifs_13	602	1.044	111	1.110	7.47e-01	0.127	0.560	0.881	0.94	0.1717
GimmeMotifs_14	662	1.148	106	1.060	2.41e-01	0.618	0.561	0.880	1.08	0.2705
GimmeMotifs_15	1124	1.948	100	1.000	1.16e-12	11.937	0.558	0.874	1.95	0.0586
GimmeMotifs_16	897	1.555	117	1.170	1.54e-03	2.813	0.551	0.879	1.33	0.4924
GimmeMotifs_17	1177	2.040	100	1.000	1.77e-14	13.751	0.557	0.876	2.04	0.1061
GimmeMotifs_18	1149	1.992	100	1.000	1.65e-13	12.782	0.561	0.877	1.99	0.1333
GimmeMotifs_19	943	1.635	100	1.000	3.45e-07	6.462	0.539	0.868	1.63	0.0200
