# maelstrom - GimmeMotifs version 0.16.1
# method: mwu with motif score
# motif table: /home/ia1014/gimmemotifs/output/shared.out/motif.nr.score.txt.gz
# activity values: BH-corrected -log10 Mann-Whitney U p-value
	FOXG1	NeuroD1	shared
GM.5.0.C2H2_ZF.0281	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0286	-0.0	-0.0	inf
GM.5.0.Forkhead.0040	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0076	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0161	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0280	-0.0	-0.0	inf
GM.5.0.C2HC_ZF.0001	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0047	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0129	-0.0	-0.0	inf
GM.5.0.bHLH.0075	-0.0	-0.0	inf
GM.5.0.Unknown.0049	-0.0	-0.0	inf
GM.5.0.Mixed.0078	-0.0	-0.0	inf
GM.5.0.Unknown.0033	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0101	-0.0	-0.0	inf
GM.5.0.Homeodomain.0047	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0083	-0.0	-0.0	inf
GM.5.0.T-box.0012	-0.0	-0.0	inf
GM.5.0.Unknown.0193	-0.0	-0.0	inf
GM.5.0.EIN3.0002	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0016	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0146	-0.0	-0.0	inf
GM.5.0.Rel.0024	-0.0	-0.0	inf
GM.5.0.Forkhead.0026	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0240	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0118	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0087	-0.0	-0.0	inf
GM.5.0.Unknown.0055	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0145	-0.0	-0.0	inf
GM.5.0.GATA.0018	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0125	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0254	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0065	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0012	-0.0	-0.0	inf
GM.5.0.p53.0009	-0.0	-0.0	inf
GM.5.0.RFX.0007	-0.0	-0.0	inf
GM.5.0.bZIP.0094	-0.0	-0.0	inf
GM.5.0.Unknown.0180	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0112	-0.0	-0.0	inf
GM.5.0.Unknown.0040	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0038	-0.0	-0.0	inf
GM.5.0.Homeodomain.0118	-0.0	-0.0	inf
GM.5.0.Unknown.0062	-0.0	-0.0	inf
GM.5.0.bHLH.0086	-0.0	-0.0	inf
GM.5.0.Unknown.0206	-0.0	-0.0	inf
GM.5.0.RFX.0014	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0310	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0257	-0.0	-0.0	inf
GM.5.0.Myb_SANT.0016	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0106	-0.0	-0.0	inf
GM.5.0.CSD.0001	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0038	-0.0	-0.0	inf
GM.5.0.SMAD.0007	-0.0	-0.0	inf
GM.5.0.Grainyhead.0010	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0132	-0.0	-0.0	inf
GM.5.0.Homeodomain.0195	-0.0	-0.0	inf
GM.5.0.Paired_box.0020	-0.0	-0.0	inf
GM.5.0.SMAD.0005	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0092	-0.0	-0.0	inf
GM.5.0.Grainyhead.0008	-0.0	-0.0	inf
GM.5.0.Forkhead.0057	-0.0	-0.0	inf
GM.5.0.Zinc_cluster.0001	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0224	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0293	-0.0	-0.0	inf
GM.5.0.bZIP.0032	-0.0	-0.0	inf
GM.5.0.Paired_box.0018	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0100	-0.0	-0.0	inf
GM.5.0.MADS_box.0008	-0.0	-0.0	inf
GM.5.0.HSF.0006	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0284	-0.0	-0.0	inf
GM.5.0.SMAD.0015	-0.0	-0.0	inf
GM.5.0.HSF.0009	-0.0	-0.0	inf
GM.5.0.Homeodomain.0142	85.3867389724425	-0.0	81.61825010009265
GM.5.0.C2H2_ZF.0301	-0.0	-0.0	inf
GM.5.0.bHLH.0038	-0.0	-0.0	inf
GM.5.0.bZIP.0086	-0.0	-0.0	inf
GM.5.0.Homeodomain.0046	-0.0	-0.0	inf
GM.5.0.Mixed.0091	-0.0	-0.0	inf
GM.5.0.Unknown.0133	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0227	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0115	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0114	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0102	-0.0	-0.0	inf
GM.5.0.Mixed.0108	-0.0	-0.0	inf
GM.5.0.Prospero.0001	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0046	-0.0	-0.0	inf
GM.5.0.Sox.0036	-0.0	-0.0	inf
GM.5.0.Grainyhead.0007	-0.0	-0.0	inf
GM.5.0.Unknown.0202	-0.0	-0.0	inf
GM.5.0.GCM.0004	-0.0	-0.0	inf
GM.5.0.Mixed.0103	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0157	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0158	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0068	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0238	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0219	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0107	-0.0	-0.0	inf
GM.5.0.T-box.0004	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0127	-0.0	-0.0	inf
