# maelstrom - GimmeMotifs version 0.16.1
# method: rf with motif score
# motif table: /home/ia1014/gimmemotifs/output/shared.out/motif.nr.score.txt.gz
# activity values: feature importances from fitted Random Forest model
	FOXG1	NeuroD1	shared
GM.5.0.C2H2_ZF.0281	-0.0024514478051194236	-0.0033850927802794232	0.0019399811155200856
GM.5.0.C2H2_ZF.0286	-0.001935408611437399	-0.0026491924528691865	0.001960192858322963
GM.5.0.Forkhead.0040	-0.0038194278287974563	-0.00245887291297287	0.006056091835840477
GM.5.0.C2H2_ZF.0076	-0.0022388707773463674	-0.0033054912279070984	0.003835949577315689
GM.5.0.C2H2_ZF.0161	-0.0029865843836568463	-0.0025147202192196704	0.0024758971225481673
GM.5.0.C2H2_ZF.0280	-0.0026595656495092645	-0.0026055791135861533	0.006456656369923289
GM.5.0.C2HC_ZF.0001	-0.0020089849710304545	-0.0032254126100070253	0.0018616610749777297
GM.5.0.C2H2_ZF.0047	-0.0038602188129768108	-0.0024650088403670722	0.0023436151930907117
GM.5.0.C2H2_ZF.0129	-0.0026468050127993557	-0.0024738836682750647	0.002563323906033528
GM.5.0.bHLH.0075	-0.009417274841389954	-0.002842496324434862	0.009764955446493919
GM.5.0.Unknown.0049	-0.002536146934365419	-0.0026546204300616416	0.002590127487120302
GM.5.0.Mixed.0078	-0.002379974773508496	-0.0026488170021052772	0.002484385994448105
GM.5.0.Unknown.0033	-0.0024803909309534227	-0.002711934405053299	0.0019885250446904134
GM.5.0.C2H2_ZF.0101	-0.002337882451539765	-0.0026393359619717753	0.0025017118969456447
GM.5.0.Homeodomain.0047	-0.0023791561926406	-0.0027428205015741086	0.002406919010699408
GM.5.0.Nuclear_receptor.0083	-0.002399371790756029	-0.0037601430630031752	0.002280946020286011
GM.5.0.T-box.0012	-0.0023650273200990168	-0.0025059766036237686	0.002329455066729271
GM.5.0.Unknown.0193	-0.0022996631934215617	-0.0025541620567035074	0.002199498315567001
GM.5.0.EIN3.0002	-0.002388258060171089	-0.002494559941822005	0.0023915710124243704
GM.5.0.Nuclear_receptor.0016	-0.002453972479649017	-0.003306893729931007	0.001955282957931199
GM.5.0.C2H2_ZF.0146	-0.002272670998337503	-0.00313551663893556	0.002722041687810715
GM.5.0.Rel.0024	-0.0024319985161290435	-0.0027291099865690517	0.0028844294262292164
GM.5.0.Forkhead.0026	-0.0024474979120322634	-0.0027110430822849395	0.002296423897659772
GM.5.0.C2H2_ZF.0240	-0.002489453922044113	-0.0024386322991601967	0.0025934812710949606
GM.5.0.C2H2_ZF.0118	-0.002234617334831529	-0.0031822353511299	0.003009159331605783
GM.5.0.Nuclear_receptor.0087	-0.0022699277626618878	-0.002836580811023408	0.0022666434964951562
GM.5.0.Unknown.0055	-0.0036987188196078696	-0.0024448532958230786	0.006719518257193984
GM.5.0.Nuclear_receptor.0145	-0.002986406114801476	-0.0024434135529248376	0.004099659607558089
GM.5.0.GATA.0018	-0.0022830766815218296	-0.00242495587427498	0.0021880691928465785
GM.5.0.Nuclear_receptor.0125	-0.002642970433495499	-0.006708990761676838	0.0019758655319990527
GM.5.0.C2H2_ZF.0254	-0.0025804697844838227	-0.002372886173925501	0.0019845547964077474
GM.5.0.Nuclear_receptor.0065	-0.0022632600221114364	-0.0025696526702730653	0.002123931879164736
GM.5.0.C2H2_ZF.0012	-0.002337557110931482	-0.0026853980183353214	0.003055509011897958
GM.5.0.p53.0009	-0.002617612990022412	-0.0025251319690691343	0.0032340604859312618
GM.5.0.RFX.0007	-0.0023898563547740557	-0.0026406459659940027	0.002461233864162642
GM.5.0.bZIP.0094	-0.0023300355236556725	-0.002588123099641067	0.002721457318455406
GM.5.0.Unknown.0180	-0.0023929508224072725	-0.002653176012798577	0.003525439265750914
GM.5.0.Nuclear_receptor.0112	-0.0022900971579359786	-0.002872579826516383	0.0020723169930638753
GM.5.0.Unknown.0040	-0.0022444488580230224	-0.0027845287047777146	0.0021372937903631505
GM.5.0.C2H2_ZF.0038	-0.00229174797336079	-0.003326271559769823	0.002251768929372321
