	z-score FOXG1	z-score NeuroD1	z-score shared	FOXG1 % with motif	NeuroD1 % with motif	shared % with motif
GM.5.0.C2H2_ZF.0281	0.3108300669196036	-0.050826071453729964	-0.34557578338564404	0	0	0
GM.5.0.C2H2_ZF.0286	1.9951460398052108	1.2170621642731037	0.2513853945712191	0	0	0
GM.5.0.Forkhead.0040	0.8371098750757481	2.2832156370297603	2.6199409273322654	0	0	0
GM.5.0.C2H2_ZF.0076	1.5161290273932142	0.4752059991406041	1.6259646869817976	0	0	0
GM.5.0.C2H2_ZF.0161	-1.458147073792921	-0.41030279051314555	-0.8759956964309094	0	0	0
GM.5.0.C2H2_ZF.0280	-1.064862785081958	-0.3249048466357839	0.46820297264223615	0	0	0
GM.5.0.C2HC_ZF.0001	1.7805691371084886	0.3944284458589581	-0.02821481357678092	0	0	0
GM.5.0.C2H2_ZF.0047	-1.3404042116836257	0.11479306232989413	-0.7442881557111326	0	0	0
GM.5.0.C2H2_ZF.0129	-0.26449030284310954	0.7818604481226774	0.24981120110626834	0	0	0
GM.5.0.bHLH.0075	-0.23984764431820219	0.7057298416637616	2.2334934264389634	0	0	0
GM.5.0.Unknown.0049	-0.630760494867895	-0.1455291834413611	-0.23598451258277428	0	0	0
GM.5.0.Mixed.0078	-3.064705148377862	-2.823986051370192	-2.8330066286380147	0	0	0
GM.5.0.Unknown.0033	-1.7407882671980617	-1.481145429380467	-2.2209706743699953	0	0	0
GM.5.0.C2H2_ZF.0101	0.19878144815516038	0.3270892220158527	0.11315391602789333	0	0	0
GM.5.0.Homeodomain.0047	0.7897443951191885	0.7929013015529146	0.6755450081891354	0	0	0
GM.5.0.Nuclear_receptor.0083	0.46762883441688907	-0.1214952316294896	0.1955636619829323	0	0	0
GM.5.0.T-box.0012	0.6494704198238536	1.0812642511552972	0.3648839244540996	0	0	0
GM.5.0.Unknown.0193	2.8270750853235116	2.9049230739469185	2.235881334616184	0	0	0
GM.5.0.EIN3.0002	0.9791343465274076	1.5228300921269704	0.8698781215422299	0	0	0
GM.5.0.Nuclear_receptor.0016	-1.2454025844553005	-1.564568354388559	-1.843697350198971	0	0	0
GM.5.0.C2H2_ZF.0146	-3.0111382245733167	-3.798035816324622	-2.8237901734749435	0	0	0
GM.5.0.Rel.0024	-0.8045520208119291	-0.6461779007334699	-0.30637540564320165	0	0	0
GM.5.0.Forkhead.0026	-1.1715793380088915	-0.9624435664451928	-1.3101154103502712	0	0	0
GM.5.0.C2H2_ZF.0240	-0.588740740464923	0.374043278583137	-0.2546675177364637	0	0	0
GM.5.0.C2H2_ZF.0118	-0.24993328376415114	-1.2372521662979465	-0.3926398422367694	0	0	0
GM.5.0.Nuclear_receptor.0087	1.459573708395362	0.9304159004779046	0.6842137040978555	0	0	0
GM.5.0.Unknown.0055	-2.281751466670185	-0.8430691064108559	-0.40284858847872257	0	0	0
GM.5.0.Nuclear_receptor.0145	0.1465767008447105	1.4271424223513969	1.444245608407923	0	0	0
GM.5.0.GATA.0018	0.020015142944995103	0.49350810981699794	-0.7800463093903542	0	0	0
GM.5.0.Nuclear_receptor.0125	-1.6260877838939776	-2.600721289539348	-1.9261059528208677	0	0	0
GM.5.0.C2H2_ZF.0254	-1.4231001157446614	-0.18814044403867317	-1.805034515523324	0	0	0
GM.5.0.Nuclear_receptor.0065	-1.9066776427428576	-2.0177975629038833	-2.856678541148115	0	0	0
GM.5.0.C2H2_ZF.0012	1.9607372927238484	1.9441733343016154	2.3111816004848214	0	0	0
GM.5.0.p53.0009	-1.7216998641627281	-0.9150538402489968	-0.8171699379814016	0	0	0
GM.5.0.RFX.0007	-0.42316438418909014	-0.13172198771119212	-0.4277924612373285	0	0	0
GM.5.0.bZIP.0094	-0.7644398572491623	-0.6141740137067763	-0.6777458785493511	0	0	0
GM.5.0.Unknown.0180	-0.7601234938462423	-0.5051458112459208	-0.11818343904373997	0	0	0
GM.5.0.Nuclear_receptor.0112	-0.07914249005715353	-0.5420384906567467	-1.0017274008441206	0	0	0
GM.5.0.Unknown.0040	1.2388925098541994	0.6353517373886615	0.17952946949267862	0	0	0
GM.5.0.C2H2_ZF.0038	1.8913512293938324	1.0898473487155518	1.2169172352761188	0	0	0
GM.5.0.Homeodomain.0118	1.53265291458029	1.3928492736104492	-0.23416727306003657	0	0	0
GM.5.0.Unknown.0062	-0.7439164381175077	-1.7268054262511474	-1.4284018127751532	0	0	0
GM.5.0.bHLH.0086	-0.7764184004368888	-0.8860754054081131	-1.8747188048785381	0	0	0
GM.5.0.Unknown.0206	0.8889980184619726	0.742049836778236	1.46601866228823	0	0	0
GM.5.0.RFX.0014	0.5832343105282132	1.2262932082107794	-0.301022054646559	0	0	0
GM.5.0.C2H2_ZF.0310	0.29625355002328424	1.0751730962739854	0.2757394678456418	0	0	0
GM.5.0.C2H2_ZF.0257	0.3222464124167617	0.5695795536869881	1.1709022155476922	0	0	0
GM.5.0.Myb_SANT.0016	1.2460851926263687	2.443679264214262	1.967775943220584	0	0	0
GM.5.0.C2H2_ZF.0106	-0.9820668649723527	-0.8197451424166274	-1.938688965231318	0	0	0
GM.5.0.CSD.0001	-0.6536319801179954	0.05452095084128637	-0.07447726627934564	0	0	0
GM.5.0.Nuclear_receptor.0038	0.03154261983912646	-0.5703340627921928	-0.4127843703298573	0	0	0
GM.5.0.SMAD.0007	1.589872500376457	1.2078121839184033	1.119027966939544	0	0	0
GM.5.0.Grainyhead.0010	0.11712922404042206	0.11712922404042206	-2.1424714741176833	0	0	0
GM.5.0.C2H2_ZF.0132	-1.1359387344643634	-0.9885463760064932	-1.4590614442401535	0	0	0
GM.5.0.Homeodomain.0195	-1.2636049549808503	-0.7704065305906628	-0.7406900780609342	0	0	0
GM.5.0.Paired_box.0020	-0.8240075514785994	-1.8909337553850243	-2.6322726394392983	0	0	0
GM.5.0.SMAD.0005	0.08876893103702933	1.2132239966142941	1.8718412816735237	0	0	0
