# Note: this mapping is specifically created for this non-redundant set of motifs.
# It also includes factors for motifs that were similar, but this can be
# specific to this analysis.
Motif	Factor	Evidence	Curated
GM.5.0.Sox.0016	SRY	JASPAR	N
GM.5.0.Sox.0016	SOX9	Transfac	N
GM.5.0.Sox.0016	Sox9	Transfac	N
GM.5.0.Sox.0016	SOX9	SELEX	N
GM.5.0.Sox.0016	Sox9	SELEX	N
GM.5.0.Sox.0016	SOX13	ChIP-seq	N
GM.5.0.Sox.0016	SOX9	ChIP-seq	N
GM.5.0.Sox.0016	Sox9	ChIP-seq	N
GM.5.0.Sox.0016	SRY	SELEX	N
GM.5.0.Sox.0016	SOX15	SMiLE-seq	N
GM.5.0.Sox.0016	Sox12	PBM	N
GM.5.0.Sox.0016	Sox15	PBM	N
GM.5.0.Sox.0016	Sox18	PBM	N
GM.5.0.Sox.0016	SOX30	Unknown	N
GM.5.0.Sox.0016	Sox30	PBM	N
GM.5.0.Sox.0016	Sox7	PBM	N
GM.5.0.Sox.0016	SOX9	TRANSFAC	N
GM.5.0.Sox.0016	SOX9	HT-SELEX	N
GM.5.0.Sox.0016	SRY	Unknown	N
GM.5.0.Homeodomain.0056	TGIF1	Transfac	N
GM.5.0.Homeodomain.0056	ENSG00000234254	Transfac	N
GM.5.0.Homeodomain.0056	TGIF1	Unknown	N
GM.5.0.Homeodomain.0056	TGIF1	TRANSFAC	N
GM.5.0.Homeodomain.0056	TGIF1	ChIP-seq	N
GM.5.0.THAP_finger.0005	EGR1	ChIP-seq	N
GM.5.0.THAP_finger.0005	SRF	ChIP-seq	N
GM.5.0.Nuclear_receptor.0102	RORA	SELEX	N
GM.5.0.Nuclear_receptor.0102	Rorc	SELEX	N
GM.5.0.Nuclear_receptor.0102	NR1D1	Unknown	N
GM.5.0.Nuclear_receptor.0102	RORA	HT-SELEX	N
GM.5.0.Homeodomain.0045	Lbx1	PBM	N
GM.5.0.Homeodomain.0045	VSX2	Transfac	N
GM.5.0.Homeodomain.0045	Vsx2	Transfac	N
GM.5.0.Homeodomain.0045	PAX4	SELEX	N
GM.5.0.Homeodomain.0045	PAX4	HT-SELEX	N
GM.5.0.Homeodomain.0045	Pax4	PBM	N
GM.5.0.Homeodomain.0045	PAX4	HT-SELEX	N
GM.5.0.Homeodomain.0045	VSX2	TRANSFAC	N
GM.5.0.Unknown.0009	NR2C2	ChIP-seq	N
GM.5.0.Unknown.0009	Nr2c2	ChIP-seq	N
GM.5.0.Unknown.0009	NR2C2	ChIP-seq	N
GM.5.0.SMAD.0012	AHR	TRANSFAC	N
GM.5.0.SMAD.0012	ARNT	TRANSFAC	N
GM.5.0.SMAD.0012	HIF1A	TRANSFAC	N
GM.5.0.SMAD.0012	ARNT	Unknown	N
GM.5.0.SMAD.0012	ARNT	ChIP-seq	N
GM.5.0.SMAD.0012	Arnt	ChIP-seq	N
GM.5.0.SMAD.0012	EPAS1	ChIP-seq	N
GM.5.0.SMAD.0012	Epas1	ChIP-seq	N
GM.5.0.SMAD.0012	HIF2a	ChIP-seq	N
GM.5.0.SMAD.0012	HIF1A	Unknown	N
GM.5.0.SMAD.0012	HIF1A	JASPAR	N
