# maelstrom - GimmeMotifs version 0.16.1
# method: mwu with motif score
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/Diff_K27ac_maelstrom.out/motif.nr.score.txt.gz
# activity values: BH-corrected -log10 Mann-Whitney U p-value
	K27ac_gain	K27ac_loss
GM.5.0.GATA.0029	-0.0	16.585415543158522
GM.5.0.GATA.0013	16.585415543158522	-0.0
GM.5.0.C2H2_ZF.0310	-0.0	3.8474561612435263
GM.5.0.Unknown.0060	-0.0	2.655042666729141
GM.5.0.bZIP.0061	-0.0	0.7804660706914923
GM.5.0.C2H2_ZF.0277	-0.0	3.4724125142897537
GM.5.0.T-box.0013	-0.0	2.8179525748093606
GM.5.0.Nuclear_receptor.0035	-0.0	2.2089519427292013
GM.5.0.Nuclear_receptor.0064	-0.0	1.6535752569909896
GM.5.0.C2H2_ZF.0108	-0.0	1.2215636967159493
GM.5.0.Nuclear_receptor.0052	-0.0	5.848087747006048
GM.5.0.Unknown.0004	-0.0	2.134655741231771
GM.5.0.C2H2_ZF.0267	-0.0	3.3899776600898566
GM.5.0.Mixed.0075	-0.0	1.6514212254880383
GM.5.0.C2H2_ZF.0257	-0.0	1.933359879560547
GM.5.0.Myb_SANT.0009	-0.0	1.7584994529082527
GM.5.0.bZIP.0044	-0.0	5.177393368083357
GM.5.0.C2H2_ZF.0144	-0.0	3.6991421156197903
GM.5.0.p53.0007	-0.0	5.7310919372395395
GM.5.0.MADS_box.0018	-0.0	4.635801797711982
GM.5.0.Homeodomain.0175	-0.0	2.553643969023812
GM.5.0.C2H2_ZF.0025	-0.0	2.1886898047718537
GM.5.0.bZIP.0097	-0.0	7.489687975289366
GM.5.0.Unknown.0032	-0.0	3.4684446626370393
GM.5.0.Unknown.0154	-0.0	2.4675041767627706
GM.5.0.Homeodomain.0170	-0.0	4.05832486818984
GM.5.0.Unknown.0145	-0.0	1.7267778344999416
GM.5.0.Nuclear_receptor.0017	-0.0	2.1161782343994306
GM.5.0.bZIP.0072	-0.0	6.296287624493581
GM.5.0.Homeodomain.0189	-0.0	5.848087747006048
GM.5.0.Homeodomain.0084	-0.0	6.115849052873051
GM.5.0.Homeodomain_POU.0001	-0.0	5.24912578874355
GM.5.0.Nuclear_receptor.0133	-0.0	5.604106410125798
GM.5.0.Homeodomain.0153	-0.0	3.438890489708886
GM.5.0.C2H2_ZF.0028	-0.0	0.9480104026136668
GM.5.0.DP_E2F.0001	-0.0	0.5573422709921809
GM.5.0.Unknown.0125	-0.0	3.1288111360869184
GM.5.0.bZIP.0056	-0.0	4.05832486818984
GM.5.0.Nuclear_receptor.0134	-0.0	3.824968939140042
GM.5.0.CUT_Homeodomain.0009	-0.0	3.1744748643921334
GM.5.0.Nuclear_receptor.0137	-0.0	4.012160871420293
GM.5.0.Unknown.0147	-0.0	1.4267785185619066
GM.5.0.bHLH.0067	-0.0	2.5355482831289513
GM.5.0.Unknown.0168	-0.0	0.5215403260548082
GM.5.0.GCM.0002	-0.0	5.500739028550816
GM.5.0.Homeodomain.0133	-0.0	2.1886898047718537
GM.5.0.Unknown.0141	-0.0	2.457560615434353
GM.5.0.Homeodomain.0159	-0.0	0.8657788713619154
GM.5.0.TEA.0009	-0.0	2.2401133728172438
GM.5.0.AT_hook.0003	-0.0	0.44034571185801813
GM.5.0.RFX.0006	-0.0	1.933359879560547
GM.5.0.T-box.0026	-0.0	3.3818466464957457
GM.5.0.C2HC_ZF.0001	-0.0	0.15192568745367405
GM.5.0.Nuclear_receptor.0073	-0.0	3.0909551607502044
