# maelstrom - GimmeMotifs version 0.16.1
# method: rf with motif score
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/Diff_K27ac_maelstrom.out/motif.nr.score.txt.gz
# activity values: feature importances from fitted Random Forest model
	K27ac_gain	K27ac_loss
GM.5.0.GATA.0029	0.02895923069089085	0.02895923069089085
GM.5.0.GATA.0013	0.023703636707132027	-0.023703636707132027
GM.5.0.C2H2_ZF.0310	-0.013592886902571094	0.013592886902571094
GM.5.0.Unknown.0060	-0.007381922671062862	0.007381922671062862
GM.5.0.bZIP.0061	0.00802249257196404	-0.00802249257196404
GM.5.0.C2H2_ZF.0277	-0.009002080292402327	0.009002080292402327
GM.5.0.T-box.0013	-0.004852655956022086	0.004852655956022086
GM.5.0.Nuclear_receptor.0035	0.009873451252229545	0.009873451252229545
GM.5.0.Nuclear_receptor.0064	-0.007565200187475764	0.007565200187475764
GM.5.0.C2H2_ZF.0108	-0.01324148803511288	0.01324148803511288
GM.5.0.Nuclear_receptor.0052	-0.013961482372255956	0.013961482372255956
GM.5.0.Unknown.0004	-0.008488922503588422	0.008488922503588422
GM.5.0.C2H2_ZF.0267	-0.012237183649942673	0.012237183649942673
GM.5.0.Mixed.0075	0.012185286046006234	-0.012185286046006234
GM.5.0.C2H2_ZF.0257	-0.005165193088112826	0.005165193088112826
GM.5.0.Myb_SANT.0009	-0.012441744268825487	0.012441744268825487
GM.5.0.bZIP.0044	-0.01762801966078615	0.01762801966078615
GM.5.0.C2H2_ZF.0144	-0.009861918625229405	0.009861918625229405
GM.5.0.p53.0007	-0.008348710787693395	0.008348710787693395
GM.5.0.MADS_box.0018	-0.012541884921783859	0.012541884921783859
GM.5.0.Homeodomain.0175	-0.006298772925441616	0.006298772925441616
GM.5.0.C2H2_ZF.0025	-0.008354844454555395	0.008354844454555395
GM.5.0.bZIP.0097	-0.017348169172215648	0.017348169172215648
GM.5.0.Unknown.0032	-0.01929156413961005	0.01929156413961005
GM.5.0.Unknown.0154	-0.008408577526406731	0.008408577526406731
GM.5.0.Homeodomain.0170	-0.007231831695053398	0.007231831695053398
GM.5.0.Unknown.0145	-0.006403349889309491	0.006403349889309491
GM.5.0.Nuclear_receptor.0017	-0.01082788699402553	0.01082788699402553
GM.5.0.bZIP.0072	-0.009009741893044616	0.009009741893044616
GM.5.0.Homeodomain.0189	-0.01643908340239206	0.01643908340239206
GM.5.0.Homeodomain.0084	-0.017320973511246045	0.017320973511246045
GM.5.0.Homeodomain_POU.0001	-0.025502953224869077	0.025502953224869077
GM.5.0.Nuclear_receptor.0133	-0.012186340305611422	0.012186340305611422
GM.5.0.Homeodomain.0153	-0.014333724134382051	0.014333724134382051
GM.5.0.C2H2_ZF.0028	-0.0072814338423290844	0.0072814338423290844
GM.5.0.DP_E2F.0001	-0.0071891848182048	0.0071891848182048
GM.5.0.Unknown.0125	-0.008708771801898288	0.008708771801898288
GM.5.0.bZIP.0056	-0.008408639697494032	0.008408639697494032
GM.5.0.Nuclear_receptor.0134	-0.006061941658012041	0.006061941658012041
GM.5.0.CUT_Homeodomain.0009	-0.011352207615812838	0.011352207615812838
GM.5.0.Nuclear_receptor.0137	-0.0090304358670633	0.0090304358670633
GM.5.0.Unknown.0147	-0.006838004266246064	0.006838004266246064
GM.5.0.bHLH.0067	-0.013652653730521751	0.013652653730521751
GM.5.0.Unknown.0168	0.0050264204877216246	0.0050264204877216246
GM.5.0.GCM.0002	-0.014971251553774068	0.014971251553774068
GM.5.0.Homeodomain.0133	-0.007260477313556528	0.007260477313556528
GM.5.0.Unknown.0141	-0.005525229303207704	0.005525229303207704
GM.5.0.Homeodomain.0159	-0.006021164614292623	0.006021164614292623
GM.5.0.TEA.0009	-0.007857304132143982	0.007857304132143982
GM.5.0.AT_hook.0003	0.007579622472213886	-0.007579622472213886
GM.5.0.RFX.0006	-0.01236112841515851	0.01236112841515851
GM.5.0.T-box.0026	-0.004399356329073955	0.004399356329073955
GM.5.0.C2HC_ZF.0001	0.00519686796339025	-0.00519686796339025
GM.5.0.Nuclear_receptor.0073	-0.01383364522931416	0.01383364522931416
GM.5.0.Homeodomain.0041	-0.007156048047128355	0.007156048047128355
GM.5.0.Mixed.0080	-0.020968589703711835	0.020968589703711835
GM.5.0.Forkhead.0021	-0.010008921120223904	0.010008921120223904
GM.5.0.Unknown.0026	0.005788404741985124	-0.005788404741985124
GM.5.0.Ets.0018	-0.010464192466104224	0.010464192466104224
GM.5.0.Unknown.0079	-0.0076514449959619365	0.0076514449959619365
GM.5.0.C2H2_ZF.0210	-0.016406963992541643	0.016406963992541643
GM.5.0.Homeodomain.0055	0.01793380686857829	-0.01793380686857829
GM.5.0.Unknown.0024	0.005062077264435	-0.005062077264435
GM.5.0.C2H2_ZF.0191	0.013695615988823729	-0.013695615988823729
GM.5.0.IRF.0018	-0.005309561637150899	0.005309561637150899
GM.5.0.AP-2.0004	-0.012211781626747093	0.012211781626747093
GM.5.0.Mixed.0035	-0.006209907863253475	0.006209907863253475
GM.5.0.Nuclear_receptor.0139	-0.007973112591957963	0.007973112591957963
GM.5.0.Sox.0010	0.00896738729673954	-0.00896738729673954
GM.5.0.Sox.0034	0.017169379985756628	-0.017169379985756628
GM.5.0.Homeodomain.0119	0.014133664440717763	0.014133664440717763
GM.5.0.ARID_BRIGHT.0001	0.004956408417957204	-0.004956408417957204
GM.5.0.Nuclear_receptor.0015	0.012297616032209363	-0.012297616032209363
GM.5.0.Ets.0027	-0.003344592851809971	0.003344592851809971
GM.5.0.SMAD.0008	-0.007853149751498742	0.007853149751498742
GM.5.0.THAP_finger.0002	-0.03472582021881706	0.03472582021881706
GM.5.0.Unknown.0191	0.013995319356727825	-0.013995319356727825
GM.5.0.C2H2_ZF.0097	-0.022069695468879328	0.022069695468879328
GM.5.0.GATA.0012	0.013451265920121844	-0.013451265920121844
GM.5.0.SMAD.0003	-0.013229895811264355	0.013229895811264355
GM.5.0.Myb_SANT.0008	0.012702016434283491	-0.012702016434283491
GM.5.0.Mixed.0011	-0.030217684749031654	0.030217684749031654
GM.5.0.Unknown.0099	-0.011484161091389795	0.011484161091389795
GM.5.0.TEA.0010	-0.006992339269221148	0.006992339269221148
GM.5.0.C2H2_ZF.0017	-0.009519397282847243	0.009519397282847243
GM.5.0.C2H2_ZF.0149	-0.018940965777100055	0.018940965777100055
GM.5.0.C2H2_ZF_Homeodomain.0003	0.003600971410263111	-0.003600971410263111
GM.5.0.C2H2_ZF.0259	0.006938893954079978	-0.006938893954079978
