	z-score K27ac_gain	z-score K27ac_loss	K27ac_gain % with motif	K27ac_loss % with motif
GM.5.0.GATA.0029	1.6989163381466612	2.6791515807665625	0.0	0.0
GM.5.0.GATA.0013	2.497662677811331	-2.510438381639569	0.0	0.0
GM.5.0.C2H2_ZF.0310	0.3578230238321708	1.1726321893507967	0.847457627118644	3.4934497816593884
GM.5.0.Unknown.0060	0.44320132417138947	0.12810256413542748	0.0	1.7467248908296942
GM.5.0.bZIP.0061	-2.244944062045098	-2.580010519617549	0.0	2.1834061135371177
GM.5.0.C2H2_ZF.0277	0.17592650180652736	0.4747083165943748	0.847457627118644	2.1834061135371177
GM.5.0.T-box.0013	0.22275161120179024	-0.4359747735033972	0.0	0.0
GM.5.0.Nuclear_receptor.0035	1.2664531639717769	0.442082720280743	0.0	0.0
GM.5.0.Nuclear_receptor.0064	-1.2502233323801546	-1.049128848371989	3.389830508474576	0.0
GM.5.0.C2H2_ZF.0108	-1.0823106461374854	-0.2965215006604403	2.5423728813559325	1.3100436681222707
GM.5.0.Nuclear_receptor.0052	-0.3455063538725196	1.120729881971475	1.694915254237288	2.1834061135371177
GM.5.0.Unknown.0004	0.14161506053400688	0.057491002431918646	4.23728813559322	5.240174672489083
GM.5.0.C2H2_ZF.0267	0.09832990537294024	0.7226515637664139	1.694915254237288	0.8733624454148471
GM.5.0.Mixed.0075	0.8257784368395091	-0.9568023328423371	0.0	2.6200873362445414
GM.5.0.C2H2_ZF.0257	0.08714894541973663	-0.6946128850888877	1.694915254237288	4.8034934497816595
GM.5.0.Myb_SANT.0009	-0.3490806187723791	0.15391756868064516	3.389830508474576	1.3100436681222707
GM.5.0.bZIP.0044	-0.9688761578376988	1.0115822427550198	4.23728813559322	8.296943231441048
GM.5.0.C2H2_ZF.0144	1.4397579723160907	1.3708480346695275	2.5423728813559325	0.8733624454148471
GM.5.0.p53.0007	0.07437367781848149	0.5069976767977628	0.847457627118644	0.8733624454148471
GM.5.0.MADS_box.0018	-0.9458152986584625	0.4154598412767647	1.694915254237288	1.7467248908296942
GM.5.0.Homeodomain.0175	-0.17534442750222837	-0.4632745030022275	0.0	0.0
GM.5.0.C2H2_ZF.0025	-0.6387642480635053	-0.41788183619452324	0.847457627118644	3.056768558951965
GM.5.0.bZIP.0097	-0.5656174533793439	1.3789483657318178	0.0	2.1834061135371177
GM.5.0.Unknown.0032	-2.3019820837055627	0.2582264612166913	0.0	5.676855895196507
GM.5.0.Unknown.0154	-0.7699771844690202	-0.39433923245154734	0.0	0.0
GM.5.0.Homeodomain.0170	1.2479321514500457	0.8194497929477305	0.0	0.0
GM.5.0.Unknown.0145	0.043529360883177	-0.5654308078789821	1.694915254237288	2.1834061135371177
GM.5.0.Nuclear_receptor.0017	0.282981802726431	0.37116075150147526	4.23728813559322	2.1834061135371177
GM.5.0.bZIP.0072	-1.9176318981910738	2.0584882458209206	0.0	4.366812227074235
GM.5.0.Homeodomain.0189	-1.7986899040696687	0.52150202587771	0.0	0.0
GM.5.0.Homeodomain.0084	-0.7933797433741119	1.1629279760202889	0.0	0.0
GM.5.0.Homeodomain_POU.0001	-1.823784021497169	2.5868571133988265	0.0	3.9301310043668125
GM.5.0.Nuclear_receptor.0133	0.9388446177320652	1.4483004107822077	0.0	0.0
GM.5.0.Homeodomain.0153	-0.09560019791175661	0.9997862125264156	4.23728813559322	4.366812227074235
GM.5.0.C2H2_ZF.0028	1.6997712310675077	-0.26519334750687845	5.084745762711865	0.0
GM.5.0.DP_E2F.0001	-1.8833116449297063	-1.7134503220342763	3.389830508474576	1.7467248908296942
GM.5.0.Unknown.0125	0.9331078876533403	0.7804057093902821	0.0	0.0
GM.5.0.bZIP.0056	-1.0405494813380483	-0.16413366727392423	0.0	0.0
GM.5.0.Nuclear_receptor.0134	-0.6597539019366985	-0.5363262458075345	0.0	0.0
GM.5.0.CUT_Homeodomain.0009	0.5203185899512218	0.815633743678139	1.694915254237288	3.4934497816593884
GM.5.0.Nuclear_receptor.0137	0.2459087366977153	0.6318768370442178	0.847457627118644	2.1834061135371177
GM.5.0.Unknown.0147	-0.4822092451507816	-0.9038074241621212	5.084745762711865	0.8733624454148471
GM.5.0.bHLH.0067	-0.15925257037160492	0.648378947472089	0.0	0.0
GM.5.0.Unknown.0168	0.45765953090457545	-0.9614825037170733	0.0	0.0
GM.5.0.GCM.0002	-0.6652359673834747	0.9778885700525057	0.0	0.0
GM.5.0.Homeodomain.0133	-1.7822928277348506	-1.2011385355504582	0.0	0.0
GM.5.0.Unknown.0141	1.478839495004894	0.31536747014147193	0.0	0.0
GM.5.0.Homeodomain.0159	1.654554874186134	0.04845845147297069	0.0	0.0
GM.5.0.TEA.0009	0.6510428264715968	0.2628843977698554	0.0	0.0
GM.5.0.AT_hook.0003	1.5410030988925019	-0.7007450363947968	0.0	0.0
GM.5.0.RFX.0006	-0.8149226593372131	-0.11606005441367717	10.16949152542373	3.4934497816593884
GM.5.0.T-box.0026	-0.8738662523394682	-0.9628907921036073	0.0	0.0
GM.5.0.C2HC_ZF.0001	1.069588949898412	-0.8681976450509056	0.0	0.0
GM.5.0.Nuclear_receptor.0073	-2.1091449174418773	-0.27033331308836783	0.0	0.0
GM.5.0.Homeodomain.0041	-0.929231555988814	-0.9448715084415811	0.0	0.0
GM.5.0.Mixed.0080	-0.002954107044972436	2.2457785224320768	0.0	0.0
GM.5.0.Forkhead.0021	-2.4032040046201137	-1.0367486600672562	0.0	0.0
GM.5.0.Unknown.0026	1.9778655504398879	-0.3849009057551924	0.0	0.0
GM.5.0.Ets.0018	-1.2417300582178648	0.31504039653750276	0.0	0.0
GM.5.0.Unknown.0079	-0.7934149688814129	0.15208161317324384	0.0	0.0
GM.5.0.C2H2_ZF.0210	-2.000098773766987	0.8412575138575159	0.0	0.0
GM.5.0.Homeodomain.0055	1.7864636416035502	-1.2053195057489636	0.0	0.0
GM.5.0.Unknown.0024	1.1369166210694244	-2.040265805946285	0.0	0.0
GM.5.0.C2H2_ZF.0191	2.747160152390148	-1.626480408516955	7.627118644067797	0.43668122270742354
GM.5.0.IRF.0018	0.28348471551505083	-0.6877803422529889	0.0	0.0
GM.5.0.AP-2.0004	-1.1145422591687575	-0.5180767932533662	0.0	0.0
GM.5.0.Mixed.0035	1.9923918919569994	0.8642094503338481	0.0	0.0
GM.5.0.Nuclear_receptor.0139	0.8636056297912718	0.12786933657266783	1.694915254237288	1.3100436681222707
GM.5.0.Sox.0010	2.034286115715268	-0.8708214889790261	0.0	0.0
GM.5.0.Sox.0034	1.9497576740949416	-2.0585627357926697	0.0	0.0
GM.5.0.Homeodomain.0119	0.6371505007311129	1.3978535593098738	0.0	0.0
GM.5.0.ARID_BRIGHT.0001	-1.2421014542727271	-1.9509763493930536	0.0	0.0
GM.5.0.Nuclear_receptor.0015	0.9481396842212266	-2.7383538298516448	0.0	0.0
GM.5.0.Ets.0027	1.6999868955785569	0.36461221532620425	0.0	0.0
GM.5.0.SMAD.0008	-0.2571878779169069	0.4061883112448706	0.0	0.0
GM.5.0.THAP_finger.0002	-1.9063913493260243	2.358597111804966	0.0	0.0
GM.5.0.Unknown.0191	1.9104469120546892	-2.216742585010287	0.0	0.0
GM.5.0.C2H2_ZF.0097	-0.9212601091749989	1.671155008104746	0.0	0.0
GM.5.0.GATA.0012	2.219770125035593	-0.9453390268837955	0.0	0.0
GM.5.0.SMAD.0003	-0.7914673035440284	1.1035993543757598	0.0	0.0
GM.5.0.Myb_SANT.0008	-0.11332677163566919	-1.7823235635519232	0.0	0.0
GM.5.0.Mixed.0011	-2.7001641456835417	1.5062959427777747	0.0	0.0
GM.5.0.Unknown.0099	-1.4751766558028385	0.3581734738033809	0.0	0.0
GM.5.0.TEA.0010	1.7100028160658673	1.0847575054061214	0.0	0.0
GM.5.0.C2H2_ZF.0017	-2.6027111936051632	-0.3171240718857476	0.0	0.0
GM.5.0.C2H2_ZF.0149	-0.0924004696502548	1.9936913929377895	0.0	0.0
GM.5.0.C2H2_ZF_Homeodomain.0003	1.0689290947208092	-1.8194796364646868	0.0	0.0
GM.5.0.C2H2_ZF.0259	2.0642503443856106	-0.9617156481708977	0.0	0.0
