# Note: this mapping is specifically created for this non-redundant set of motifs.
# It also includes factors for motifs that were similar, but this can be
# specific to this analysis.
Motif	Factor	Evidence	Curated
GM.5.0.C2HC_ZF.0001	SRY	JASPAR	N
GM.5.0.C2HC_ZF.0001	SOX9	Transfac	N
GM.5.0.C2HC_ZF.0001	Sox9	Transfac	N
GM.5.0.C2HC_ZF.0001	SOX9	SELEX	N
GM.5.0.C2HC_ZF.0001	Sox9	SELEX	N
GM.5.0.C2HC_ZF.0001	SOX13	ChIP-seq	N
GM.5.0.C2HC_ZF.0001	SOX9	ChIP-seq	N
GM.5.0.C2HC_ZF.0001	Sox9	ChIP-seq	N
GM.5.0.C2HC_ZF.0001	SRY	SELEX	N
GM.5.0.C2HC_ZF.0001	SOX15	SMiLE-seq	N
GM.5.0.C2HC_ZF.0001	Sox12	PBM	N
GM.5.0.C2HC_ZF.0001	Sox15	PBM	N
GM.5.0.C2HC_ZF.0001	Sox18	PBM	N
GM.5.0.C2HC_ZF.0001	SOX30	Unknown	N
GM.5.0.C2HC_ZF.0001	Sox30	PBM	N
GM.5.0.C2HC_ZF.0001	Sox7	PBM	N
GM.5.0.C2HC_ZF.0001	SOX9	TRANSFAC	N
GM.5.0.C2HC_ZF.0001	SOX9	HT-SELEX	N
GM.5.0.C2HC_ZF.0001	SRY	Unknown	N
GM.5.0.Homeodomain.0084	TGIF1	Transfac	N
GM.5.0.Homeodomain.0084	ENSG00000234254	Transfac	N
GM.5.0.Homeodomain.0084	TGIF1	Unknown	N
GM.5.0.Homeodomain.0084	TGIF1	TRANSFAC	N
GM.5.0.Homeodomain.0084	TGIF1	ChIP-seq	N
GM.5.0.C2H2_ZF.0191	EGR1	ChIP-seq	N
GM.5.0.C2H2_ZF.0191	SRF	ChIP-seq	N
GM.5.0.Nuclear_receptor.0052	RORA	SELEX	N
GM.5.0.Nuclear_receptor.0052	Rorc	SELEX	N
GM.5.0.Nuclear_receptor.0052	NR1D1	Unknown	N
GM.5.0.Nuclear_receptor.0052	RORA	HT-SELEX	N
GM.5.0.Homeodomain.0055	Lbx1	PBM	N
GM.5.0.Homeodomain.0055	VSX2	Transfac	N
GM.5.0.Homeodomain.0055	Vsx2	Transfac	N
GM.5.0.Homeodomain.0055	PAX4	SELEX	N
GM.5.0.Homeodomain.0055	PAX4	HT-SELEX	N
GM.5.0.Homeodomain.0055	Pax4	PBM	N
GM.5.0.Homeodomain.0055	PAX4	HT-SELEX	N
GM.5.0.Homeodomain.0055	VSX2	TRANSFAC	N
GM.5.0.Homeodomain.0084	NR2C2	ChIP-seq	N
GM.5.0.Homeodomain.0084	Nr2c2	ChIP-seq	N
GM.5.0.Homeodomain.0084	NR2C2	ChIP-seq	N
GM.5.0.Myb_SANT.0009	AHR	TRANSFAC	N
GM.5.0.Myb_SANT.0009	ARNT	TRANSFAC	N
GM.5.0.Myb_SANT.0009	HIF1A	TRANSFAC	N
