# maelstrom - GimmeMotifs version 0.16.1
# method: hypergeom with motif count
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/Diff_ATAC_maelstrom.out/motif.nr.count.txt.gz
# activity values: -log10-transformed, BH-corrected hypergeometric p-values
	ATAC_gain	ATAC_loss
GM.5.0.C2H2_ZF_Homeodomain.0001	-0.0	-0.0
GM.5.0.bHLH.0088	0.01549348648933722	-0.0
GM.5.0.p53.0007	-0.0	-0.0
GM.5.0.Zinc_cluster.0001	-0.0	-0.0
GM.5.0.C2H2_ZF.0196	-0.0	0.01549348648933722
GM.5.0.DM.0004	-0.0	-0.0
GM.5.0.Unknown.0084	-0.0	-0.0
GM.5.0.Unknown.0128	-0.0	-0.0
GM.5.0.C2H2_ZF.0283	-0.0	-0.0
GM.5.0.Mixed.0044	-0.0	-0.0
GM.5.0.Unknown.0092	-0.0	-0.0
GM.5.0.Nuclear_receptor.0070	-0.0	-0.0
GM.5.0.Forkhead.0050	-0.0	-0.0
GM.5.0.bHLH.0086	-0.0	-0.0
GM.5.0.C2H2_ZF.0129	-0.0	-0.0
GM.5.0.GATA.0025	-0.0	-0.0
GM.5.0.Rel.0020	0.03797035131129407	-0.0
GM.5.0.Unknown.0057	0.05215528737396152	-0.0
GM.5.0.Grainyhead.0008	-0.0	-0.0
GM.5.0.Unknown.0161	-0.0	-0.0
GM.5.0.T-box.0018	-0.0	-0.0
GM.5.0.SMAD.0007	-0.0	-0.0
GM.5.0.Homeodomain.0166	0.01549348648933722	-0.0
GM.5.0.Unknown.0119	-0.0	-0.0
GM.5.0.C2H2_ZF.0012	-0.0	-0.0
GM.5.0.Homeodomain.0053	-0.0	-0.0
GM.5.0.C2H2_ZF.0123	-0.0	-0.0
GM.5.0.Unknown.0085	-0.0	-0.0
GM.5.0.Forkhead.0057	-0.0	-0.0
GM.5.0.GATA.0018	-0.0	0.07692432315605173
GM.5.0.Unknown.0121	-0.0	-0.0
GM.5.0.C2HC_ZF.0001	-0.0	-0.0
GM.5.0.Forkhead.0041	0.05215528737396152	-0.0
GM.5.0.Homeodomain.0162	-0.0	-0.0
GM.5.0.Myb_SANT.0009	-0.0	-0.0
GM.5.0.C2H2_ZF.0219	-0.0	-0.0
GM.5.0.Ets.0038	-0.0	-0.0
GM.5.0.C2H2_ZF.0047	-0.0	-0.0
GM.5.0.CUT_Homeodomain.0012	-0.0	-0.0
GM.5.0.Unknown.0157	-0.0	0.01549348648933722
GM.5.0.Mixed.0074	-0.0	-0.0
GM.5.0.C2H2_ZF.0307	-0.0	-0.0
GM.5.0.GCM.0004	-0.0	-0.0
GM.5.0.C2H2_ZF.0134	-0.0	-0.0
GM.5.0.Nuclear_receptor.0104	-0.0	-0.0
GM.5.0.bHLH.0119	-0.0	-0.0
GM.5.0.Homeodomain.0155	1.2394310040821903	-0.0
GM.5.0.C2H2_ZF.0004	-0.0	-0.0
GM.5.0.C2H2_ZF.0132	-0.0	-0.0
GM.5.0.Unknown.0138	-0.0	-0.0
GM.5.0.Nuclear_receptor.0111	-0.0	0.01549348648933722
GM.5.0.RFX.0009	0.05215528737396152	-0.0
