# Note: this mapping is specifically created for this non-redundant set of motifs.
# It also includes factors for motifs that were similar, but this can be
# specific to this analysis.
Motif	Factor	Evidence	Curated
GM.5.0.Unknown.0109	SRY	JASPAR	N
GM.5.0.Unknown.0109	SOX9	Transfac	N
GM.5.0.Unknown.0109	Sox9	Transfac	N
GM.5.0.Unknown.0109	SOX9	SELEX	N
GM.5.0.Unknown.0109	Sox9	SELEX	N
GM.5.0.Unknown.0109	SOX13	ChIP-seq	N
GM.5.0.Unknown.0109	SOX9	ChIP-seq	N
GM.5.0.Unknown.0109	Sox9	ChIP-seq	N
GM.5.0.Unknown.0109	SRY	SELEX	N
GM.5.0.Unknown.0109	SOX15	SMiLE-seq	N
GM.5.0.Unknown.0109	Sox12	PBM	N
GM.5.0.Unknown.0109	Sox15	PBM	N
GM.5.0.Unknown.0109	Sox18	PBM	N
GM.5.0.Unknown.0109	SOX30	Unknown	N
GM.5.0.Unknown.0109	Sox30	PBM	N
GM.5.0.Unknown.0109	Sox7	PBM	N
GM.5.0.Unknown.0109	SOX9	TRANSFAC	N
GM.5.0.Unknown.0109	SOX9	HT-SELEX	N
GM.5.0.Unknown.0109	SRY	Unknown	N
GM.5.0.Homeodomain.0091	TGIF1	Transfac	N
GM.5.0.Homeodomain.0091	ENSG00000234254	Transfac	N
GM.5.0.Homeodomain.0091	TGIF1	Unknown	N
GM.5.0.Homeodomain.0091	TGIF1	TRANSFAC	N
GM.5.0.Homeodomain.0091	TGIF1	ChIP-seq	N
GM.5.0.Unknown.0189	EGR1	ChIP-seq	N
GM.5.0.Unknown.0189	SRF	ChIP-seq	N
GM.5.0.Nuclear_receptor.0009	RORA	SELEX	N
GM.5.0.Nuclear_receptor.0009	Rorc	SELEX	N
GM.5.0.Nuclear_receptor.0009	NR1D1	Unknown	N
GM.5.0.Nuclear_receptor.0009	RORA	HT-SELEX	N
GM.5.0.Homeodomain.0129	Lbx1	PBM	N
GM.5.0.Homeodomain.0129	VSX2	Transfac	N
GM.5.0.Homeodomain.0129	Vsx2	Transfac	N
GM.5.0.Homeodomain.0129	PAX4	SELEX	N
GM.5.0.Homeodomain.0129	PAX4	HT-SELEX	N
GM.5.0.Homeodomain.0129	Pax4	PBM	N
GM.5.0.Homeodomain.0129	PAX4	HT-SELEX	N
GM.5.0.Homeodomain.0129	VSX2	TRANSFAC	N
GM.5.0.Ets.0046	NR2C2	ChIP-seq	N
GM.5.0.Ets.0046	Nr2c2	ChIP-seq	N
GM.5.0.Ets.0046	NR2C2	ChIP-seq	N
GM.5.0.bZIP.0071	AHR	TRANSFAC	N
GM.5.0.bZIP.0071	ARNT	TRANSFAC	N
GM.5.0.bZIP.0071	HIF1A	TRANSFAC	N
GM.5.0.bZIP.0071	ARNT	Unknown	N
GM.5.0.bZIP.0071	ARNT	ChIP-seq	N
GM.5.0.bZIP.0071	Arnt	ChIP-seq	N
GM.5.0.bZIP.0071	EPAS1	ChIP-seq	N
GM.5.0.bZIP.0071	Epas1	ChIP-seq	N
GM.5.0.bZIP.0071	HIF2a	ChIP-seq	N
GM.5.0.bZIP.0071	HIF1A	Unknown	N
GM.5.0.bZIP.0071	HIF1A	JASPAR	N
GM.5.0.bZIP.0071	ARNT	JASPAR	N
GM.5.0.bZIP.0071	HIF1A	ChIP-seq	N
GM.5.0.bZIP.0071	Hif1a	ChIP-seq	N
GM.5.0.bZIP.0071	SIM1	ChIP-seq	N
