Chrom	Start	End	X4.8851361.8851762	.	..1	X8851361.1	X8851762.1	X0	X1	X401	X8851353	cluster_1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr10	6846247	6846648	10:6846247-6846648	.	.	6846247	6846648	0	1	401	6846241	cluster_2	Intron (ENSMUST00000147171/ENSMUSG00000000766, intron 3 of 5)	10	6789099	6849987	60889	1	ENSMUST00000148625	57149	ENSMUSG00000000766	ENSMUSG00000000766
chr7	83704307	83704708	7:83704307-83704708	.	.	83704307	83704708	0	1	401	83704299	cluster_2	Intron (ENSMUST00000001792/ENSMUSG00000001741, intron 2 of 18)	7	83722510	83732407	9898	2	ENSMUST00000131916	27699	ENSMUSG00000001741	ENSMUSG00000001741
chr17	70248433	70248834	17:70248433-70248834	.	.	70248433	70248834	0	1	401	70248426	cluster_2	Intron (ENSMUST00000133983/ENSMUSG00000003279, intron 2 of 13)	17	70424794	70819804	395011	1	ENSMUST00000155016	-175960	ENSMUSG00000003279	ENSMUSG00000003279
chr2	33269093	33269494	2:33269093-33269494	.	.	33269093	33269494	0	1	401	33269090	cluster_2	Intron (ENSMUST00000042615/ENSMUSG00000038831, intron 6 of 16)	2	33216098	33230124	14027	1	ENSMUST00000139148	52996	ENSMUSG00000004105	ENSMUSG00000004105
chr2	24750123	24750524	2:24750123-24750524	.	.	24750123	24750524	0	1	401	24750121	cluster_2	Intron (ENSMUST00000070864/ENSMUSG00000004113, intron 3 of 45)	2	24606375	24763047	156673	2	ENSMUST00000100348	12523	ENSMUSG00000004113	ENSMUSG00000004113
chr18	10964801	10965202	18:10964801-10965202	.	.	10964801	10965202	0	1	401	10964800	cluster_2	Distal Intergenic	18	11052510	11085635	33126	1	ENSMUST00000047762	-87308	ENSMUSG00000005836	ENSMUSG00000005836
chr13	28029320	28029721	13:28029320-28029721	.	.	28029320	28029721	0	1	401	28029318	cluster_2	Distal Intergenic	13	28016212	28023548	7337	1	ENSMUST00000021779	13109	ENSMUSG00000005891	ENSMUSG00000005891
chr11	75647616	75648017	11:75647616-75648017	.	.	75647616	75648017	0	1	401	75647609	cluster_2	Promoter (<=1kb)	11	75646846	75647864	1019	1	ENSMUST00000139856	771	ENSMUSG00000006127	ENSMUSG00000006127
chr4	94786605	94787006	4:94786605-94787006	.	.	94786605	94787006	0	1	401	94786596	cluster_2	Intron (ENSMUST00000073939/ENSMUSG00000006386, intron 2 of 21)	4	94804843	94820194	15352	1	ENSMUST00000131958	-17837	ENSMUSG00000006386	ENSMUSG00000006386
chr19	47296585	47296986	19:47296585-47296986	.	.	47296585	47296986	0	1	401	47296581	cluster_2	Intron (ENSMUST00000081619/ENSMUSG00000053617, intron 8 of 14)	19	47228843	47259440	30598	1	ENSMUST00000111807	67743	ENSMUSG00000006435	ENSMUSG00000006435
chr1	190185757	190186158	1:190185757-190186158	.	.	190185757	190186158	0	1	401	190185756	cluster_2	Intron (ENSMUST00000110279/ENSMUSG00000079045, intron 1 of 1)	1	190118038	190170680	52643	2	ENSMUST00000175916	-15078	ENSMUSG00000010175	ENSMUSG00000010175
chr15	98543974	98544375	15:98543974-98544375	.	.	98543974	98544375	0	1	401	98543965	cluster_2	Promoter (<=1kb)	15	98538699	98543020	4322	2	ENSMUST00000163180	-955	ENSMUSG00000011960	ENSMUSG00000011960
chr1	12671811	12672212	1:12671811-12672212	.	.	12671811	12672212	0	1	401	12671810	cluster_2	Distal Intergenic	1	12692430	12860371	167942	1	ENSMUST00000177608	-20218	ENSMUSG00000016918	ENSMUSG00000016918
chr14	17020924	17021325	14:17020924-17021325	.	.	17020924	17021325	0	1	401	17020923	cluster_2	Distal Intergenic	14	16430842	16575472	144631	2	ENSMUST00000063750	-445453	ENSMUSG00000017491	ENSMUSG00000017491
chr2	165735763	165736164	2:165735763-165736164	.	.	165735763	165736164	0	1	401	165735762	cluster_2	Intron (ENSMUST00000088132/ENSMUSG00000017897, intron 9 of 15)	2	165713569	165766260	52692	1	ENSMUST00000150638	22195	ENSMUSG00000017897	ENSMUSG00000017897
chr11	88142316	88142717	11:88142316-88142717	.	.	88142316	88142717	0	1	401	88142308	cluster_2	Intron (ENSMUST00000018522/ENSMUSG00000018378, intron 1 of 10)	11	88162261	88194140	31880	1	ENSMUST00000154812	-19544	ENSMUSG00000018378	ENSMUSG00000018378
chr11	96973439	96973840	11:96973439-96973840	.	.	96973439	96973840	0	1	401	96973430	cluster_2	Intron (ENSMUST00000107626/ENSMUSG00000018678, intron 1 of 6)	11	96953340	96977688	24349	2	ENSMUST00000107626	3848	ENSMUSG00000018678	ENSMUSG00000018678
chr19	42164693	42165094	19:42164693-42165094	.	.	42164693	42165094	0	1	401	42164689	cluster_2	Promoter (<=1kb)	19	42163951	42177726	13776	1	ENSMUST00000164455	743	ENSMUSG00000018820	ENSMUSG00000018820
chr10	124910735	124911136	10:124910735-124911136	.	.	124910735	124911136	0	1	401	124910734	cluster_2	Distal Intergenic	10	125227494	125308816	81323	2	ENSMUST00000105257	397680	ENSMUSG00000020102	ENSMUSG00000020102
chr10	121087502	121087903	10:121087502-121087903	.	.	121087502	121087903	0	1	401	121087501	cluster_2	Intron (ENSMUST00000020439/ENSMUSG00000020218, intron 6 of 9)	10	121083755	121100637	16883	1	ENSMUST00000145691	3748	ENSMUSG00000020218	ENSMUSG00000020218
chr10	77272959	77273360	10:77272959-77273360	.	.	77272959	77273360	0	1	401	77272952	cluster_2	Distal Intergenic	10	77259300	77269586	10287	1	ENSMUST00000020493	13660	ENSMUSG00000020260	ENSMUSG00000020260
chr12	13350985	13351386	12:13350985-13351386	.	.	13350985	13351386	0	1	401	13350984	cluster_2	Intron (ENSMUST00000042953/ENSMUSG00000020576, intron 21 of 51)	12	13269127	13583810	314684	1	ENSMUST00000042953	81859	ENSMUSG00000020576	ENSMUSG00000020576
chr12	16450908	16451309	12:16450908-16451309	.	.	16450908	16451309	0	1	401	16450907	cluster_2	Distal Intergenic	12	16535669	16589770	54102	2	ENSMUST00000067124	138461	ENSMUSG00000020593	ENSMUSG00000020593
chr12	15585747	15586148	12:15585747-15586148	.	.	15585747	15586148	0	1	401	15585746	cluster_2	Distal Intergenic	12	15791727	15816785	25059	2	ENSMUST00000020922	230637	ENSMUSG00000020601	ENSMUSG00000020601
chr12	7930795	7931196	12:7930795-7931196	.	.	7930795	7931196	0	1	401	7930788	cluster_2	Distal Intergenic	12	7977648	7987818	10171	1	ENSMUST00000171271	-46452	ENSMUSG00000020609	ENSMUSG00000020609
chr12	10572487	10572888	12:10572487-10572888	.	.	10572487	10572888	0	1	401	10572486	cluster_2	Distal Intergenic	12	10390780	10395562	4783	1	ENSMUST00000020947	181708	ENSMUSG00000020621	ENSMUSG00000020621
chr12	25220718	25221119	12:25220718-25221119	.	.	25220718	25221119	0	1	401	25220716	cluster_2	Distal Intergenic	12	25093801	25096092	2292	2	ENSMUST00000020974	-124627	ENSMUSG00000020644	ENSMUSG00000020644
chr11	116654485	116654886	11:116654485-116654886	.	.	116654485	116654886	0	1	401	116654484	cluster_2	Promoter (<=1kb)	11	116645595	116654313	8719	2	ENSMUST00000021166	-173	ENSMUSG00000020810	ENSMUSG00000020810
chr11	71805389	71805790	11:71805389-71805790	.	.	71805389	71805790	0	1	401	71805382	cluster_2	Distal Intergenic	11	71768676	71785285	16610	1	ENSMUST00000132095	36714	ENSMUSG00000020811	ENSMUSG00000020811
chr11	71807851	71808252	11:71807851-71808252	.	.	71807851	71808252	0	1	401	71807844	cluster_2	Distal Intergenic	11	71768676	71785285	16610	1	ENSMUST00000132095	39176	ENSMUSG00000020811	ENSMUSG00000020811
chr12	58670207	58670608	12:58670207-58670608	.	.	58670207	58670608	0	1	401	58670202	cluster_2	Distal Intergenic	12	58966615	58971271	4657	2	ENSMUST00000154399	300663	ENSMUSG00000020986	ENSMUSG00000020986
chr12	70053660	70054061	12:70053660-70054061	.	.	70053660	70054061	0	1	401	70053653	cluster_2	Intron (ENSMUST00000085314/ENSMUSG00000021068, intron 10 of 28)	12	70011435	70102833	91399	2	ENSMUST00000085314	48772	ENSMUSG00000021068	ENSMUSG00000021068
chr12	100631360	100631761	12:100631360-100631761	.	.	100631360	100631761	0	1	401	100631359	cluster_2	Intron (ENSMUST00000043599/ENSMUSG00000021180, intron 3 of 17)	12	100549778	100725028	175251	2	ENSMUST00000043599	93267	ENSMUSG00000021180	ENSMUSG00000021180
chr12	108221344	108221745	12:108221344-108221745	.	.	108221344	108221745	0	1	401	108221343	cluster_2	Exon (ENSMUST00000136175/ENSMUSG00000084883, exon 5 of 6)	12	108179738	108203359	23622	1	ENSMUST00000101055	41607	ENSMUSG00000021258	ENSMUSG00000021258
chr13	56412120	56412521	13:56412120-56412521	.	.	56412120	56412521	0	1	401	56412115	cluster_2	Distal Intergenic	13	56438355	56474239	35885	1	ENSMUST00000021971	-25834	ENSMUSG00000021509	ENSMUSG00000021509
chr13	98300448	98300849	13:98300448-98300849	.	.	98300448	98300849	0	1	401	98300439	cluster_2	Intron (ENSMUST00000180188/ENSMUSG00000096330, intron 2 of 5)	13	98309898	98311515	1618	2	ENSMUST00000133461	10666	ENSMUSG00000021660	ENSMUSG00000021660
chr14	32323128	32323529	14:32323128-32323529	.	.	32323128	32323529	0	1	401	32323125	cluster_2	Promoter (1-2kb)	14	32322019	32347820	25802	1	ENSMUST00000022480	1110	ENSMUSG00000021913	ENSMUSG00000021913
chr14	80374187	80374588	14:80374187-80374588	.	.	80374187	80374588	0	1	401	80374179	cluster_2	Distal Intergenic	14	80000302	80021930	21629	1	ENSMUST00000088735	373886	ENSMUSG00000022026	ENSMUSG00000022026
chr15	12846668	12847069	15:12846668-12847069	.	.	12846668	12847069	0	1	401	12846667	cluster_2	Intron (ENSMUST00000169061/ENSMUSG00000022191, intron 8 of 34)	15	12837350	12903811	66462	1	ENSMUST00000150211	9319	ENSMUSG00000022191	ENSMUSG00000022191
chr15	48222128	48222529	15:48222128-48222529	.	.	48222128	48222529	0	1	401	48222124	cluster_2	Intron (ENSMUST00000160658/ENSMUSG00000022311, intron 9 of 68)	15	47581723	48001621	419899	2	ENSMUST00000161653	-220508	ENSMUSG00000022311	ENSMUSG00000022311
chr15	57949178	57949579	15:57949178-57949579	.	.	57949178	57949579	0	1	401	57949173	cluster_2	Intron (ENSMUST00000022992/ENSMUSG00000022364, intron 11 of 20)	15	57958413	57970067	11655	1	ENSMUST00000161329	-8834	ENSMUSG00000022364	ENSMUSG00000022364
chr16	33859933	33860334	16:33859933-33860334	.	.	33859933	33860334	0	1	401	33859930	cluster_2	Intron (ENSMUST00000115028/ENSMUSG00000022817, intron 2 of 14)	16	33885026	33910585	25560	1	ENSMUST00000134262	-24692	ENSMUSG00000022817	ENSMUSG00000022817
chr17	14340813	14341214	17:14340813-14341214	.	.	14340813	14341214	0	1	401	14340812	cluster_2	Intron (ENSMUST00000024660/ENSMUSG00000023886, intron 4 of 12)	17	14279506	14404790	125285	1	ENSMUST00000024660	61308	ENSMUSG00000023886	ENSMUSG00000023886
chr17	51393752	51394153	17:51393752-51394153	.	.	51393752	51394153	0	1	401	51393747	cluster_2	Distal Intergenic	17	50733127	51179349	446223	2	ENSMUST00000024717	-214404	ENSMUSG00000023923	ENSMUSG00000023923
chr17	53941842	53942243	17:53941842-53942243	.	.	53941842	53942243	0	1	401	53941837	cluster_2	Distal Intergenic	17	53961615	53990674	29060	2	ENSMUST00000024738	48431	ENSMUSG00000023943	ENSMUSG00000023943
chr17	29710386	29710787	17:29710386-29710787	.	.	29710386	29710787	0	1	401	29710384	cluster_2	Intron (ENSMUST00000137079/ENSMUSG00000024018, intron 1 of 3)	17	29699999	29716963	16965	2	ENSMUST00000131807	6176	ENSMUSG00000024018	ENSMUSG00000024018
chr17	66589948	66590349	17:66589948-66590349	.	.	66589948	66590349	0	1	401	66589942	cluster_2	Intron (ENSMUST00000024914/ENSMUSG00000024105, intron 2 of 3)	17	66555252	66594621	39370	2	ENSMUST00000024914	4272	ENSMUSG00000024105	ENSMUSG00000024105
chr17	58797833	58798234	17:58797833-58798234	.	.	58797833	58798234	0	1	401	58797828	cluster_2	Distal Intergenic	17	58878808	58884133	5326	2	ENSMUST00000177108	85899	ENSMUSG00000024227	ENSMUSG00000024227
chr18	69018359	69018760	18:69018359-69018760	.	.	69018359	69018760	0	1	401	69018353	cluster_2	Distal Intergenic	18	68944633	68950141	5509	2	ENSMUST00000025428	-68219	ENSMUSG00000024546	ENSMUSG00000024546
chr18	61309644	61310045	18:61309644-61310045	.	.	61309644	61310045	0	1	401	61309638	cluster_2	Exon (ENSMUST00000075299/ENSMUSG00000033871, exon 7 of 12)	18	61275023	61289924	14902	1	ENSMUST00000135688	34622	ENSMUSG00000024575	ENSMUSG00000024575
chr18	85181447	85181848	18:85181447-85181848	.	.	85181447	85181848	0	1	401	85181439	cluster_2	Distal Intergenic	18	84947294	84951524	4231	2	ENSMUST00000025547	-229924	ENSMUSG00000024645	ENSMUSG00000024645
chr19	17555105	17555506	19:17555105-17555506	.	.	17555105	17555506	0	1	401	17555104	cluster_2	Intron (ENSMUST00000025618/ENSMUSG00000024713, intron 20 of 37)	19	17397437	17399961	2525	1	ENSMUST00000146171	157669	ENSMUSG00000024712	ENSMUSG00000024712
chr19	55779862	55780263	19:55779862-55780263	.	.	55779862	55780263	0	1	401	55779857	cluster_2	Intron (ENSMUST00000061496/ENSMUSG00000024985, intron 3 of 12)	19	55742845	55910681	167837	1	ENSMUST00000133008	37018	ENSMUSG00000024985	ENSMUSG00000024985
