Chrom	Start	End	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr3	108145309	108146226	Promoter (<=1kb)	3	108107280	108146146	38867	2	ENSMUST00000000001	0	ENSMUSG00000000001	ENSMUSG00000000001
chr16	18810936	18813212	Promoter (<=1kb)	16	18780447	18811972	31526	2	ENSMUST00000000028	0	ENSMUSG00000000028	ENSMUSG00000000028
chr11	121236498	121237638	Promoter (<=1kb)	11	121237253	121255856	18604	1	ENSMUST00000103015	0	ENSMUSG00000000056	ENSMUSG00000000056
chr13	5860611	5861122	Promoter (<=1kb)	13	5861489	5870393	8905	1	ENSMUST00000000080	-367	ENSMUSG00000000078	ENSMUSG00000000078
chr13	5861504	5863871	Promoter (<=1kb)	13	5861489	5870393	8905	1	ENSMUST00000000080	16	ENSMUSG00000000078	ENSMUSG00000000078
chr4	120405645	120406578	Promoter (<=1kb)	4	120405428	120463084	57657	1	ENSMUST00000132116	218	ENSMUSG00000000085	ENSMUSG00000000085
chr9	57520634	57522343	Promoter (<=1kb)	9	57521232	57532424	11193	1	ENSMUST00000000090	0	ENSMUSG00000000088	ENSMUSG00000000088
chr7	126199117	126200156	Promoter (<=1kb)	7	126161008	126199928	38921	2	ENSMUST00000167147	0	ENSMUSG00000000131	ENSMUSG00000000131
chr11	108920486	108922486	Promoter (<=1kb)	11	108920800	108923583	2784	1	ENSMUST00000140821	0	ENSMUSG00000000142	ENSMUSG00000000142
chr5	140705014	140705523	Promoter (<=1kb)	5	140705023	140719173	14151	1	ENSMUST00000153440	0	ENSMUSG00000000148	ENSMUSG00000000148
chr5	140829784	140830247	Promoter (<=1kb)	5	140758408	140830431	72024	2	ENSMUST00000000153	184	ENSMUSG00000000149	ENSMUSG00000000149
chr9	50617172	50618174	Promoter (<=1kb)	9	50617321	50624997	7677	1	ENSMUST00000000171	0	ENSMUSG00000000167	ENSMUSG00000000167
chr9	50658542	50659968	Promoter (<=1kb)	9	50634633	50659780	25148	2	ENSMUST00000034567	0	ENSMUSG00000000168	ENSMUSG00000000168
chr9	50602820	50604649	Promoter (<=1kb)	9	50596338	50603849	7512	2	ENSMUST00000000175	0	ENSMUSG00000000171	ENSMUSG00000000171
chr6	127148709	127151323	Promoter (<=1kb)	6	127125779	127151048	25270	2	ENSMUST00000000188	0	ENSMUSG00000000184	ENSMUSG00000000184
chr2	31151924	31153060	Promoter (<=1kb)	2	31152316	31218775	66460	1	ENSMUST00000056433	0	ENSMUSG00000000194	ENSMUSG00000000194
chr2	38339796	38341565	Promoter (<=1kb)	2	38341092	38354825	13734	1	ENSMUST00000133661	0	ENSMUSG00000000247	ENSMUSG00000000247
chr2	38351140	38351574	Promoter (<=1kb)	2	38351768	38354631	2864	1	ENSMUST00000176229	-194	ENSMUSG00000000247	ENSMUSG00000000247
chr2	38351751	38353756	Promoter (<=1kb)	2	38351768	38354631	2864	1	ENSMUST00000176229	0	ENSMUSG00000000247	ENSMUSG00000000247
chr2	38353990	38354636	Promoter (<=1kb)	2	38353802	38360089	6288	1	ENSMUST00000175896	189	ENSMUSG00000000247	ENSMUSG00000000247
chr2	38354831	38355578	Promoter (1-2kb)	2	38353802	38360089	6288	1	ENSMUST00000175896	1030	ENSMUSG00000000247	ENSMUSG00000000247
chr2	38355840	38358787	Promoter (2-3kb)	2	38353802	38360089	6288	1	ENSMUST00000175896	2039	ENSMUSG00000000247	ENSMUSG00000000247
chr13	45507331	45508200	Promoter (<=1kb)	13	45507444	45546382	38939	1	ENSMUST00000000260	0	ENSMUSG00000000253	ENSMUSG00000000253
chr11	89059344	89059611	Promoter (1-2kb)	11	89037582	89060748	23167	2	ENSMUST00000000285	1137	ENSMUSG00000000276	ENSMUSG00000000276
chr11	89059989	89060430	Promoter (<=1kb)	11	89037582	89060748	23167	2	ENSMUST00000000285	318	ENSMUSG00000000276	ENSMUSG00000000276
chr11	74830485	74830723	Promoter (<=1kb)	11	74830920	74845725	14806	1	ENSMUST00000000291	-197	ENSMUSG00000000282	ENSMUSG00000000282
chr11	74830946	74832224	Promoter (<=1kb)	11	74830920	74845725	14806	1	ENSMUST00000000291	27	ENSMUSG00000000282	ENSMUSG00000000282
chr11	74832478	74833155	Promoter (1-2kb)	11	74830920	74845725	14806	1	ENSMUST00000000291	1559	ENSMUSG00000000282	ENSMUSG00000000282
chr11	74837617	74838555	Promoter (<=1kb)	11	74837468	74843775	6308	1	ENSMUST00000132150	150	ENSMUSG00000000282	ENSMUSG00000000282
chr11	74838760	74839497	Promoter (1-2kb)	11	74837468	74843775	6308	1	ENSMUST00000132150	1293	ENSMUSG00000000282	ENSMUSG00000000282
chr10	31445233	31445819	Promoter (<=1kb)	10	31332380	31445921	113542	2	ENSMUST00000000305	102	ENSMUSG00000000296	ENSMUSG00000000296
chr11	60045840	60046418	Promoter (<=1kb)	11	59970614	60046477	75864	2	ENSMUST00000000310	59	ENSMUSG00000000301	ENSMUSG00000000301
chr2	179442507	179443163	Promoter (<=1kb)	2	179442622	179847704	405083	1	ENSMUST00000108911	0	ENSMUSG00000000305	ENSMUSG00000000305
chr3	116506981	116508063	Promoter (<=1kb)	3	116494151	116508024	13874	2	ENSMUST00000140677	0	ENSMUSG00000000339	ENSMUSG00000000339
chr3	116513144	116513814	Promoter (<=1kb)	3	116513070	116549976	36907	1	ENSMUST00000000349	75	ENSMUSG00000000340	ENSMUSG00000000340
chr15	100614921	100615937	Promoter (<=1kb)	15	100615628	100620731	5104	1	ENSMUST00000000356	0	ENSMUSG00000000346	ENSMUSG00000000346
chr15	100616120	100616473	Promoter (<=1kb)	15	100615628	100620731	5104	1	ENSMUST00000000356	493	ENSMUSG00000000346	ENSMUSG00000000346
chr10	78243820	78244593	Promoter (<=1kb)	10	78186725	78244642	57918	2	ENSMUST00000000384	49	ENSMUSG00000000374	ENSMUSG00000000374
chr11	6546382	6546755	Promoter (<=1kb)	11	6546887	6596744	49858	1	ENSMUST00000000388	-132	ENSMUSG00000000378	ENSMUSG00000000378
chr11	6624976	6626946	Promoter (<=1kb)	11	6615598	6626043	10446	2	ENSMUST00000156969	0	ENSMUSG00000000384	ENSMUSG00000000384
chr6	126848438	126849557	Promoter (<=1kb)	6	126821863	126849144	27282	2	ENSMUST00000088194	0	ENSMUSG00000000399	ENSMUSG00000000399
chr6	18512749	18515061	Promoter (<=1kb)	6	18366547	18514869	148323	2	ENSMUST00000090601	0	ENSMUSG00000000416	ENSMUSG00000000416
chr18	24205309	24205865	Promoter (<=1kb)	18	24205344	24286818	81475	1	ENSMUST00000000430	0	ENSMUSG00000000420	ENSMUSG00000000420
chr18	24206239	24207729	Promoter (<=1kb)	18	24205959	24254630	48672	1	ENSMUST00000164998	281	ENSMUSG00000000420	ENSMUSG00000000420
chr6	115674185	115676132	Promoter (<=1kb)	6	115618569	115675964	57396	2	ENSMUST00000112949	0	ENSMUSG00000000441	ENSMUSG00000000441
chr15	80012869	80013680	Promoter (1-2kb)	15	79995900	80014808	18909	2	ENSMUST00000000500	1128	ENSMUSG00000000489	ENSMUSG00000000489
chr15	101174163	101175104	Promoter (<=1kb)	15	101174104	101213678	39575	1	ENSMUST00000000544	60	ENSMUSG00000000532	ENSMUSG00000000532
chr15	101175481	101176136	Promoter (1-2kb)	15	101174104	101213678	39575	1	ENSMUST00000000544	1378	ENSMUSG00000000532	ENSMUSG00000000532
chr11	60351662	60353053	Promoter (<=1kb)	11	60226714	60352905	126192	2	ENSMUST00000095254	0	ENSMUSG00000000538	ENSMUSG00000000538
chr5	71093685	71093954	Promoter (1-2kb)	5	70961057	71095849	134793	2	ENSMUST00000000572	1895	ENSMUSG00000000560	ENSMUSG00000000560
chr5	71094306	71096598	Promoter (<=1kb)	5	70961057	71095849	134793	2	ENSMUST00000000572	0	ENSMUSG00000000560	ENSMUSG00000000560
chr3	105958114	105960031	Promoter (<=1kb)	3	105959369	105969760	10392	1	ENSMUST00000010278	0	ENSMUSG00000000561	ENSMUSG00000000561
chr11	112782539	112783145	Promoter (<=1kb)	11	112782224	112787760	5537	1	ENSMUST00000000579	316	ENSMUSG00000000567	ENSMUSG00000000567
chr11	112783336	112784664	Promoter (1-2kb)	11	112782224	112787760	5537	1	ENSMUST00000000579	1113	ENSMUSG00000000567	ENSMUSG00000000567
chr5	99976887	99978938	Promoter (<=1kb)	5	99958426	99978938	20513	2	ENSMUST00000172361	0	ENSMUSG00000000568	ENSMUSG00000000568
chr11	17257203	17258818	Promoter (<=1kb)	11	17257579	17262910	5332	1	ENSMUST00000131227	0	ENSMUSG00000000581	ENSMUSG00000000581
chr11	55097253	55097702	Promoter (<=1kb)	11	55098115	55113029	14915	1	ENSMUST00000000608	-413	ENSMUSG00000000594	ENSMUSG00000000594
chr11	55098055	55098958	Promoter (<=1kb)	11	55098115	55113029	14915	1	ENSMUST00000000608	0	ENSMUSG00000000594	ENSMUSG00000000594
chr5	3801563	3804183	Promoter (<=1kb)	5	3803165	3844515	41351	1	ENSMUST00000080085	0	ENSMUSG00000000600	ENSMUSG00000000600
chr7	7298563	7299593	Promoter (<=1kb)	7	7282316	7299511	17196	2	ENSMUST00000000619	0	ENSMUSG00000000605	ENSMUSG00000000605
chr6	82938879	82939504	Promoter (<=1kb)	6	82911885	82939769	27885	2	ENSMUST00000000641	265	ENSMUSG00000000627	ENSMUSG00000000627
chr6	82773085	82774018	Promoter (<=1kb)	6	82727310	82773363	46054	2	ENSMUST00000170833	0	ENSMUSG00000000628	ENSMUSG00000000628
chr11	77763736	77764252	Promoter (<=1kb)	11	77763301	77780195	16895	1	ENSMUST00000100795	436	ENSMUSG00000000631	ENSMUSG00000000631
chr17	53567587	53568716	Promoter (<=1kb)	17	53566971	53672720	105750	1	ENSMUST00000000724	617	ENSMUSG00000000708	ENSMUSG00000000708
chr10	128694994	128695877	Promoter (<=1kb)	10	128677193	128696268	19076	2	ENSMUST00000000727	391	ENSMUSG00000000711	ENSMUSG00000000711
