Chrom	Start	End	X17_67124392_67124520	X18.2852730981878	X.0.22270934926077202	X0.24577446659602803	X0.569318191041132	ENSMUSG00000033278.10	Ptprm	intron	ENSMUSG00000033278.10.1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr17	6601516	6601696	17_6601516_6601696	34.292571176587	-0.263788632061654	0.216558421257811	0.539744806173399	ENSMUSG00000000579.14	Dynlt1c	promoter-TSS	ENSMUSG00000000579.14	Promoter (<=1kb)	17	6601671	6609679	8009	1	ENSMUST00000092966	0	ENSMUSG00000000579	ENSMUSG00000000579
chr6	89644358	89644750	6_89644358_89644750	102.88300653562	-0.105734489403895	0.573396061971919	0.812569580219417	ENSMUSG00000000811.13	Txnrd3	intron	ENSMUSG00000000811.13	Promoter (<=1kb)	6	89643988	89675529	31542	1	ENSMUST00000101171	371	ENSMUSG00000000811	ENSMUSG00000000811
chr5	135369883	135370086	5_135369883_135370086	52.4113252628476	-0.0664687154436979	0.75180562783175	0.903408433435607	ENSMUSG00000000916.15	Nsun5	promoter-TSS	ENSMUSG00000000916.15	Promoter (<=1kb)	5	135369953	135376798	6846	1	ENSMUST00000000940	0	ENSMUSG00000000916	ENSMUSG00000000916
chr10	76468800	76469052	10_76468800_76469052	74.569417190399	-0.264961923595103	0.188328789198665	0.507415350282765	ENSMUSG00000001150.7	Mcm3ap	promoter-TSS	ENSMUSG00000033126.5	Promoter (<=1kb)	10	76468971	76515856	46886	1	ENSMUST00000170795	0	ENSMUSG00000001150	ENSMUSG00000001150
chr5	70842343	70842487	5_70842343_70842487	34.7356646147514	0.064368066533382	0.761950713265231	0.90831124019537	ENSMUSG00000001260.10	Gabrg1	promoter-TSS	ENSMUSG00000001260.10	Promoter (<=1kb)	5	70751047	70842617	91571	2	ENSMUST00000031119	130	ENSMUSG00000001260	ENSMUSG00000001260
chr5	4104336	4104917	5_4104336_4104917	258.127452142015	0.136538916664517	0.349621193534672	0.660793880329905	ENSMUSG00000001467.5	Cyp51	promoter-TSS	ENSMUSG00000001467.5	Promoter (<=1kb)	5	4081145	4104746	23602	2	ENSMUST00000001507	0	ENSMUSG00000001467	ENSMUSG00000001467
chr8	125390102	125390357	8_125390102_125390357	56.9513434627727	-0.0608110560244289	0.753936374870031	0.904476505255283			Intergenic	Intergenic	Distal Intergenic	8	125418063	125492710	74648	2	ENSMUST00000108775	102353	ENSMUSG00000001995	ENSMUSG00000001995
chr17	25578989	25579225	17_25578989_25579225	111.270267660739	0.211831496615998	0.255364847100178	0.579949878308687	ENSMUSG00000002279.18	Lmf1	promoter-TSS	ENSMUSG00000002279.18	Promoter (<=1kb)	17	25579174	25662826	83653	1	ENSMUST00000063344	0	ENSMUSG00000002279	ENSMUSG00000002279
chr16	17891627	17891922	16_17891627_17891922	230.591644432388	0.157086765543613	0.296101916369494	0.61808356741916	ENSMUSG00000003166.20	Dgcr2	promoter-TSS	ENSMUSG00000092470.1	Promoter (<=1kb)	16	17839482	17891654	52173	2	ENSMUST00000135229	0	ENSMUSG00000003166	ENSMUSG00000003166
chr17	35699934	35700145	17_35699934_35700145	127.622927492248	-0.120260644133911	0.505438944284434	0.769224166307634	ENSMUSG00000093921.1	Gm23864	promoter-TSS	ENSMUSG00000093921.1	Promoter (<=1kb)	17	35682431	35700552	18122	2	ENSMUST00000155957	407	ENSMUSG00000003534	ENSMUSG00000003534
chr7	19327166	19327456	7_19327166_19327456	167.411145941726	-0.206768297740693	0.230218198004549	0.55332422325175	ENSMUSG00000108854.1	RP23-85B15.7	intron	ENSMUSG00000108854.1	Distal Intergenic	7	19302721	19310045	7325	2	ENSMUST00000003640	-17122	ENSMUSG00000003545	ENSMUSG00000003545
chrX	74413484	74413612	X_74413484_74413612	43.7525604506905	-0.190834758288288	0.369611966164816	0.676435019118812	ENSMUSG00000031400.10	G6pdx	TTS	ENSMUSG00000031400.10	Intron (ENSMUST00000144947/ENSMUSG00000004221, intron 1 of 3)	20	74424534	74439950	15417	1	ENSMUST00000135165	-10922	ENSMUSG00000004221	ENSMUSG00000004221
chr1	119504640	119505012	1_119504640_119505012	327.352082093277	0.034954449333911	0.785184579705477	0.918098419596441	ENSMUSG00000004451.14	Ralb	promoter-TSS	ENSMUSG00000004451.14	Promoter (<=1kb)	1	119470305	119504794	34490	2	ENSMUST00000004565	0	ENSMUSG00000004451	ENSMUSG00000004451
chr7	12961856	12962093	7_12961856_12962093	83.5235602278556	0.191054735232846	0.335298559609909	0.649357194899003	ENSMUSG00000097115.2	RP24-121L4.1	promoter-TSS	ENSMUSG00000097115.2	Distal Intergenic	7	12965838	12973822	7985	1	ENSMUST00000038701	-3745	ENSMUSG00000004500	ENSMUSG00000004500
chr5	33652340	33652783	5_33652340_33652783	172.630296835102	-0.0399828764602603	0.804890128516606	0.927294835343931	ENSMUSG00000004642.13	Slbp	promoter-TSS	ENSMUSG00000004642.13	Promoter (<=1kb)	5	33634952	33652345	17394	2	ENSMUST00000075670	0	ENSMUSG00000004642	ENSMUSG00000004642
chr7	111028883	111029053	7_111028883_111029053	42.0863579042622	-0.166687617476184	0.434354480521761	0.722724375181069	ENSMUSG00000005609.16	Ctr9	promoter-TSS	ENSMUSG00000005609.16	Promoter (<=1kb)	7	111028951	111056377	27427	1	ENSMUST00000005749	0	ENSMUSG00000005609	ENSMUSG00000005609
chr18	34247978	34248122	18_34247978_34248122	42.1050422319134	-0.032811578119248	0.878049537126225	0.956398627930405	ENSMUSG00000005871.14	Apc	intron	ENSMUSG00000005871.14	Promoter (<=1kb)	18	34247698	34290345	42648	1	ENSMUST00000066133	281	ENSMUSG00000005871	ENSMUSG00000005871
chr18	34373315	34373491	18_34373315_34373491	46.3984924079926	-0.208614680957345	0.326089071784045	0.642114202193874	ENSMUSG00000005873.5	Reep5	promoter-TSS	ENSMUSG00000005873.5	Promoter (<=1kb)	18	34344889	34373415	28527	2	ENSMUST00000006027	0	ENSMUSG00000005873	ENSMUSG00000005873
chr7	130954492	130954667	7_130954492_130954667	37.8836557556251	0.167729287421355	0.432735280095551	0.721390225672126	ENSMUSG00000030849.18	Fgfr2	intron	ENSMUSG00000006205.13	Intron (ENSMUST00000150717/ENSMUSG00000006205, intron 1 of 3)	7	130943489	130985660	42172	1	ENSMUST00000153290	11004	ENSMUSG00000006205	ENSMUSG00000006205
chr8	72421390	72421754	8_72421390_72421754	295.49287282418	0.0102725700844337	0.940376319807386	0.979158122060798	ENSMUSG00000110558.1	RP23-39F24.3	promoter-TSS	ENSMUSG00000006276.10	Promoter (<=1kb)	8	72341001	72421474	80474	2	ENSMUST00000163643	0	ENSMUSG00000006276	ENSMUSG00000006276
chr10	75586345	75586479	10_75586345_75586479	53.706701345326	-0.0186446818615653	0.929304323470199	0.975408354247225	ENSMUSG00000006345.10	Ggt1	TTS	ENSMUSG00000006345.10	Promoter (1-2kb)	10	75585105	75586191	1087	1	ENSMUST00000156487	1241	ENSMUSG00000006345	ENSMUSG00000006345
chr15	79030658	79030967	15_79030658_79030967	113.195275724282	-0.157551395322236	0.388569552230373	0.689432078070347	ENSMUSG00000006378.15	Gcat	promoter-TSS	ENSMUSG00000116378.1	Promoter (<=1kb)	15	79030874	79038348	7475	1	ENSMUST00000006544	0	ENSMUSG00000006378	ENSMUSG00000006378
chr19	47337743	47338091	19_47337743_47338091	96.4825322747785	0.0184916314447137	0.922876423778006	0.973536631857042	ENSMUSG00000053617.11	Sh3pxd2a	intron	ENSMUSG00000053617.11	Intron (ENSMUST00000081619/ENSMUSG00000053617, intron 6 of 14)	19	47228843	47259440	30598	1	ENSMUST00000111807	108901	ENSMUSG00000006435	ENSMUSG00000006435
chr8	122576842	122576998	8_122576842_122576998	46.6342948557964	0.0323633877028194	0.879579126607879	0.956520071663623	ENSMUSG00000092329.1	AC114005.5	promoter-TSS	ENSMUSG00000006589.8	Promoter (<=1kb)	8	122574637	122576907	2271	2	ENSMUST00000006764	0	ENSMUSG00000006589	ENSMUSG00000006589
chr13	24831418	24831756	13_24831418_24831756	257.349850484428	0.0416205782581225	0.76778483424163	0.910989481497912	ENSMUSG00000035958.3	Tdp2	promoter-TSS	ENSMUSG00000035958.3	Promoter (<=1kb)	13	24817948	24831517	13570	2	ENSMUST00000006900	0	ENSMUSG00000006717	ENSMUSG00000006717
chr10	115184908	115185034	10_115184908_115185034	44.126214124339	-0.0737147628775862	0.729740507272415	0.893936611566887	ENSMUSG00000006764.8	Tph2	promoter-TSS	ENSMUSG00000006764.8	Promoter (<=1kb)	10	115078641	115185022	106382	2	ENSMUST00000006949	0	ENSMUSG00000006764	ENSMUSG00000006764
chr11	100545410	100545706	11_100545410_100545706	59.7635222809857	0.0257932514409292	0.901483404294466	0.963963955960956	ENSMUSG00000006784.14	Ttc25	promoter-TSS	ENSMUSG00000006784.14	Promoter (<=1kb)	11	100545607	100571963	26357	1	ENSMUST00000092684	0	ENSMUSG00000006784	ENSMUSG00000006784
chr17	35016414	35016641	17_35016414_35016641	69.7275308116755	-0.00665393387775416	0.974237212872986	0.991390859680923	ENSMUSG00000007030.8	Vwa7	promoter-TSS	ENSMUSG00000007030.8	Promoter (<=1kb)	17	35016579	35026741	10163	1	ENSMUST00000007245	0	ENSMUSG00000007030	ENSMUSG00000007030
chr12	90733821	90734129	12_90733821_90734129	56.613638518812	0.220372770967509	0.295810288095849	0.617837585359067	ENSMUSG00000007682.6	Dio2	intron	ENSMUSG00000007682.6	Intron (ENSMUST00000082432/ENSMUSG00000007682, intron 1 of 1)	12	90724554	90738438	13885	2	ENSMUST00000082432	4309	ENSMUSG00000007682	ENSMUSG00000007682
chr1	43163930	43164138	1_43163930_43164138	47.7984418676871	-0.204420697756822	0.334334373758404	0.648787950294443	ENSMUSG00000008136.14	Fhl2	promoter-TSS	ENSMUSG00000008136.14	Promoter (<=1kb)	1	43123074	43163961	40888	2	ENSMUST00000008280	0	ENSMUSG00000008136	ENSMUSG00000008136
