Chrom	Start	End	X2_79152198_79152805	X122.227451229533	X1.6240414574572097	X3.805509600578789e.17	X9.47039119200039e.13	X	X.1	Intergenic	Intergenic.1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr16	97438397	97438543	16_97438397_97438543	33.1250405451161	0.688988823468212	0.00102629177943512	0.0368750315836758	ENSMUSG00000040605.7	Bace2	exon	ENSMUSG00000040605.7	3' UTR	16	97448131	97457492	9362	2	ENSMUST00000170016	18949	ENSMUSG00000000386	ENSMUSG00000000386
chr2	145971529	145971948	2_145971529_145971948	83.385772002312	1.53165711825547	1.78244080649511e-13	1.47859406368124e-09	ENSMUSG00000037143.17	Cfap61	intron	ENSMUSG00000037143.17	Intron (ENSMUST00000126415/ENSMUSG00000037143, intron 7 of 15)	2	145917479	145935014	17536	2	ENSMUST00000001818	-36516	ENSMUSG00000001767	ENSMUSG00000001767
chr7	6727352	6728015	7_6727352_6728015	547.062760433304	0.628850148938044	1.75536196113699e-09	2.91226251765701e-06	ENSMUSG00000002265.16	Peg3	intron	ENSMUSG00000002265.16	Promoter (2-3kb)	7	6709395	6730419	21025	2	ENSMUST00000150182	2404	ENSMUSG00000002265	ENSMUSG00000002265
chr2	181601141	181601381	2_181601141_181601381	116.643997358765	0.663785752667086	0.000327529144659219	0.0196180295537369	ENSMUSG00000002455.14	Prpf6	promoter-TSS	ENSMUSG00000002455.14	Promoter (<=1kb)	2	181601316	181655651	54336	1	ENSMUST00000136481	0	ENSMUSG00000002455	ENSMUSG00000002455
chr12	50120278	50120494	12_50120278_50120494	42.205511864144	0.67385934489011	0.0016621619880861	0.048772165817447	ENSMUSG00000112353.1	RP23-71C5.1	promoter-TSS	ENSMUSG00000112353.1	Distal Intergenic	12	50341231	50649223	307993	2	ENSMUST00000002765	528729	ENSMUSG00000002688	ENSMUSG00000002688
chr11	98202573	98202814	11_98202573_98202814	148.522488285338	0.616240600861737	0.00030404997211113	0.0186829323603891	ENSMUSG00000003119.14	Cdk12	promoter-TSS	ENSMUSG00000003119.14	Promoter (<=1kb)	11	98203059	98251564	48506	1	ENSMUST00000107539	-245	ENSMUSG00000003119	ENSMUSG00000003119
chr17	55958982	55959616	17_55958982_55959616	306.52675558707	0.645587770791253	2.49627411391276e-06	0.000630026412727273	ENSMUSG00000097077.1	Gm16712	promoter-TSS	ENSMUSG00000097077.1	Promoter (<=1kb)	17	55959187	55967949	8763	1	ENSMUST00000086869	0	ENSMUSG00000003208	ENSMUSG00000003208
chr17	55958982	55959616	17_55958982_55959616	306.52675558707	0.645587770791253	2.49627411391276e-06	0.000630026412727273	ENSMUSG00000003208.8	Ccdc94	promoter-TSS	ENSMUSG00000097077.1	Promoter (<=1kb)	17	55959187	55967949	8763	1	ENSMUST00000086869	0	ENSMUSG00000003208	ENSMUSG00000003208
chr17	17867047	17867338	17_17867047_17867338	70.972427940571	0.731579476588874	0.000416358081315031	0.0220002025787974			Intergenic	Intergenic	Distal Intergenic	17	17843328	17855188	11861	2	ENSMUST00000003762	-11860	ENSMUSG00000003665	ENSMUSG00000003665
chr8	84835195	84835326	8_84835195_84835326	32.7436081579332	0.774087219963892	0.000290627985129759	0.0182180555111818	ENSMUSG00000033751.5	Gadd45gip1	TTS	ENSMUSG00000003813.15	Promoter (2-3kb)	8	84834019	84838047	4029	2	ENSMUST00000144675	2721	ENSMUSG00000003813	ENSMUSG00000003813
chr8	84835195	84835326	8_84835195_84835326	32.7436081579332	0.774087219963892	0.000290627985129759	0.0182180555111818	ENSMUSG00000003813.15	Rad23a	TTS	ENSMUSG00000003813.15	Promoter (2-3kb)	8	84834019	84838047	4029	2	ENSMUST00000144675	2721	ENSMUSG00000003813	ENSMUSG00000003813
chr7	45341389	45341581	7_45341389_45341581	63.9601122409602	0.721393880726262	0.000519311653402336	0.024853057320328	ENSMUSG00000003863.18	Ppfia3	promoter-TSS	ENSMUSG00000003863.18	Promoter (<=1kb)	7	45339822	45341160	1339	2	ENSMUST00000127948	-230	ENSMUSG00000003863	ENSMUSG00000003863
