Chrom	Start	End	X6_147090921_147092694	X165.121662921692	X0.0205346477690151	X0.412600373007824	X0.93426291500998	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr4	120405351	120406748	4_120405351_120406748	184.97850206435	-0.0174512950289418	0.504597164873106	0.944646652194455	Promoter (<=1kb)	4	120405366	120463119	57754	1	ENSMUST00000151345	0	ENSMUSG00000000085	ENSMUSG00000000085
chr6	127147959	127152864	6_127147959_127152864	467.395333271823	-0.0478557626710775	0.208431082806404	0.84815980044202	Promoter (<=1kb)	6	127125779	127151048	25270	2	ENSMUST00000000188	0	ENSMUSG00000000184	ENSMUSG00000000184
chr6	127147959	127152864	6_127147959_127152864	467.395333271823	-0.0478557626710775	0.208431082806404	0.84815980044202	Promoter (<=1kb)	6	127125779	127151048	25270	2	ENSMUST00000000188	0	ENSMUSG00000000184	ENSMUSG00000000184
chr11	52282520	52283688	11_52282520_52283688	118.379840227206	-0.0270259674789335	0.224596349831816	0.855447423659034	Promoter (<=1kb)	11	52252371	52282571	30201	2	ENSMUST00000086844	0	ENSMUSG00000000782	ENSMUSG00000000782
chr2	181496569	181498188	2_181496569_181498188	183.071610752071	0.0505627754050903	0.0917487014269132	0.727513232491053	Promoter (<=1kb)	2	181497142	181515115	17974	1	ENSMUST00000125529	0	ENSMUSG00000000827	ENSMUSG00000000827
chr11	78534849	78537500	11_78534849_78537500	311.292398375032	0.0384654861628911	0.256714712786604	0.874620439500908	Promoter (<=1kb)	11	78536361	78541737	5377	1	ENSMUST00000128788	0	ENSMUSG00000001105	ENSMUSG00000001105
chr10	76467999	76469527	10_76467999_76469527	112.051207413566	-0.0149374761151591	0.491968234187316	0.94453100694857	Promoter (<=1kb)	10	76468971	76515856	46886	1	ENSMUST00000170795	0	ENSMUSG00000001150	ENSMUSG00000001150
chr1	186747676	186750148	1_186747676_186750148	247.557185935447	-0.026996168356119	0.37314342895132	0.928316279272019	Promoter (<=1kb)	1	186720978	186749358	28381	2	ENSMUST00000001339	0	ENSMUSG00000001305	ENSMUSG00000001305
chr18	36678203	36680427	18_36678203_36680427	258.286853781323	0.0448300444240217	0.166243598560656	0.823267762127554	Promoter (<=1kb)	18	36671160	36679366	8207	2	ENSMUST00000001415	0	ENSMUSG00000001379	ENSMUSG00000001379
chr3	88176897	88178036	3_88176897_88178036	140.880425251812	0.00874962090640381	0.687412342377508	0.973645260623095	Distal Intergenic	3	88168252	88168906	655	1	ENSMUST00000152861	8646	ENSMUSG00000001419	ENSMUSG00000001419
chr6	128354410	128356124	6_128354410_128356124	290.337642617193	0.00996526466187605	0.736898283655386	0.978660198033766	Promoter (<=1kb)	6	128321140	128355851	34712	2	ENSMUST00000001562	0	ENSMUSG00000001521	ENSMUSG00000001521
chr9	18291480	18294215	9_18291480_18294215	268.287915260403	-0.0372411363238699	0.243880379779711	0.868861167446573	Promoter (<=1kb)	9	18292267	18314000	21734	1	ENSMUST00000001825	0	ENSMUSG00000001774	ENSMUSG00000001774
chr8	84811247	84811474	8_84811247_84811474	21.8256405800271	0.00485413427611095	0.591104565332346	NA	Distal Intergenic	8	84708616	84800344	91729	2	ENSMUST00000099070	-10904	ENSMUSG00000001911	ENSMUSG00000001911
chr11	78343503	78344874	11_78343503_78344874	120.90687914178	0.0182908928632262	0.377591943926148	0.928316279272019	Promoter (<=1kb)	11	78343506	78349164	5659	1	ENSMUST00000108295	0	ENSMUSG00000002058	ENSMUSG00000002058
chr2	91236564	91237785	2_91236564_91237785	172.624419613062	0.011126021735404	0.65147632016913	0.970204117566016	Promoter (<=1kb)	2	91211588	91236907	25320	2	ENSMUST00000150427	0	ENSMUSG00000002109	ENSMUSG00000002109
chr11	4159892	4162135	11_4159892_4162135	231.963806743445	0.0271213050638185	0.354724448291202	0.923617321564537	Promoter (<=1kb)	11	4160350	4182541	22192	1	ENSMUST00000002198	0	ENSMUSG00000002129	ENSMUSG00000002129
chr18	10617848	10619617	18_10617848_10619617	208.544788065156	-0.0118519335512801	0.663736742266781	0.973029204843311	Promoter (<=1kb)	18	10617796	10628230	10435	1	ENSMUST00000002551	53	ENSMUSG00000002477	ENSMUSG00000002477
chr7	44856615	44858688	7_44856615_44858688	250.440686808363	0.00230487370514607	0.958714647898792	0.9936030454917	Promoter (<=1kb)	7	44857139	44862650	5512	1	ENSMUST00000107876	0	ENSMUSG00000002963	ENSMUSG00000002963
chr16	20516476	20519046	16_20516476_20519046	225.423882110911	0.0215264203430102	0.445558572060927	0.93879880389918	Promoter (<=1kb)	16	20516982	20531650	14669	1	ENSMUST00000003318	0	ENSMUSG00000003233	ENSMUSG00000003233
chr9	21320257	21321826	9_21320257_21321826	154.485461548152	-0.0413514896579517	0.126205024550802	0.788018197555496	Distal Intergenic	9	21295457	21312333	16877	2	ENSMUST00000115433	-7925	ENSMUSG00000003309	ENSMUSG00000003309
