Chrom	Start	End	X16_36784980_36785409	X16.6662302359998	X.0.0447858192482483	X0.5850160589288841	X0.8788557133364159	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr13	5860415	5863870	13_5860415_5863870	319.251725941815	0.0862182993591888	0.509790786851591	0.845685576355833	Promoter (<=1kb)	13	5861489	5870393	8905	1	ENSMUST00000000080	0	ENSMUSG00000000078	ENSMUSG00000000078
chr18	24338109	24338318	18_24338109_24338318	10.9974902803446	0.12090130130849	0.05414212423186	NA	Distal Intergenic	18	24280033	24283191	3159	1	ENSMUST00000170191	58077	ENSMUSG00000000420	ENSMUSG00000000420
chr6	115472205	115472571	6_115472205_115472571	20.2888157468635	-0.123109105244202	0.194988086464172	0.62215450048283	Intron (ENSMUST00000171644/ENSMUSG00000000440, intron 6 of 7)	6	115422066	115490401	68336	1	ENSMUST00000000450	50140	ENSMUSG00000000440	ENSMUSG00000000440
chr3	89646356	89646800	3_89646356_89646800	22.9965123191482	-0.0768665343674109	0.346487577678636	0.754411621869955	Intron (ENSMUST00000000811/ENSMUSG00000000794, intron 4 of 7)	3	89662518	89667582	5065	1	ENSMUST00000124584	-15718	ENSMUSG00000000794	ENSMUSG00000000794
chr11	24143227	24143793	11_24143227_24143793	15.0756074125812	-0.133313739981579	0.111454224431263	0.512621742361963	Promoter (<=1kb)	11	24142379	24163291	20913	1	ENSMUST00000127494	849	ENSMUSG00000000861	ENSMUSG00000000861
chr2	27173383	27173985	2_27173383_27173985	26.9477744857446	-0.0787928907876202	0.426411890293252	0.801001110269338	Intron (ENSMUST00000000910/ENSMUSG00000000889, intron 5 of 11)	2	27177093	27177372	280	1	ENSMUST00000155290	-3108	ENSMUSG00000000889	ENSMUSG00000000889
chr3	88335145	88336842	3_88335145_88336842	111.800163249554	-0.098931380285768	0.463016415892056	0.821721388868531	Promoter (<=1kb)	3	88336260	88362337	26078	1	ENSMUST00000001451	0	ENSMUSG00000001415	ENSMUSG00000001415
chr3	88295805	88297878	3_88295805_88297878	165.347059003701	-0.0223251168458248	0.867666829669881	0.969765560322413	Promoter (<=1kb)	3	88297116	88321767	24652	1	ENSMUST00000001452	0	ENSMUSG00000001416	ENSMUSG00000001416
chr11	78245156	78246201	11_78245156_78246201	109.55409942552	0.056002919313227	0.680693487380541	0.917312625181223	Promoter (<=1kb)	11	78206746	78245987	39242	2	ENSMUST00000002121	0	ENSMUSG00000002052	ENSMUSG00000002052
chr8	71375522	71375742	8_71375522_71375742	9.34035736260442	0.106096771349538	0.0909264501171266	NA	Promoter (<=1kb)	8	71374628	71375790	1163	2	ENSMUST00000137734	48	ENSMUSG00000002393	ENSMUSG00000002393
