Chrom	Start	End	region_74811	X0.0	X.	X77852212.1	X77852413.1	X0	X1	X201	X77852205	cluster_1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr3	108145880	108146081	region_117307	0	+	108145880	108146081	0	1	201	108145879	cluster_1	Promoter (<=1kb)	3	108107280	108146146	38867	2	ENSMUST00000000001	65	ENSMUSG00000000001	ENSMUSG00000000001
chr11	108343064	108343265	region_33617	0	+	108343064	108343265	0	1	201	108343063	cluster_1	Promoter (<=1kb)	11	108343354	108395905	52552	1	ENSMUST00000133383	-89	ENSMUSG00000000049	ENSMUSG00000000049
chr13	5863133	5863334	region_43812	0	+	5863133	5863334	0	1	201	5863128	cluster_1	Promoter (1-2kb)	13	5861489	5870393	8905	1	ENSMUST00000000080	1645	ENSMUSG00000000078	ENSMUSG00000000078
chr13	5854620	5854821	region_43810	0	+	5854620	5854821	0	1	201	5854615	cluster_1	Distal Intergenic	13	5861489	5870393	8905	1	ENSMUST00000000080	-6668	ENSMUSG00000000078	ENSMUSG00000000078
chr9	57521602	57521803	region_178927	0	+	57521602	57521803	0	1	201	57521597	cluster_1	Promoter (<=1kb)	9	57521232	57532424	11193	1	ENSMUST00000000090	371	ENSMUSG00000000088	ENSMUSG00000000088
chr11	95587329	95587530	region_32242	0	+	95587329	95587530	0	1	201	95587320	cluster_1	Promoter (<=1kb)	11	95568818	95587735	18918	2	ENSMUST00000000122	205	ENSMUSG00000000120	ENSMUSG00000000120
chr17	64045344	64045545	region_80676	0	+	64045344	64045545	0	1	201	64045338	cluster_1	Intron (ENSMUST00000000129/ENSMUSG00000000127, intron 14 of 17)	17	63937972	64139494	201523	1	ENSMUST00000038080	107373	ENSMUSG00000000127	ENSMUSG00000000127
chr5	140815089	140815290	region_142787	0	+	140815089	140815290	0	1	201	140815088	cluster_1	Intron (ENSMUST00000000153/ENSMUSG00000000149, intron 1 of 3)	5	140758408	140830431	72024	2	ENSMUST00000000153	15141	ENSMUSG00000000149	ENSMUSG00000000149
chr9	50659532	50659733	region_178273	0	+	50659532	50659733	0	1	201	50659527	cluster_1	Promoter (<=1kb)	9	50634633	50659780	25148	2	ENSMUST00000034567	47	ENSMUSG00000000168	ENSMUSG00000000168
chr6	127150323	127150524	region_152988	0	+	127150323	127150524	0	1	201	127150322	cluster_1	Promoter (<=1kb)	6	127125779	127151048	25270	2	ENSMUST00000000188	524	ENSMUSG00000000184	ENSMUSG00000000184
chr6	127152592	127152793	region_152991	0	+	127152592	127152793	0	1	201	127152591	cluster_1	Promoter (1-2kb)	6	127125779	127151048	25270	2	ENSMUST00000000188	-1545	ENSMUSG00000000184	ENSMUSG00000000184
chr6	127132746	127132947	region_152981	0	+	127132746	127132947	0	1	201	127132745	cluster_1	Intron (ENSMUST00000000188/ENSMUSG00000000184, intron 4 of 4)	6	127125779	127151048	25270	2	ENSMUST00000000188	18101	ENSMUSG00000000184	ENSMUSG00000000184
chr14	123626448	123626649	region_61023	0	+	123626448	123626649	0	1	201	123626447	cluster_1	Promoter (<=1kb)	14	123276641	123627144	350504	2	ENSMUST00000000201	495	ENSMUSG00000000197	ENSMUSG00000000197
chr14	123513480	123513681	region_61012	0	+	123513480	123513681	0	1	201	123513479	cluster_1	Intron (ENSMUST00000000201/ENSMUSG00000000197, intron 9 of 43)	14	123276641	123627144	350504	2	ENSMUST00000000201	113463	ENSMUSG00000000197	ENSMUSG00000000197
chr14	123626940	123627141	region_61024	0	+	123626940	123627141	0	1	201	123626939	cluster_1	Promoter (<=1kb)	14	123276641	123627144	350504	2	ENSMUST00000000201	3	ENSMUSG00000000197	ENSMUSG00000000197
chr11	114796013	114796214	region_34193	0	+	114796013	114796214	0	1	201	114796012	cluster_1	Promoter (<=1kb)	11	114792106	114795945	3840	2	ENSMUST00000141481	-69	ENSMUSG00000000202	ENSMUSG00000000202
chr7	142903013	142903214	region_164453	0	+	142903013	142903214	0	1	201	142903012	cluster_1	Promoter (2-3kb)	7	142892752	142900014	7263	2	ENSMUST00000000219	-3000	ENSMUSG00000000214	ENSMUSG00000000214
chrX	134404115	134404316	region_187111	0	+	134404115	134404316	0	1	201	134404114	cluster_1	Promoter (<=1kb)	20	134404551	134452700	48150	1	ENSMUST00000113228	-235	ENSMUSG00000000223	ENSMUSG00000000223
chr7	143027690	143027891	region_164461	0	+	143027690	143027891	0	1	201	143027689	cluster_1	Intron (ENSMUST00000133630/ENSMUSG00000059277, intron 4 of 4)	7	143017409	143018903	1495	1	ENSMUST00000154264	10282	ENSMUSG00000000244	ENSMUSG00000000244
chr2	38343534	38343735	region_98164	0	+	38343534	38343735	0	1	201	38343531	cluster_1	Promoter (2-3kb)	2	38341092	38354825	13734	1	ENSMUST00000133661	2443	ENSMUSG00000000247	ENSMUSG00000000247
chr2	38342119	38342320	region_98162	0	+	38342119	38342320	0	1	201	38342116	cluster_1	Promoter (1-2kb)	2	38341092	38354825	13734	1	ENSMUST00000133661	1028	ENSMUSG00000000247	ENSMUSG00000000247
chr2	38348783	38348984	region_98168	0	+	38348783	38348984	0	1	201	38348780	cluster_1	Promoter (1-2kb)	2	38350759	38369733	18975	1	ENSMUST00000000253	-1775	ENSMUSG00000000247	ENSMUSG00000000247
chr13	45508608	45508809	region_46767	0	+	45508608	45508809	0	1	201	45508604	cluster_1	Promoter (1-2kb)	13	45507444	45546382	38939	1	ENSMUST00000000260	1165	ENSMUSG00000000253	ENSMUSG00000000253
