Chrom	Start	End	Name	Score	Strand	Conc	Conc_NEUROD1_Foxg1KD	Conc_NEUROD1_Control	Fold	p.value	FDR	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr11	95597772	95599246	DiffBind	0	.	6.23	6.83	5.22	1.61	0.000456	0.013	Distal Intergenic	11	95568818	95587735	18918	2	ENSMUST00000000122	-10038	ENSMUSG00000000120	ENSMUSG00000000120
chr7	143470298	143471097	DiffBind	0	.	6.28	5.45	6.8	-1.36	0.00118	0.024	Promoter (2-3kb)	7	143473721	143476309	2589	1	ENSMUST00000146983	-2624	ENSMUSG00000000154	ENSMUSG00000000154
chr9	50602124	50602556	DiffBind	0	.	5.95	5	6.52	-1.51	0.000394	0.0118	Promoter (1-2kb)	9	50596338	50603849	7512	2	ENSMUST00000000175	1293	ENSMUSG00000000171	ENSMUSG00000000171
chr14	123554898	123555478	DiffBind	0	.	6.51	5.51	7.09	-1.58	8.14e-06	0.000824	Intron (ENSMUST00000000201/ENSMUSG00000000197, intron 7 of 43)	14	123276641	123627144	350504	2	ENSMUST00000000201	71666	ENSMUSG00000000197	ENSMUSG00000000197
chr7	143030655	143031557	DiffBind	0	.	6.94	6.42	7.32	-0.9	0.00378	0.0499	Intron (ENSMUST00000133630/ENSMUSG00000059277, intron 4 of 4)	7	143017409	143018903	1495	1	ENSMUST00000154264	13247	ENSMUSG00000000244	ENSMUSG00000000244
chr13	45593737	45594171	DiffBind	0	.	6.12	5.12	6.7	-1.58	5.38e-05	0.00317	Intron (ENSMUST00000091628/ENSMUSG00000046876, intron 6 of 7)	13	45538809	45542550	3742	1	ENSMUST00000129176	54929	ENSMUSG00000000253	ENSMUSG00000000253
chr10	31426535	31427173	DiffBind	0	.	6.19	5.51	6.65	-1.14	0.00169	0.0302	Intron (ENSMUST00000000305/ENSMUSG00000000296, intron 1 of 6)	10	31332380	31445921	113542	2	ENSMUST00000000305	18748	ENSMUSG00000000296	ENSMUSG00000000296
chr18	24197180	24197646	DiffBind	0	.	5.88	4.95	6.44	-1.49	0.000839	0.0194	Distal Intergenic	18	24205344	24286818	81475	1	ENSMUST00000000430	-7698	ENSMUSG00000000420	ENSMUSG00000000420
chr5	71209391	71209829	DiffBind	0	.	5.81	4.89	6.37	-1.48	0.000359	0.0112	Distal Intergenic	5	70961057	71095849	134793	2	ENSMUST00000000572	-113543	ENSMUSG00000000560	ENSMUSG00000000560
chr6	82853104	82853454	DiffBind	0	.	5.4	4.08	6.07	-2	7.29e-05	0.00387	Distal Intergenic	6	82914084	82917586	3503	2	ENSMUST00000125579	64132	ENSMUSG00000000627	ENSMUSG00000000627
chr6	82916674	82918141	DiffBind	0	.	9.08	9.35	8.76	0.58	0.000808	0.0189	Promoter (<=1kb)	6	82914084	82917586	3503	2	ENSMUST00000125579	0	ENSMUSG00000000627	ENSMUSG00000000627
chr17	83889704	83890291	DiffBind	0	.	7.12	5.51	7.86	-2.35	4.06e-11	1.11e-07	Distal Intergenic	17	83831356	83846790	15435	2	ENSMUST00000000687	-42915	ENSMUSG00000000673	ENSMUSG00000000673
chr17	53654648	53655053	DiffBind	0	.	5.45	3.94	6.17	-2.23	0.00027	0.00941	Intron (ENSMUST00000000724/ENSMUSG00000000708, intron 11 of 17)	17	53659238	53663649	4412	1	ENSMUST00000167092	-4185	ENSMUSG00000000708	ENSMUSG00000000708
chr8	123146352	123146932	DiffBind	0	.	5.81	4.8	6.39	-1.59	0.00104	0.0222	Intron (ENSMUST00000127664/ENSMUSG00000092329, intron 1 of 15)	8	123148120	123158228	10109	2	ENSMUST00000146007	11296	ENSMUSG00000000739	ENSMUSG00000000739
chr10	6846275	6846686	DiffBind	0	.	4.61	5.53	1.52	4	7.14e-07	0.000153	Intron (ENSMUST00000147171/ENSMUSG00000000766, intron 3 of 5)	10	6789099	6849987	60889	1	ENSMUST00000148625	57177	ENSMUSG00000000766	ENSMUSG00000000766
chr10	6538218	6538675	DiffBind	0	.	5.59	4.21	6.28	-2.07	0.00185	0.032	Distal Intergenic	10	6758506	6979704	221199	1	ENSMUST00000147171	-219831	ENSMUSG00000000766	ENSMUSG00000000766
chr10	6871403	6871875	DiffBind	0	.	5.45	4.04	6.15	-2.1	0.000277	0.00958	Intron (ENSMUST00000147171/ENSMUSG00000000766, intron 4 of 5)	10	6789099	6849987	60889	1	ENSMUST00000148625	82305	ENSMUSG00000000766	ENSMUSG00000000766
chr10	6797392	6797870	DiffBind	0	.	5.16	2.71	6.02	-3.31	8.95e-08	3.42e-05	Intron (ENSMUST00000147171/ENSMUSG00000000766, intron 1 of 5)	10	6789099	6849987	60889	1	ENSMUST00000148625	8294	ENSMUSG00000000766	ENSMUSG00000000766
chr10	6578553	6579222	DiffBind	0	.	6.62	5.72	7.17	-1.45	0.00151	0.028	Distal Intergenic	10	6758506	6979704	221199	1	ENSMUST00000147171	-179284	ENSMUSG00000000766	ENSMUSG00000000766
chr3	89603286	89603750	DiffBind	0	.	5.33	4.21	5.95	-1.74	0.00164	0.0296	Intron (ENSMUST00000000811/ENSMUSG00000000794, intron 2 of 7)	3	89662518	89667582	5065	1	ENSMUST00000124584	-58768	ENSMUSG00000000794	ENSMUSG00000000794
chr2	27165845	27166581	DiffBind	0	.	7.04	6.25	7.54	-1.29	0.000802	0.0188	Promoter (<=1kb)	2	27165233	27183200	17968	1	ENSMUST00000000910	613	ENSMUSG00000000889	ENSMUSG00000000889
chr10	76866725	76867204	DiffBind	0	.	5.12	3.25	5.91	-2.67	5.38e-06	0.000619	Intron (ENSMUST00000001148/ENSMUSG00000001120, intron 2 of 15)	10	76789803	76905862	116060	2	ENSMUST00000171437	38658	ENSMUSG00000001120	ENSMUSG00000001120
chr12	100303915	100304589	DiffBind	0	.	4.72	3.06	5.47	-2.42	0.000586	0.0155	Intron (ENSMUST00000062957/ENSMUSG00000033530, intron 19 of 19)	12	100205403	100206495	1093	1	ENSMUST00000127300	98513	ENSMUSG00000001175	ENSMUSG00000001175
