Chrom	Start	End	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr16	18811599	18811828	Promoter (<=1kb)	16	18780453	18811626	31174	2	ENSMUST00000096990	0	ENSMUSG00000000028	ENSMUSG00000000028
chr11	121236720	121237296	Promoter (<=1kb)	11	121237253	121255856	18604	1	ENSMUST00000103015	0	ENSMUSG00000000056	ENSMUSG00000000056
chr6	17281013	17281323	Promoter (<=1kb)	6	17281185	17289115	7931	1	ENSMUST00000000058	0	ENSMUSG00000000058	ENSMUSG00000000058
chr13	5803661	5803875	Distal Intergenic	13	5861489	5870393	8905	1	ENSMUST00000000080	-57614	ENSMUSG00000000078	ENSMUSG00000000078
chr13	5861075	5861564	Promoter (<=1kb)	13	5861489	5870393	8905	1	ENSMUST00000000080	0	ENSMUSG00000000078	ENSMUSG00000000078
chr4	120380745	120381245	Distal Intergenic	4	120405281	120454515	49235	1	ENSMUST00000134375	-24036	ENSMUSG00000000085	ENSMUSG00000000085
chr4	120405048	120405381	Promoter (<=1kb)	4	120405281	120454515	49235	1	ENSMUST00000134375	0	ENSMUSG00000000085	ENSMUSG00000000085
chr4	120517371	120517597	Promoter (<=1kb)	4	120517626	120530184	12559	1	ENSMUST00000136801	-29	ENSMUSG00000000085	ENSMUSG00000000085
chr9	57521102	57521324	Promoter (<=1kb)	9	57521232	57532424	11193	1	ENSMUST00000000090	0	ENSMUSG00000000088	ENSMUSG00000000088
chr11	59302836	59303079	Distal Intergenic	11	59306928	59333552	26625	1	ENSMUST00000000128	-3849	ENSMUSG00000000126	ENSMUSG00000000126
chr11	59306711	59306996	Promoter (<=1kb)	11	59306928	59333552	26625	1	ENSMUST00000000128	0	ENSMUSG00000000126	ENSMUSG00000000126
chr7	126200338	126200592	Promoter (<=1kb)	7	126101715	126200501	98787	2	ENSMUST00000168189	0	ENSMUSG00000000131	ENSMUSG00000000131
chr11	108920285	108920439	Promoter (<=1kb)	11	108920349	108950783	30435	1	ENSMUST00000052915	0	ENSMUSG00000000142	ENSMUSG00000000142
chr5	140704675	140705042	Promoter (<=1kb)	5	140705011	140719379	14369	1	ENSMUST00000041588	0	ENSMUSG00000000148	ENSMUSG00000000148
chr5	140830354	140830831	Promoter (<=1kb)	5	140758408	140830431	72024	2	ENSMUST00000000153	0	ENSMUSG00000000149	ENSMUSG00000000149
chr16	96408108	96408448	Intron (ENSMUST00000113794/ENSMUSG00000000159, intron 8 of 8)	16	96396406	96421954	25549	1	ENSMUST00000136292	11703	ENSMUSG00000000159	ENSMUSG00000000159
chr9	50617218	50617506	Promoter (<=1kb)	9	50617321	50624997	7677	1	ENSMUST00000000171	0	ENSMUSG00000000167	ENSMUSG00000000167
chr9	50659426	50659694	Promoter (<=1kb)	9	50634633	50659780	25148	2	ENSMUST00000034567	86	ENSMUSG00000000168	ENSMUSG00000000168
chr9	50603801	50603960	Promoter (<=1kb)	9	50596338	50603849	7512	2	ENSMUST00000000175	0	ENSMUSG00000000171	ENSMUSG00000000171
chr6	127079836	127080139	Exon (ENSMUST00000000186/ENSMUSG00000000182, exon 3 of 3)	6	127072902	127081408	8507	1	ENSMUST00000000186	6935	ENSMUSG00000000182	ENSMUSG00000000182
chr14	123513489	123513669	Intron (ENSMUST00000000201/ENSMUSG00000000197, intron 9 of 43)	14	123276641	123627144	350504	2	ENSMUST00000000201	113475	ENSMUSG00000000197	ENSMUSG00000000197
chr11	114795241	114795481	Promoter (<=1kb)	11	114791217	114795873	4657	2	ENSMUST00000156053	392	ENSMUSG00000000202	ENSMUSG00000000202
chr7	142919371	142919511	Intron (ENSMUST00000105929/ENSMUSG00000000214, intron 1 of 11)	7	142896598	142931120	34523	2	ENSMUST00000140344	11609	ENSMUSG00000000214	ENSMUSG00000000214
chr2	38350869	38351252	Promoter (<=1kb)	2	38350759	38369733	18975	1	ENSMUST00000000253	111	ENSMUSG00000000247	ENSMUSG00000000247
chr11	89060604	89060922	Promoter (<=1kb)	11	89037582	89060748	23167	2	ENSMUST00000000285	0	ENSMUSG00000000276	ENSMUSG00000000276
chr11	88955316	88955578	Promoter (<=1kb)	11	88924020	88955465	31446	2	ENSMUST00000000287	0	ENSMUSG00000000278	ENSMUSG00000000278
chr11	74830321	74830532	Promoter (<=1kb)	11	74830920	74845725	14806	1	ENSMUST00000000291	-388	ENSMUSG00000000282	ENSMUSG00000000282
chr11	74830742	74830955	Promoter (<=1kb)	11	74830920	74845725	14806	1	ENSMUST00000000291	0	ENSMUSG00000000282	ENSMUSG00000000282
chr11	74831770	74832475	Promoter (<=1kb)	11	74830920	74845725	14806	1	ENSMUST00000000291	851	ENSMUSG00000000282	ENSMUSG00000000282
chr11	74837741	74837938	Promoter (<=1kb)	11	74837468	74843775	6308	1	ENSMUST00000132150	274	ENSMUSG00000000282	ENSMUSG00000000282
chr11	74838444	74838733	Promoter (<=1kb)	11	74837468	74843775	6308	1	ENSMUST00000132150	977	ENSMUSG00000000282	ENSMUSG00000000282
chr10	31295794	31296032	Distal Intergenic	10	31313382	31328204	14823	1	ENSMUST00000000304	-17350	ENSMUSG00000000295	ENSMUSG00000000295
chr10	31313311	31313514	Promoter (<=1kb)	10	31313382	31328204	14823	1	ENSMUST00000000304	0	ENSMUSG00000000295	ENSMUSG00000000295
chr10	31445785	31446056	Promoter (<=1kb)	10	31332380	31445921	113542	2	ENSMUST00000000305	0	ENSMUSG00000000296	ENSMUSG00000000296
chr10	31504232	31504517	Intron (ENSMUST00000081989/ENSMUSG00000063760, intron 4 of 5)	10	31332380	31445921	113542	2	ENSMUST00000000305	-58312	ENSMUSG00000000296	ENSMUSG00000000296
chr11	60046169	60046317	Promoter (<=1kb)	11	59970614	60046477	75864	2	ENSMUST00000000310	160	ENSMUSG00000000301	ENSMUSG00000000301
chr11	60046455	60046672	Promoter (<=1kb)	11	59970614	60046477	75864	2	ENSMUST00000000310	0	ENSMUSG00000000301	ENSMUSG00000000301
chr2	179442317	179442552	Promoter (<=1kb)	2	179442431	179899373	456943	1	ENSMUST00000000314	0	ENSMUSG00000000305	ENSMUSG00000000305
chr2	179795535	179795720	Intron (ENSMUST00000000314/ENSMUSG00000000305, intron 3 of 15)	2	179777163	179797511	20349	1	ENSMUST00000136411	18373	ENSMUSG00000000305	ENSMUSG00000000305
chr16	18348039	18348257	Promoter (<=1kb)	16	18348182	18407076	58895	1	ENSMUST00000115614	0	ENSMUSG00000000325	ENSMUSG00000000325
chr16	18396305	18396535	Promoter (1-2kb)	16	18397724	18399004	1281	1	ENSMUST00000155548	-1189	ENSMUSG00000000325	ENSMUSG00000000325
chr16	18400858	18401084	Promoter (<=1kb)	16	18401132	18403431	2300	1	ENSMUST00000150484	-48	ENSMUSG00000000325	ENSMUSG00000000325
chr3	116508063	116508304	Promoter (<=1kb)	3	116488963	116508208	19246	2	ENSMUST00000000348	0	ENSMUSG00000000339	ENSMUSG00000000339
chr3	116512957	116513159	Promoter (<=1kb)	3	116513070	116549976	36907	1	ENSMUST00000000349	0	ENSMUSG00000000340	ENSMUSG00000000340
chr15	100615135	100615689	Promoter (<=1kb)	15	100615628	100620731	5104	1	ENSMUST00000000356	0	ENSMUSG00000000346	ENSMUSG00000000346
chr15	100615944	100616117	Promoter (<=1kb)	15	100615628	100620731	5104	1	ENSMUST00000000356	317	ENSMUSG00000000346	ENSMUSG00000000346
chr10	78237036	78237174	Intron (ENSMUST00000000384/ENSMUSG00000000374, intron 1 of 22)	10	78186725	78244642	57918	2	ENSMUST00000000384	7468	ENSMUSG00000000374	ENSMUSG00000000374
chr10	78244576	78244785	Promoter (<=1kb)	10	78186725	78244642	57918	2	ENSMUST00000000384	0	ENSMUSG00000000374	ENSMUSG00000000374
chr11	6546737	6546959	Promoter (<=1kb)	11	6546887	6596744	49858	1	ENSMUST00000000388	0	ENSMUSG00000000378	ENSMUSG00000000378
chr16	97602375	97602578	Intron (ENSMUST00000000395/ENSMUSG00000000385, intron 1 of 13)	16	97564684	97611195	46512	2	ENSMUST00000000395	8617	ENSMUSG00000000385	ENSMUSG00000000385
chr16	97437762	97437981	3' UTR	16	97448131	97457492	9362	2	ENSMUST00000170016	19511	ENSMUSG00000000386	ENSMUSG00000000386
chr6	18514629	18514965	Promoter (<=1kb)	6	18366547	18514869	148323	2	ENSMUST00000090601	0	ENSMUSG00000000416	ENSMUSG00000000416
chr18	24205697	24206135	Promoter (<=1kb)	18	24205767	24286810	81044	1	ENSMUST00000170243	0	ENSMUSG00000000420	ENSMUSG00000000420
chr6	115601754	115602010	Promoter (<=1kb)	6	115601938	115618670	16733	1	ENSMUST00000000449	0	ENSMUSG00000000439	ENSMUSG00000000439
chr6	115676473	115676781	Promoter (<=1kb)	6	115618569	115676635	58067	2	ENSMUST00000000451	0	ENSMUSG00000000441	ENSMUSG00000000441
chr15	101240805	101241073	Distal Intergenic	15	101224207	101232755	8549	1	ENSMUST00000000543	16599	ENSMUSG00000000531	ENSMUSG00000000531
chr15	101173780	101174171	Promoter (<=1kb)	15	101174104	101213678	39575	1	ENSMUST00000000544	0	ENSMUSG00000000532	ENSMUSG00000000532
chr15	101191682	101192161	Intron (ENSMUST00000000544/ENSMUSG00000000532, intron 1 of 8)	15	101174104	101213678	39575	1	ENSMUST00000000544	17579	ENSMUSG00000000532	ENSMUSG00000000532
chr11	60352836	60353361	Promoter (<=1kb)	11	60226714	60352905	126192	2	ENSMUST00000095254	0	ENSMUSG00000000538	ENSMUSG00000000538
chr5	70995732	70996034	Intron (ENSMUST00000000572/ENSMUSG00000000560, intron 8 of 9)	5	70961057	71095849	134793	2	ENSMUST00000000572	99815	ENSMUSG00000000560	ENSMUSG00000000560
chr5	71248817	71249083	Distal Intergenic	5	70961057	71095849	134793	2	ENSMUST00000000572	-152969	ENSMUSG00000000560	ENSMUSG00000000560
