Chrom	Start	End	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr16	18811746	18812785	Promoter (<=1kb)	16	18780447	18811972	31526	2	ENSMUST00000000028	0	ENSMUSG00000000028	ENSMUSG00000000028
chr13	5860624	5861122	Promoter (<=1kb)	13	5861489	5870393	8905	1	ENSMUST00000000080	-367	ENSMUSG00000000078	ENSMUSG00000000078
chr13	5861968	5863870	Promoter (<=1kb)	13	5861489	5870393	8905	1	ENSMUST00000000080	480	ENSMUSG00000000078	ENSMUSG00000000078
chr9	50617083	50617945	Promoter (<=1kb)	9	50617321	50624997	7677	1	ENSMUST00000000171	0	ENSMUSG00000000167	ENSMUSG00000000167
chr14	123531603	123532240	Intron (ENSMUST00000000201/ENSMUSG00000000197, intron 7 of 43)	14	123276641	123627144	350504	2	ENSMUST00000000201	94904	ENSMUSG00000000197	ENSMUSG00000000197
chr2	38339796	38341420	Promoter (<=1kb)	2	38341092	38354825	13734	1	ENSMUST00000133661	0	ENSMUSG00000000247	ENSMUSG00000000247
chr2	38346205	38346494	Intron (ENSMUST00000143783/ENSMUSG00000000247, intron 1 of 4)	2	38350759	38369733	18975	1	ENSMUST00000000253	-4265	ENSMUSG00000000247	ENSMUSG00000000247
chr2	38354082	38355168	Promoter (<=1kb)	2	38353802	38360089	6288	1	ENSMUST00000175896	281	ENSMUSG00000000247	ENSMUSG00000000247
chr2	38357187	38358299	Intron (ENSMUST00000143783/ENSMUSG00000000247, intron 3 of 4)	2	38353802	38360089	6288	1	ENSMUST00000175896	3386	ENSMUSG00000000247	ENSMUSG00000000247
chr11	74830946	74832147	Promoter (<=1kb)	11	74830920	74845725	14806	1	ENSMUST00000000291	27	ENSMUSG00000000282	ENSMUSG00000000282
chr10	78244851	78245228	Promoter (<=1kb)	10	78186725	78244642	57918	2	ENSMUST00000000384	-210	ENSMUSG00000000374	ENSMUSG00000000374
chr6	18512850	18513689	Promoter (<=1kb)	6	18435251	18513091	77841	2	ENSMUST00000129669	0	ENSMUSG00000000416	ENSMUSG00000000416
chr6	18513917	18514715	Promoter (<=1kb)	6	18366707	18514749	148043	2	ENSMUST00000148602	34	ENSMUSG00000000416	ENSMUSG00000000416
chr11	60351830	60352927	Promoter (<=1kb)	11	60226714	60352905	126192	2	ENSMUST00000095254	0	ENSMUSG00000000538	ENSMUSG00000000538
chr5	71094618	71095002	Promoter (<=1kb)	5	70961057	71095849	134793	2	ENSMUST00000000572	847	ENSMUSG00000000560	ENSMUSG00000000560
chr5	71096077	71096592	Promoter (<=1kb)	5	70961057	71095849	134793	2	ENSMUST00000000572	-229	ENSMUSG00000000560	ENSMUSG00000000560
chr3	105959431	105960025	Promoter (<=1kb)	3	105959503	105984600	25098	1	ENSMUST00000167642	0	ENSMUSG00000000561	ENSMUSG00000000561
chr3	105958700	105959265	Promoter (<=1kb)	3	105953669	105959264	5596	2	ENSMUST00000153666	0	ENSMUSG00000000563	ENSMUSG00000000563
chr5	99978410	99978773	Promoter (<=1kb)	5	99962283	99978624	16342	2	ENSMUST00000168396	0	ENSMUSG00000000568	ENSMUSG00000000568
chr17	53587304	53587609	Intron (ENSMUST00000163648/ENSMUSG00000000708, intron 1 of 2)	17	53584126	53638422	54297	1	ENSMUST00000164390	3179	ENSMUSG00000000708	ENSMUSG00000000708
chr8	123064852	123065294	Promoter (<=1kb)	8	123065179	123097760	32582	1	ENSMUST00000149248	0	ENSMUSG00000000738	ENSMUSG00000000738
chr8	123065724	123066063	Promoter (<=1kb)	8	123065508	123097751	32244	1	ENSMUST00000128803	217	ENSMUSG00000000738	ENSMUSG00000000738
chr11	24082172	24082701	Promoter (1-2kb)	11	24080670	24173558	92889	1	ENSMUST00000118955	1503	ENSMUSG00000000861	ENSMUSG00000000861
chr11	24083431	24083993	Promoter (2-3kb)	11	24080670	24173558	92889	1	ENSMUST00000118955	2762	ENSMUSG00000000861	ENSMUSG00000000861
chr11	24084246	24084895	Intron (ENSMUST00000000881/ENSMUSG00000000861, intron 1 of 4)	11	24080670	24173558	92889	1	ENSMUST00000118955	3577	ENSMUSG00000000861	ENSMUSG00000000861
chr10	75921798	75922258	Promoter (<=1kb)	10	75896769	75921617	24849	2	ENSMUST00000000925	-182	ENSMUSG00000000902	ENSMUSG00000000902
chr11	83753931	83754283	Promoter (<=1kb)	11	83754029	83755817	1789	1	ENSMUST00000125602	0	ENSMUSG00000000976	ENSMUSG00000000976
