loc	cluster
chr4:8851361-8851762	cluster_1
chr6:115913427-115913828	cluster_1
chr5:5501646-5502047	cluster_1
chr10:8229959-8230360	cluster_1
chr19:26382176-26382577	cluster_1
chr18:51083483-51083884	cluster_1
chr14:23290612-23291013	cluster_1
chr11:63565659-63566060	cluster_1
chr7:116298843-116299244	cluster_1
chr11:88140688-88141089	cluster_1
chr15:12023097-12023498	cluster_1
chr14:22323494-22323895	cluster_1
chr2:159949078-159949479	cluster_1
chr18:67164017-67164418	cluster_1
chr4:111866692-111867093	cluster_1
chr6:9942049-9942450	cluster_1
chr16:15335479-15335880	cluster_1
chr13:47896628-47897029	cluster_1
chr13:60504281-60504682	cluster_1
chr8:90273195-90273596	cluster_1
chr16:56229890-56230291	cluster_1
chr11:86950262-86950663	cluster_1
chr13:97832440-97832841	cluster_1
chr14:29481988-29482389	cluster_1
chr4:40875914-40876315	cluster_1
chr17:44024999-44025400	cluster_1
chr11:91053332-91053733	cluster_1
chr10:4071075-4071476	cluster_1
chr3:102010691-102011092	cluster_1
chr2:166360834-166361235	cluster_1
chr4:7227184-7227585	cluster_1
chr1:157887202-157887603	cluster_1
chr14:97858412-97858813	cluster_1
chr7:97473070-97473471	cluster_1
chr14:32015292-32015693	cluster_1
chr4:70804975-70805376	cluster_1
chr14:98891340-98891741	cluster_1
chr16:9453134-9453535	cluster_1
chr16:67968476-67968877	cluster_1
chr16:67969340-67969741	cluster_1
chr7:96863844-96864245	cluster_1
chr18:33447447-33447848	cluster_1
chr11:62024958-62025359	cluster_1
chr8:98380408-98380809	cluster_1
chr10:6932825-6933226	cluster_1
chr7:98610601-98611002	cluster_1
chr16:28331772-28332173	cluster_1
chr11:62026364-62026765	cluster_1
chr7:125112658-125113059	cluster_1
chr1:98192111-98192512	cluster_1
chr9:32207850-32208251	cluster_1
chr15:94233319-94233720	cluster_1
chr13:97386639-97387040	cluster_1
chr8:12193700-12194101	cluster_1
chr13:52046835-52047236	cluster_1
chr9:27766433-27766834	cluster_1
chr1:18295167-18295568	cluster_1
chr15:97414572-97414973	cluster_1
chr7:132812146-132812547	cluster_1
chr3:100752406-100752807	cluster_1
chr9:4840381-4840782	cluster_1
chr19:57198235-57198636	cluster_1
chr11:117062882-117063283	cluster_1
chr18:57451512-57451913	cluster_1
chr6:36629140-36629541	cluster_1
chr1:102353164-102353565	cluster_1
chr3:18668924-18669325	cluster_1
chr12:31534397-31534798	cluster_1
chr7:25782728-25783129	cluster_1
chr5:43150314-43150715	cluster_1
chr13:46908517-46908918	cluster_1
chr10:61798278-61798679	cluster_1
chr19:5785499-5785900	cluster_1
chr2:167491211-167491612	cluster_1
chr16:44680686-44681087	cluster_1
chr1:104617543-104617944	cluster_1
chr8:23031284-23031685	cluster_1
chr1:6823440-6823841	cluster_1
chr13:16656053-16656454	cluster_1
chr6:45700304-45700705	cluster_1
chr2:153016780-153017181	cluster_1
chr1:53061954-53062355	cluster_1
chr17:27871865-27872266	cluster_1
chr6:62196487-62196888	cluster_1
chr4:109733852-109734253	cluster_1
chr13:99676395-99676796	cluster_1
chr3:39443207-39443608	cluster_1
chr2:85229451-85229852	cluster_1
chr13:109785834-109786235	cluster_1
chr5:13667470-13667871	cluster_1
chr13:75754337-75754738	cluster_1
chr2:34531688-34532089	cluster_1
chr18:60932442-60932843	cluster_1
chr10:68060828-68061229	cluster_1
chr5:37657818-37658219	cluster_1
chr17:73092408-73092809	cluster_1
chr5:105442258-105442659	cluster_1
chr16:79718261-79718662	cluster_1
chr13:64235335-64235736	cluster_1
chr3:45458538-45458939	cluster_1
chr17:30467724-30468125	cluster_1
chr13:45049664-45050065	cluster_1
chr5:110521793-110522194	cluster_1
chr10:70059939-70060340	cluster_1
chr1:149103411-149103812	cluster_1
chr5:124900124-124900525	cluster_1
chr11:116290371-116290772	cluster_1
chr9:28396766-28397167	cluster_1
chr5:98976027-98976428	cluster_1
chr5:48509183-48509584	cluster_1
chr18:23444168-23444569	cluster_1
chr13:92073925-92074326	cluster_1
chr3:138849932-138850333	cluster_1
chr6:141091506-141091907	cluster_1
chr6:53584989-53585390	cluster_1
chr14:25127587-25127988	cluster_1
chr6:12385567-12385968	cluster_1
chr12:83043971-83044372	cluster_1
chr3:86784066-86784467	cluster_1
chr18:6137554-6137955	cluster_1
chr10:6915171-6915572	cluster_1
chr15:77804806-77805207	cluster_1
chr9:26635193-26635594	cluster_1
chr8:79355512-79355913	cluster_1
chr3:68570239-68570640	cluster_1
chr14:60677036-60677437	cluster_1
chr2:46883166-46883567	cluster_1
chr15:22548158-22548559	cluster_1
chr14:93233695-93234096	cluster_1
chr11:85329182-85329583	cluster_1
chr14:63485312-63485713	cluster_1
chr1:146546851-146547252	cluster_1
chr14:9648383-9648784	cluster_1
chr14:22442699-22443100	cluster_1
chr7:137913700-137914101	cluster_1
chr17:11620766-11621167	cluster_1
chr2:148429092-148429493	cluster_1
chr14:19887585-19887986	cluster_1
chr18:54630297-54630698	cluster_1
chr12:99995947-99996348	cluster_1
chr12:59510250-59510651	cluster_1
chr9:50856119-50856520	cluster_1
chr2:64496362-64496763	cluster_1
chr4:126118598-126118999	cluster_1
chr3:34996920-34997321	cluster_1
chr15:59010969-59011370	cluster_1
chr11:94550182-94550583	cluster_1
chr17:3702201-3702602	cluster_1
chr5:35170337-35170738	cluster_1
chr3:18640298-18640699	cluster_1
chr14:46767089-46767490	cluster_1
chr1:54578595-54578996	cluster_1
chr10:14727462-14727863	cluster_1
chr5:62611874-62612275	cluster_1
chr2:49846849-49847250	cluster_1
chr19:41152495-41152896	cluster_1
chr4:135425612-135426013	cluster_1
chr19:19886255-19886656	cluster_1
chr1:110066546-110066947	cluster_1
