Chrom	Start	End	X1_190168243_190173660	X219.68904251653197	X1.5532982689835801	X1.2215036745335e.11	X1.20257036757823e.07	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr11	60351248	60352927	11_60351248_60352927	111.978975264637	0.871948728597371	0.00082494088430359	0.0446888652146201	Promoter (<=1kb)	11	60226714	60352905	126192	2	ENSMUST00000095254	0	ENSMUSG00000000538	ENSMUSG00000000538
chr11	60351248	60352927	11_60351248_60352927	111.978975264637	0.871948728597371	0.00082494088430359	0.0446888652146201	Promoter (<=1kb)	11	60226714	60352905	126192	2	ENSMUST00000095254	0	ENSMUSG00000000538	ENSMUSG00000000538
chr8	84792922	84801077	8_84792922_84801077	532.261334056289	0.547761314305056	0.000356049567248002	0.0268846869527659	Promoter (<=1kb)	8	84708614	84800140	91527	2	ENSMUST00000076715	0	ENSMUSG00000001911	ENSMUSG00000001911
chr8	84706710	84708216	8_84706710_84708216	119.264461469894	1.01814507154901	0.000274331042623024	0.0236911325844182	Promoter (<=1kb)	8	84704712	84707716	3005	2	ENSMUST00000148746	0	ENSMUSG00000001911	ENSMUSG00000001911
chr10	80115856	80117841	10_80115856_80117841	104.10268391579	0.868799758852189	0.000902822011255153	0.047351384510988	Promoter (<=1kb)	10	80116347	80130470	14124	1	ENSMUST00000105371	0	ENSMUSG00000003068	ENSMUSG00000003068
chr10	75666283	75667068	10_75666283_75667068	37.1989527477996	1.64812789912945	0.000359709312469845	0.0270331158875239	Intron (ENSMUST00000001712/ENSMUSG00000020196, intron 29 of 36)	10	75636619	75644008	7390	2	ENSMUST00000095541	-22276	ENSMUSG00000006342	ENSMUSG00000006342
chr10	79851990	79857107	10_79851990_79857107	399.768839927303	0.560055900531464	0.000337965664661726	0.0261139071156837	Promoter (<=1kb)	10	79854427	79864432	10006	1	ENSMUST00000172282	0	ENSMUSG00000006498	ENSMUSG00000006498
chr10	79851990	79857107	10_79851990_79857107	399.768839927303	0.560055900531464	0.000337965664661726	0.0261139071156837	Promoter (<=1kb)	10	79854427	79864432	10006	1	ENSMUST00000172282	0	ENSMUSG00000006498	ENSMUSG00000006498
chr1	190168243	190173660	1_190168243_190173660	219.689042516532	1.55329826898358	1.2215036745335e-11	1.20257036757823e-07	Promoter (<=1kb)	1	190118038	190170680	52643	2	ENSMUST00000175916	0	ENSMUSG00000010175	ENSMUSG00000010175
chr1	190168243	190173660	1_190168243_190173660	219.689042516532	1.55329826898358	1.2215036745335e-11	1.20257036757823e-07	Promoter (<=1kb)	1	190118038	190170680	52643	2	ENSMUST00000175916	0	ENSMUSG00000010175	ENSMUSG00000010175
chr1	190165155	190166359	1_190165155_190166359	52.8852462036786	1.8106682073915	1.16329750118862e-05	0.00272682473790522	Intron (ENSMUST00000175916/ENSMUSG00000010175, intron 1 of 4)	1	190122452	190169399	46948	2	ENSMUST00000010319	3040	ENSMUSG00000010175	ENSMUSG00000010175
