Protein names	Gene names	PEP	log2 H/L Sample HA_IP
Plectin	Plec	7,86E-301	2,964995526
Myosin-9	Myh9	0	2,588920911
"Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase"	Fasn	3,02E-214	1,006912617
Vimentin	Vim	0	2,639714393
Probable ATP-dependent RNA helicase DDX5	Ddx5	0	5,751426304
Peripherin	Prph	0	2,865647613
Heat shock cognate 71 kDa protein	Hspa8	0	4,418241915
Myosin-10	Myh10	1,26E-156	2,64358571
"Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase"	Eprs	1,24E-235	4,059976116
Nucleolin	Ncl	0	5,809954113
60 kDa heat shock protein, mitochondrial	Hspd1	0	4,406751417
Filamin-A	Flna	6,67E-110	1,50864969
Regulator of nonsense transcripts 1	Upf1	1,28E-204	5,192368107
"Microtubule-associated protein 1B;MAP1B heavy chain;MAP1 light chain LC1"	Map1b	2,56E-193	4,852375487
Leucine-rich PPR motif-containing protein, mitochondrial	Lrpprc	3,28E-144	4,709037782
60S ribosomal protein L4	Rpl4	2,03E-229	5,964612571
Structural maintenance of chromosomes protein 2	Smc2	3,18E-216	5,162298909
"ATP-dependent RNA helicase DDX3X;Putative ATP-dependent RNA helicase Pl10"	"Ddx3x;D1Pas1"	9,12E-248	5,340221545
Ribosome-binding protein 1	Rrbp1	5,75E-284	5,181385
"Structural maintenance of chromosomes protein;Structural maintenance of chromosomes protein 4"	Smc4	1,57E-198	5,472905636
Vigilin	Hdlbp	4,14E-165	5,273133915
"Ubiquitin carboxyl-terminal hydrolase;Probable ubiquitin carboxyl-terminal hydrolase FAF-X"	Usp9x	6,76E-115	4,538882201
Polyadenylate-binding protein 1	Pabpc1	0	3,903317141
ATPase family AAA domain-containing protein 3	Atad3	7,95E-216	5,674622797
Heat shock protein HSP 90-beta	Hsp90ab1	0	3,482565052
"Alpha-enolase;Enolase"	Eno1	0	0,867146818
78 kDa glucose-regulated protein	Hspa5	0	2,954892579
Ras GTPase-activating-like protein IQGAP1	Iqgap1	7,21E-146	3,818905084
Spectrin alpha chain, non-erythrocytic 1	Sptan1	1,75E-86	1,673738792
Heterogeneous nuclear ribonucleoprotein U	Hnrnpu	0	5,719300188
Structural maintenance of chromosomes protein 3	Smc3	5,58E-156	4,598413219
Eukaryotic translation initiation factor 5B	Eif5b	2,72E-223	6,113186114
ATP-dependent RNA helicase DDX3Y	Ddx3y	3,83E-204	5,270013127
Cytoskeleton-associated protein 4	Ckap4	0	5,226314183
Cytoskeleton-associated protein 5	Ckap5	8,88E-80	5,174699558
Heterogeneous nuclear ribonucleoprotein M	Hnrnpm	2,41E-198	4,821493135
Isoleucine--tRNA ligase, cytoplasmic	Iars	3,95E-122	3,755843604
"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed"	Actg1	0	1,944526664
Midasin	Mdn1	2,33E-63	5,07004543
Structural maintenance of chromosomes protein 1A	Smc1a	5,41E-146	4,823452542
Eukaryotic translation initiation factor 3 subunit A	Eif3a	2,51E-94	4,078015336
Stress-70 protein, mitochondrial	Hspa9	0	2,924563209
ATP-citrate synthase	Acly	6,67E-86	1,893678484
Heat shock protein HSP 90-alpha	Hsp90aa1	0	4,642954787
E3 ubiquitin-protein ligase UBR4	Ubr4	4,01E-54	4,324874199
T-complex protein 1 subunit alpha	Tcp1	4,49E-242	3,029617507
40S ribosomal protein S3a	Rps3a	1,54E-130	6,16783749
Myb-binding protein 1A	Mybbp1a	9,02E-162	5,229017075
"Tubulin beta-4B chain;Tubulin beta-4A chain"	"Tubb4b;Tubb4a"	0	1,830844641
Elongation factor 1-alpha 1	Eef1a1	6,82E-180	1,557751819
UDP-glucose:glycoprotein glucosyltransferase 1	Uggt1	6,02E-94	1,134540388
Protein disulfide-isomerase A3	Pdia3	9,26E-207	1,066125258
"Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, form S1"	Opa1	1,59E-172	1,046801821
Proliferation-associated protein 2G4	Pa2g4	1,19E-270	5,014429623
Protein RCC2	Rcc2	7,94E-179	3,728392654
DNA-directed RNA polymerase II subunit RPB2	Polr2b	7,58E-88	2,800475269
DNA replication licensing factor MCM3	Mcm3	1,69E-190	2,246600844
	Gcn1l1	2,29E-51	2,119604414
Tubulin beta-5 chain	Tubb5	0	1,716054529
Elongation factor 2	Eef2	1,54E-89	1,625088505
Forkhead box protein G1	Foxg1	0	7,154189952
40S ribosomal protein S3	Rps3	5,00E-283	5,820269855
DNA (cytosine-5)-methyltransferase 1	Dnmt1	4,38E-92	5,651160258
Transcription intermediary factor 1-beta	Trim28	7,25E-116	4,5486744
Eukaryotic translation initiation factor 4 gamma 1	Eif4g1	1,06E-71	4,417748464
	"Pabpc4;Gm10110"	0	4,058677301
Arginine--tRNA ligase, cytoplasmic	Rars	1,28E-122	4,017487145
Mitochondrial inner membrane protein	Immt	2,57E-118	3,194955239
Spectrin beta chain, non-erythrocytic 1	Sptbn1	5,82E-55	1,59867536
40S ribosomal protein S4, X isoform	"Rps4x;Rps4y2"	1,62E-244	5,992356687
Plasminogen activator inhibitor 1 RNA-binding protein	Serbp1	0	5,791617589
DNA topoisomerase 2-alpha	Top2a	1,88E-90	5,296360606
Polypyrimidine tract-binding protein 1	Ptbp1	5,74E-304	5,189943586
Valine--tRNA ligase	Vars	4,24E-82	3,476128964
	Cad	5,55E-53	3,187838614
T-complex protein 1 subunit beta	Cct2	1,01E-233	2,40981479
Tubulin beta-3 chain	Tubb3	0	1,898618858
Heterogeneous nuclear ribonucleoprotein A/B	Hnrnpab	4,14E-237	6,077674256
Ras GTPase-activating protein-binding protein 1	G3bp1	7,18E-249	5,778887611
Nucleolar RNA helicase 2	Ddx21	1,09E-128	5,239770536
Staphylococcal nuclease domain-containing protein 1	Snd1	3,47E-125	4,73777373
ATP-dependent zinc metalloprotease YME1L1	Yme1l1	0	4,709490665
tRNA-splicing ligase RtcB homolog	D10Wsu52e	1,82E-136	4,522277087
Cytosine-specific methyltransferase	Dnmt1	1,34E-79	4,39766095
"Tubulin alpha-1A chain;Tubulin alpha-3 chain"	"Tuba1a;Tuba3a"	0	2,159460227
Tubulin beta-2A chain	Tubb2a	0	2,079234137
Tubulin beta-2B chain	Tubb2b	0	1,791807399
"Tubulin alpha-1C chain;Tubulin alpha-8 chain"	"Tuba1c;Tuba8"	0	1,761849044
60S ribosomal protein L7	Rpl7	3,16E-131	5,933242587
Small subunit processome component 20 homolog	Utp20	8,78E-46	5,490634534
Putative ATP-dependent RNA helicase DHX30	Dhx30	1,66E-100	5,068834364
Probable ATP-dependent RNA helicase DDX17	Ddx17	2,95E-107	4,700609966
Leucine--tRNA ligase, cytoplasmic	Lars	4,07E-132	3,317318842
E3 ubiquitin-protein ligase HUWE1	Huwe1	1,26E-48	2,678256582
"L-lactate dehydrogenase A chain;L-lactate dehydrogenase"	Ldha	7,63E-177	0,726066431
Kinectin	Ktn1	4,95E-113	4,740046631
ADP/ATP translocase 1	Slc25a4	6,89E-145	4,208734361
Lysine--tRNA ligase	Kars	7,58E-200	4,1785608
Methionine--tRNA ligase, cytoplasmic	Mars	3,95E-87	3,92910513
Asparagine synthetase [glutamine-hydrolyzing]	Asns	3,86E-110	1,036289145
Breast cancer anti-estrogen resistance protein 1	Bcar1	4,06E-234	0,599352779
60S ribosomal protein L7a	Rpl7a	1,79E-136	5,960114827
Chromodomain-helicase-DNA-binding protein 4	Chd4	6,91E-49	5,350250279
Phenylalanine--tRNA ligase alpha subunit	Farsa	2,96E-243	4,900901433
Fatty acyl-CoA reductase 1	Far1	3,86E-168	4,814047213
ATP-binding cassette sub-family F member 2	Abcf2	1,27E-58	4,693537092
ADP/ATP translocase 2	Slc25a5	5,95E-181	4,600126738
IgE-binding protein	Iap	1,30E-136	4,463294552
"Heat shock 70 kDa protein 1A;Heat shock 70 kDa protein 1B"	"Hspa1a;Hspa1b"	6,17E-283	4,390139156
"Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase"	Hadha	1,58E-80	4,261050622
Aspartate--tRNA ligase, cytoplasmic	Dars	2,48E-119	3,853855741
"ATP synthase subunit alpha, mitochondrial;ATP synthase subunit alpha"	Atp5a1	1,31E-144	3,263958026
Cytoplasmic dynein 1 heavy chain 1	Dync1h1	2,16E-45	2,905196424
T-complex protein 1 subunit theta	Cct8	3,21E-60	2,520189993
Tubulin beta-6 chain	Tubb6	1,70E-290	2,361119869
Heat shock protein 105 kDa	Hsph1	6,00E-111	2,258563216
Caprin-1	Caprin1	8,67E-159	6,250549829
60S ribosomal protein L6	"Rpl6;Gm5428"	4,41E-139	6,002402644
RRP12-like protein	Rrp12	4,37E-128	5,476819468
"Eukaryotic translation initiation factor 2 subunit 3, X-linked;Eukaryotic translation initiation factor 2 subunit 3, Y-linked"	"Eif2s3x;Eif2s3y"	1,11E-133	5,395867933
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	Smarca5	1,90E-127	4,992127093
Stress-induced-phosphoprotein 1	Stip1	9,54E-71	4,802849215
Hyaluronan mediated motility receptor	Hmmr	8,85E-94	4,389231915
	Ahnak	3,94E-41	4,234112261
Eukaryotic translation initiation factor 2A	Eif2a	6,26E-150	3,852396325
CCR4-NOT transcription complex subunit 1	Cnot1	2,22E-43	3,398923476
T-complex protein 1 subunit gamma	Cct3	9,28E-92	3,029853145
Alpha-internexin	Ina	7,02E-183	2,432921898
"Actin, alpha skeletal muscle;Actin, alpha cardiac muscle 1;Actin, gamma-enteric smooth muscle;Actin, aortic smooth muscle"	"Acta1;Actc1;Actg2;Acta2"	0	1,959486261
T-complex protein 1 subunit epsilon	Cct5	5,03E-126	1,859980513
40S ribosomal protein S11	Rps11	5,75E-48	5,932537501
60S ribosomal protein L3	Rpl3	8,43E-65	5,714065192
Heterogeneous nuclear ribonucleoprotein D0	Hnrnpd	6,12E-113	5,435838435
Cold shock domain-containing protein E1	Csde1	1,12E-155	5,414391317
Nucleolar GTP-binding protein 1	Gtpbp4	1,49E-45	5,076408093
Eukaryotic translation initiation factor 2 subunit 2	Eif2s2	1,03E-134	4,907944148
Cullin-7	Cul7	5,99E-71	4,485389895
	Atxn2l	7,43E-52	3,579456156
T-complex protein 1 subunit eta	Cct7	4,65E-127	1,999076971
40S ribosomal protein S18	"Rps18;Gm10260"	4,21E-146	6,03325061
Myelin expression factor 2	Myef2	1,93E-80	5,44624238
DnaJ homolog subfamily A member 1	Dnaja1	8,59E-141	5,188943341
"Heterogeneous nuclear ribonucleoprotein F;Heterogeneous nuclear ribonucleoprotein F, N-terminally processed"	Hnrnpf	0	5,131932794
Non-POU domain-containing octamer-binding protein	Nono	7,01E-49	4,058436908
Eukaryotic translation initiation factor 3 subunit L	Eif3l	2,01E-150	3,899329084
Mitochondrial-processing peptidase subunit alpha	Pmpca	2,96E-66	3,751737213
Ataxin-2-like protein	Atxn2l	3,67E-50	3,610715147
"6-phosphofructokinase type C;6-phosphofructokinase"	Pfkp	1,15E-78	3,465125616
Heterogeneous nuclear ribonucleoprotein K	"Hnrnpk;Gm7964"	4,82E-188	3,420155631
T-complex protein 1 subunit delta	Cct4	2,36E-110	2,824698966
DNA-directed RNA polymerase II subunit RPB1	Polr2a	6,59E-49	2,821635918
ATP synthase subunit beta, mitochondrial	Atp5b	6,52E-110	2,49834176
Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	Ppp2r1a	9,78E-111	2,23487266
Pyruvate kinase isozymes M1/M2	Pkm	8,35E-75	1,615154443
Hexokinase-2	Hk2	1,95E-50	1,368811883
Protein disulfide-isomerase A6	Pdia6	0	1,000461736
Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	Sdha	2,19E-70	0,980397708
Heterogeneous nuclear ribonucleoprotein A1	Hnrnpa1	2,02E-126	6,160491829
40S ribosomal protein S7	"Gm9493;Rps7"	3,41E-67	6,06815661
Nuclease-sensitive element-binding protein 1	Ybx1	1,19E-223	5,532824877
Splicing factor, proline- and glutamine-rich	Sfpq	2,65E-53	5,20359495
FACT complex subunit SSRP1	Ssrp1	2,11E-37	5,066318597
Mannosyl-oligosaccharide glucosidase	Mogs	1,56E-56	5,065497086
ELAV-like protein 2	Elavl2	3,37E-77	4,795338404
DnaJ homolog subfamily A member 2	Dnaja2	3,23E-42	4,653518463
Chromosome-associated kinesin KIF4	Kif4	2,70E-80	4,636230097
La-related protein 1	Larp1	4,73E-60	4,569487768
Cell division cycle 5-like protein	Cdc5l	6,20E-61	4,512332553
Calcium-binding mitochondrial carrier protein Aralar1	Slc25a12	2,39E-172	4,509503803
E3 ubiquitin-protein ligase TRIP12	Trip12	9,64E-56	4,409876124
Nuclear valosin-containing protein-like	Nvl	4,19E-95	4,350338559
Eukaryotic translation initiation factor 3 subunit D	Eif3d	5,28E-104	4,328231998
DnaJ homolog subfamily C member 2	Dnajc2	1,17E-66	4,222242389
"Microtubule-associated protein 1A;MAP1A heavy chain;MAP1 light chain LC2"	Map1a	6,85E-33	3,978076872
Elongation factor 1-alpha 2	Eef1a2	1,47E-96	3,656699069
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	Rpn1	6,10E-109	3,596230558
Mitochondrial-processing peptidase subunit beta	Pmpcb	4,56E-90	3,267287964
"Elongation factor Tu, mitochondrial;Elongation factor Tu"	"Tufm;Gm9755"	2,15E-69	2,430664463
T-complex protein 1 subunit zeta	Cct6a	2,73E-200	2,392440057
"C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase"	Mthfd1	5,94E-81	1,118601628
Peroxiredoxin-1	Prdx1	7,50E-146	0,940506275
	"Gm8730;Rplp0"	8,37E-287	#VALUE!
40S ribosomal protein S19	Rps19	5,31E-111	6,262683585
60S ribosomal protein L19	Rpl19	3,77E-159	6,248683684
"40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed"	Rps5	8,25E-121	5,990337519
mRNA turnover protein 4 homolog	Mrto4	1,27E-56	5,909460881
60S acidic ribosomal protein P0	Rplp0	3,66E-288	5,85025158
Nucleophosmin	"Npm1;Gm5611"	1,41E-98	5,806881796
Developmentally-regulated GTP-binding protein 1	Drg1	1,00E-137	5,540795033
Ras GTPase-activating protein-binding protein 2	G3bp2	2,39E-92	5,360882701
60S ribosomal protein L5	Rpl5	2,23E-60	5,214106339
ATP-dependent RNA helicase A	Dhx9	1,81E-44	4,963081764
Bystin	Bysl	4,62E-65	4,866110359
ATP-dependent RNA helicase DDX1	Ddx1	2,38E-54	4,762543968
CLIP-associating protein 2	Clasp2	1,01E-68	4,576940378
5-3 exoribonuclease 2	Xrn2	2,43E-58	4,560608776
Microtubule-actin cross-linking factor 1	Macf1	3,33E-30	4,494239122
Eukaryotic translation initiation factor 4 gamma 3	Eif4g3	1,31E-38	4,480905013
"Coatomer subunit alpha;Xenin;Proxenin"	Copa	4,43E-48	4,407516651
CLIP-associating protein 1	Clasp1	3,53E-57	4,389020307
Rho guanine nucleotide exchange factor 2	Arhgef2	5,82E-42	4,351192216
Spermatogenesis-associated protein 5	Spata5	7,54E-73	4,014965971
Eukaryotic translation initiation factor 3 subunit C	Eif3c	1,50E-63	4,01391678
Importin subunit beta-1	Kpnb1	0	3,97921407
6-phosphofructokinase, liver type	Pfkl	7,28E-90	3,819047612
Nucleolar protein 14	Nop14	4,05E-56	3,444293769
ATP-binding cassette sub-family E member 1	Abce1	4,25E-93	3,393394797
DNA replication licensing factor MCM5	Mcm5	7,27E-91	3,227692025
40S ribosomal protein SA	Rpsa	1,44E-296	1,612064025
Phenylalanine--tRNA ligase beta subunit	Farsb	3,41E-68	1,172896404
40S ribosomal protein S16	Rps16	1,37E-69	6,283548105
40S ribosomal protein S9	Rps9	4,90E-55	6,206521904
60S ribosomal protein L23a	Rpl23a	1,18E-49	6,120695735
60S ribosomal protein L26	Rpl26	7,61E-45	6,092266347
40S ribosomal protein S6	Rps6	3,09E-74	5,960653817
60S ribosomal protein L13	Rpl13	1,09E-274	5,894536465
40S ribosomal protein S8	Rps8	3,71E-225	5,857510753
G-protein coupled receptor-associated sorting protein 1	Gprasp1	3,33E-51	5,264900729
	"Gm6793;Gm9242;Gm8991"	3,35E-70	4,915979289
	Ppfia1	4,15E-69	4,874084451
"Trifunctional enzyme subunit beta, mitochondrial;3-ketoacyl-CoA thiolase"	Hadhb	8,97E-44	4,547830532
Heat shock 70 kDa protein 14	Hspa14	2,54E-103	4,542643156
Protein PRRC2C	Prrc2c	4,45E-31	4,514606149
"Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed"	Hnrnph1	0	4,437556803
PERQ amino acid-rich with GYF domain-containing protein 2	Gigyf2	1,19E-55	4,362751458
Probable ATP-dependent RNA helicase DHX36	Dhx36	1,44E-47	4,359756684
ELAV-like protein 4	Elavl4	4,27E-60	4,353490769
Melanoma-associated antigen D1	Maged1	2,59E-49	4,218692329
	Stau1	1,83E-121	3,692492202
Poly(U)-binding-splicing factor PUF60	Puf60	5,23E-151	3,558771511
