baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	Chrom	Start	End	cluster_1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName
ENSMUSG00000000001	7464.41476217626	-0.0247830972292251	0.04489462777749	0.526401848562731	0.762415313729824	chr3	108107274	108146152	cluster_4	Promoter (<=1kb)	3	108107280	108146146	38867	2	ENSMUST00000000001	0	ENSMUSG00000000001
ENSMUSG00000000028	503.891992903795	-0.0439964569415262	0.0805560245588761	0.351204603820829	0.624375551079824	chr16	18780446	18811972	cluster_3	Promoter (<=1kb)	16	18780447	18811972	31526	2	ENSMUST00000000028	0	ENSMUSG00000000028
ENSMUSG00000000031	6300.25516264325	0.0175612875544363	0.0934368595347085	0.199981223089575	0.468696482787959	chr7	142575529	142578146	cluster_5	Promoter (<=1kb)	7	142575529	142578143	2615	2	ENSMUST00000136359	0	ENSMUSG00000000031
ENSMUSG00000000056	4772.78685986497	-0.0624690821823247	0.048994659540847	0.134284844815685	0.377911247194446	chr11	121237235	121255856	cluster_3	Promoter (<=1kb)	11	121237253	121255856	18604	1	ENSMUST00000103015	0	ENSMUSG00000000056
ENSMUSG00000000058	926.941680417635	0.545302769131583	0.10528630088929	1.19478838595089e-08	1.53364364763308e-06	chr6	17281184	17282684	cluster_5	Promoter (<=1kb)	6	17281185	17289115	7931	1	ENSMUST00000000058	0	ENSMUSG00000000058
ENSMUSG00000000078	2162.84388700606	0.00576863212444465	0.0601476175695384	0.898698115485655	0.960426679051567	chr13	5855508	5858092	cluster_1	Distal Intergenic	13	5861489	5870393	8905	1	ENSMUST00000000080	-3397	ENSMUSG00000000078
ENSMUSG00000000085	2210.13808064103	-0.0936062604620608	0.0636858212225332	0.0597584943193314	0.237964958469375	chr4	120405280	120530199	cluster_4	Promoter (<=1kb)	4	120405281	120454515	49235	1	ENSMUST00000134375	0	ENSMUSG00000000085
ENSMUSG00000000088	4077.18459340473	-0.247957172103406	0.0847343231515681	0.000349883230175002	0.0071649008620794	chr9	57521231	57532426	cluster_4	Promoter (<=1kb)	9	57521232	57532424	11193	1	ENSMUST00000000090	0	ENSMUSG00000000088
ENSMUSG00000000093	216.347081777449	0.0660498387034976	0.106327201960646	0.146430939586057	0.396701460781834	chr11	85832614	85841948	cluster_1	Promoter (<=1kb)	11	85832551	85841948	9398	1	ENSMUST00000000095	64	ENSMUSG00000000093
ENSMUSG00000000094	40.1122731847875	0.00770073260566803	0.0909570823422245	0.646973142037012	NA	chr11	85890062	85916097	cluster_4	Promoter (<=1kb)	11	85890063	85916097	26035	1	ENSMUST00000000096	0	ENSMUSG00000000094
ENSMUSG00000000120	503.376295181744	0.2162863688786	0.169584910233627	0.0126386448537358	0.0911600070797813	chr11	95568820	95587698	cluster_5	Promoter (<=1kb)	11	95568818	95587735	18918	2	ENSMUST00000000122	37	ENSMUSG00000000120
