Chrom:Start-End	annotation
chr11:74822864-74823065	3' UTR
chr16:97438251-97438452	3' UTR
chr11:112785625-112785826	3' UTR
chr10:6841103-6841304	3' UTR
chr8:109944370-109944571	3' UTR
chr6:29717642-29717843	3' UTR
chr5:143503222-143503423	3' UTR
chr16:38591331-38591532	3' UTR
chr8:107367596-107367797	3' UTR
chr10:81152511-81152712	3' UTR
chr2:102781801-102782002	3' UTR
chr2:102785451-102785652	3' UTR
chr9:53399967-53400168	3' UTR
chr2:91018689-91018890	3' UTR
chr7:81043201-81043402	3' UTR
chr16:17642336-17642537	3' UTR
chr11:75626001-75626202	3' UTR
chr1:75559549-75559750	3' UTR
chr5:30975593-30975794	3' UTR
chr7:16725942-16726143	3' UTR
chr12:90333372-90333573	3' UTR
chr7:100839790-100839991	3' UTR
chr3:88540281-88540482	3' UTR
chr1:135606609-135606810	3' UTR
chr10:75054696-75054897	3' UTR
chr11:74818995-74819196	3' UTR
chr14:18281945-18282146	3' UTR
chr12:85894417-85894618	3' UTR
chr1:131821132-131821333	3' UTR
chr16:3917634-3917835	3' UTR
chr8:110970425-110970626	3' UTR
chr19:46084766-46084967	3' UTR
chr13:114825355-114825556	3' UTR
chr14:30038504-30038705	3' UTR
chr2:158332783-158332984	3' UTR
chr11:78172975-78173176	3' UTR
chr2:163045394-163045595	3' UTR
chr2:163045879-163046080	3' UTR
chr11:54909869-54910070	3' UTR
chr11:69408488-69408689	3' UTR
chr11:84048500-84048701	3' UTR
chr11:113662380-113662581	3' UTR
chr2:152706061-152706262	3' UTR
chr11:4047811-4048012	3' UTR
chr10:34608812-34609013	3' UTR
chr10:13518603-13518804	3' UTR
chr10:99266456-99266657	3' UTR
chr10:90970754-90970955	3' UTR
chr10:61581527-61581728	3' UTR
chr10:59897690-59897891	3' UTR
chr10:59898406-59898607	3' UTR
chr11:21149237-21149438	3' UTR
chr10:110939290-110939491	3' UTR
chr9:106190318-106190519	3' UTR
chr10:83594610-83594811	3' UTR
chr11:32622393-32622594	3' UTR
chr11:32622703-32622904	3' UTR
chr11:32623261-32623462	3' UTR
chr11:31979540-31979741	3' UTR
chr11:86498408-86498609	3' UTR
chr11:57531609-57531810	3' UTR
chr11:84910583-84910784	3' UTR
chr11:60787784-60787985	3' UTR
chr12:26478161-26478362	3' UTR
chr12:3960434-3960635	3' UTR
chr11:82062359-82062560	3' UTR
chr11:83418439-83418640	3' UTR
chr11:82445651-82445852	3' UTR
chr11:106287056-106287257	3' UTR
chr11:72746838-72747039	3' UTR
chr11:72771372-72771573	3' UTR
chr11:116874212-116874413	3' UTR
chr11:77456870-77457071	3' UTR
chr12:59188201-59188402	3' UTR
chr12:78839000-78839201	3' UTR
chr12:106076637-106076838	3' UTR
chr13:9667049-9667250	3' UTR
chr12:100123301-100123502	3' UTR
chr12:83791865-83792066	3' UTR
chr12:83855365-83855566	3' UTR
chr12:86518942-86519143	3' UTR
chr13:23858180-23858381	3' UTR
chr13:52643433-52643634	3' UTR
chr13:63899399-63899600	3' UTR
chr13:74034905-74035106	3' UTR
chr13:95022078-95022279	3' UTR
chr13:105447282-105447483	3' UTR
chr14:14104344-14104545	3' UTR
chr13:114156755-114156956	3' UTR
chr14:47320587-47320788	3' UTR
chr14:31506572-31506773	3' UTR
chr14:32060685-32060886	3' UTR
chr14:28525593-28525794	3' UTR
chr14:28526779-28526980	3' UTR
chr14:69782730-69782931	3' UTR
chr14:117975433-117975634	3' UTR
chr15:4575330-4575531	3' UTR
chr15:32690546-32690747	3' UTR
chr15:32691095-32691296	3' UTR
chr15:57919794-57919995	3' UTR
chr15:103498761-103498962	3' UTR
chr16:23978571-23978772	3' UTR
chr15:89559018-89559219	3' UTR
chr15:89559432-89559633	3' UTR
chr16:38767699-38767900	3' UTR
chr16:32906356-32906557	3' UTR
chr16:37571103-37571304	3' UTR
chr16:35108130-35108331	3' UTR
chr16:91678239-91678440	3' UTR
chr16:30271898-30272099	3' UTR
chr9:38742113-38742314	3' UTR
chr8:4359428-4359629	3' UTR
chr17:8985012-8985213	3' UTR
chr17:44038768-44038969	3' UTR
chr17:48366962-48367163	3' UTR
chr17:29703010-29703211	3' UTR
chr17:73830636-73830837	3' UTR
chr17:73831512-73831713	3' UTR
chr17:27708445-27708646	3' UTR
chr17:83478000-83478201	3' UTR
chr17:84700115-84700316	3' UTR
chr18:36014204-36014405	3' UTR
chr18:33189573-33189774	3' UTR
chr18:37841598-37841799	3' UTR
chr18:61289880-61290081	3' UTR
chr19:36455489-36455690	3' UTR
chr19:7274670-7274871	3' UTR
chrX:85890289-85890490	3' UTR
chr19:45055236-45055437	3' UTR
chr19:45529005-45529206	3' UTR
chr19:46488525-46488726	3' UTR
chr8:122028083-122028284	3' UTR
chr10:127694602-127694803	3' UTR
chr18:76961558-76961759	3' UTR
chr7:139101701-139101902	3' UTR
chr4:99987163-99987364	3' UTR
chrX:42104918-42105119	3' UTR
chr18:75394979-75395180	3' UTR
chr1:64599097-64599298	3' UTR
chr1:60998424-60998625	3' UTR
chr1:40025918-40026119	3' UTR
chr1:52159186-52159387	3' UTR
chr1:152509783-152509984	3' UTR
chr1:164287484-164287685	3' UTR
chr1:157561819-157562020	3' UTR
chr1:157567849-157568050	3' UTR
chr1:169693588-169693789	3' UTR
chr2:28907566-28907767	3' UTR
chr2:43636663-43636864	3' UTR
chr2:62691873-62692074	3' UTR
chr2:93681242-93681443	3' UTR
chr2:125893269-125893470	3' UTR
chr2:92953572-92953773	3' UTR
chr2:172353264-172353465	3' UTR
chr2:172355537-172355738	3' UTR
chr3:14872317-14872518	3' UTR
chr2:180621826-180622027	3' UTR
chr2:165519291-165519492	3' UTR
chr3:28132427-28132628	3' UTR
chr3:51475423-51475624	3' UTR
chr3:51495431-51495632	3' UTR
chr3:68055269-68055470	3' UTR
chr3:68056210-68056411	3' UTR
chr3:89752175-89752376	3' UTR
chr3:82540093-82540294	3' UTR
chr3:81954587-81954788	3' UTR
chr3:87854880-87855081	3' UTR
chr4:28964363-28964564	3' UTR
