.	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	Chrom	Start	End	NeuroD1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	NEUROD1_unique
ENSMUSG00000000028	223.2762626	0.023061597	0.193132983	0.884629167	0.936625323	Cdc45	chr16	18795655	18795866	NeuroD1	Exon (ENSMUST00000000028/ENSMUSG00000000028, exon 10 of 20)	16	18780453	18811626	31174	2	ENSMUST00000096990	15760	ENSMUSG00000000028	NEUROD1_unique
ENSMUSG00000000049	24.48412145	0.050976493	0.291956001	0.707138088	0.827100109	Apoh	chr11	108393561	108393780	NeuroD1	Promoter (1-2kb)	11	108395293	108414396	19104	1	ENSMUST00000000049	-1513	ENSMUSG00000000049	NEUROD1_unique
ENSMUSG00000000056	3013.923184	-0.941207336	0.151692425	5.30718E-11	2.32883E-09	Narf	chr11	121233636	121233836	NeuroD1	Distal Intergenic	11	121237253	121255856	18604	1	ENSMUST00000103015	-3417	ENSMUSG00000000056	NEUROD1_unique
ENSMUSG00000000058	3295.468212	-0.205592446	0.102894267	0.035919444	0.106090588	Cav2	chr6	17259588	17259781	NeuroD1	Intron (ENSMUST00000131334/ENSMUSG00000085264, intron 1 of 4)	6	17281185	17289115	7931	1	ENSMUST00000000058	-21404	ENSMUSG00000000058	NEUROD1_unique
ENSMUSG00000000078	2860.97596	-0.552593493	0.110111255	1.76444E-07	3.44526E-06	Klf6	chr13	5533086	5533370	NeuroD1	Distal Intergenic	13	5861489	5870393	8905	1	ENSMUST00000000080	-328119	ENSMUSG00000000078	NEUROD1_unique
ENSMUSG00000000085	2000.170819	0.208018285	0.1528572	0.126711242	0.267116108	Scmh1	chr4	120377784	120378129	NeuroD1	Distal Intergenic	4	120405281	120454515	49235	1	ENSMUST00000134375	-27152	ENSMUSG00000000085	NEUROD1_unique
ENSMUSG00000000088	6435.757027	0.017050784	0.12327623	0.849742243	0.917503728	Cox5a	chr9	57517121	57517301	NeuroD1	Distal Intergenic	9	57521232	57532424	11193	1	ENSMUST00000000090	-3931	ENSMUSG00000000088	NEUROD1_unique
ENSMUSG00000000094	14.84654916	-0.217310015	0.420600221	0.045809128	0.127360191	Tbx4	chr11	85900461	85900785	NeuroD1	Intron (ENSMUST00000108047/ENSMUSG00000000094, intron 5 of 8)	11	85896765	85916095	19331	1	ENSMUST00000108045	3697	ENSMUSG00000000094	NEUROD1_unique
ENSMUSG00000000120	534.6307449	-0.76524993	0.231411019	0.000121408	0.001026739	Ngfr	chr11	95575001	95575209	NeuroD1	Intron (ENSMUST00000000122/ENSMUSG00000000120, intron 3 of 5)	11	95568818	95587735	18918	2	ENSMUST00000000122	12526	ENSMUSG00000000120	NEUROD1_unique
ENSMUSG00000000125	93.71291957	-0.006638403	0.205514045	0.965799461	0.982062798	Wnt3	chr11	103790071	103790336	NeuroD1	Intron (ENSMUST00000000127/ENSMUSG00000000125, intron 1 of 4)	11	103774150	103817957	43808	1	ENSMUST00000000127	15922	ENSMUSG00000000125	NEUROD1_unique
ENSMUSG00000000126	1895.820431	-0.187258231	0.089162877	0.028695396	0.089428311	Wnt9a	chr11	59312148	59312390	NeuroD1	Intron (ENSMUST00000000128/ENSMUSG00000000126, intron 1 of 3)	11	59306930	59333552	26623	1	ENSMUST00000108783	5219	ENSMUSG00000000126	NEUROD1_unique
ENSMUSG00000000127	1188.739575	-0.086608605	0.10114538	0.354896154	0.537003089	Fer	chr17	63889666	63889897	NeuroD1	Distal Intergenic	17	63896018	64139494	243477	1	ENSMUST00000000129	-6121	ENSMUSG00000000127	NEUROD1_unique
ENSMUSG00000000131	3789.972791	-0.313888268	0.087080565	0.000188619	0.001493378	Xpo6	chr7	126199292	126199577	NeuroD1	Promoter (<=1kb)	7	126161008	126199928	38921	2	ENSMUST00000167147	351	ENSMUSG00000000131	NEUROD1_unique
ENSMUSG00000000142	1584.227079	-0.461158559	0.168175887	0.001821222	0.009994981	Axin2	chr11	108897183	108897482	NeuroD1	Distal Intergenic	11	108920349	108950783	30435	1	ENSMUST00000052915	-22867	ENSMUSG00000000142	NEUROD1_unique
ENSMUSG00000000149	5823.215343	-0.407099327	0.141664981	0.001294853	0.007524728	Gna12	chr5	140792198	140792378	NeuroD1	Intron (ENSMUST00000000153/ENSMUSG00000000149, intron 1 of 3)	5	140758408	140830431	72024	2	ENSMUST00000000153	38053	ENSMUSG00000000149	NEUROD1_unique
ENSMUSG00000000157	2.062078455	0.048265278	0.331956977	0.27637525	.	Itgb2l	chr16	96421087	96421376	NeuroD1	Intron (ENSMUST00000113794/ENSMUSG00000000159, intron 8 of 8)	16	96426730	96429144	2415	2	ENSMUST00000131777	7768	ENSMUSG00000000157	NEUROD1_unique
ENSMUSG00000000159	2.445756219	0.005567803	0.317627193	0.946069749	.	Igsf5	chr16	96408135	96408460	NeuroD1	Intron (ENSMUST00000113794/ENSMUSG00000000159, intron 8 of 8)	16	96396406	96421954	25549	1	ENSMUST00000136292	11730	ENSMUSG00000000159	NEUROD1_unique
ENSMUSG00000000167	309.1269235	0.132022777	0.229220206	0.433997974	0.610397345	Pih1d2	chr9	50621294	50621491	NeuroD1	Intron (ENSMUST00000000171/ENSMUSG00000000167, intron 4 of 5)	9	50618007	50621065	3059	1	ENSMUST00000125606	3288	ENSMUSG00000000167	NEUROD1_unique
ENSMUSG00000000171	6056.173625	0.362634485	0.081651526	4.50881E-06	6.11728E-05	Sdhd	chr9	50602188	50602531	NeuroD1	Promoter (1-2kb)	9	50596338	50603849	7512	2	ENSMUST00000000175	1318	ENSMUSG00000000171	NEUROD1_unique
ENSMUSG00000000182	9.744757855	0.137037214	0.331353669	0.305699915	0.487543644	Fgf23	chr6	127064055	127064566	NeuroD1	Distal Intergenic	6	127072902	127081408	8507	1	ENSMUST00000000186	-8336	ENSMUSG00000000182	NEUROD1_unique
ENSMUSG00000000184	39256.45825	-0.661545433	0.187447369	7.18355E-05	0.000658731	Ccnd2	chr6	127130630	127130843	NeuroD1	Intron (ENSMUST00000000188/ENSMUSG00000000184, intron 4 of 4)	6	127125779	127151048	25270	2	ENSMUST00000000188	20205	ENSMUSG00000000184	NEUROD1_unique
ENSMUSG00000000197	2912.565959	0.094276694	0.15823599	0.510738933	0.675188726	Nalcn	chr14	123316951	123317171	NeuroD1	Exon (ENSMUST00000000201/ENSMUSG00000000197, exon 20 of 44)	14	123276641	123627144	350504	2	ENSMUST00000000201	309973	ENSMUSG00000000197	NEUROD1_unique
ENSMUSG00000000202	315.2770553	0.148621077	0.198557557	0.348211957	0.530619939	Btbd17	chr11	114793219	114793428	NeuroD1	Promoter (2-3kb)	11	114791217	114795873	4657	2	ENSMUST00000156053	2445	ENSMUSG00000000202	NEUROD1_unique
ENSMUSG00000000215	246.1757653	0.068216126	0.260923376	0.675920952	0.804637494	Ins2	chr7	142680187	142680443	NeuroD1	Promoter (<=1kb)	7	142678659	142679726	1068	2	ENSMUST00000000220	-462	ENSMUSG00000000215	NEUROD1_unique
ENSMUSG00000000216	3.249681133	-0.174497439	0.376922162	0.102047813	.	Scnn1g	chr7	121757883	121758168	NeuroD1	Intron (ENSMUST00000000221/ENSMUSG00000000216, intron 6 of 12)	7	121734479	121768475	33997	1	ENSMUST00000000221	23405	ENSMUSG00000000216	NEUROD1_unique
ENSMUSG00000000244	9.189209939	0.116880734	0.330945731	0.323738717	0.50661462	Tspan32	chr7	143000434	143000656	NeuroD1	Intron (ENSMUST00000131740/ENSMUSG00000052281, intron 1 of 4)	7	143005046	143019486	14441	1	ENSMUST00000009396	-4390	ENSMUSG00000000244	NEUROD1_unique
ENSMUSG00000000247	6008.342447	-0.218904903	0.099855594	0.020667805	0.06943847	Lhx2	chr2	38321095	38321314	NeuroD1	Distal Intergenic	2	38339281	38369199	29919	1	ENSMUST00000143783	-17967	ENSMUSG00000000247	NEUROD1_unique
ENSMUSG00000000253	1290.068143	0.336134837	0.126118935	0.003821579	0.018293117	Gmpr	chr13	45515166	45515348	NeuroD1	Promoter (1-2kb)	13	45513840	45545898	32059	1	ENSMUST00000128873	1327	ENSMUSG00000000253	NEUROD1_unique
ENSMUSG00000000275	769.4536205	-0.051190307	0.115685311	0.617213818	0.760761536	Trim25	chr11	89003512	89003694	NeuroD1	Intron (ENSMUST00000100627/ENSMUSG00000000275, intron 1 of 4)	11	88999376	89020293	20918	1	ENSMUST00000107896	4137	ENSMUSG00000000275	NEUROD1_unique
ENSMUSG00000000290	58.8126985	-0.856397565	0.295200035	0.000378725	0.002690983	Itgb2	chr10	77544918	77545498	NeuroD1	Intron (ENSMUST00000000299/ENSMUSG00000000290, intron 3 of 15)	10	77530380	77565708	35329	1	ENSMUST00000153541	14539	ENSMUSG00000000290	NEUROD1_unique
ENSMUSG00000000295	723.4949093	-0.095427643	0.137641337	0.461956582	0.634284918	Hddc2	chr10	31313914	31314130	NeuroD1	Promoter (<=1kb)	10	31313472	31328184	14713	1	ENSMUST00000159194	443	ENSMUSG00000000295	NEUROD1_unique
ENSMUSG00000000296	540.4532135	-0.211540062	0.196050387	0.176812231	0.337459631	Tpd52l1	chr10	31477853	31478035	NeuroD1	Distal Intergenic	10	31332380	31445921	113542	2	ENSMUST00000000305	-31933	ENSMUSG00000000296	NEUROD1_unique
ENSMUSG00000000301	152.5968507	0.039930004	0.159200973	0.77535825	0.870791539	Pemt	chr11	60061595	60061804	NeuroD1	Distal Intergenic	11	59974154	60046489	72336	2	ENSMUST00000148512	-15107	ENSMUSG00000000301	NEUROD1_unique
ENSMUSG00000000305	2765.271404	-0.515077336	0.141539612	8.92157E-05	0.000788787	Cdh4	chr2	179477759	179478051	NeuroD1	Intron (ENSMUST00000000314/ENSMUSG00000000305, intron 2 of 15)	2	179444233	179780319	336087	1	ENSMUST00000124708	33527	ENSMUSG00000000305	NEUROD1_unique
ENSMUSG00000000308	2269.529992	0.171221463	0.144947766	0.183496815	0.346620326	Ckmt1	chr2	121367532	121367754	NeuroD1	Exon (ENSMUST00000038389/ENSMUSG00000033498, exon 8 of 29)	2	121362918	121363736	819	1	ENSMUST00000153040	4615	ENSMUSG00000000308	NEUROD1_unique
ENSMUSG00000000320	51.39796423	-0.659847709	0.392334748	0.010735281	0.041794457	Alox12	chr11	70279041	70279410	NeuroD1	Distal Intergenic	11	70241457	70255353	13897	2	ENSMUST00000000329	-23689	ENSMUSG00000000320	NEUROD1_unique
ENSMUSG00000000325	5665.809036	-0.030956502	0.180840994	0.834710749	0.907964375	Arvcf	chr16	18351684	18351920	NeuroD1	Intron (ENSMUST00000115614/ENSMUSG00000000325, intron 1 of 17)	16	18348274	18407076	58803	1	ENSMUST00000115613	3411	ENSMUSG00000000325	NEUROD1_unique
ENSMUSG00000000359	3.34716168	-0.003430902	0.327012657	0.83082509	.	Rem1	chr2	152639489	152639669	NeuroD1	Distal Intergenic	2	152632967	152635198	2232	1	ENSMUST00000139370	6523	ENSMUSG00000000359	NEUROD1_unique
ENSMUSG00000000378	2765.155597	-0.205777979	0.123771005	0.072170333	0.17862886	Ccm2	chr11	6569066	6569287	NeuroD1	Intron (ENSMUST00000000388/ENSMUSG00000000378, intron 1 of 9)	11	6561230	6596742	35513	1	ENSMUST00000109721	7837	ENSMUSG00000000378	NEUROD1_unique
ENSMUSG00000000385	22.12579646	-0.080626396	0.269711415	0.610515132	0.754819558	Tmprss2	chr16	97588625	97588805	NeuroD1	Intron (ENSMUST00000000395/ENSMUSG00000000385, intron 5 of 13)	16	97564684	97611195	46512	2	ENSMUST00000000395	22390	ENSMUSG00000000385	NEUROD1_unique
ENSMUSG00000000386	20.93935738	-0.712277909	0.900333099	0.016844124	0.058963739	Mx1	chr16	97420139	97420358	NeuroD1	Intron (ENSMUST00000047275/ENSMUSG00000040605, intron 6 of 8)	16	97448131	97457492	9362	2	ENSMUST00000170016	37134	ENSMUSG00000000386	NEUROD1_unique
ENSMUSG00000000392	84.97465775	0.352581043	0.235517727	0.052867556	0.142022688	Fap	chr2	62513397	62513975	NeuroD1	Intron (ENSMUST00000102732/ENSMUSG00000000392, intron 20 of 25)	2	62501123	62503424	2302	2	ENSMUST00000128139	-9974	ENSMUSG00000000392	NEUROD1_unique
ENSMUSG00000000409	154.7062624	0.148831554	0.241797637	0.385790219	0.566503226	Lck	chr4	129570438	129570775	NeuroD1	Promoter (2-3kb)	4	129548349	129573641	25293	2	ENSMUST00000102596	2866	ENSMUSG00000000409	NEUROD1_unique
ENSMUSG00000000416	2311.847998	-0.422400022	0.178587448	0.005940722	0.026096607	Cttnbp2	chr6	18368347	18368590	NeuroD1	Intron (ENSMUST00000152499/ENSMUSG00000000416, intron 18 of 18)	6	18367526	18382860	15335	2	ENSMUST00000149570	14270	ENSMUSG00000000416	NEUROD1_unique
ENSMUSG00000000420	3153.196132	0.153862029	0.086567679	0.064836406	0.165394156	Galnt1	chr18	24197233	24197586	NeuroD1	Distal Intergenic	18	24205344	24286818	81475	1	ENSMUST00000000430	-7758	ENSMUSG00000000420	NEUROD1_unique
ENSMUSG00000000440	50.06232818	-0.583231217	0.589972757	0.019525896	0.066359745	Pparg	chr6	115349946	115350164	NeuroD1	Distal Intergenic	6	115361221	115490401	129181	1	ENSMUST00000171644	-11057	ENSMUSG00000000440	NEUROD1_unique
ENSMUSG00000000441	5273.90312	-0.044703648	0.073159819	0.54358161	0.702806621	Raf1	chr6	115660778	115661020	NeuroD1	Intron (ENSMUST00000112949/ENSMUSG00000000441, intron 1 of 16)	6	115618569	115675964	57396	2	ENSMUST00000112949	14944	ENSMUSG00000000441	NEUROD1_unique
ENSMUSG00000000489	1441.314794	-0.679749379	0.171253578	1.10951E-05	0.000132415	Pdgfb	chr15	79995638	79995930	NeuroD1	5' UTR	15	79995900	80014808	18909	2	ENSMUST00000000500	18878	ENSMUSG00000000489	NEUROD1_unique
ENSMUSG00000000531	307.9031237	-0.539277807	0.268399486	0.008127809	0.033575136	Grasp	chr15	101221586	101222024	NeuroD1	Promoter (2-3kb)	15	101224207	101232755	8549	1	ENSMUST00000000543	-2183	ENSMUSG00000000531	NEUROD1_unique
ENSMUSG00000000532	5462.015673	-0.102412549	0.118440671	0.352360761	0.534285723	Acvr1b	chr15	101164035	101164251	NeuroD1	Distal Intergenic	15	101174104	101213678	39575	1	ENSMUST00000000544	-9853	ENSMUSG00000000532	NEUROD1_unique
ENSMUSG00000000538	9061.221798	-0.062589157	0.091265281	0.473960411	0.644597631	Tom1l2	chr11	60246142	60246406	NeuroD1	Promoter (<=1kb)	11	60229902	60245669	15768	2	ENSMUST00000143124	-474	ENSMUSG00000000538	NEUROD1_unique
ENSMUSG00000000552	2713.910803	0.391828693	0.118067556	0.000367242	0.002620434	Zfp385a	chr15	103345593	103345842	NeuroD1	Intron (ENSMUST00000023128/ENSMUSG00000000555, intron 29 of 29)	15	103313895	103340086	26192	2	ENSMUST00000168828	-5508	ENSMUSG00000000552	NEUROD1_unique
ENSMUSG00000000555	1766.888456	-0.902001068	0.098914484	9.05225E-21	2.34767E-18	Itga5	chr15	103360287	103360534	NeuroD1	Intron (ENSMUST00000023128/ENSMUSG00000000555, intron 1 of 29)	15	103344289	103366763	22475	2	ENSMUST00000023128	6229	ENSMUSG00000000555	NEUROD1_unique
ENSMUSG00000000560	3555.654311	-1.569597858	0.203543809	6.50578E-16	7.03773E-14	Gabra2	chr5	71026046	71026350	NeuroD1	Intron (ENSMUST00000000572/ENSMUSG00000000560, intron 4 of 9)	5	70961057	71095849	134793	2	ENSMUST00000000572	69499	ENSMUSG00000000560	NEUROD1_unique
ENSMUSG00000000627	3993.051029	-0.632526037	0.197906033	0.000262309	0.001959161	Sema4f	chr6	82868570	82868840	NeuroD1	Distal Intergenic	6	82914084	82917586	3503	2	ENSMUST00000125579	48746	ENSMUSG00000000627	NEUROD1_unique
ENSMUSG00000000628	524.1898121	-0.075837799	0.118390317	0.49031553	0.658036917	Hk2	chr6	82735545	82735725	NeuroD1	Intron (ENSMUST00000000642/ENSMUSG00000000628, intron 10 of 17)	6	82725062	82726309	1248	2	ENSMUST00000168725	-9237	ENSMUSG00000000628	NEUROD1_unique
ENSMUSG00000000631	7976.89526	-0.20221116	0.078107767	0.007153926	0.03026914	Myo18a	chr11	77855188	77855495	NeuroD1	Promoter (1-2kb)	11	77853864	77859362	5499	1	ENSMUST00000135375	1325	ENSMUSG00000000631	NEUROD1_unique
ENSMUSG00000000632	4680.17147	-1.885798805	0.153700863	6.13721E-36	6.20748E-33	Sez6	chr11	77930633	77930819	NeuroD1	Promoter (<=1kb)	11	77930800	77979048	48249	1	ENSMUST00000093995	0	ENSMUSG00000000632	NEUROD1_unique
ENSMUSG00000000706	4.346404919	-0.018266276	0.32323309	0.728821387	.	Btn1a1	chr13	23474778	23474974	NeuroD1	Downstream (2-3kb)	13	23463748	23465901	2154	2	ENSMUST00000110434	-8878	ENSMUSG00000000706	NEUROD1_unique
ENSMUSG00000000738	2478.726458	-0.081213813	0.123557348	0.460805477	0.633693677	Spg7	chr8	123044148	123044348	NeuroD1	Intron (ENSMUST00000127664/ENSMUSG00000092329, intron 1 of 15)	8	123062942	123079987	17046	1	ENSMUST00000142541	-18594	ENSMUSG00000000738	NEUROD1_unique
ENSMUSG00000000751	4543.533203	-0.183349848	0.079790945	0.018262062	0.062880553	Rpa1	chr11	75273522	75273734	NeuroD1	Distal Intergenic	11	75301305	75342188	40884	2	ENSMUST00000135770	68454	ENSMUSG00000000751	NEUROD1_unique
ENSMUSG00000000766	5.170128289	-0.02892895	0.324068967	0.566576838	0.721062149	Oprm1	chr10	6456224	6456467	NeuroD1	Distal Intergenic	10	6758506	6979704	221199	1	ENSMUST00000147171	-302039	ENSMUSG00000000766	NEUROD1_unique
ENSMUSG00000000791	10.63866819	-0.012234044	0.304074144	0.909336118	0.950166957	Il12rb1	chr8	70805848	70806105	NeuroD1	Promoter (2-3kb)	8	70808449	70821424	12976	1	ENSMUST00000000808	-2344	ENSMUSG00000000791	NEUROD1_unique
ENSMUSG00000000792	90.43397499	0.29324786	0.344225817	0.113117459	0.246446211	Slc5a5	chr8	70884147	70884570	NeuroD1	Intron (ENSMUST00000000809/ENSMUSG00000000792, intron 14 of 14)	8	70882889	70892757	9869	2	ENSMUST00000000809	8187	ENSMUSG00000000792	NEUROD1_unique
ENSMUSG00000000794	1293.945429	-0.408983749	0.147771702	0.002090575	0.011184936	Kcnn3	chr3	89519843	89520083	NeuroD1	Promoter (<=1kb)	3	89520164	89667761	147598	1	ENSMUST00000000811	-81	ENSMUSG00000000794	NEUROD1_unique
ENSMUSG00000000804	4387.696403	-0.132984953	0.127276053	0.254232539	0.432190947	Usp32	chr11	85003652	85003857	NeuroD1	Intron (ENSMUST00000108075/ENSMUSG00000000804, intron 29 of 33)	11	84986270	84988683	2414	2	ENSMUST00000173156	-14970	ENSMUSG00000000804	NEUROD1_unique
ENSMUSG00000000805	8.07368549	-0.014597	0.30995189	0.877317373	0.933083761	Car4	chr11	84948554	84948746	NeuroD1	Distal Intergenic	11	84957786	84962555	4770	1	ENSMUST00000139416	-9040	ENSMUSG00000000805	NEUROD1_unique
ENSMUSG00000000817	6.298998199	-0.153859161	0.340069742	0.254560753	0.432586481	Fasl	chr1	161799457	161799654	NeuroD1	Distal Intergenic	1	161780691	161788495	7805	2	ENSMUST00000000834	-10963	ENSMUSG00000000817	NEUROD1_unique
ENSMUSG00000000861	3972.32574	-0.260058424	0.203158613	0.112009174	0.244716878	Bcl11a	chr11	24142411	24142596	NeuroD1	Promoter (<=1kb)	11	24142379	24163291	20913	1	ENSMUST00000127494	33	ENSMUSG00000000861	NEUROD1_unique
ENSMUSG00000000869	2.935089985	-0.053441821	0.322698866	0.515444269	.	Il4	chr11	53617356	53617583	NeuroD1	Promoter (<=1kb)	11	53612460	53617338	4879	2	ENSMUST00000150568	-19	ENSMUSG00000000869	NEUROD1_unique
ENSMUSG00000000876	1395.388366	-0.139506466	0.111634814	0.182580581	0.345589503	Pxmp4	chr2	154595850	154596139	NeuroD1	Intron (ENSMUST00000000896/ENSMUSG00000000876, intron 2 of 3)	2	154595246	154603688	8443	2	ENSMUST00000109703	7549	ENSMUSG00000000876	NEUROD1_unique
ENSMUSG00000000884	485.2313486	0.013550448	0.14627716	0.928617573	0.960820669	Gnb1l	chr16	18518305	18518487	NeuroD1	Intron (ENSMUST00000167778/ENSMUSG00000000884, intron 2 of 7)	16	18498902	18564538	65637	1	ENSMUST00000115600	19404	ENSMUSG00000000884	NEUROD1_unique
ENSMUSG00000000889	5.918050062	-0.076043	0.332905476	0.17436884	0.334310232	Dbh	chr2	27163666	27164413	NeuroD1	Promoter (<=1kb)	2	27165233	27183200	17968	1	ENSMUST00000000910	-820	ENSMUSG00000000889	NEUROD1_unique
ENSMUSG00000000902	3461.967643	0.319481719	0.089848328	0.000211294	0.001637651	Smarcb1	chr10	75918386	75918656	NeuroD1	Promoter (1-2kb)	10	75896775	75916572	19798	2	ENSMUST00000140408	-1815	ENSMUSG00000000902	NEUROD1_unique
ENSMUSG00000000915	2801.143603	-0.124414142	0.133124539	0.31110736	0.493444471	Hip1r	chr5	124003585	124003801	NeuroD1	Promoter (2-3kb)	5	124000599	124001674	1076	1	ENSMUST00000166684	2987	ENSMUSG00000000915	NEUROD1_unique
ENSMUSG00000001025	2518.234915	-0.268749431	0.252667051	0.131610179	0.274326874	S100a6	chr3	90623547	90623928	NeuroD1	Distal Intergenic	3	90612894	90614414	1521	1	ENSMUST00000001051	10654	ENSMUSG00000001025	NEUROD1_unique
ENSMUSG00000001034	3054.794993	-0.319475184	0.114410597	0.002859089	0.014405513	Mapk7	chr11	61494298	61494539	NeuroD1	Promoter (<=1kb)	11	61491596	61494406	2811	2	ENSMUST00000135521	0	ENSMUSG00000001034	NEUROD1_unique
ENSMUSG00000001036	4050.281387	-0.125024787	0.125600979	0.280438906	0.460919615	Epn2	chr11	61548484	61548684	NeuroD1	Promoter (1-2kb)	11	61534394	61546542	12149	2	ENSMUST00000151545	-1943	ENSMUSG00000001036	NEUROD1_unique
ENSMUSG00000001052	3108.924731	-0.196686706	0.104191381	0.044969957	0.125819152	Sec24b	chr3	130038385	130038822	NeuroD1	Promoter (2-3kb)	3	130007385	130040833	33449	2	ENSMUST00000165889	2011	ENSMUSG00000001052	NEUROD1_unique
ENSMUSG00000001054	2102.295329	-0.246120091	0.073828468	0.000603535	0.003985934	Rmnd5b	chr11	51627937	51628220	NeuroD1	Promoter (2-3kb)	11	51624039	51625834	1796	2	ENSMUST00000147009	-2104	ENSMUSG00000001054	NEUROD1_unique
ENSMUSG00000001089	2239.708501	0.168568558	0.115523496	0.117325588	0.252675325	Luzp1	chr4	136466435	136466666	NeuroD1	Distal Intergenic	4	136469761	136549315	79555	1	ENSMUST00000170102	-3095	ENSMUSG00000001089	NEUROD1_unique
ENSMUSG00000001100	4761.492685	0.037092369	0.098680977	0.693324558	0.816894548	Poldip2	chr11	78523328	78523591	NeuroD1	Exon (ENSMUST00000017759/ENSMUSG00000017615, exon 1 of 7)	11	78518331	78519261	931	1	ENSMUST00000151499	4998	ENSMUSG00000001100	NEUROD1_unique
ENSMUSG00000001120	3243.243221	0.125788901	0.133257556	0.289604079	0.470327626	Pcbp3	chr10	76761135	76761572	NeuroD1	Downstream (<1kb)	10	76762370	76788422	26053	2	ENSMUST00000173854	26850	ENSMUSG00000001120	NEUROD1_unique
ENSMUSG00000001123	886.9747664	0.156529176	0.114937971	0.150875177	0.30122917	Lgals9	chr11	78956347	78956580	NeuroD1	Exon (ENSMUST00000018610/ENSMUSG00000020826, exon 25 of 27)	11	78966881	78970330	3450	2	ENSMUST00000140073	13750	ENSMUSG00000001123	NEUROD1_unique
ENSMUSG00000001138	1208.234364	0.051765396	0.099099583	0.569279106	0.722829075	Cnnm3	chr1	36523548	36523935	NeuroD1	Promoter (2-3kb)	1	36520761	36525600	4840	1	ENSMUST00000135100	2788	ENSMUSG00000001138	NEUROD1_unique
ENSMUSG00000001143	3078.27519	-0.516182071	0.144812022	0.000107964	0.000930946	Lman2l	chr1	36427557	36427853	NeuroD1	Promoter (<=1kb)	1	36424506	36428366	3861	2	ENSMUST00000152088	513	ENSMUSG00000001143	NEUROD1_unique
ENSMUSG00000001175	61053.57153	-0.107864482	0.068481677	0.145005859	0.2929766	Calm1	chr12	100214333	100214612	NeuroD1	Distal Intergenic	12	100205403	100206495	1093	1	ENSMUST00000127300	8931	ENSMUSG00000001175	NEUROD1_unique
ENSMUSG00000001211	9452.965862	-0.352743661	0.092431439	6.57866E-05	0.000612424	Agpat3	chr10	78320070	78320320	NeuroD1	Promoter (<=1kb)	10	78284267	78320690	36424	2	ENSMUST00000139282	370	ENSMUSG00000001211	NEUROD1_unique
ENSMUSG00000001225	3.315845326	-0.057604058	0.330789616	0.24713463	.	Slc26a3	chr12	31390663	31390875	NeuroD1	Promoter (<=1kb)	12	31390871	31450972	60102	1	ENSMUST00000167432	0	ENSMUSG00000001225	NEUROD1_unique
ENSMUSG00000001227	4351.749462	-0.175761837	0.170018942	0.228253551	0.400797217	Sema6b	chr17	56140052	56140243	NeuroD1	Promoter (<=1kb)	17	56123085	56140343	17259	2	ENSMUST00000001256	100	ENSMUSG00000001227	NEUROD1_unique
