.	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	FOXG1_unique
ENSMUSG00000000001	4606.130526	-0.544408971	0.085219551	3.9694E-11	1.78438E-09	Gnai3	FOXG1_unique
ENSMUSG00000000028	223.2762626	0.023061597	0.193132983	0.884629167	0.936625323	Cdc45	FOXG1_unique
ENSMUSG00000000049	24.48412145	0.050976493	0.291956001	0.707138088	0.827100109	Apoh	FOXG1_unique
ENSMUSG00000000056	3013.923184	-0.941207336	0.151692425	5.30718E-11	2.32883E-09	Narf	FOXG1_unique
ENSMUSG00000000058	3295.468212	-0.205592446	0.102894267	0.035919444	0.106090588	Cav2	FOXG1_unique
ENSMUSG00000000078	2860.97596	-0.552593493	0.110111255	1.76444E-07	3.44526E-06	Klf6	FOXG1_unique
ENSMUSG00000000085	2000.170819	0.208018285	0.1528572	0.126711242	0.267116108	Scmh1	FOXG1_unique
ENSMUSG00000000088	6435.757027	0.017050784	0.12327623	0.849742243	0.917503728	Cox5a	FOXG1_unique
ENSMUSG00000000093	225.4866397	0.308995773	0.200184899	0.05928326	0.155040862	Tbx2	FOXG1_unique
ENSMUSG00000000094	14.84654916	-0.217310015	0.420600221	0.045809128	0.127360191	Tbx4	FOXG1_unique
ENSMUSG00000000120	534.6307449	-0.76524993	0.231411019	0.000121408	0.001026739	Ngfr	FOXG1_unique
ENSMUSG00000000126	1895.820431	-0.187258231	0.089162877	0.028695396	0.089428311	Wnt9a	FOXG1_unique
ENSMUSG00000000127	1188.739575	-0.086608605	0.10114538	0.354896154	0.537003089	Fer	FOXG1_unique
ENSMUSG00000000131	3789.972791	-0.313888268	0.087080565	0.000188619	0.001493378	Xpo6	FOXG1_unique
ENSMUSG00000000142	1584.227079	-0.461158559	0.168175887	0.001821222	0.009994981	Axin2	FOXG1_unique
ENSMUSG00000000148	1732.300065	-0.207856698	0.091057619	0.017131977	0.059814078	Brat1	FOXG1_unique
ENSMUSG00000000149	5823.215343	-0.407099327	0.141664981	0.001294853	0.007524728	Gna12	FOXG1_unique
ENSMUSG00000000157	2.062078455	0.048265278	0.331956977	0.27637525	.	Itgb2l	FOXG1_unique
ENSMUSG00000000159	2.445756219	0.005567803	0.317627193	0.946069749	.	Igsf5	FOXG1_unique
ENSMUSG00000000167	309.1269235	0.132022777	0.229220206	0.433997974	0.610397345	Pih1d2	FOXG1_unique
ENSMUSG00000000168	3360.592428	0.051809374	0.076976549	0.488299757	0.656551398	Dlat	FOXG1_unique
ENSMUSG00000000171	6056.173625	0.362634485	0.081651526	4.50881E-06	6.11728E-05	Sdhd	FOXG1_unique
ENSMUSG00000000182	9.744757855	0.137037214	0.331353669	0.305699915	0.487543644	Fgf23	FOXG1_unique
ENSMUSG00000000184	39256.45825	-0.661545433	0.187447369	7.18355E-05	0.000658731	Ccnd2	FOXG1_unique
ENSMUSG00000000194	4403.066644	-0.648036451	0.092297208	4.65616E-13	3.00925E-11	Gpr107	FOXG1_unique
ENSMUSG00000000197	2912.565959	0.094276694	0.15823599	0.510738933	0.675188726	Nalcn	FOXG1_unique
ENSMUSG00000000202	315.2770553	0.148621077	0.198557557	0.348211957	0.530619939	Btbd17	FOXG1_unique
ENSMUSG00000000215	246.1757653	0.068216126	0.260923376	0.675920952	0.804637494	Ins2	FOXG1_unique
ENSMUSG00000000216	3.249681133	-0.174497439	0.376922162	0.102047813	.	Scnn1g	FOXG1_unique
ENSMUSG00000000247	6008.342447	-0.218904903	0.099855594	0.020667805	0.06943847	Lhx2	FOXG1_unique
ENSMUSG00000000253	1290.068143	0.336134837	0.126118935	0.003821579	0.018293117	Gmpr	FOXG1_unique
ENSMUSG00000000275	769.4536205	-0.051190307	0.115685311	0.617213818	0.760761536	Trim25	FOXG1_unique
ENSMUSG00000000278	4202.941257	0.379327557	0.194865023	0.020180373	0.068151714	Scpep1	FOXG1_unique
ENSMUSG00000000282	2264.118533	0.396934317	0.138678583	0.001575256	0.008868868	Mnt	FOXG1_unique
ENSMUSG00000000295	723.4949093	-0.095427643	0.137641337	0.461956582	0.634284918	Hddc2	FOXG1_unique
ENSMUSG00000000296	540.4532135	-0.211540062	0.196050387	0.176812231	0.337459631	Tpd52l1	FOXG1_unique
ENSMUSG00000000301	152.5968507	0.039930004	0.159200973	0.77535825	0.870791539	Pemt	FOXG1_unique
ENSMUSG00000000303	9.007238638	0.200211044	0.411058938	0.023823426	0.077704747	Cdh1	FOXG1_unique
ENSMUSG00000000305	2765.271404	-0.515077336	0.141539612	8.92157E-05	0.000788787	Cdh4	FOXG1_unique
ENSMUSG00000000317	114.5931945	-2.157746898	0.527390284	3.89629E-07	7.01228E-06	Bcl6b	FOXG1_unique
ENSMUSG00000000325	5665.809036	-0.030956502	0.180840994	0.834710749	0.907964375	Arvcf	FOXG1_unique
ENSMUSG00000000326	3256.871341	-0.114214925	0.089335928	0.167872055	0.325573234	Comt	FOXG1_unique
ENSMUSG00000000339	2296.664226	0.042719921	0.085710292	0.606192543	0.751429173	Rtca	FOXG1_unique
ENSMUSG00000000340	1075.536641	-0.1524504	0.102235495	0.131746301	0.274440935	Dbt	FOXG1_unique
ENSMUSG00000000346	5249.730215	0.109163808	0.143826171	0.408617131	0.588447067	Dazap2	FOXG1_unique
ENSMUSG00000000374	5052.351902	0.061874337	0.098044271	0.506402162	0.671386115	Trappc10	FOXG1_unique
ENSMUSG00000000378	2765.155597	-0.205777979	0.123771005	0.072170333	0.17862886	Ccm2	FOXG1_unique
ENSMUSG00000000384	1045.430557	-0.352029847	0.118470562	0.001365074	0.007878484	Tbrg4	FOXG1_unique
ENSMUSG00000000385	22.12579646	-0.080626396	0.269711415	0.610515132	0.754819558	Tmprss2	FOXG1_unique
ENSMUSG00000000386	20.93935738	-0.712277909	0.900333099	0.016844124	0.058963739	Mx1	FOXG1_unique
ENSMUSG00000000392	84.97465775	0.352581043	0.235517727	0.052867556	0.142022688	Fap	FOXG1_unique
ENSMUSG00000000399	4283.334147	0.016558743	0.078508256	0.835141279	0.908185837	Ndufa9	FOXG1_unique
ENSMUSG00000000409	154.7062624	0.148831554	0.241797637	0.385790219	0.566503226	Lck	FOXG1_unique
ENSMUSG00000000416	2311.847998	-0.422400022	0.178587448	0.005940722	0.026096607	Cttnbp2	FOXG1_unique
ENSMUSG00000000420	3153.196132	0.153862029	0.086567679	0.064836406	0.165394156	Galnt1	FOXG1_unique
ENSMUSG00000000439	2011.537548	0.224515645	0.116792711	0.039452484	0.113914401	Mkrn2	FOXG1_unique
ENSMUSG00000000440	50.06232818	-0.583231217	0.589972757	0.019525896	0.066359745	Pparg	FOXG1_unique
ENSMUSG00000000441	5273.90312	-0.044703648	0.073159819	0.54358161	0.702806621	Raf1	FOXG1_unique
ENSMUSG00000000489	1441.314794	-0.679749379	0.171253578	1.10951E-05	0.000132415	Pdgfb	FOXG1_unique
ENSMUSG00000000531	307.9031237	-0.539277807	0.268399486	0.008127809	0.033575136	Grasp	FOXG1_unique
ENSMUSG00000000532	5462.015673	-0.102412549	0.118440671	0.352360761	0.534285723	Acvr1b	FOXG1_unique
ENSMUSG00000000538	9061.221798	-0.062589157	0.091265281	0.473960411	0.644597631	Tom1l2	FOXG1_unique
ENSMUSG00000000552	2713.910803	0.391828693	0.118067556	0.000367242	0.002620434	Zfp385a	FOXG1_unique
ENSMUSG00000000560	3555.654311	-1.569597858	0.203543809	6.50578E-16	7.03773E-14	Gabra2	FOXG1_unique
ENSMUSG00000000561	2016.272808	-0.191094967	0.10090441	0.045724151	0.127211367	Wdr77	FOXG1_unique
